symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed,discrepancy_blocker,purgatory,purgatory_no_locate,purgatory_borrow_band,purgatory_net_edge,purgatory_vol_ratio
IRE,-8819.791051566423,-7335.0,1484.7910515664225,1484.7910515664225,8819.791051566423,7335.0,-1484.7910515664225,True,none,False,False,False,False,False
QPUX,-3064.9896713328903,-1677.12,1387.8696713328904,1387.8696713328904,3064.9896713328903,1677.12,-1387.8696713328904,True,none,False,False,False,False,False
USGG,-5696.357587749481,-4336.2,1360.1575877494815,1360.1575877494815,5696.357587749481,4336.2,-1360.1575877494815,True,borrow_band,True,False,True,False,False
FIGG,-3140.884078173989,-4460.953,-1320.0689218260113,1320.0689218260113,3140.884078173989,4460.953,1320.0689218260113,False,none,False,False,False,False,False
NEBX,-6316.890526601976,-4997.820000000001,1319.070526601975,1319.070526601975,6316.890526601976,4997.820000000001,-1319.070526601975,True,none,False,False,False,False,False
FLYT,-9617.729074295668,-10933.91,-1316.1809257043315,1316.1809257043315,9617.729074295668,10933.91,1316.1809257043315,False,none,False,False,False,False,False
RGTX,-6957.084156146474,-5660.88,1296.204156146474,1296.204156146474,6957.084156146474,5660.88,-1296.204156146474,True,none,False,False,False,False,False
SOLT,-2619.737794479596,-3857.7,-1237.962205520404,1237.962205520404,2619.737794479596,3857.7,1237.962205520404,False,none,False,False,False,False,False
UXRP,-1524.7411742158365,-2725.48,-1200.7388257841635,1200.7388257841635,1524.7411742158365,2725.48,1200.7388257841635,False,none,False,False,False,False,False
NBIL,-5554.64285171849,-4355.36,1199.2828517184907,1199.2828517184907,5554.64285171849,4355.36,-1199.2828517184907,True,none,False,False,False,False,False
APPX,-3806.599710162628,-2616.6,1189.9997101626282,1189.9997101626282,3806.599710162628,2616.6,-1189.9997101626282,True,none,False,False,False,False,False
CRCA,-2854.3015780860555,-4038.6,-1184.2984219139444,1184.2984219139444,2854.3015780860555,4038.6,1184.2984219139444,False,none,False,False,False,False,False
