underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AAL,AAL,0.0,45.160059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.160059
XPEV,XPEV,143.78664535,-113.502824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.283821349999982
NIO,NIO,0.0,23.13514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.13514
XYZ,"XYZ, XYZY",674.11389486,-512.951632,0.0,0.0,-145.5,-9.73,0.0,0.0,0.0,5.932262859999923
COST,COST,0.0,0.0,2.6048539948124847,0.0,0.0,0.0,0.0,0.0,0.0,2.6048539948124847
XLK,XLK,0.0,0.0,0.0,0.0,0.0,-0.025470873509356715,0.0,0.0,0.0,-0.025470873509356715
XLF,XLF,0.0,0.0,0.0,0.0,0.0,-0.06817034501682678,0.0,0.0,0.0,-0.06817034501682678
XBI,XBI,0.0,0.0,0.0,0.0,0.0,-0.3426244634669041,0.0,0.0,0.0,-0.3426244634669041
SNAP,SNAP,-1.04631935,-23.593397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.63971635
XRPZ,XRPZ,3.2e-07,-26.051461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.051460679999998
SMCI,SMCI,0.0,-27.64883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.64883
RGTI,RGTI,0.0,-36.081092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.081092
GME,GME,0.0,-42.532257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.532257
AI,"AI, AIYY",117.26935850999996,72.780287,0.0,0.0,-221.23,-29.13,3.489581127054793,0.0,0.0,-56.82077336294526
DJT,DJT,0.0,-61.341879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.341879
NET,NET,0.0,-63.167257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.167257
DNN,DNN,0.0,-63.26817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.26817
VST,VST,0.0,-67.945257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.945257
NEM,NEM,-46.33116399,-44.853792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.18495598999999
GRAB,GRAB,2e-08,-99.728178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.72817798
URA,URA,0.0,-149.135002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.135002
KWEB,KWEB,0.0,-158.5217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-158.5217
LMND,LMND,0.0,-168.817257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-168.817257
SPOT,SPOT,18.18141125,-187.266257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-169.08484575
TTD,TTD,-0.57802714,-173.713745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-174.29177213999998
LLY,LLY,-118.000197,-79.370174,8.65,0.0,0.0,0.0,0.0,0.0,0.0,-188.720371
LCID,LCID,0.0,-191.755365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-191.755365
PYPL,"PYPL, PYPY",900.2662167999999,-1003.953791,0.0,0.0,-91.03,-11.91,0.0,0.0,0.0,-206.62757420000003
APH,APH,0.0,-239.822514,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-235.822514
BA,BA,0.0,-237.886741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-237.886741
UEC,UEC,-21.92908681,-227.567481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.49656781
CRWD,CRWD,-529.33483925,276.651914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.68292524999998
COPX,COPX,0.0,-256.887228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-256.887228
UBER,UBER,0.0,-290.990662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-290.990662
ADBE,ADBE,0.0,-309.781457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-309.781457
GDXJ,GDXJ,-31.43360642,-278.715551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-310.14915742
ZETA,ZETA,0.0,-363.175991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-363.175991
XOM,"XOM, XOMO",-255.23719707,0.0,10.508399567369468,0.0,-163.23,-23.080000000000002,0.0,0.0,0.0,-431.03879750263053
UUUU,UUUU,0.0,-525.171045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-525.171045
NOW,NOW,0.0,-555.454257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-555.454257
IBIT,"IBIT, XBTY",9.48513912,2298.027802,-1.73,0.0,-2762.87,-158.06,45.55423306823932,0.0,0.0,-569.5928258117606
