ticker,expense_ratio,expense_ratio_raw,source_url,ok
OPEG,0.0075,0.75%,https://etfdb.com/etf/OPEG/,True
OPEX,0.013000000000000001,1.30%,https://etfdb.com/etf/OPEX/,True
OSCG,0.0075,0.75%,https://etfdb.com/etf/OSCG/,True
PALU,0.0097,0.97%,https://etfdb.com/etf/PALU/,True
PANG,0.0075,0.75%,https://etfdb.com/etf/PANG/,True
PBRG,0.0075,0.75%,https://etfdb.com/etf/PBRG/,True
PDDL,0.015,1.50%,https://etfdb.com/etf/PDDL/,True
PLOO,0.0075,0.75%,https://etfdb.com/etf/PLOO/,True
PLTA,0.0095,0.95%,https://etfdb.com/etf/PLTA/,True
PLTG,0.0075,0.75%,https://etfdb.com/etf/PLTG/,True
PLTU,0.0097,0.97%,https://etfdb.com/etf/PLTU/,True
PLYY,0.017,1.70%,https://etfdb.com/etf/PLYY/,True
PONX,0.013000000000000001,1.30%,https://etfdb.com/etf/PONX/,True
PTIR,0.0104,1.04%,https://etfdb.com/etf/PTIR/,True
PXIU,0.015,1.50%,https://etfdb.com/etf/PXIU/,True
PYPG,0.0075,0.75%,https://etfdb.com/etf/PYPG/,True
QBTX,0.013000000000000001,1.30%,https://etfdb.com/etf/QBTX/,True
QBY,0.010700000000000001,1.07%,https://etfdb.com/etf/QBY/,True
QCML,0.015,1.50%,https://etfdb.com/etf/QCML/,True
QCMU,0.0097,0.97%,https://etfdb.com/etf/QCMU/,True
QSX,0.013000000000000001,1.30%,https://etfdb.com/etf/QSX/,True
QUBX,0.013000000000000001,1.30%,https://etfdb.com/etf/QUBX/,True
RBLU,0.0105,1.05%,https://etfdb.com/etf/RBLU/,True
RDTL,0.015,1.50%,https://etfdb.com/etf/RDTL/,True
RGTU,0.013000000000000001,1.30%,https://etfdb.com/etf/RGTU/,True
RGYY,0.010700000000000001,1.07%,https://etfdb.com/etf/RGYY/,True
ROBN,0.0105,1.05%,https://etfdb.com/etf/ROBN/,True
RTXG,0.0075,0.75%,https://etfdb.com/etf/RTXG/,True
RTYY,0.010700000000000001,1.07%,https://etfdb.com/etf/RTYY/,True
RVNL,0.0115,1.15%,https://etfdb.com/etf/RVNL/,True
SATG,0.0075,0.75%,https://etfdb.com/etf/SATG/,True
SBU,0.0075,0.75%,https://etfdb.com/etf/SBU/,True
SEMY,0.010700000000000001,1.07%,https://etfdb.com/etf/SEMY/,True
SHPU,0.0097,0.97%,https://etfdb.com/etf/SHPU/,True
SMCL,0.015,1.50%,https://etfdb.com/etf/SMCL/,True
SMU,0.013000000000000001,1.30%,https://etfdb.com/etf/SMU/,True
SMUP,0.015,1.50%,https://etfdb.com/etf/SMUP/,True
SMYY,0.010700000000000001,1.07%,https://etfdb.com/etf/SMYY/,True
SNAG,0.0075,0.75%,https://etfdb.com/etf/SNAG/,True
SNOU,0.015,1.50%,https://etfdb.com/etf/SNOU/,True
SNPX,0.013000000000000001,1.30%,https://etfdb.com/etf/SNPX/,True
SOLT,0.018500000000000003,1.85%,https://etfdb.com/etf/SOLT/,True
SOLX,0.015,1.50%,https://etfdb.com/etf/SOLX/,True
SPOG,0.0075,0.75%,https://etfdb.com/etf/SPOG/,True
SRPU,0.013000000000000001,1.30%,https://etfdb.com/etf/SRPU/,True
TARK,0.0115,1.15%,https://etfdb.com/etf/TARK/,True
TEMT,0.013000000000000001,1.30%,https://etfdb.com/etf/TEMT/,True
TERG,0.0075,0.75%,https://etfdb.com/etf/TERG/,True
TQQY,0.0115,1.15%,https://etfdb.com/etf/TQQY/,True
TSLG,0.0075,0.75%,https://etfdb.com/etf/TSLG/,True
TSLI,0.0095,0.95%,https://etfdb.com/etf/TSLI/,True
TSLL,0.0095,0.95%,https://etfdb.com/etf/TSLL/,True
TSLO,0.0075,0.75%,https://etfdb.com/etf/TSLO/,True
TSLR,0.0095,0.95%,https://etfdb.com/etf/TSLR/,True
TSLT,0.0105,1.05%,https://etfdb.com/etf/TSLT/,True
