symbol,qty,avg_cost,last,unrealized_pnl,realized_pnl,symbol_raw
TERG,-108.0,25.441,44.33,-2214.0,0.0,TERG
TSLA,64.0,443.585,415.6,-1777.0,0.0,TSLA
TSLI,-156.0,31.706,29.3,380.0,0.0,TSLI
TSLL,-306.0,16.97,15.81,389.0,0.0,TSLL
TSLR,-89.0,30.679,26.56,366.0,0.0,TSLR
TSLW,-129.0,31.954,28.49,448.0,0.0,TSLW
TSM,18.0,330.417,369.21,701.0,0.0,TSM
TSMU,-53.0,51.155,62.13,-586.0,0.0,TSMU
UBER,127.0,77.046,69.9,-916.0,0.0,UBER
UBRL,-288.0,18.24,15.15,892.0,0.0,UBRL
UNH,31.0,319.949,286.68,-1024.0,0.0,UNH
UNHG,-381.0,14.265,11.57,1037.0,0.0,UNHG
UXRP,-1057.0,5.655,4.26,1485.0,0.0,UXRP
VRT,38.0,187.981,233.29,1714.0,0.0,VRT
VRTL,-47.0,58.967,90.0,-1644.0,0.0,VRTL
XBTY,-1113.0,8.927,8.33,559.0,0.0,XBTY
XOM,59.0,138.668,149.0,611.0,0.0,XOM
XOMX,-101.0,42.626,44.8,-140.0,0.0,XOMX
