ETF,Underlying,Leverage,ExpectedLeverage,Beta,Beta_n_obs,Beta_source
AAPX,AAPL,2.0,2.0,1.9918440153732189,526,ols
GOOX,GOOGL,2.0,2.0,1.9799535480696226,526,ols
MSFX,MSFT,2.0,2.0,2.00441054548599,526,ols
NFLU,NFLX,2.0,2.0,1.9873188934583714,347,ols
ROBN,HOOD,2.0,2.0,2.010782480035729,263,ols
ARMU,ARM,2.0,2.0,1.996885666824688,242,ols
DJTU,DJT,2.0,2.0,2.004442533710257,242,ols
RBLU,RBLX,2.0,2.0,2.0234035849115166,241,ols
SNOU,SNOW,2.0,2.0,2.0074996985565075,206,ols
SMUP,SMR,2.0,2.0,2.068963483011232,142,ols
DKUP,DKNG,2.0,2.0,1.981783476613819,138,ols
GLXU,GLXY,2.0,2.0,2.0144978942165617,133,ols
AFRU,AFRM,2.0,2.0,1.9649237538317372,107,ols
AXUP,AXON,2.0,2.0,1.9787018895069841,107,ols
KTUP,KTOS,2.0,2.0,2.0191947662272876,107,ols
TTDU,TTD,2.0,2.0,1.989348010707664,105,ols
BKNU,BKNG,2.0,2.0,2.0206159687455254,106,ols
PXIU,UPXI,2.0,2.0,1.9381609508087834,106,ols
BMNU,BMNR,2.0,2.0,1.9429365247871995,99,ols
SBTU,SBET,2.0,2.0,2.0183679914967128,81,ols
CIFU,CIFR,2.0,2.0,1.9807609067049199,59,ols
SOLX,GSOL,2.0,2.0,1.9643832657098441,52,ols
XRPK,XRPZ,2.0,2.0,1.9656304198004166,52,ols
XRPT,XRPZ,2.0,2.0,2.0251380935235264,58,ols
APLX,APLD,2.0,2.0,1.9949847623810841,111,ols
APPX,APP,2.0,2.0,1.9834535451677222,205,ols
ARCX,ACHR,2.0,2.0,1.9911666366444896,174,ols
ASTX,ASTS,2.0,2.0,1.9909576021335238,153,ols
AURU,AUR,2.0,2.0,1.8956801604901747,90,ols
BEX,BE,2.0,2.0,1.9878736154468755,64,ols
BLSX,BLSH,2.0,2.0,2.049166547074691,80,ols
CEGX,CEG,2.0,2.0,1.9857525831377831,153,ols
CELT,CELH,2.0,2.0,1.9761365978375849,90,ols
CLSX,CLSK,2.0,2.0,2.0041541476591407,107,ols
COZX,CORZ,2.0,2.0,2.0429657443680442,71,ols
CRDU,CRDO,2.0,2.0,1.9824899607354325,107,ols
CSEX,CLS,2.0,2.0,2.003395110646176,65,ols
CWVX,CRWV,2.0,2.0,1.9882322606002356,153,ols
DASX,DASH,2.0,2.0,2.0113296126415108,80,ols
DOGD,DDOG,2.0,2.0,2.0157484181102805,131,ols
ENPX,ENPH,2.0,2.0,2.0150556542566176,106,ols
FLYT,FLY,2.0,2.0,1.9948879114289009,80,ols
GEVX,GEV,2.0,2.0,1.994777010498985,153,ols
GSX,GS,2.0,2.0,1.9830355193996712,107,ols
IREX,IREN,2.0,2.0,1.9809571767317586,80,ols
JOBX,JOBY,2.0,2.0,1.9839143624208033,112,ols
LABX,ALAB,2.0,2.0,1.99428697580113,131,ols
LRCU,LRCX,2.0,2.0,2.043834547101767,126,ols
LYFX,LYFT,2.0,2.0,1.9568524845316901,91,ols
MDBX,MDB,2.0,2.0,1.9910587354911333,126,ols
NEBX,NBIS,2.0,2.0,2.000957432893834,111,ols
NETX,NET,2.0,2.0,1.8859092540722375,91,ols
NNEX,NNE,2.0,2.0,1.9761613167609116,65,ols
NVTX,NVTS,2.0,2.0,1.9999104322089079,112,ols
NWMX,NEM,2.0,2.0,1.221794413977188,68,ols
OKTX,OKTA,2.0,2.0,1.6929471874868853,80,ols
OPEX,OPEN,2.0,2.0,1.9885581427314556,80,ols
PONX,PONY,2.0,2.0,2.0155270096422595,112,ols
QBTX,QBTS,2.0,2.0,1.993900143577561,205,ols
QSX,QS,2.0,2.0,1.697939495605615,67,ols
QUBX,QUBT,2.0,2.0,1.9689255183768808,165,ols
RGTU,RGTI,2.0,2.0,1.9877903191184187,165,ols
SMU,SMR,2.0,2.0,1.9853992842494192,153,ols
SNPX,SNPS,2.0,2.0,1.9198450054246536,65,ols
SRPU,SRPT,2.0,2.0,1.9515959852105562,80,ols
TARK,ARKK,2.0,2.0,1.9755052600084755,952,ols
TEMT,TEM,2.0,2.0,1.9844564038429051,193,ols
UNX,U,2.0,2.0,2.0279453574238797,107,ols
UPSX,UPST,2.0,2.0,1.9877018371208761,174,ols
VOYX,VOYG,2.0,2.0,1.9758268357542053,112,ols
WULX,WULF,2.0,2.0,1.9904938815624111,79,ols
ASMU,ASML,2.0,2.0,2.0801602462301734,5,ols_short_history
BABU,BABA,2.0,2.0,2.175874581221182,4,ols_short_history
MRVU,MRVL,2.0,2.0,1.4154946911279538,4,ols_short_history
SOFA,SOFI,2.0,2.0,2.0533756793257334,4,ols_short_history
CRMU,CRML,2.0,2.0,1.967210359819123,6,ols_short_history
UECG,UEC,2.0,2.0,1.942371265083814,5,ols_short_history
DNNG,DNN,2.0,2.0,1.9403037042711286,5,ols_short_history
RCAX,RCAT,2.0,2.0,2.036783984473694,11,ols_short_history
RDWU,RDW,2.0,2.0,2.048840882998069,13,ols_short_history
OKLL,OKLO,2.0,2.0,1.9975837241262795,165,ols
LABU,XBI,2.0,2.0,2.9744974168025675,2697,ols
HIBL,SPHB,2.0,2.0,2.7614870230123696,1577,ols
GDXU,GDX,2.0,2.0,3.0405955086989915,1307,ols
SOXL,SOXX,2.0,2.0,2.9676504854784107,4009,ols
MRNX,MRNA,2.0,2.0,2.0529602451417044,9,ols_short_history
ZETX,ZETA,2.0,2.0,2.028477031652389,10,ols_short_history
LITX,LITE,2.0,2.0,1.9156174476481358,16,ols_short_history
SNXX,SNDX,2.0,2.0,2.4611472112500974,16,ols_short_history
WDCX,WDC,2.0,2.0,2.0952957933539538,15,ols_short_history
LNOK,NOK,2.0,2.0,1.9547441615080194,20,ols_short_history
USGG,USAR,2.0,2.0,2.023155163920455,24,ols_short_history
ONDG,ONDS,2.0,2.0,2.0006729571994364,25,ols_short_history
PLUL,PLUG,2.0,2.0,2.004000263663924,25,ols_short_history
ALBG,ALB,2.0,2.0,1.9954067131938718,25,ols_short_history
UUUG,UUUU,2.0,2.0,2.0084353974711657,24,ols_short_history
HUTG,HUT,2.0,2.0,1.998906739322553,25,ols_short_history
XPEG,XPEV,2.0,2.0,1.977703385759987,22,ols_short_history
ORLG,ORLY,2.0,2.0,2.016960984716143,22,ols_short_history
LUNL,LUNR,2.0,2.0,2.0223642926947165,25,ols_short_history
RKTL,RKT,2.0,2.0,1.936641223483353,24,ols_short_history
EOSU,EOS,2.0,2.0,5.267568739689195,24,ols_short_history
BTFL,BITF,2.0,2.0,2.01543355591137,34,ols
FGRU,FIGR,2.0,2.0,2.0,1,imputed_no_overlap
APHU,APH,2.0,2.0,2.0,1,imputed_no_overlap
COPZ,COPX,2.0,2.0,2.161623163748949,2,ols_short_history
LEUX,LEU,2.0,2.0,2.0,0,imputed_missing_prices
COHX,COHR,2.0,2.0,2.0,0,imputed_missing_prices
CLSZ,CLSK,2.0,2.0,2.0,0,imputed_missing_prices
AXPG,AXP,2.0,2.0,2.0,0,imputed_missing_prices
FCXG,FCX,2.0,2.0,2.0,0,imputed_missing_prices
KORU,EWY,2.0,2.0,2.8525905009007313,3235,ols
AALG,AAL,2.0,2.0,1.9865998997822476,153,ols
ABNG,ABNB,2.0,2.0,2.001182732593192,63,ols
ADBG,ADBE,2.0,2.0,1.986599765662742,229,ols
AMDG,AMD,2.0,2.0,2.002784770092972,268,ols
ARMG,ARM,2.0,2.0,1.9973840674162084,275,ols
ASMG,ASML,2.0,2.0,1.981531263952771,275,ols
AVGG,AVGO,2.0,2.0,2.0011116002717175,189,ols
BAIG,BBAI,2.0,2.0,2.0098606041043254,124,ols
BEG,BE,2.0,2.0,2.012935475599629,42,ols
BIDG,BIDU,2.0,2.0,2.0097529745838827,40,ols
BLSG,BLSH,2.0,2.0,2.0244002802824137,78,ols
BMNG,BMNR,2.0,2.0,1.9956978528846137,78,ols
BOEG,BA,2.0,2.0,1.9932902236986971,171,ols
BULG,BULL,2.0,2.0,1.9856510459570365,131,ols
CIFG,CIFR,2.0,2.0,1.9922654505097575,46,ols
CMGG,CMG,2.0,2.0,1.958403707496515,63,ols
CNCG,CNC,2.0,2.0,2.007826527251008,40,ols
COIG,COIN,2.0,2.0,1.9940754692891323,233,ols
COTG,COST,2.0,2.0,1.968059919850469,105,ols
CRCG,CRCL,2.0,2.0,1.9758170538993878,131,ols
CRMG,CRM,2.0,2.0,1.984012398456163,218,ols
CRWG,CRWV,2.0,2.0,1.99660509584835,132,ols
DUOG,DUOL,2.0,2.0,2.0235362589204224,46,ols
FIGG,FIG,2.0,2.0,1.9877493532125412,87,ols
FUTG,FUTU,2.0,2.0,2.0025197687096292,87,ols
GEMG,GEMI,2.0,2.0,2.001979830515529,71,ols
GEVG,GEV,2.0,2.0,1.930450773255767,43,ols
GLGG,GLXY,2.0,2.0,2.0003687188340575,124,ols
GRAG,GRAB,2.0,2.0,1.918220327699192,45,ols
HOOG,HOOD,2.0,2.0,2.0071999541327057,229,ols
IREG,IREN,2.0,2.0,1.9685583731874523,43,ols
KLAG,KLAC,2.0,2.0,2.019110647610688,41,ols
LACG,LAC,2.0,2.0,2.023057210530794,45,ols
LULG,LULU,2.0,2.0,1.991827194840781,70,ols
MPG,MP,2.0,2.0,1.9842495452582791,78,ols
NBIG,NBIS,2.0,2.0,2.0110465166415583,77,ols
NEMG,NEM,2.0,2.0,2.0024593371720854,63,ols
NETG,NET,2.0,2.0,2.0056793700631204,63,ols
NIOG,NIO,2.0,2.0,2.011625482457971,40,ols
NUG,NU,2.0,2.0,1.9619189000854047,62,ols
NVDG,NVDA,2.0,2.0,1.9683055670089205,293,ols
OKTG,OKTA,2.0,2.0,2.007993256434693,62,ols
OPEG,OPEN,2.0,2.0,2.0010766948576246,46,ols
OSCG,OSCR,2.0,2.0,1.981136148039187,71,ols
PANG,PANW,2.0,2.0,1.9964660019822187,228,ols
PBRG,PBR,2.0,2.0,1.8963523241562017,40,ols
PLTG,PLTR,2.0,2.0,1.9941865503354648,204,ols
PYPG,PYPL,2.0,2.0,1.9938801283855627,219,ols
RTXG,RTX,2.0,2.0,2.0003888727859627,176,ols
SATG,SATS,2.0,2.0,2.0224186089669853,43,ols
SBU,SBUX,2.0,2.0,1.9926085869176242,62,ols
SNAG,SNAP,2.0,2.0,2.013535521012799,40,ols
SPOG,SPOT,2.0,2.0,1.9833662974243087,63,ols
TERG,TER,2.0,2.0,1.9991688702435695,63,ols
TSLG,TSLA,2.0,2.0,1.9912813148604933,293,ols
TSMG,TSM,2.0,2.0,1.97570301499169,275,ols
UNHG,UNH,2.0,2.0,1.9979543079021722,145,ols
UPSG,UPS,2.0,2.0,1.9058642778705266,46,ols
VALG,VALE,2.0,2.0,1.963797785981587,40,ols
XYZG,XYZ,2.0,2.0,1.9997566363954777,218,ols
COIO,COIN,2.0,2.0,0.9696561112064191,130,ols
MSOO,MSTR,2.0,2.0,0.9963462601028343,129,ols
NVDO,NVDA,2.0,2.0,0.9259509651427874,129,ols
PLOO,PLTR,2.0,2.0,0.9161954346654002,129,ols
TSLO,TSLA,2.0,2.0,0.8464433343383517,129,ols
CRCA,CRCL,2.0,2.0,1.9770510449176195,133,ols
NVDB,NVDA,2.0,2.0,2.0007194319252903,110,ols
PLTA,PLTR,2.0,2.0,1.989402183712349,110,ols
TSLI,TSLA,2.0,2.0,1.978517673668698,110,ols
COIA,COIN,2.0,2.0,1.9956943426574654,111,ols
BITU,IBIT,2.0,2.0,1.9918407683867552,472,ols
ETHT,ETHA,2.0,2.0,1.9920142996020456,395,ols
UXRP,XRPZ,2.0,2.0,2.0121554545879894,58,ols
SOLT,SOEZ,2.0,2.0,2.0138708293579106,52,ols
TSLR,TSLA,2.0,2.0,1.9741756227505263,620,ols
AAPB,AAPL,2.0,2.0,1.8862098537706695,883,ols
AMDL,AMD,2.0,2.0,1.999251388210085,481,ols
AMZZ,AMZN,2.0,2.0,1.9939095804770597,482,ols
AVGU,AVGO,2.0,2.0,1.9884956670322704,150,ols
BABX,BABA,2.0,2.0,1.9268270895561908,797,ols
BULX,BULL,2.0,2.0,1.9669882138116217,115,ols
CONL,COIN,2.0,2.0,1.757939263959046,883,ols
CRWL,CRWD,2.0,2.0,1.9954205472444175,316,ols
DLLL,DELL,2.0,2.0,1.982992259836043,253,ols
ETRL,ETOR,2.0,2.0,1.9958588184309571,116,ols
GOU,GOOGL,2.0,2.0,2.0344355366254017,52,ols
INTW,INTC,2.0,2.0,1.9884874328257212,253,ols
IONL,IONQ,2.0,2.0,1.9903885798343275,225,ols
ISUL,ISRG,2.0,2.0,2.001766983720093,92,ols
LCDL,LCID,2.0,2.0,1.965872352682051,208,ols
MRAL,MARA,2.0,2.0,1.98068252446604,239,ols
FBL,META,2.0,2.0,1.8134424349381073,797,ols
MVLL,MRVL,2.0,2.0,1.9981229624132009,239,ols
MSFL,MSFT,2.0,2.0,1.990341156811792,481,ols
MSTP,MSTR,2.0,2.0,1.99389732603431,173,ols
MULL,MU,2.0,2.0,1.9978129485035931,316,ols
NBIL,NBIS,2.0,2.0,1.9989986504483874,91,ols
NOWL,NOW,2.0,2.0,1.9893602823901417,151,ols
NVDL,NVDA,2.0,2.0,1.8175682525519148,796,ols
PDDL,PDD,2.0,2.0,2.004057113900148,151,ols
PTIR,PLTR,2.0,2.0,1.9969430586365777,364,ols
QCML,QCOM,2.0,2.0,1.9706496515034329,220,ols
RDTL,RDDT,2.0,2.0,1.9817613617299112,227,ols
RVNL,RIVN,2.0,2.0,1.9910463605871747,207,ols
SMCL,SMCI,2.0,2.0,1.988491451861036,293,ols
TSMU,TSM,2.0,2.0,1.9920111823690183,316,ols
UBRL,UBER,2.0,2.0,1.9958825039562227,364,ols
VRTL,VRT,2.0,2.0,1.9834887083446062,226,ols
AMYY,AMD,2.0,2.0,0.3070302226064093,107,ols
AZYY,AMZN,2.0,2.0,0.6360138805138374,107,ols
BBYY,BABA,2.0,2.0,0.6252301372145824,81,ols
XBTY,IBIT,2.0,2.0,0.5527349961880622,193,ols
COYY,COIN,2.0,2.0,0.5215660350572808,141,ols
NUGY,GDX,2.0,2.0,0.5302745478499972,62,ols
HMYY,HIMS,2.0,2.0,0.45154989191623507,52,ols
HOYY,HOOD,2.0,2.0,0.5202097343860929,97,ols
IOYY,IONQ,2.0,2.0,0.4108351934776221,71,ols
MAAY,MARA,2.0,2.0,0.33452892039164916,72,ols
FBYY,META,2.0,2.0,0.5954547306927132,80,ols
MTYY,MSTR,2.0,2.0,0.3918987375322077,101,ols
NVYY,NVDA,2.0,2.0,0.659835236877417,192,ols
PLYY,PLTR,2.0,2.0,0.5567765362201798,101,ols
QBY,QBTS,2.0,2.0,0.28533735294736456,54,ols
TQQY,QQQ,2.0,2.0,0.8597635557560925,245,ols
RGYY,RGTI,2.0,2.0,0.3196110874814721,57,ols
RTYY,RIOT,2.0,2.0,0.37599335643897003,53,ols
SEMY,SOXX,2.0,2.0,0.8630289451436317,61,ols
SMYY,SMCI,2.0,2.0,0.43544286082116307,96,ols
YSPY,SPY,2.0,2.0,0.7846848246640478,219,ols
TSYY,TSLA,2.0,2.0,0.5389595219089732,290,ols
QYLD,QQQ,1.0,1.0,0.6093515998620864,3062,ols
QYLG,QQQ,1.0,1.0,0.7718569490589854,1356,ols
QQQX,QQQ,1.0,1.0,0.8404166835280326,4791,ols
JEPQ,QQQ,1.0,1.0,0.7220173521976653,950,ols
XYLD,SPY,1.0,1.0,0.6938355330884868,3182,ols
XYLG,SPY,1.0,1.0,0.7827814007897362,1348,ols
JEPI,SPY,1.0,1.0,0.5540250774266388,1442,ols
SPYI,SPY,1.0,1.0,0.7562516809220392,869,ols
RYLD,IWM,1.0,1.0,0.5741547254235649,1716,ols
ABNY,ABNB,1.0,1.0,0.7938502316621863,414,ols
AIYY,AI,1.0,1.0,0.7176382406416129,557,ols
AMDY,AMD,1.0,1.0,0.7870647123095214,606,ols
AMZY,AMZN,1.0,1.0,0.7800670890039142,645,ols
APLY,AAPL,1.0,1.0,0.7779357500762071,711,ols
BABO,BABA,1.0,1.0,0.7696796390183231,383,ols
BRKC,BRK-B,1.0,1.0,0.7891933576107192,177,ols
CONY,COIN,1.0,1.0,0.7464864356801278,630,ols
CRCO,CRCL,1.0,1.0,0.8262877504531462,96,ols
CVNY,CVNA,1.0,1.0,0.821125360588416,262,ols
DISO,DIS,1.0,1.0,0.7222279374895327,622,ols
DRAY,DKNG,1.0,1.0,0.833784707047848,150,ols
FBY,META,1.0,1.0,0.7355307686563191,642,ols
GMEY,GME,1.0,1.0,0.6359022908867646,111,ols
GOOY,GOOGL,1.0,1.0,0.742834369096025,641,ols
HIYY,HIMS,1.0,1.0,0.8795060120452791,101,ols
HOOY,HOOD,1.0,1.0,0.7900698522888883,196,ols
JPMO,JPM,1.0,1.0,0.7441292373773926,610,ols
MARO,MARA,1.0,1.0,0.7817145326629317,297,ols
MRNY,MRNA,1.0,1.0,0.7513996850075991,580,ols
MSFO,MSFT,1.0,1.0,0.7727530087585083,621,ols
MSTY,MSTR,1.0,1.0,0.7385392553335308,498,ols
NFLY,NFLX,1.0,1.0,0.7909384035262156,634,ols
NVDY,NVDA,1.0,1.0,0.7418448163599979,694,ols
PLTY,PLTR,1.0,1.0,0.7944172219371423,340,ols
PYPY,PYPL,1.0,1.0,0.7830128600152387,601,ols
RBLY,RBLX,1.0,1.0,0.8477035959794521,140,ols
RDYY,RDDT,1.0,1.0,0.8301598906428767,112,ols
SMCY,SMCI,1.0,1.0,0.7434542713372049,358,ols
SNOY,SNOW,1.0,1.0,0.7908446588966265,423,ols
TSLY,TSLA,1.0,1.0,0.7383960412802402,809,ols
TSMY,TSM,1.0,1.0,0.7910385746414115,374,ols
XOMO,XOM,1.0,1.0,0.7830586975972424,617,ols
XYZY,XYZ,1.0,1.0,0.8002728860321678,589,ols
AAPW,AAPL,1.0,1.0,1.0930395480821922,249,ols
AMDW,AMD,1.0,1.0,1.1972296600486594,144,ols
AMZW,AMZN,1.0,1.0,1.2142010339481333,168,ols
ARMW,ARM,1.0,1.0,1.1831757146472466,80,ols
AVGW,AVGO,1.0,1.0,1.198207597961704,143,ols
BABW,BABA,1.0,1.0,1.2226821739192648,80,ols
BRKW,BRK-B,1.0,1.0,1.1618855814372857,168,ols
COIW,COIN,1.0,1.0,1.2168597258054596,251,ols
COSW,COST,1.0,1.0,1.2448819188241171,80,ols
GDXW,GDX,1.0,1.0,1.20134992430704,75,ols
GLDW,GOLD,1.0,1.0,0.3317690772016824,75,ols
GOOW,GOOGL,1.0,1.0,1.229511978978434,143,ols
HOOW,HOOD,1.0,1.0,1.2062169835093894,168,ols
METW,META,1.0,1.0,1.1821261338265998,168,ols
MSFW,MSFT,1.0,1.0,1.2133275552722282,143,ols
MSTW,MSTR,1.0,1.0,1.227805885189071,143,ols
NFLW,NFLX,1.0,1.0,1.1879693449455033,167,ols
NVDW,NVDA,1.0,1.0,1.2013514601014943,250,ols
PLTW,PLTR,1.0,1.0,1.191610726975237,250,ols
TSLW,TSLA,1.0,1.0,1.1980253156503,250,ols
TSYW,TLT,1.0,1.0,1.1800234725570355,64,ols
UBEW,UBER,1.0,1.0,1.2125113436563633,79,ols
UNHW,UNH,1.0,1.0,1.198147114208955,51,ols
