ETF,Underlying,Beta_base,Delta,Beta_trial,Borrow_annual,CAGR,AnnVol,MaxDD,TotalReturn,TradingDays,Sharpe,Sortino,DownsideSemivar,DownsideDev
MSTY,MSTR,0.7381129438307567,0.2,0.885735532596908,0.081248,0.04051910034747164,0.2862947086504048,-0.25485699805200357,0.08114523879741209,495,0.27818545180159293,0.5116116191594677,9.616435695098484e-05,0.15567086417068604
NFLY,NFLX,0.7896877972856852,-0.2,0.6317502378285482,0.0,-0.04703444168890247,0.1744813418227714,-0.31942858219059,-0.11364033411213559,631,-0.18823767451971365,-0.2561657950504997,6.523313690558052e-05,0.12821369076743047
NFLY,NFLX,0.7896877972856852,-0.1,0.7107190175571166,0.0,-0.010737845383346212,0.1427741332011867,-0.17088055437829353,-0.02667051012527033,631,-0.004001661430495793,-0.005593622813488281,4.139928596017802e-05,0.10214019807091067
NFLY,NFLX,0.7896877972856852,0.0,0.7896877972856852,0.0,0.017810074363199035,0.12496366337794079,-0.11284865273322975,0.045194911449705666,631,0.20376172765906123,0.2963169383146223,2.9302132577531634e-05,0.08593100377359718
NFLY,NFLX,0.7896877972856852,0.1,0.8686565770142538,0.0,0.040784843045085006,0.11786305506028912,-0.08463972225512784,0.10527740043723388,631,0.39801888461968177,0.6018749609754389,2.4107359885209346e-05,0.07794263718320517
NFLY,NFLX,0.7896877972856852,0.2,0.9476253567428221,0.0,0.05963416700768165,0.11814264631520859,-0.07594306471252443,0.15608484602136685,631,0.5492580800872073,0.8499729800258571,2.3128928693421108e-05,0.07634454814027077
NVDY,NVDA,0.7416065766788369,-0.2,0.5932852613430696,0.029538000000000002,-0.19705075811229555,0.24368682715421855,-0.5163407119210861,-0.4521663587481959,691,-0.7790001264633892,-1.1703930495561294,0.00010439390764459779,0.16219514396688528
NVDY,NVDA,0.7416065766788369,-0.1,0.6674459190109532,0.029538000000000002,-0.1001400362169379,0.19599797748811507,-0.3614850275030591,-0.2512363581654139,691,-0.44131793183779666,-0.7006834807273594,6.047307185716976e-05,0.12344721182759366
NVDY,NVDA,0.7416065766788369,0.0,0.7416065766788369,0.029538000000000002,-0.017143806504317904,0.1703212292606096,-0.21093679941901355,-0.046310404015671436,691,-0.018069710454479682,-0.03149780716842824,3.7886001517647766e-05,0.09771014472636522
NVDY,NVDA,0.7416065766788369,0.1,0.8157672343467206,0.029538000000000002,0.05438305306072655,0.16198431429509524,-0.10599364349175355,0.15628028149831485,691,0.40561405121211697,0.7933063496030528,2.7220086735551166e-05,0.08282186823151778
NVDY,NVDA,0.7416065766788369,0.2,0.8899278920146042,0.029538000000000002,0.1164656933975976,0.1653773284153632,-0.09975865578657672,0.35268002572784285,691,0.7461844198394384,1.5967302810862962,2.3701762036892364e-05,0.07728417712117323
PLTY,PLTR,0.7943651693080764,-0.2,0.6354921354464612,0.05,-0.08036286973519802,0.23387255003337706,-0.2772623697165171,-0.10598607277220318,337,-0.2417330308770913,-0.36927630247508797,9.300945051658984e-05,0.15309598796239124
PLTY,PLTR,0.7943651693080764,-0.1,0.7149286523772688,0.05,0.05263733387865721,0.16238304565053374,-0.11995927529303574,0.07100977162539257,337,0.39660475058811023,0.6582477636297953,3.798550145984442e-05,0.09783836858758835
PLTY,PLTR,0.7943651693080764,0.0,0.7943651693080764,0.05,0.16522722832312753,0.1303774191579044,-0.06437643389411829,0.2269052742742339,337,1.2377922835725566,2.3556560228196552,1.8624130766609766e-05,0.06850752479243183
PLTY,PLTR,0.7943651693080764,0.1,0.8738016862388841,0.05,0.2609852013099354,0.13442174440389582,-0.056807332102420505,0.36357688075576244,337,1.792231533700783,3.7429343918963967,1.644001890200162e-05,0.06436524499529547
PLTY,PLTR,0.7943651693080764,0.2,0.9532382031696917,0.05,0.34297908465797833,0.15794669317247748,-0.05703621270696613,0.483430520605324,337,1.9458666624019763,4.060642470285773,2.273302265588111e-05,0.07568831950361984
PYPY,PYPL,0.78332776494609,-0.2,0.6266622119568721,0.061278,-0.09718527879159777,0.184927298050082,-0.41421443432178273,-0.2151059354418572,597,-0.46115670779641743,-0.7089204821407308,5.742533264889461e-05,0.12029623363813784
PYPY,PYPL,0.78332776494609,-0.1,0.704994988451481,0.061278,-0.09323828495886499,0.14757729522499338,-0.3422464623359113,-0.20695230357596384,597,-0.5896333231239468,-0.8661306560537776,4.005306639945307e-05,0.10046577891333036
PYPY,PYPL,0.78332776494609,0.0,0.78332776494609,0.061278,-0.09219464749212514,0.1273637764908051,-0.28054344019740596,-0.20478823181069827,597,-0.6957565810879894,-0.9899115233644267,3.179898086778191e-05,0.08951727865993829
PYPY,PYPL,0.78332776494609,0.1,0.8616605414406991,0.061278,-0.0927667757844085,0.12073432971846118,-0.23910456597026586,-0.20597501091177306,597,-0.7459779708590116,-1.060788635897099,2.8605879067330204e-05,0.08490395470746467
PYPY,PYPL,0.78332776494609,0.2,0.9399933179353079,0.061278,-0.0942364201000917,0.12331496709362383,-0.21357827013499853,-0.20901883468822102,597,-0.7410030670092114,-1.0697343845550373,2.8954704818295173e-05,0.08542005393471948
RBLY,RBLX,0.8528634501711321,-0.2,0.6822907601369057,0.0019860000000000017,0.20852532400121304,0.18457384549050637,-0.07256743046194636,0.10845586750006131,137,1.1187194475718372,1.7426590734446574,5.571309590763401e-05,0.11848924072979694
RBLY,RBLX,0.8528634501711321,-0.1,0.7675771051540189,0.0019860000000000017,0.08132617398040787,0.11584774670937564,-0.04723492957134967,0.04342345578817941,137,0.7330634459005541,1.0590431154829425,2.551705128748849e-05,0.08018913220909116
RBLY,RBLX,0.8528634501711321,0.0,0.8528634501711321,0.0019860000000000017,-0.01691408942234396,0.0871798729060614,-0.046215651587093176,-0.009231140841942986,137,-0.1520732102821385,-0.21757638950385413,1.473376772320379e-05,0.06093364806285075
RBLY,RBLX,0.8528634501711321,0.1,0.9381497951882454,0.0019860000000000017,-0.09441225961765098,0.09933403443367102,-0.08027209858703355,-0.05248683931552889,137,-0.948646888296964,-1.4015287797075033,1.7939103727031456e-05,0.06723580994687225
RBLY,RBLX,0.8528634501711321,0.2,1.0234361402053584,0.0019860000000000017,-0.15675428046312456,0.1287182374373982,-0.11761623150994172,-0.08852468301057881,137,-1.2599058507247678,-1.783039681322584,3.28271966086194e-05,0.09095302933587253
RDYY,RDDT,0.8298146666161723,-0.2,0.6638517332929379,0.025192000000000003,0.5182743928250908,0.25105223549095845,-0.08910847821575407,0.19597346234040147,108,1.7893901837960628,3.024252925812041,8.755914804176857e-05,0.148542604348132
RDYY,RDDT,0.8298146666161723,-0.1,0.7468331999545551,0.025192000000000003,0.29368994372016566,0.1858032859216193,-0.07658172347810999,0.11667612164164098,108,1.4790749160897498,2.4212933679335737,5.1120107493673324e-05,0.11350007527929522
RDYY,RDDT,0.8298146666161723,0.0,0.8298146666161723,0.025192000000000003,0.13144585709506784,0.15533706184442816,-0.06718342699861934,0.05435267504212837,108,0.872402979233764,1.4045878416172068,3.6939082352076316e-05,0.09648133888334692
RDYY,RDDT,0.8298146666161723,0.1,0.9127961332777896,0.025192000000000003,0.009888451483906602,0.154341011062624,-0.059837294412856346,0.004225996163164769,108,0.14016092027882224,0.2287993992372294,3.5473681482606136e-05,0.09454822966939543
RDYY,RDDT,0.8298146666161723,0.2,0.9957775999394067,0.025192000000000003,-0.08395585575017217,0.1708715747561756,-0.08253393905149697,-0.03688430908316953,108,-0.42865766898848534,-0.7003712369083955,4.340139561910375e-05,0.10458083809194754
SMCY,SMCI,0.7433320274923404,-0.2,0.5946656219938723,0.130638,0.10800476763072608,0.350102215853177,-0.2537685755438016,0.15543930300818065,355,0.46242957126251516,0.8346265133380166,0.0001493124499733565,0.19397612583327323
SMCY,SMCI,0.7433320274923404,-0.1,0.6689988247431063,0.130638,0.13969852619604528,0.25114665382204143,-0.16282371668393714,0.202269326048107,355,0.6435812763780039,1.178760328585115,7.461223178775869e-05,0.1371214148501801
SMCY,SMCI,0.7433320274923404,0.0,0.7433320274923404,0.130638,0.15001064223534666,0.20954126643763327,-0.12619158263288532,0.21762215033707144,355,0.770182606399336,1.4190133788909622,5.132784378999024e-05,0.11373045605763454
SMCY,SMCI,0.7433320274923404,0.1,0.8176652302415744,0.130638,0.14817606481470746,0.21622060395005666,-0.13596936107548607,0.214886674507756,355,0.7450355075989545,1.4186685706130349,5.1166493946311795e-05,0.11355155866156384
