underlying,etf,delta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl,bucket,symbol
XLF,SKF,-1.998739,0.0,0.0,0.0,0.0,0.0,-0.29182974297223674,0.0,0.0,0.0,-0.29182974297223674,bucket_4,
DIA,DXD,-2.002257,-24.50723037,0.0,0.0,0.0,0.0,-1.915,0.0,0.0,0.0,-26.42223037,bucket_4,
DIA,SDOW,-2.999394,-26.86841554,0.0,0.0,0.0,0.0,-1.2449999999999999,0.0,0.0,0.0,-28.113415540000002,bucket_4,
AAL,,,0.0,-227.236084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-227.236084,bucket_2,AAL
AAL,,,0.0,223.868408,0.0,0.0,0.0,-15.14,3.077366638806016,0.0,0.0,211.805774638806,bucket_1,AALG
AAOI,,,0.0,9485.544475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9485.544475,bucket_2,AAOI
AAOI,,,0.0,-10689.965901,0.0,0.0,0.0,-24.59,48.01443414803891,0.0,0.0,-10666.54146685196,bucket_1,AAOX
AAPL,,,0.0,-165.470957,0.0,0.0,0.0,-27.95,11.408482871086115,0.0,0.0,-182.01247412891388,bucket_1,AAPB
AAPL,,,50.63981307,722.217513,21.84,0.0,0.0,0.0,0.0,0.0,0.0,794.69732607,bucket_2,AAPL
AAPL,,,0.0,-66.596379,0.0,0.0,-22.97,-56.78,10.711399971497787,0.0,0.0,-135.63497902850222,bucket_1,AAPU
AAPL,,,-272.18401598,0.0,0.0,0.0,0.0,-13.16,0.0,0.0,0.0,-285.34401598000005,bucket_1,AAPX
ABNB,,,-319.03860425,24.429434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-294.60917025,bucket_2,ABNB
ABNB,,,0.0,-29.842382,0.0,0.0,0.0,-2.8000000000000003,3.128731794167665,0.0,0.0,-29.513650205832334,bucket_1,ABNG
ABNB,,,531.49797475,0.0,0.0,0.0,-99.24000000000001,-11.59,0.0,0.0,0.0,420.66797475000004,bucket_2,ABNY
ACHR,,,0.0,-504.425388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-504.425388,bucket_2,ACHR
ADBE,,,0.0,-395.541457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-395.541457,bucket_2,ADBE
ADBE,,,0.0,389.779247,0.0,0.0,0.0,-9.9,2.2956420633873327,0.0,0.0,382.17488906338735,bucket_1,ADBG
AFRM,,,22.39998152,-234.705548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-212.30556647999998,bucket_2,AFRM
AFRM,,,152.70154453,104.213518,0.0,0.0,0.0,-7.53,4.01058695214803,0.0,0.0,253.39564948214803,bucket_1,AFRU
AI,,,883.84601372,0.0,0.0,0.0,-176.57999999999998,-20.3,0.0,0.0,0.0,686.9660137200001,bucket_2,AIYY
ALAB,,,0.0,333.325292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.325292,bucket_2,ALAB
ALB,,,47.236354,0.0,0.0,0.0,0.0,-5.8100000000000005,0.0,0.0,0.0,41.426353999999996,bucket_1,ALBG
AMD,,,3.18639533,1893.286052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1896.47244733,bucket_2,AMD
