date,bucket,underlying,symbols,cum_pnl_usd
2026-03-02,bucket_1,SNAP,"SNAG, SNAP",-5.212207230000001
2026-03-02,bucket_1,SNOW,"SNOU, SNOW",-504.5190796921336
2026-03-02,bucket_1,SOEZ,"SOEZ, SOLT",-55.37011903683833
2026-03-02,bucket_1,SOFI,"SOFA, SOFI",-5.576601491071756
2026-03-02,bucket_1,SOXX,"SOXL, SOXX",34.587951006860465
2026-03-02,bucket_1,SPY,SPY,-151.29138663598056
2026-03-02,bucket_1,TEM,"TEM, TEMT",-132.92589346406976
2026-03-02,bucket_1,TER,"TER, TERG",-140.4243568742263
2026-03-02,bucket_1,TSLA,"TSLA, TSLI, TSLL, TSLR, TSLT",-439.3910761721209
2026-03-02,bucket_1,TSM,"TSM, TSMG, TSMU",496.9669296676156
2026-03-02,bucket_1,UBER,"UBER, UBRL",5.304427844699347
2026-03-02,bucket_1,UEC,"UEC, UECG",13.867636311182252
2026-03-02,bucket_1,UNH,"UNH, UNHG",22.499188706848827
2026-03-02,bucket_1,UPST,"UPST, UPSX",-34.68802625000001
2026-03-02,bucket_1,URA,"URA, URAA",-36.73915248940562
2026-03-02,bucket_1,VRT,"VRT, VRTL",101.36700794288072
2026-03-02,bucket_1,XBI,XBI,-28.097279547736854
2026-03-02,bucket_1,XLE,"ERX, XLE",3.239782307866406
2026-03-02,bucket_1,XLF,XLF,8.87299315455828
2026-03-02,bucket_1,XLK,XLK,63.94788707032715
2026-03-02,bucket_1,XOM,"XOM, XOMX",476.4019366587751
2026-03-02,bucket_1,XOP,"GUSH, XOP",0.5601024363155602
2026-03-02,bucket_1,XRPZ,"GXRP, UXRP, XXRP",205.97872637755336
2026-03-02,bucket_2,AAPL,APLY,-103.76495595
2026-03-02,bucket_2,ABNB,"ABNB, ABNY",118.1608875
2026-03-02,bucket_2,AI,"AI, AIYY",-79.61064127999987
2026-03-02,bucket_2,AMD,"AMD, AMDY",-1222.607371792631
2026-03-02,bucket_2,AMZN,"AMZW, AMZY",1411.58432284
2026-03-02,bucket_2,ARM,"ARM, ARMW",20.51792002000002
2026-03-02,bucket_2,BABA,BABO,143.84432341000002
2026-03-02,bucket_2,COIN,"COIN, COIW, CONY",600.7710181567763
2026-03-02,bucket_2,CVNA,"CVNA, CVNY",-141.33139911
2026-03-02,bucket_2,DKNG,DRAY,196.49474975
2026-03-02,bucket_2,GOOGL,GOOY,138.45614422000003
2026-03-02,bucket_2,HOOD,"HOOD, HOOW, HOOY",154.2729457364817
2026-03-02,bucket_2,IBIT,"IBIT, XBTY",-4264.637805161961
2026-03-02,bucket_2,MARA,"MAAY, MARA, MARO",-211.81780639127487
2026-03-02,bucket_2,META,"FBY, FBYY, META, METW",42.23095588840977
2026-03-02,bucket_2,MSFT,"MSFO, MSFT, MSFW",-1385.4487028470053
2026-03-02,bucket_2,MSTR,"MSOO, MSTR, MSTW, MSTY, MTYY",797.9613781982712
2026-03-02,bucket_2,NFLX,"NFLW, NFLX, NFLY",3117.1525814140496
2026-03-02,bucket_2,NVDA,"NVDO, NVDY",-38.23832456
2026-03-02,bucket_2,PLTR,"PLTR, PLTW",-855.1681639456606
2026-03-02,bucket_2,PYPL,"PYPL, PYPY",-110.84231611000018
2026-03-02,bucket_2,QQQ,"JEPQ, QQQX, QYLD, QYLG",311.44778075
2026-03-02,bucket_2,RBLX,RBLY,575.5320815400001
2026-03-02,bucket_2,RDDT,"RDDT, RDYY",-59.17199625000001
2026-03-02,bucket_2,SNOW,SNOY,606.9012534699999
2026-03-02,bucket_2,SPY,"JEPI, SPYI, XYLD, XYLG",-88.87323578000002
2026-03-02,bucket_2,TSLA,"TSLW, TSLY",583.6587333100001
2026-03-02,bucket_2,TSM,TSMY,-394.89204713
2026-03-02,bucket_2,XOM,XOMO,-441.54719707
2026-03-02,bucket_2,XYZ,"XYZ, XYZY",-82.13896455999998
2026-03-02,bucket_3,AZYY,AZYY,99.42178575
2026-03-02,bucket_3,DUST,DUST,16.109237308127383
2026-03-02,bucket_3,EWV,EWV,-35.37669464221124
2026-03-02,bucket_3,FAZ,FAZ,-5.113183263583149
2026-03-02,bucket_3,LABD,LABD,35.13341712532483
2026-03-02,bucket_3,NVDQ,NVDQ,-198.9749859815883
