symbol,label,pnl_a,label_b,pnl_b,pair_key,pnl_chg,day_a,day_b
RBLY,RBLX | RBLY,0.0,RBLX | RBLY,0.0,RBLY  RBLX | RBLY,0.0,2026-06-02,2026-06-03
QYLG,QQQ | QYLG,0.0,QQQ | QYLG,0.0,QYLG  QQQ | QYLG,0.0,2026-06-02,2026-06-03
QQQX,QQQ | QQQX,0.0,QQQ | QQQX,0.0,QQQX  QQQ | QQQX,0.0,2026-06-02,2026-06-03
QYLD,QQQ | QYLD,0.0,QQQ | QYLD,0.0,QYLD  QQQ | QYLD,0.0,2026-06-02,2026-06-03
NVDY,NVDA | NVDY,0.0,NVDA | NVDY,0.0,NVDY  NVDA | NVDY,0.0,2026-06-02,2026-06-03
PLTW,PLTR | PLTW,0.0,PLTR | PLTW,0.0,PLTW  PLTR | PLTW,0.0,2026-06-02,2026-06-03
NFLW,NFLX | NFLW,0.0,NFLX | NFLW,0.0,NFLW  NFLX | NFLW,0.0,2026-06-02,2026-06-03
MSTY,MSTR | MSTY,0.0,MSTR | MSTY,0.0,MSTY  MSTR | MSTY,0.0,2026-06-02,2026-06-03
NFLY,NFLX | NFLY,0.0,NFLX | NFLY,0.0,NFLY  NFLX | NFLY,0.0,2026-06-02,2026-06-03
MSTW,MSTR | MSTW,0.0,MSTR | MSTW,0.0,MSTW  MSTR | MSTW,0.0,2026-06-02,2026-06-03
ASML,ASML (spot),-15.809999999999942,ASML (spot),-76.79999999999995,ASML  ASML (spot),-60.99000000000001,2026-06-02,2026-06-03
CWY,CRWV | CWY,-219.6536982302233,CRWV | CWY,-107.76547451980481,CWY  CRWV | CWY,111.8882237104185,2026-06-02,2026-06-03
CRWV,CRWV (spot),154.36686918699604,CRWV (spot),-109.12092001336441,CRWV  CRWV (spot),-263.48778920036045,2026-06-02,2026-06-03
HIMS,HIMS (spot),849.8763891378709,HIMS (spot),-131.98856149641438,HIMS  HIMS (spot),-981.8649506342853,2026-06-02,2026-06-03
FBYY,META | FBYY,875.8572512521989,META | FBYY,-153.09250828471772,FBYY  META | FBYY,-1028.9497595369166,2026-06-02,2026-06-03
TMYY,TSM | TMYY,-29.109567863891115,TSM | TMYY,-242.47145004553255,TMYY  TSM | TMYY,-213.36188218164142,2026-06-02,2026-06-03
META,META (spot),-1538.9444399041195,META (spot),-316.72069549730213,META  META (spot),1222.2237444068173,2026-06-02,2026-06-03
HMYY,HIMS | HMYY,-135.60494481107887,HIMS | HMYY,-398.6769196588525,HMYY  HIMS | HMYY,-263.0719748477736,2026-06-02,2026-06-03
MUYY,MU | MUYY,-407.34643007838724,MU | MUYY,-474.3754602259386,MUYY  MU | MUYY,-67.02903014755134,2026-06-02,2026-06-03
HOYY,HOOD | HOYY,258.3992460195768,HOOD | HOYY,-492.2603226374679,HOYY  HOOD | HOYY,-750.6595686570447,2026-06-02,2026-06-03
MAAY,MARA | MAAY,-170.3613243766115,MARA | MAAY,-560.1857835509466,MAAY  MARA | MAAY,-389.82445917433506,2026-06-02,2026-06-03
MARA,MARA (spot),609.7890032258629,MARA (spot),-763.1663029352976,MARA  MARA (spot),-1372.9553061611605,2026-06-02,2026-06-03
RIOT,RIOT (spot),1113.6663157295475,RIOT (spot),-993.914700576827,RIOT  RIOT (spot),-2107.5810163063743,2026-06-02,2026-06-03
HOOD,HOOD (spot),-1383.8255592053183,HOOD (spot),-996.3047700734812,HOOD  HOOD (spot),387.5207891318371,2026-06-02,2026-06-03
BBYY,BABA | BBYY,-5.861821270258133,BABA | BBYY,-1079.175899465016,BBYY  BABA | BBYY,-1073.314078194758,2026-06-02,2026-06-03
RTYY,RIOT | RTYY,-750.4961483259277,RIOT | RTYY,-1412.1046272429937,RTYY  RIOT | RTYY,-661.608478917066,2026-06-02,2026-06-03
QBY,QBTS | QBY,336.18281968178474,QBTS | QBY,-1640.066984140682,QBY  QBTS | QBY,-1976.2498038224667,2026-06-02,2026-06-03
AMYY,AMD | AMYY,-165.12219675579126,AMD | AMYY,-2053.3921152374896,AMYY  AMD | AMYY,-1888.2699184816984,2026-06-02,2026-06-03
IBIT,IBIT (spot),-1170.1712428146711,IBIT (spot),-2548.9040460243996,IBIT  IBIT (spot),-1378.7328032097284,2026-06-02,2026-06-03
COIN,COIN (spot),-2193.617082653581,COIN (spot),-3038.576322416955,COIN  COIN (spot),-844.9592397633742,2026-06-02,2026-06-03
SMYY,SMCI | SMYY,-27.340966366220982,SMCI | SMYY,-3339.2712559587135,SMYY  SMCI | SMYY,-3311.9302895924925,2026-06-02,2026-06-03
IOYY,IONQ | IOYY,38.12931545464562,IONQ | IOYY,-3619.8258576939807,IOYY  IONQ | IOYY,-3657.9551731486263,2026-06-02,2026-06-03
MSTR,MSTR (spot),-3649.637356428462,MSTR (spot),-6135.05812879662,MSTR  MSTR (spot),-2485.4207723681575,2026-06-02,2026-06-03
