pair_key,bucket,d_total,d_real,d_unr,d_borrow,d_pil,day
BMNR/BMNU,bucket_1,566.9833600493293,0.0,571.75,-2.5,0.0,2026-06-03
GLXY/GLXU,bucket_1,572.8815371501155,0.0,576.2900000000001,-1.3500000000000227,0.0,2026-06-03
UEC/(spot),bucket_1,619.7500000000002,0.0,619.75,0.0,0.0,2026-06-03
CRWV/CRWU,bucket_1,624.6029166007598,0.0,630.08,-2.980000000000004,0.0,2026-06-03
RGTI/(spot),bucket_1,628.75,0.0,628.75,0.0,0.0,2026-06-03
COHR/(spot),bucket_1,639.9,0.0,639.9,0.0,0.0,2026-06-03
FLY/FLYT,bucket_1,709.4638172993261,0.0,720.8599999999999,-7.400000000000006,0.0,2026-06-03
MRVL/(spot),bucket_1,713.6000000000004,0.0,713.6,0.0,0.0,2026-06-03
LUNR/(spot),bucket_1,757.5200000000001,0.0,757.52,0.0,0.0,2026-06-03
FIG/FIGG,bucket_1,836.9440140650154,0.0,840.1400000000001,-0.7300000000000004,0.0,2026-06-03
CLS/(spot),bucket_1,871.1499999999999,0.0,871.1499999999999,0.0,0.0,2026-06-03
CRWV/CRWG,bucket_1,884.4103956511208,0.0,889.24,-1.3299999999999983,0.0,2026-06-03
CRWV/CWVX,bucket_1,902.6339195207279,0.0,908.5,-2.319999999999993,0.0,2026-06-03
ASTN/ASTS,bucket_4,935.0707125510262,0.0,965.9395891033455,-22.730000000000018,0.0,2026-06-03
BEZ/BE,bucket_4,939.644878013044,0.0,971.3576045532518,-25.239999999999952,0.0,2026-06-03
IREN/(spot),bucket_1,1024.5044265745073,0.0,1024.5044265745073,0.0,0.0,2026-06-03
CRML/CRMU,bucket_1,1065.91327688797,0.0,1085.0200000000004,-11.720000000000027,0.0,2026-06-03
IONQ/(spot),bucket_2,1161.9097363153123,-96.15173725216755,1258.0614735674844,0.0,0.0,2026-06-03
UUUU/(spot),bucket_1,1165.44,0.0,1165.44,0.0,0.0,2026-06-03
IBIT/XBTY,bucket_2,1204.3481723396885,0.0,1664.934979999999,-11.670000000000016,-497.99000000000024,2026-06-03
EOSE/(spot),bucket_1,1237.8397799999984,0.0,1237.8397800000002,0.0,0.0,2026-06-03
BABA/(spot),bucket_2,1253.1252011343754,5.1568613543598034e-08,1253.1252010828066,0.0,0.0,2026-06-03
COIN/COYY,bucket_2,1277.6044110581624,-0.010499440000103277,1326.881781,-27.21999999999997,0.0,2026-06-03
CIFR/(spot),bucket_1,1436.4000000000005,0.0,1436.4000000000005,0.0,0.0,2026-06-03
NVTS/(spot),bucket_1,1523.0,0.0,1523.0,0.0,0.0,2026-06-03
CLSK/CLSX,bucket_1,1530.4019525070344,0.0,1539.199999999999,-3.5999999999999943,0.0,2026-06-03
OKLO/(spot),bucket_1,1533.1399999999999,0.0,1533.1399999999999,0.0,0.0,2026-06-03
ALAB/(spot),bucket_1,1533.8100000000013,0.0,1533.8100000000004,0.0,0.0,2026-06-03
LITE/(spot),bucket_1,2483.0,0.0,2483.0,0.0,0.0,2026-06-03
CLSZ/CLSK,bucket_4,2520.0457782757585,0.0,2525.4593846928556,-6.01865393409264,0.0,2026-06-03
NBIZ/NBIS,bucket_4,2682.851103705985,0.0,2686.362980242676,-3.3500000000000014,0.0,2026-06-03
SMCI/(spot),bucket_2,2769.773218011207,-441.5367145819682,3211.309932593176,0.0,0.0,2026-06-03
BE/(spot),bucket_1,3036.882395446748,0.0,3036.882395446748,0.0,0.0,2026-06-03
ASTS/(spot),bucket_1,3137.2404108966543,0.0,3137.240410896654,0.0,0.0,2026-06-03
MSTR/MTYY,bucket_2,3634.081148093228,0.3341665100000455,3688.520918000002,-24.74000000000001,0.0,2026-06-03
AAOI/(spot),bucket_1,5678.000000000002,0.0,5677.999999999999,0.0,0.0,2026-06-03
