date,long_realized_pnl,long_unrealized_pnl,short_realized_pnl,short_unrealized_pnl,gross_realized_pnl,gross_unrealized_pnl,other_fees,borrow_fees,short_credit_interest,excluded_cash_interest_base,dividends,withholding_tax,pil_dividends,bond_interest,strategy_total_pnl
2026-03-13,10986.000877169985,-65305.19769400001,4255.158744700002,65347.233186000005,15241.159621869998,42.03549200000998,0.0,-2992.28,872.64,-759.1551274,147.92000000000002,0.0,-10947.66,0.0,2363.8151138700123
2026-03-14,10986.000877169994,-68734.047694,4255.158744700002,70997.35318299996,15241.159621869998,2263.3054889999985,0.0,-3115.96,872.64,-759.1551274,151.04000000000002,0.0,-11012.6,0.0,4399.585110870001
2026-03-17,9717.631345359978,-41292.836607999976,5940.646291330002,46242.95600500002,15658.277636689996,4950.119396999995,0.0,-3480.64,872.6400000000001,-759.1551274,162.38000000000002,0.0,-11033.380000000001,0.0,7129.397033689995
2026-03-18,11783.002771219997,-42380.871472,4860.852468720001,48359.432467000115,16643.85523994,5978.560995,0.0,-3662.17,872.6400000000001,-759.1551274,226.32000000000002,0.0,-12672.789999999999,0.0,7386.416234940014
2026-03-19,11023.636008249992,-59723.29820399999,4892.937004700002,62613.35850099993,15916.573012949997,2890.060296999989,0.0,-3742.2400000000002,872.6400000000001,-759.1551274,227.32000000000005,0.0,-12672.79,0.0,3491.5633099499973
2026-03-20,11291.800063319992,-72002.86038,4478.809705640002,75232.95623699996,15770.60976896,3230.0958570000075,0.0,-3957.9900000000002,872.6400000000001,-759.1551274,227.32,0.0,-12687.59,0.0,3455.085625959997
2026-03-21,11291.800063319992,-103170.47038000001,4478.402626860003,105844.48091800007,15770.202690179998,2674.010538000017,0.0,-4107.99,872.6400000000001,-759.1551274,242.25,0.0,-12761.02,0.0,2690.0932281800197
2026-03-23,11259.715525949996,-100595.798129,4510.487162840002,103269.80866700002,15770.202688789997,2674.010537999973,0.0,-4107.99,872.6400000000001,-759.1551274,242.25,0.0,-12761.02,0.0,2690.0932267899916
2026-03-24,11211.987938000002,-76274.90812900002,4517.032907840003,83156.64577300003,15729.020845840001,6881.737644000008,0.0,-4581.45,872.6400000000001,-759.1551274,242.25000000000006,0.0,-12761.020000000002,0.0,6383.178489839993
2026-03-25,12023.409058910007,-91281.42273300001,4517.032907840004,98244.28578299997,16540.441966749997,6962.863049999985,0.0,-4728.590000000001,872.6400000000001,-759.1551274,242.25000000000003,0.0,-14382.14,0.0,5507.465016749993
2026-03-26,13319.925111910004,-75508.45554099997,4517.032907840002,83641.1757729999,17836.958019749996,8132.720232000007,0.0,-4881.110000000001,872.64,-759.1551274,323.02000000000004,0.0,-14355.92,0.0,7928.308251750001
