date,total_pnl,pnl_bucket_1,pnl_bucket_2,pnl_bucket_3,pnl_bucket_4,pnl_bucket_5,pnl_stock_sleeves,net_capital_bucket_1,net_capital_bucket_2,net_capital_bucket_3,net_capital_bucket_4,net_capital_bucket_5,gross_capital_bucket_1,gross_capital_bucket_2,gross_capital_bucket_3,gross_capital_bucket_4,gross_capital_bucket_5,margin_req_bucket_1,margin_req_bucket_2,margin_req_bucket_3,margin_req_bucket_4,margin_req_bucket_5,net_capital_stock_sleeves,gross_capital_stock_sleeves,margin_req_stock_sleeves
2026-03-17,7129.397032979998,-3403.9930594460893,14522.457637340063,-4659.422428903976,670.3548839900001,0.0,11788.819461883973,295184.55414630845,155524.18028117265,0.0,-9619.199999999999,0.0,1320348.096332179,358455.94028117263,0.0,9619.199999999999,0.0,513928.6446017616,79104.07243210614,0.0,2885.7599999999998,0.0,441089.53442748106,1688423.2366133516,595918.4770338677
2026-03-18,7386.416234229998,-1332.445020382578,12511.472723720031,-4706.726334677455,914.11486557,0.0,12093.142568907453,305052.29590180813,156871.64409819196,0.0,-9705.6,0.0,1389451.9101530928,363572.76409819204,0.0,9705.6,0.0,563951.31618865,91681.54259778299,0.0,2911.68,0.0,452218.3400000001,1762730.274251285,658544.538786433
2026-03-19,3491.5633092399976,-592.640733908409,10222.58321446538,-6808.734055306973,670.3548839900001,0.0,10300.29736454697,289940.2937706879,152263.6962293124,0.0,-9484.8,0.0,1259873.7034705032,353846.91622931237,0.0,9484.8,0.0,486168.604120951,77967.85075067109,0.0,2845.4399999999996,0.0,432719.1900000003,1623205.4196998156,566981.894871622
2026-03-20,3455.085625959995,1614.5253453685043,9261.02956766872,-8334.584152647229,914.11486557,0.0,11789.669778607224,284490.08008049265,160618.5999195073,0.0,-9436.8,0.0,1328952.5026171263,366064.1696157955,0.0,9436.8,0.0,547925.5626647456,97114.50877356908,0.0,2831.0399999999995,0.0,435671.87999999995,1704453.4722329217,647871.1114383147
2026-03-23,2690.093226789999,2730.323864684541,10017.32307975265,-10971.668583217192,914.11486557,0.0,13661.76181000719,303359.45859275147,158655.16140724884,0.0,-9024.0,0.0,1257851.9533625608,357227.8454505085,0.0,9024.0,0.0,494769.1936726092,81415.92185953462,0.0,2707.2,0.0,452990.62000000034,1624103.7988130692,578892.3155321438
2026-03-24,6383.178489840002,2806.854206294527,11755.48007381387,-9093.270655838394,914.11486557,0.0,15476.449145678396,301100.7833907892,163275.83660921035,0.0,-9580.8,0.0,1297865.3516614595,363713.93660921045,0.0,9580.8,0.0,512167.96706302447,85950.39094848657,0.0,2874.24,0.0,454795.81999999954,1671160.08827067,600992.598011511
2026-03-25,5507.4650167499985,4641.826566805567,8943.875670938285,-8992.352086563853,914.11486557,0.0,14499.817103313851,303635.8829526149,159723.38704738504,0.0,-9196.8,0.0,1274527.704541101,355849.38806337083,0.0,9196.8,0.0,494962.99923938443,118983.73681395035,0.0,2759.0399999999995,0.0,454162.47,1639573.8926044719,616705.7760533348
2026-03-26,7928.308251749997,4631.728131452212,9444.826754856327,-7062.361500128542,914.11486557,0.0,14990.669751878539,301881.7524458907,162104.61755410992,0.0,-9561.6,0.0,1303656.6172450564,360455.20767690765,0.0,9561.6,0.0,516833.3105569273,120666.82867132385,0.0,2868.48,0.0,454424.7700000006,1673673.4249219643,640368.6192282512
2026-03-27,5046.01701075,6499.154112313391,7771.108029063603,-10138.359996196994,914.11486557,0.0,15184.377006946994,308315.38953436265,156225.37046563733,0.0,-8928.0,0.0,1229645.325667506,350610.554327071,0.0,8928.0,0.0,481970.4232570812,79920.91167695457,0.0,2678.4,0.0,455612.76,1589183.879994577,564569.7349340358
2026-03-31,3143.540657460002,8243.272353974577,5643.576221986963,-11657.422784071538,914.11486557,0.0,14800.96344153154,286574.9235196626,146103.4814803376,0.0,-7852.8,0.0,1173000.256798657,338197.9414803376,0.0,7852.8,0.0,460146.2811682461,76777.3879739304,0.0,2355.84,0.0,424825.60500000016,1519050.9982789946,539279.5091421765
