date,symbol,underlying,bucket,pair,type,category,amount_usd,ex_date,description
2026-03-24,PLTW,PLTR,bucket_2,PLTR | PLTW,Payment In Lieu Of Dividends,pil_dividends,-27.27,2026-03-23,PLTW(US77926X7268) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-24,TQQY,QQQ,bucket_3,QQQ | TQQY,Payment In Lieu Of Dividends,pil_dividends,-1.16,2026-03-20,TQQY(US38747R6374) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-24,TSYY,TSLA,bucket_3,TSLA | TSYY,Payment In Lieu Of Dividends,pil_dividends,-0.52,2026-03-20,TSYY(US38747R6119) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-24,XBTY,IBIT,bucket_2,IBIT | XBTY,Payment In Lieu Of Dividends,pil_dividends,-221.44,2026-03-20,XBTY(US38747R4213) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-25,XLE,XLE,bucket_1,XLE (spot),Dividends,dividends,61.63,2026-03-23,XLE(US81369Y5069) CASH DIVIDEND USD 0.385178 PER SHARE (Ordinary Dividend)
2026-03-25,XOP,XOP,bucket_1,XOP (spot),Dividends,dividends,19.14,2026-03-23,XOP(US78468R5569) CASH DIVIDEND USD 0.708778 PER SHARE (Ordinary Dividend)
2026-03-25,XOP,XOP,bucket_1,XOP (spot),Payment In Lieu Of Dividends,pil_dividends,26.22,2026-03-23,XOP(US78468R5569) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-26,META,META,bucket_2,META (spot),Dividends,dividends,12.6,2026-03-16,META(US30303M1027) CASH DIVIDEND USD 0.525 PER SHARE (Ordinary Dividend)
2026-03-26,QCOM,QCOM,bucket_1,QCOM (spot),Dividends,dividends,52.51,2026-03-05,QCOM(US7475251036) CASH DIVIDEND USD 0.89 PER SHARE (Ordinary Dividend)
2026-03-26,SOEZ,SOEZ,bucket_1,SOEZ (spot),Dividends,dividends,7.91,2026-03-23,SOEZ(US3546461019) CASH DIVIDEND USD 0.01354 PER SHARE (Ordinary Dividend)
2026-03-26,VRT,VRT,bucket_1,VRT (spot),Dividends,dividends,2.06,2026-03-17,VRT(US92537N1081) CASH DIVIDEND USD 0.0625 PER SHARE (Ordinary Dividend)
2026-03-27,BRKC,BRKC,,,Payment In Lieu Of Dividends,pil_dividends,-16.63,2026-03-26,BRKC(US88634T8320) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-27,MARO,MARA,bucket_2,MARA | MARO,Payment In Lieu Of Dividends,pil_dividends,-59.18,2026-03-26,MARO(US88636R6027) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-30,GS,GS,,,Dividends,dividends,45.0,2026-03-02,GS(US38141G1040) CASH DIVIDEND USD 4.50 PER SHARE (Ordinary Dividend)
2026-03-31,AAPU,AAPL,bucket_1,AAPL | AAPU,Payment In Lieu Of Dividends,pil_dividends,-22.97,2026-03-24,AAPU(US25461A8743) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,AMUU,AMD,bucket_1,AMD | AMUU,Payment In Lieu Of Dividends,pil_dividends,-21.85,2026-03-24,AMUU(US25461A4114) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,AMZU,AMZN,bucket_1,AMZN | AMZU,Payment In Lieu Of Dividends,pil_dividends,-25.91,2026-03-24,AMZU(US25461A8586) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,ASMU,ASML,bucket_1,ASML | ASMU,Payment In Lieu Of Dividends,pil_dividends,-9.29,2026-03-24,ASMU(US25461H6633) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,AVGO,AVGO,bucket_1,AVGO (spot),Dividends,dividends,34.45,2026-03-23,AVGO(US11135F1012) CASH DIVIDEND USD 0.65 PER SHARE (Ordinary Dividend)
2026-03-31,AVL,AVGO,bucket_1,AVGO | AVL,Payment In Lieu Of Dividends,pil_dividends,-30.49,2026-03-24,AVL(US25461A5699) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,BOEU,BA,bucket_1,BA | BOEU,Payment In Lieu Of Dividends,pil_dividends,-16.68,2026-03-24,BOEU(US25461A3389) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,BRKU,BRKU,,,Payment In Lieu Of Dividends,pil_dividends,-13.65,2026-03-24,BRKU(US25461A4528) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,CHAU,ASHR,bucket_1,ASHR | CHAU,Dividends,dividends,-0.85,2026-03-24,CHAU(US25490K8696) CASH DIVIDEND USD 0.09437 PER SHARE (Ordinary Dividend)
2026-03-31,CHAU,ASHR,bucket_1,ASHR | CHAU,Payment In Lieu Of Dividends,pil_dividends,-16.99,2026-03-24,CHAU(US25490K8696) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,CONX,COIN,bucket_1,COIN | CONX,Payment In Lieu Of Dividends,pil_dividends,-14.54,2026-03-24,CONX(US25461H8381) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,CSCL,CSCO,bucket_1,CSCO | CSCL,Payment In Lieu Of Dividends,pil_dividends,-25.45,2026-03-24,CSCL(US25461A2886) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,CWEB,KWEB,bucket_1,KWEB | CWEB,Payment In Lieu Of Dividends,pil_dividends,-29.95,2026-03-24,CWEB(US25460G1875) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,DUST,GDX,bucket_3,GDX | DUST,Payment In Lieu Of Dividends,pil_dividends,-90.65,2026-03-24,DUST(US25461A1896) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,ELIL,LLY,bucket_1,LLY | ELIL,Payment In Lieu Of Dividends,pil_dividends,-2.23,2026-03-24,ELIL(US25461A3124) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
