run_date,underlying,ratio_source,prev_qty_b1,prev_qty_b2,prev_qty_b4,curr_qty_b1,curr_qty_b2,curr_qty_b4,ibkr_qty,orphan_qty,ratio_current_b1,ratio_current_b2,ratio_current_b4,ratio_realized_b1,ratio_realized_b2,ratio_realized_b4,ratio_unrealized_b1,ratio_unrealized_b2,ratio_unrealized_b4,ratio_carry_b1,ratio_carry_b2,ratio_carry_b4,plan_b4_frac,ledger_b2_frac,pnl_split_mode,plan_b2_usd,yieldboost_b2_override
2026-03-20,ASMG,held_exposure_eod,47.0,0.0,0.0,47.0,0.0,0.0,0.0,-47.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,ASML,held_exposure,0.0,0.0,0.0,-3.5,7.5,0.0,6.0,2.0,0.49295983178808006,0.50704016821192,0.0,0.306914551740743,0.6930854482592571,0.0,0.035490114028664504,0.9645098859713355,0.0,0.035490114028664504,0.9645098859713355,0.0,0.0,0.9645098859713355,lot_timed,0.0,False
2026-03-20,ASMU,held_exposure_eod,-166.0,0.0,0.0,-166.0,0.0,0.0,-176.0,-10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,ASO,held_exposure_eod,0.0,0.0,0.0,2.0,0.0,0.0,1294.0,1292.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,ASTS,held_exposure,-7.2,105.2,0.0,-7.2,105.2,0.0,107.0,9.0,0.543738561804694,0.0,0.456261438195306,0.5012544281313921,0.4987455718686081,0.0,0.06405693950177936,0.9359430604982206,0.0,0.06405693950177936,0.9359430604982206,0.0,0.456261438195306,0.9359430604982206,inject_slice,0.0,False
2026-03-20,ASTX,held_exposure_eod,-99.0,0.0,0.0,-99.0,0.0,0.0,-107.0,-8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,AVGG,held_exposure_eod,-192.0,0.0,0.0,-192.0,0.0,0.0,-193.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,AVGO,held_exposure,16.467677920756394,39.53232207924361,0.0,16.467677920756394,39.53232207924361,0.0,53.0,-3.000000000000007,0.49907910820102047,0.5009208917989796,0.0,0.49907910820102047,0.5009208917989796,0.0,0.2940656771563641,0.7059343228436359,0.0,0.2940656771563641,0.7059343228436359,0.0,0.0,0.7059343228436359,lot_timed,0.0,True
2026-03-20,AVL,held_exposure_eod,-118.0,0.0,0.0,-118.0,0.0,0.0,-119.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,AXON,held_exposure,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7654920375390016,0.2345079624609984,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,lot_timed,0.0,False
