ETF,Underlying,sleeve,price_pnl_usd,borrow_cost_usd,short_credit_usd,margin_cost_usd,txn_cost_usd,end_etf_usd,end_underlying_usd,last_target_etf_usd,last_target_underlying_usd,Delta,pnl_usd,end_weight,long_usd,short_usd,hedge_ratio,n_rebals,rebalance_dates
MSTZ,MSTR,inverse_decay_bucket4,-810.6412818573756,624.7547725536158,105.90563227829489,0.0,80.39947623902846,-18686.86097996801,-10799.6579949263,-18047.87283602792,-11007.20892987564,-1.993907,-1409.889898371725,0.026622125360400865,-11007.20892987564,-18047.87283602792,0.6098895437639935,3,2026-04-13;2026-05-26;2026-07-08
SOXL,SOXX,core_leveraged,-1281.1219087825893,30.418049786694212,173.819581460929,3.0187544017340664,111.7435170880528,-18090.780906682936,31973.859190141822,-24541.850651194807,32867.33407237814,2.988803,-1252.4826485981414,0.0452012367385865,32867.33407237814,-24541.850651194807,1.3392361700635649,2,2026-03-02;2026-05-29
DNNG,DNN,core_leveraged,-319.9389927653615,80.45747674657262,13.20961436807989,8.064139199957221,553.3842702916525,0.0,0.0,-39390.57878318658,76552.91130576587,1.943432,-948.635264635464,0.0,76552.91130576587,-39390.57878318658,1.943432,2,2026-03-02;2026-03-06
UECG,UEC,core_leveraged,-134.01596144454652,45.038958304562165,21.97747818647919,13.42991096307701,776.6347924456677,0.0,0.0,-65588.07098671974,127191.92901328023,1.939254,-947.1421449713741,0.0,127191.92901328023,-65588.07098671974,1.9392540000000003,2,2026-03-02;2026-03-06
FLYT,FLY,core_leveraged,-622.8136528332989,58.001677450836574,7.867158789026986,0.0,42.10844004710853,-3184.6481476849094,8997.917602095122,-4317.4423868502245,10319.120748613848,1.996106,-715.056611542217,0.010999121085744658,10319.120748613848,-4317.4423868502245,2.3901003937060357,2,2026-05-29;2026-06-26
RKTL,RKT,core_leveraged,120.8356197531757,33.777288999950684,24.82114722909251,14.14549572912342,792.4834972127596,0.0,0.0,-65757.11413658569,127022.88586341433,1.931698,-694.7495149595655,0.0,127022.88586341433,-65757.11413658569,1.9316980000000004,2,2026-03-02;2026-03-06
COZX,CORZ,core_leveraged,-167.8726550506695,24.592141883566075,11.88501043064785,7.236180685851643,413.14005345437437,0.0,0.0,-32099.4053230474,65599.78919141922,2.043645,-600.9560206438138,0.0,65599.78919141922,-32099.4053230474,2.0436450000000006,2,2026-03-02;2026-03-06
RDWU,RDW,core_leveraged,71.06440757165183,124.11170845823972,12.31882596248116,7.422598177922101,443.8914975058095,0.0,0.0,-33372.63957489785,67154.72806474012,2.012269,-492.04257060783834,0.0,67154.72806474012,-33372.63957489785,2.0122690000000003,2,2026-03-02;2026-03-06
RKLZ,RKLB,inverse_decay_bucket4,-250.46949152960772,169.46197898844287,12.33423010577812,0.0,9.403644654583488,-2417.8301641293565,-1471.4130799917566,-1953.0889836341555,-1824.068944179517,-2.000298,-417.0008850668559,0.003511432505486367,-1824.068944179517,-1953.0889836341555,0.933940521637387,3,2026-05-18;2026-05-26;2026-06-23
RGTZ,RGTI,inverse_decay_bucket4,-130.50878457523905,95.33307431811112,6.162144043026733,0.0,12.358126972100687,-2911.4124715094754,-2220.4411690764377,-2006.585993246514,-2994.7588627641603,-1.989953,-232.0378418224241,0.004633332644902261,-2994.7588627641603,-2006.585993246514,1.4924647500000001,1,2026-06-24
BULG,BULL,core_leveraged,43.215849345244976,28.895520840678277,5.769820396970604,3.3081821848754824,201.8364739238205,0.0,0.0,-14789.53979034515,29313.42986697612,1.982038,-185.05450720715868,0.0,29313.42986697612,-14789.53979034515,1.982038,2,2026-03-02;2026-03-06
IOYY,IONQ,yieldboost,-53.86410191502,12.138769126942048,3.0402928211428804,0.0,87.32089122215558,-28802.774095037814,6451.767724239473,-29409.353200007023,7112.2109311237,0.241835,-150.28346944297476,0.03182982815419496,7112.2109311237,-29409.353200007023,0.24183500000000005,1,2026-07-10
AXTU,AXTI,core_leveraged,180.82380574839408,34.993322721227706,3.2747992329831233,0.0,282.5660924302163,-31024.413786155903,72652.72054872231,-40923.94295459982,82371.42591141784,2.012793,-133.46081017006682,0.0936056802642687,82371.42591141784,-40923.94295459982,2.0127930000000003,1,2026-07-10
MSDD,MSTR,inverse_decay_bucket4,90.2458910985568,148.8643215404569,42.74681256352515,0.0,76.19759382699466,0.0,0.0,0.0,0.0,-1.980986,-92.06921170536961,0.0,0.0,0.0,,4,2026-04-20;2026-05-13;2026-06-08;2026-06-23
ETHD,ETHA,inverse_decay_bucket4,32.95350502567036,17.967177876158573,2.3624195839223066,0.0,57.31234645218316,0.0,0.0,0.0,0.0,-1.981505,-39.963599718749066,0.0,0.0,0.0,,2,2026-04-20;2026-04-27
CONI,COIN,inverse_decay_bucket4,113.49629676992275,98.45189493509022,6.122692322953773,0.0,5.696130133057567,-1510.9911433033492,-1160.4291460878594,-1701.1077762797117,-1103.5226901717565,-1.924893,15.470964024728735,0.002411911894213211,-1103.5226901717565,-1701.1077762797117,0.6487082744311111,2,2026-04-20;2026-06-29
ASTX,ASTS,core_leveraged,193.10115775533293,13.695674896081387,4.714579048500943,0.0,23.76218543882632,-3177.8440091361613,7148.856771091005,-3780.327233301587,7558.238837501097,1.999361,160.35787646892618,0.009323539444063606,7558.238837501097,-3780.327233301587,1.9993610000000006,1,2026-06-26
DAMD,AMD,inverse_decay_bucket4,203.72850409114656,7.0690829167850096,1.6547891481640291,0.0,11.926764287168124,-1959.403176478766,-1596.865751265014,-2009.6443872273153,-1771.3425481230097,-2.028006,186.38744603535747,0.003210804140370138,-1771.3425481230097,-2009.6443872273153,0.8814208918658052,2,2026-06-24;2026-07-01
YINN,FXI,core_leveraged,214.5512825747963,0.0,72.1514262992826,2.9643104433465814,72.80265747885217,-6093.200850339225,23562.27284803093,-8745.716717640535,26000.237432757436,2.972911,210.93574095188018,0.026774667402831697,26000.237432757436,-8745.716717640535,2.9729109999999994,1,2026-03-02
UVIX,SVIX,inverse_decay_bucket4,294.9613238484193,48.15861431112092,23.966803319164498,0.0,15.376233429305792,-2032.5800199376988,-4941.532406489176,-2923.1540791088573,-4345.919671166437,-1.982297,255.3932794271571,0.0062966298413165344,-4345.919671166437,-2923.1540791088573,1.4867227499999998,1,2026-05-26
CBRZ,CBRS,inverse_decay_bucket4,469.6245721455276,92.79004171246189,28.423820670870764,0.0,82.49435045997595,-18924.018779497546,-19851.04900278414,-23123.538476162794,-18627.699642923857,-2.0,322.76400064396057,0.035008361490105125,-18627.699642923857,-23123.538476162794,0.8055730597687922,2,2026-07-01;2026-07-06
CRCD,CRCL,inverse_decay_bucket4,1318.610186871925,979.4521802529105,88.73180543997864,0.0,88.50998075761211,0.0,0.0,0.0,0.0,-2.014008,339.37983130138105,0.0,0.0,0.0,,3,2026-04-20;2026-05-26;2026-07-01
RCAX,RCAT,core_leveraged,745.8061453153616,243.58015847766933,40.82743459593697,0.0,70.98258903578316,-3073.629672154037,14257.22708974844,-10355.506418279394,20793.29769055844,2.007946,472.0708323978461,0.015647294335128365,20793.29769055844,-10355.506418279394,2.0079460000000005,1,2026-04-17
UXRP,XRPZ,core_leveraged,652.9200242680116,69.15720558392363,129.60276655857186,3.8534870711659104,108.60770688738525,-8005.184084805524,25104.289009482338,-16347.511322068814,32793.696222477636,2.006036,600.9043912841087,0.029893136727446153,32793.696222477636,-16347.511322068814,2.006036,1,2026-03-02
URAA,URA,core_leveraged,848.6152976096397,90.45120559327538,137.58937181602994,5.676762974250648,229.55949755171935,-6938.715609921335,21763.974558950762,-10965.425338850553,27130.139463761938,1.958729,660.5172033064242,0.025914439629413644,27130.139463761938,-10965.425338850553,2.4741529512439184,3,2026-03-02;2026-03-13;2026-05-29
BITX,IBIT,core_leveraged,1068.2493299401526,283.1261901909892,150.06625238307305,5.014139814267006,190.26821129000976,-9331.819653296185,22851.565496011397,-13512.538854289918,27010.524220193874,1.999277,739.9070410279597,0.029057011263229356,27010.524220193874,-13512.538854289918,1.9989229641784645,3,2026-03-02;2026-03-13;2026-05-29
MRNX,MRNA,core_leveraged,1448.613603454327,55.913091400422346,19.187349785216014,10.980391722600734,567.5346325346318,0.0,0.0,-45182.33746725981,92322.2448876261,2.043326,833.372837581888,0.0,92322.2448876261,-45182.33746725981,2.043326,2,2026-03-02;2026-03-06
FGRU,FIGR,core_leveraged,2697.2283911357836,895.252956250495,116.38052003682623,15.227045898149385,965.8585851818234,-10278.991720916934,30363.86685799903,-18754.089226726464,37439.23842145547,1.996324,937.270323842142,0.03669471045443481,37439.23842145547,-18754.089226726464,1.9963239999999993,3,2026-03-02;2026-03-06;2026-04-17
SMZ,SMR,inverse_decay_bucket4,1359.6812503611634,336.3231193111613,22.316759324316564,0.0,68.4767818757267,-6866.686680172376,-3297.0139900398613,-4916.124030316344,-4007.7472110609974,-2.004628,977.198108498592,0.009176373569167649,-4007.7472110609974,-4916.124030316344,0.8152249996839697,3,2026-04-06;2026-06-02;2026-07-01
XBTY,IBIT,yieldboost,1633.8726065446237,274.68057984291414,164.32769629528286,0.0,438.94843454571037,-70146.55904302753,35270.490334789356,-69151.88742163722,33961.75599753842,0.493653,1084.5712884512823,0.09517657564289915,33961.75599753842,-69151.88742163722,0.4911182798303779,2,2026-06-12;2026-06-26
ETHU,ETHA,core_leveraged,1352.525829317512,107.31379932121921,177.18400411546784,7.647389872291,320.132291166997,-10729.237104322028,28120.910014661105,-19205.926848676372,36785.38767265949,2.001235,1094.6163530724727,0.03507614743375427,36785.38767265949,-19205.926848676372,1.9153143694908248,4,2026-03-02;2026-03-13;2026-03-27;2026-04-10
ETU,ETHA,core_leveraged,1375.7679354778331,198.92584062650874,130.27296668140056,3.368675530383385,100.647956123912,-9236.353226568932,24779.090432156216,-14318.791415487849,28485.76068559728,1.989397,1203.0984298784294,0.03071109906338069,28485.76068559728,-14318.791415487849,1.989397,1,2026-03-02
APLZ,APLD,inverse_decay_bucket4,1499.4860044777665,97.53485561481524,14.84108089439208,0.0,40.15942780347028,0.0,0.0,0.0,0.0,-1.987204,1376.632801953873,0.0,0.0,0.0,,2,2026-04-27;2026-05-18
XRPK,XRPZ,core_leveraged,2111.672607070419,553.9619277485892,72.53237550509202,3.447165670303623,205.37817707411546,0.0,0.0,0.0,0.0,1.987003,1421.4177120825027,0.0,0.0,0.0,,2,2026-03-02;2026-05-11
CORD,CRWV,inverse_decay_bucket4,2130.5410499704763,629.6881246884843,89.05606804261726,0.0,139.9494562371553,-11184.143778639425,-5743.897237359687,-6854.5422952591925,-8223.197986966452,-2.013856,1449.9595370874538,0.01528360911023921,-8223.197986966452,-6854.5422952591925,1.1996713467876423,4,2026-04-06;2026-04-13;2026-04-27;2026-06-02
BEZ,BE,inverse_decay_bucket4,1964.2428122802266,178.83354829300524,44.22192961323357,0.0,135.82036089350115,0.0,0.0,0.0,0.0,-1.982162,1693.810832706954,0.0,0.0,0.0,,4,2026-04-06;2026-04-13;2026-04-20;2026-06-02
EOSU,EOSE,core_leveraged,3712.357734314215,1598.4461228249593,242.39162146594862,0.0,554.9199772613646,-7359.175741407557,26591.70015273329,-31678.571272357294,51532.88398097546,1.987233,1801.3832556938396,0.03065280357165216,51532.88398097546,-31678.571272357294,1.6267426816039214,6,2026-03-27;2026-04-10;2026-04-17;2026-04-24;2026-05-22;2026-05-29
ASTN,ASTS,inverse_decay_bucket4,2433.28123911264,611.8764554070236,50.20247459930884,0.0,33.02187953591822,-6475.988073150368,-5622.265137302193,-7440.051129278103,-6062.362605751787,-1.993024,1838.5853787690069,0.010922998875681789,-6062.362605751787,-7440.051129278103,0.8148280838951719,3,2026-04-27;2026-05-27;2026-06-23
QBTZ,QBTS,inverse_decay_bucket4,2532.2405718445216,463.8592306455259,26.725434008221843,0.0,46.39790239088026,-9574.503994133756,-5577.2016281936085,-6524.973365441199,-7170.260818753458,-1.996596,2048.7088728163376,0.01367983134411123,-7170.260818753458,-6524.973365441199,1.0988950325421942,4,2026-04-27;2026-05-26;2026-06-10;2026-06-30
SNDQ,SNDK,inverse_decay_bucket4,2446.6737446064135,151.56765390216913,22.52436011166806,0.0,39.94537609732208,-7232.8056146634335,-6053.6326869782,-7305.3755012238325,-6308.439803645966,-2.019976,2277.6850747185904,0.011995760719015255,-6308.439803645966,-7305.3755012238325,0.8635339555905299,2,2026-06-16;2026-07-06
LUNL,LUNR,core_leveraged,3653.621862407332,1058.8283636045305,159.59928723673931,0.0,296.7975062932522,0.0,0.0,-38567.30536098852,55704.06150747597,1.990489,2457.5952797462887,0.0,55704.06150747597,-38567.30536098852,1.444333768877241,3,2026-04-10;2026-05-22;2026-06-26
BMNU,BMNR,core_leveraged,4696.6618750852895,1139.5104037079693,90.42762067158314,13.486491675123037,956.2300837383166,0.0,0.0,-60331.80943077036,117162.08130579765,1.941962,2677.862516635464,0.0,117162.08130579765,-60331.80943077036,1.9419619999999997,2,2026-03-02;2026-03-20
SMUP,SMR,core_leveraged,5812.206896818759,2149.6910219021847,273.5827219714761,14.27732097785236,946.2320935643005,0.0,0.0,-28035.73117554078,63473.67595993228,1.982046,2975.589182345897,0.0,63473.67595993228,-28035.73117554078,2.2640278422739564,7,2026-03-02;2026-03-13;2026-03-27;2026-04-10;2026-04-17;2026-04-24;2026-06-05
NBIZ,NBIS,inverse_decay_bucket4,3740.9996619845288,160.36888655287984,16.586334773993055,0.0,30.591199740307022,-2775.819992352873,-8220.75391792769,-4379.1919490477385,-8137.183499297309,-2.035333,3566.6259104653354,0.009928339436189825,-8137.183499297309,-4379.1919490477385,1.8581472550128229,2,2026-04-27;2026-05-27
CLSZ,CLSK,inverse_decay_bucket4,4111.196900271904,234.8668866298155,95.61537501701558,0.0,108.5916111226119,0.0,0.0,0.0,0.0,-2.013434,3863.3537775364925,0.0,0.0,0.0,,4,2026-04-13;2026-05-19;2026-06-11;2026-06-18
VRTL,VRT,core_leveraged,4174.330524543062,150.6022312029884,183.1574318763493,3.365795220289839,91.99871706600834,-17110.137609378464,36148.40984886275,-15114.556170809454,29978.497885750712,1.983419,4111.5212129301235,0.04808488001426552,29978.497885750712,-15114.556170809454,1.9834189999999998,1,2026-03-02
SMYY,SMCI,yieldboost,8125.587603318376,2331.992207236866,471.43617814130874,0.0,675.136591196637,-136292.1359316008,35121.7306099481,-137189.45216875616,35947.07810179652,0.206559,5589.894983026182,0.1547622982375625,35947.07810179652,-137189.45216875616,0.2620250867215227,4,2026-05-08;2026-05-15;2026-05-22;2026-07-10
QBTX,QBTS,core_leveraged,8224.538744138405,1249.6912789830687,196.19855956412795,0.0,285.64095801211295,-9945.538795399732,28915.818063110124,-29434.326361427207,46705.39903001086,1.977613,6885.405066707352,0.03508626823137002,46705.39903001086,-29434.326361427207,1.5867663644314576,3,2026-03-13;2026-05-22;2026-05-29
MTYY,MSTR,yieldboost,10778.390763979882,626.6243187648224,532.748659413499,0.0,586.4599128623629,-90015.0276534423,22688.197031529828,-90901.28264180233,23313.908673077174,0.305792,10098.055191766196,0.10175495380242686,23313.908673077174,-90901.28264180233,0.256475024284816,4,2026-05-01;2026-05-08;2026-05-15;2026-07-10
HOYY,HOOD,yieldboost,11982.696485328715,1389.4935130886292,215.60434110608045,0.0,380.76343595021973,-66184.60274063147,33252.74333896501,-66480.070849301,33891.40443810275,0.332275,10428.043877395947,0.08977775555977006,33891.40443810275,-66480.070849301,0.5097979590745141,3,2026-06-05;2026-06-12;2026-07-10
COYY,COIN,yieldboost,17537.71745841786,3180.9051507132885,709.4255228512025,0.0,937.0686676178746,-188344.53301062682,71665.17277171591,-189379.09857175103,72439.34619937725,0.368813,14129.169162937902,0.23475171783254845,72439.34619937725,-189379.09857175103,0.38250972121895377,4,2026-05-15;2026-06-05;2026-06-12;2026-07-10
HMYY,HIMS,yieldboost,17300.53289779527,1106.9270086450053,747.3541355690757,0.0,572.2677723591739,-136822.8257413662,33428.112495150825,-141029.30187999026,33000.29252271021,0.233996,16368.692252360168,0.15371233967351236,33000.29252271021,-141029.30187999026,0.23399600000000007,4,2026-04-24;2026-05-01;2026-05-15;2026-06-26
