symbol,borrow_fee_annual,net_sale_rebate_annual,shares_available,net_financing_annual,source_endpoint,borrow_fee_annual_final,shares_available_final,borrow_source
TSYY,,,,,,,,studio_missing
TTDU,,,,,,,,studio_missing
TTXD,,,,,,,,studio_missing
TWM,,,,,,,,studio_missing
TXNU,,,,,,,,studio_missing
TZA,,,,,,,,studio_missing
UBEW,,,,,,,,studio_missing
UBRL,,,,,,,,studio_missing
UECG,,,,,,,,studio_missing
UNHG,,,,,,,,studio_missing
UNHU,,,,,,,,studio_missing
UNHW,,,,,,,,studio_missing
UNX,,,,,,,,studio_missing
UPSG,,,,,,,,studio_missing
UPSX,,,,,,,,studio_missing
URAA,,,,,,,,studio_missing
USGG,,,,,,,,studio_missing
UUUG,,,,,,,,studio_missing
UXRP,,,,,,,,studio_missing
VALG,,,,,,,,studio_missing
VOYX,,,,,,,,studio_missing
VRTL,,,,,,,,studio_missing
WDCX,,,,,,,,studio_missing
WEBS,,,,,,,,studio_missing
WULX,,,,,,,,studio_missing
XBTY,,,,,,,,studio_missing
XOMO,,,,,,,,studio_missing
XOMX,,,,,,,,studio_missing
XPEG,,,,,,,,studio_missing
XRPK,,,,,,,,studio_missing
XRPT,,,,,,,,studio_missing
XXRP,,,,,,,,studio_missing
XYLD,,,,,,,,studio_missing
XYLG,,,,,,,,studio_missing
XYZG,,,,,,,,studio_missing
XYZY,,,,,,,,studio_missing
YINN,,,,,,,,studio_missing
YSPY,,,,,,,,studio_missing
ZETX,,,,,,,,studio_missing
ZSL,,,,,,,,studio_missing
