bucket,etf,underlying,w_book,frac_sleeve
core_leveraged,ANEL,ANET,0.0008298755268355195,0.0012294452249415103
core_leveraged,COZX,CORZ,0.0008298755268331795,0.0012294452249380437
inverse_decay_bucket4,ASTN,ASTS,0.0008298755268251105,0.006639004214600884
core_leveraged,GLGG,GLXY,0.000829875526727291,0.0012294452247811718
core_leveraged,TSLG,TSLA,0.0008298755266440594,0.0012294452246578657
core_leveraged,AVL,AVGO,0.0008298755266248434,0.0012294452246293976
core_leveraged,CONX,COIN,0.0008298755265557163,0.001229445224526987
core_leveraged,NFLU,NFLX,0.000829875526489659,0.0012294452244291244
core_leveraged,CRWU,CRWV,0.0008298755264524968,0.0012294452243740693
core_leveraged,UPSX,UPST,0.0008298755264439516,0.0012294452243614097
core_leveraged,RDTL,RDDT,0.0008298755264413511,0.001229445224357557
core_leveraged,HOOG,HOOD,0.0008298755263414794,0.001229445224209599
core_leveraged,NFXL,NFLX,0.0008298755262781784,0.0012294452241158197
core_leveraged,IONX,IONQ,0.0008298755262456347,0.001229445224067607
core_leveraged,UNHG,UNH,0.0008298755261378219,0.0012294452239078842
core_leveraged,IRE,IREN,0.0008298755260985271,0.0012294452238496697
core_leveraged,NVOX,NVO,0.0008298755260549758,0.0012294452237851493
core_leveraged,MSTU,MSTR,0.0008298755260496078,0.0012294452237771967
core_leveraged,JOBX,JOBY,0.0008298755259638748,0.0012294452236501848
core_leveraged,AVGX,AVGO,0.000829875525934814,0.0012294452236071317
core_leveraged,PTIR,PLTR,0.0008298755259334823,0.001229445223605159
core_leveraged,KLAG,KLAC,0.0008298755259136975,0.001229445223575848
core_leveraged,CNCG,CNC,0.0008298755258843562,0.0012294452235323795
core_leveraged,TEMT,TEM,0.0008298755258036065,0.0012294452234127503
core_leveraged,GUSH,XOP,0.0008298755257782075,0.0012294452233751222
core_leveraged,BEG,BE,0.0008298755257109755,0.0012294452232755192
core_leveraged,CEGX,CEG,0.0008298755257102106,0.001229445223274386
core_leveraged,HODU,HOOD,0.0008298755255332114,0.001229445223012165
core_leveraged,BU,B,0.00082987552548889,0.0012294452229465037
core_leveraged,NIOG,NIO,0.0008298755254843463,0.0012294452229397723
core_leveraged,XPEG,XPEV,0.0008298755254824125,0.0012294452229369072
core_leveraged,RGTU,RGTI,0.000829875525431453,0.0012294452228614119
core_leveraged,CRMG,CRM,0.0008298755253911482,0.001229445222801701
core_leveraged,TTDU,TTD,0.0008298755253634263,0.0012294452227606314
core_leveraged,TERG,TER,0.0008298755252458798,0.0012294452225864885
core_leveraged,PLTU,PLTR,0.0008298755252309254,0.0012294452225643337
core_leveraged,PYPG,PYPL,0.000829875525110247,0.0012294452223855512
core_leveraged,NEMG,NEM,0.0008298755250972096,0.0012294452223662363
core_leveraged,IONL,IONQ,0.000829875525056397,0.0012294452223057732
core_leveraged,QCMU,QCOM,0.0008298755250447998,0.0012294452222885923
core_leveraged,DKNX,DKNG,0.0008298755249874162,0.0012294452222035793
core_leveraged,AVGU,AVGO,0.0008298755249521835,0.0012294452221513828
core_leveraged,PLTA,PLTR,0.0008298755248691397,0.001229445222028355
core_leveraged,CVNX,CVNA,0.0008298755247500228,0.0012294452218518856
core_leveraged,AFRU,AFRM,0.0008298755246085556,0.0012294452216423046
