ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve
ROBN,HOOD,2.011989,304,ols,0.095732,100000,0.095732,False,False,28.86000061035156,0.095732,1.0,False,True,False,False,False,False,False,False,False,1.334727,0.740816,0.664169,0.449085,0.740816,0.645084,0.645084,0.50299725,0.6035966999999999,0.50299725,0.6035966999999999,bucket_1,,False,0.095732,ETF_LS,5094.251560894398,-2531.9480180529804,5094.251560894398,-2531.9480180529804,12960.720902946134,0.0,-0.0,12960.720902946134,core_leveraged
DJTU,DJT,2.003943,283,ols,0.310149,150000,0.3282000024840945,False,False,1.8899999856948853,0.310149,1.0582010662104169,False,True,False,False,False,False,False,False,False,1.376632,0.818731,0.68711,0.474916,0.818731,0.4905309975159054,0.4905309975159054,0.50098575,0.6011829,0.50098575,0.6011829,bucket_1,,False,0.3282000024840945,ETF_LS,570.7165232306226,-284.7967847541684,570.7165232306226,-284.7967847541684,570.7165232306226,0.0,-0.0,570.7165232306226,core_leveraged
RBLU,RBLX,2.019064,283,ols,0.096949,20000,0.096949,False,False,13.859999656677246,0.096949,1.0,False,True,False,False,False,False,False,False,False,1.094934,0.493724,0.542554,0.302836,0.493724,0.396775,0.396775,0.504766,0.6057192,0.504766,0.6057192,bucket_1,,False,0.096949,ETF_LS,2593.713165457475,-1284.6116643442083,2593.713165457475,-1284.6116643442083,2593.713165457475,0.0,-0.0,2593.713165457475,core_leveraged
SNOU,SNOW,2.002542,247,ols,0.009221,2000,0.009221,False,False,16.850000381469727,0.009221,1.0,False,True,False,False,False,False,False,False,False,1.044577,0.375201,0.524071,0.275699,0.373227,0.36598,0.364006,0.5006355,0.6007626,0.5006355,0.6007626,bucket_1,,False,0.009221,ETF_LS,4018.7127179799895,-2006.8057089339397,4018.7127179799895,-2006.8057089339397,4018.7127179799895,0.0,-0.0,4018.7127179799895,core_leveraged
SMUP,SMR,1.980477,183,ols,0.174819,10000,0.174819,False,False,13.640000343322754,0.174819,1.0,False,True,False,False,False,False,False,False,False,2.013045,1.209589,1.046711,1.063728,1.169651,1.03477,0.994832,0.49511925,0.5941431,0.5,0.5941431,bucket_1,,False,0.174819,ETF_LS,7018.2222161455675,-3543.7029645613497,7018.2222161455675,-3543.7029645613497,14814.2243672275,-160066.00282440166,14814.2243672275,-145251.77845717416,core_leveraged
GLXU,GLXY,2.009913,174,ols,0.104031,35000,0.104031,False,False,10.380000114440918,0.104031,1.0,False,True,False,False,False,False,False,False,False,1.827187,1.025181,0.891034,0.805786,0.957273,0.92115,0.8532420000000001,0.50247825,0.6029739,0.50247825,0.6029739,bucket_1,,False,0.104031,ETF_LS,7005.101017757489,-3485.275739675045,7005.101017757489,-3485.275739675045,7005.101017757489,0.0,-0.0,7005.101017757489,core_leveraged
AFRU,AFRM,1.959337,148,ols,0.176019,800,0.176019,False,False,9.899999618530272,0.176019,1.0,False,True,False,False,False,False,False,True,False,1.240102,0.604742,0.645752,0.391906,0.516905,0.4287229999999999,0.3408859999999999,0.48983425,0.5878011,0.5,0.5878011,bucket_1,,False,0.176019,ETF_LS,566.4237896282161,-289.08951835657473,566.4237896282161,-289.08951835657473,566.4237896282161,0.0,-0.0,566.4237896282161,core_leveraged
KTUP,KTOS,2.030796,148,ols,0.22686,10000,0.22686,False,False,14.630000114440918,0.22686,1.0,False,True,False,False,False,False,False,False,False,1.552529,0.782717,0.675637,0.477789,0.656874,0.555857,0.4300139999999999,0.507699,0.6092388,0.507699,0.6092388,bucket_1,,False,0.22686,ETF_LS,573.2398365981351,-282.2734713866558,573.2398365981351,-282.2734713866558,573.2398365981351,0.0,-0.0,573.2398365981351,core_leveraged
TTDU,TTD,1.998665,147,ols,0.134332,20000,0.134332,False,False,5.329999923706055,0.134332,1.0,False,True,False,False,False,False,False,False,False,1.041519,0.508748,0.660436,0.435303,0.478146,0.3744159999999999,0.343814,0.49966625,0.5995995,0.5,0.5995995,bucket_1,,False,0.134332,ETF_LS,1320.3241769195936,-660.6030409896574,1320.3241769195936,-660.6030409896574,1320.3241769195936,0.0,-0.0,1320.3241769195936,core_leveraged
BMNU,BMNR,1.950248,140,ols,0.276736,60000,0.276736,False,False,2.2249999046325684,0.276736,1.0,False,True,False,False,False,False,False,False,False,1.998174,1.529679,1.031018,0.984984,1.287592,1.252943,1.010856,0.487562,0.5850744,0.5,0.5850744,bucket_1,,False,0.276736,ETF_LS,5149.280416243026,-2640.3208290653424,5149.280416243026,-2640.3208290653424,10273.54396314712,-37792.400649719246,10273.54396314712,-27518.856686572126,core_leveraged
