run_date,underlying,qty_b1,qty_b2,qty_b4,cost_b1_base,cost_b2_base,cost_b4_base
2026-05-18,IBM,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,IBX,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,INTC,12.542574183692269,26.457425816307733,0.0,1364.255793960208,2877.774206039792,0.0
2026-05-18,INTW,-55.0,0.0,0.0,-14908.3,0.0,0.0
2026-05-18,INV,-1000.0,0.0,0.0,-6720.0,0.0,0.0
2026-05-18,IONL,-241.0,0.0,0.0,-7160.110000000001,0.0,0.0
2026-05-18,IONQ,0.0,750.0,0.0,0.0,38962.5,0.0
2026-05-18,IONX,0.0,-70.0,0.0,0.0,-3959.2000000000003,0.0
2026-05-18,IOYY,0.0,-4999.0,0.0,0.0,-45965.805,0.0
2026-05-18,IRE,0.0,-241.0,0.0,0.0,-6441.93,0.0
2026-05-18,IREG,-347.0,0.0,0.0,-6974.700000000001,0.0,0.0
2026-05-18,IREN,105.45600004438528,392.5439999556147,0.0,5582.840642349756,20781.27935765024,0.0
2026-05-18,IREX,0.0,-180.0,0.0,0.0,-6503.400000000001,0.0
2026-05-18,IREZ,0.0,0.0,-1086.0,0.0,0.0,-9393.9
2026-05-18,ISRG,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,ISUL,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,IWM,0.0,3.0,0.0,0.0,832.8000000000001,0.0
2026-05-18,JEPI,0.0,9.0,0.0,0.0,0.0,0.0
2026-05-18,JEPQ,0.0,9.0,0.0,0.0,0.0,0.0
2026-05-18,JILL,-6800.0,0.0,0.0,-0.0,0.0,0.0
2026-05-18,JNUG,-5.0,0.0,0.0,-901.5,0.0,0.0
2026-05-18,JOBX,-30.0,0.0,0.0,-799.5,0.0,0.0
2026-05-18,JOBY,0.0,141.0,0.0,0.0,1460.76,0.0
2026-05-18,JPM,72.0,0.0,0.0,21442.32,0.0,0.0
2026-05-18,KEEL,0.0,4528.0,0.0,0.0,19877.92,0.0
2026-05-18,KEEX,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,KLAC,0.396375587952583,0.6036244120474179,0.0,715.1884008546045,1089.131599145397,0.0
2026-05-18,KLAG,-206.0,0.0,0.0,-6156.2894,0.0,0.0
2026-05-18,KORU,-2.0,0.0,0.0,-1502.68,0.0,0.0
2026-05-18,KTOS,0.0,27.0,0.0,0.0,1406.43,0.0
2026-05-18,KTUP,-59.0,0.0,0.0,-458.42999999999995,0.0,0.0
2026-05-18,KWEB,12.050902872940329,11.94909712705968,0.0,339.47393393072906,336.6060660692712,0.0
2026-05-18,LABD,0.0,0.0,-207.0,0.0,0.0,-3063.6000000000004
2026-05-18,LABU,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,LABX,-713.6667,0.0,0.0,-43176.83535,0.0,0.0
2026-05-18,LAC,0.0,645.0,0.0,0.0,3231.45,0.0
2026-05-18,LACG,-368.0,0.0,0.0,-3850.4944,0.0,0.0
2026-05-18,LBRDK,-2272.0,0.0,0.0,-74430.72,0.0,0.0
2026-05-18,LBRDP,-1245.0,0.0,0.0,-0.0,0.0,0.0
2026-05-18,LCDL,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,LCID,0.0,103.0,0.0,0.0,622.12,0.0
2026-05-18,LEU,0.0,9.0,0.0,0.0,1643.3999999999999,0.0
2026-05-18,LEUX,-246.0,0.0,0.0,-3981.5099999999998,0.0,0.0
2026-05-18,LITE,0.0,10.0,0.0,0.0,9707.0,0.0
2026-05-18,LITX,-137.0,0.0,0.0,-6760.95,0.0,0.0
2026-05-18,LLY,-1.4964609312129515,0.4964609312129512,0.0,-1503.8235189945192,498.9035189945189,0.0
2026-05-18,LMND,0.0,55.0,0.0,0.0,2824.25,0.0
2026-05-18,LMNX,-112.0,0.0,0.0,-1232.7728,0.0,0.0
2026-05-18,LMT,-1.0,0.0,0.0,-0.0,0.0,0.0
2026-05-18,LMTL,11.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,LNOK,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,LRCU,-10.0,0.0,0.0,-527.7,0.0,0.0
2026-05-18,LRCX,0.0,8.0,0.0,0.0,2277.76,0.0
2026-05-18,LUNL,-251.0,0.0,0.0,-8047.06,0.0,0.0
2026-05-18,LUNR,0.0,513.0,0.0,0.0,17385.57,0.0
2026-05-18,MAAY,0.0,-7695.0,0.0,0.0,-53768.8125,0.0
2026-05-18,MARA,0.0,8.0,0.0,0.0,99.52,0.0
2026-05-18,MARO,0.0,70.0,0.0,0.0,0.0,0.0
2026-05-18,MCHB,186.0,0.0,0.0,2678.4,0.0,0.0
2026-05-18,MCO,1.0,0.0,0.0,428.9,0.0,0.0
2026-05-18,MDB,23.0,0.0,0.0,7179.68,0.0,0.0
2026-05-18,MDBX,-145.0,0.0,0.0,-0.0,0.0,0.0
