underlying,etf,beta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl,bucket,symbol
AMZN,,,708.26038009,0.0,0.0,0.0,-96.86,-8.2,0.0,0.0,0.0,603.20038009,bucket_2,AMZY
AMZN,,,-25.55673062,-2677.101855,0.0,0.0,0.0,-73.66,54.75748250183703,0.0,0.0,-2721.561103118163,bucket_1,AMZZ
ANET,,,0.0,588.272315,0.0,0.0,0.0,-7.19,3.933908944420144,0.0,0.0,585.0162239444202,bucket_1,ANEL
APH,,,0.0,236.644348,0.0,0.0,0.0,-32.47,4.062889565548673,0.0,0.0,208.2372375655487,bucket_1,APHU
AAPL,,,37.66504405,0.0,0.0,0.0,-116.11,-25.32,0.0,0.0,0.0,-103.76495595,bucket_2,APLY
APP,,,-362.91065095,1024.665052,0.0,0.0,0.0,-30.830000000000002,12.26440347161636,0.0,0.0,643.1888045216164,bucket_1,APPX
ACHR,,,-112.28705202,177.874226,0.0,0.0,0.0,-31.38,10.446603512557486,0.0,0.0,44.65377749255748,bucket_1,ARCX
ARM,,,-195.87077272,-502.557416,0.0,0.0,0.0,-26.34,5.19659615331431,0.0,0.0,-719.5715925666857,bucket_1,ARMG
ARM,,,-237.86817473,0.0,0.0,0.0,-140.34,-15.81,0.0,0.0,0.0,-394.01817473,bucket_2,ARMW
ASML,,,-475.27748736,0.0,0.0,0.0,0.0,-4.93,0.0,0.0,0.0,-480.20748736,bucket_1,ASMG
ASML,,,-9.1e-07,-258.280409,0.0,0.0,-9.29,-97.49,19.952599309558106,0.0,0.0,-345.10781060044195,bucket_1,ASMU
ASTS,,,44.10290575,3284.88705,0.0,0.0,0.0,-106.46,39.759020581837206,0.0,0.0,3262.288976331837,bucket_1,ASTX
AVGO,,,-2766.00762588,-315.376705,0.0,0.0,0.0,-39.07,3.6541202124336416,0.0,0.0,-3116.8002106675667,bucket_1,AVGG
AVGO,,,-2419.1884019,-183.145247,0.0,0.0,-30.49,-69.02,2.723227383404083,0.0,0.0,-2699.1204215165953,bucket_1,AVL
AVAV,,,0.0,737.287711,0.0,0.0,0.0,-13.29,5.995779924999158,0.0,0.0,729.9934909249992,bucket_1,AVXX
BABA,,,306.03432341,0.0,0.0,0.0,-151.56,-10.63,0.0,0.0,0.0,143.84432341000002,bucket_2,BABO
BABA,,,267.56998575,0.0,0.0,0.0,0.0,-5.63,0.0,0.0,0.0,261.93998575,bucket_1,BABU
BABA,,,1314.43534722,736.101714,0.0,0.0,0.0,-19.44,3.6219990769795176,0.0,0.0,2034.7190602969795,bucket_1,BABX
BBAI,,,-673.1528816,-582.878393,0.0,0.0,0.0,-123.48,14.188281723564918,0.0,0.0,-1365.3229928764351,bucket_1,BAIG
BABA,,,0.0,185.031282,0.0,0.0,0.0,0.0,14.75215854157554,0.0,0.0,199.78344054157554,bucket_2,BBYY
BE,,,0.0,987.738898,0.0,0.0,0.0,0.0,20.758562831840738,0.0,0.0,1008.4974608318407,bucket_1,BEG
BE,,,0.0,-3750.247343,0.0,0.0,0.0,-68.52,46.52008552553231,0.0,0.0,-3772.2472574744675,bucket_1,BEX
BIDU,,,-62.95433125,0.0,0.0,0.0,0.0,-28.76,0.0,0.0,0.0,-91.71433125,bucket_1,BIDG
IBIT,,,-20.90621689,358.002244,-0.19,0.0,-22.34,-71.27,1.964598095477916,0.0,0.0,245.260625205478,bucket_1,BITU
IBIT,,,-273.86980463,466.496391,0.0,0.0,-16.07,-63.75,3.308518291717455,0.0,0.0,116.11510466171751,bucket_1,BITX
BLSH,,,172.07831225,929.090212,0.0,0.0,0.0,-20.77,11.178816577117907,0.0,0.0,1091.577340827118,bucket_1,BLSG
BMNR,,,-18.74156018,772.753156,0.0,0.0,0.0,-217.38,12.530467342636621,0.0,0.0,549.1620631626366,bucket_1,BMNG
BMNR,,,-9e-08,469.700715,0.0,0.0,0.0,-65.66,16.325639439458257,0.0,0.0,420.3663543494583,bucket_1,BMNU
BA,,,807.27888166,136.438612,0.0,0.0,0.0,-81.4,1.366822524478386,0.0,0.0,863.6843161844785,bucket_1,BOEG
BA,,,942.89318491,149.438272,0.0,0.0,-16.68,-57.019999999999996,1.5053940123062162,0.0,0.0,1020.1368509223062,bucket_1,BOEU
IBIT,,,-216.89492874,433.561661,0.0,0.0,0.0,-59.12,2.9144659581927295,0.0,0.0,160.46119821819272,bucket_1,BTCL
B,,,0.0,20.0524,0.0,0.0,0.0,-3.31,2.097630030988047,0.0,0.0,18.840030030988046,bucket_1,BU
BULL,,,-187.5993852,-89.368408,0.0,0.0,0.0,-43.52,2.4157408898290833,0.0,0.0,-318.07205231017093,bucket_1,BULG
BULL,,,0.0,-9.47897,0.0,0.0,0.0,0.0,1.4958031456069152,0.0,0.0,-7.983166854393085,bucket_1,BULX
CRCL,,,-193.14320405,-603.066977,0.0,0.0,0.0,-60.85,14.341239511441698,0.0,0.0,-842.7189415385583,bucket_1,CCUP
CEG,,,704.41800525,665.167538,0.0,0.0,0.0,-131.97,4.224942140812723,0.0,0.0,1241.8404853908128,bucket_1,CEGX
ASHR,,,-157.98968233,0.0,-0.85,0.0,-16.99,-18.54,0.0,0.0,0.0,-194.36968233,bucket_1,CHAU
CHNL,,,-100.31749225,0.0,0.0,0.0,-0.23,-4.97,0.0,0.0,0.0,-105.51749225,bucket_1,CHNU
CIFR,,,0.0,-1520.843349,0.0,0.0,0.0,-166.45,22.349158465988584,0.0,0.0,-1664.9441905340113,bucket_1,CIFG
CIFR,,,0.0,466.994806,0.0,0.0,0.0,0.0,12.215746359094476,0.0,0.0,479.21055235909444,bucket_1,CIFU
CLSK,,,0.0,-1835.875392,0.0,0.0,0.0,-81.67,30.060173952283836,0.0,0.0,-1887.4852180477162,bucket_1,CLSX
CMG,,,1461.25021477,116.021356,0.0,0.0,0.0,-55.03,1.3576450572057792,0.0,0.0,1523.5992158272056,bucket_1,CMGG
CNC,,,801.76991375,-4024.062398,0.0,0.0,0.0,-17.73,32.183848147153604,0.0,0.0,-3207.8386361028465,bucket_1,CNCG
COHR,,,0.0,-268.561398,0.0,0.0,0.0,-17.02,8.155295850163299,0.0,0.0,-277.42610214983665,bucket_1,COHX
COIN,,,-524.26187831,156.1431,0.0,0.0,0.0,-14.28,6.661477021804514,0.0,0.0,-375.7373012881955,bucket_1,COIA
