etf,underlying,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,haircut_factor,ema_applied,prev_w_book
TSLT,TSLA,0.0,0.0,0.14164667576046686,0.08381821716273971,0.591474481256348,1.0,False,0.0
BTCL,IBIT,0.0,0.0,0.1747834317206155,0.07947261578963344,0.7697519515923006,1.0,False,0.0
ETU,ETHA,0.0,0.0,0.4912273071094564,0.09084638978511317,1.8925304340105271,1.0,False,7.1993876421180855e-12
CRWU,CRWV,0.0,0.0,0.39774618907538406,0.45321540515216413,0.30716335895432584,1.0,False,0.0
GOOX,GOOGL,0.0,0.0,0.08352944619450045,0.0791561524370272,0.3693371300649479,1.0,False,0.0
NFLU,NFLX,0.0,0.0,0.08651041072667384,0.07839378620983917,0.386237802997396,1.0,False,0.0
ROBN,HOOD,0.0,0.0,0.3416217039009059,0.1017016942971776,1.1756696600937087,1.0,False,0.0
RBLU,RBLX,0.0,0.0,0.29189060759529506,0.0998621200213988,1.023027676925562,1.0,False,0.0
SNOU,SNOW,0.0,0.0,0.2612808057877677,0.11989009965778451,0.762767587038042,1.0,False,0.0
SMUP,SMR,0.0,0.0,0.7875623998957012,0.1633411636114238,1.6875528119735834,1.0,False,0.0
GLXU,GLXY,0.0,0.0,0.7149912162360028,0.13466254262433763,1.858326159641172,1.0,False,8.190815923280446e-11
AFRU,AFRM,0.0,0.0,0.17324279012465849,0.1495710859178044,0.4053923669241255,1.0,False,0.0
KTUP,KTOS,0.0,0.0,0.3478711550511091,0.13268943262902133,0.9175930732049751,1.0,False,0.0
TTDU,TTD,0.0,0.0,0.04289008941747735,0.14111135843084793,0.10638074399569698,1.0,False,0.0
SBTU,SBET,0.0,0.0,0.4674355216179113,0.2202749136536276,0.7427193131194522,1.0,False,0.0
GMEU,GME,0.0,0.0,-0.32572545309847795,0.3368995296147534,0.0,1.0,False,0.0
APPX,APP,0.0,0.0,0.48721524137870775,0.11157769070000063,1.5283103047995483,1.0,False,1.0417859415904841e-13
ARCX,ACHR,0.0,0.0,0.3342820173252226,0.12845240464905938,0.9108331321899052,1.0,False,0.0
ASTX,ASTS,0.0,0.0,0.9163964475529239,0.11627323270271583,2.7584917799918687,1.0,False,0.09999999991675844
CEGX,CEG,0.0,0.0,0.12384876538129799,0.10832605776412293,0.40015365442210926,1.0,False,0.0
CLSX,CLSK,0.0,0.0,0.7775148405313508,0.14135964308787097,1.9250911238988706,1.0,False,0.09999999987708866
COZX,CORZ,0.0,0.0,0.40788304634230504,0.14504967244490097,0.9842081254891193,1.0,False,0.0
CRDU,CRDO,0.0,0.0,0.6979184811544733,0.14488467048212014,1.685971798059965,1.0,False,5.26763206218246e-11
CWVX,CRWV,0.0,0.0,0.5452518591995311,0.43763207758042444,0.4360698415320463,1.0,False,1.8268280457524064e-11
GEVX,GEV,0.0,0.0,0.20854516037262644,0.10657471200536231,0.6848792246958801,1.0,False,0.0
IREX,IREN,0.0,0.0,0.7370736239491547,0.17214028327508052,1.4986368296487482,1.0,False,8.478111832631391e-12
JOBX,JOBY,0.0,0.0,0.1584744984548149,0.15917261301127827,0.3484649363345887,1.0,False,0.0
LABX,ALAB,0.0,0.0,0.6810095650415675,0.4255360963749884,0.5601248631902387,1.0,False,9.574809110151665e-11
LRCU,LRCX,0.0,0.0,0.214701152064813,0.11167992746982555,0.6728640045274729,1.0,False,0.0
NEBX,NBIS,0.0,0.0,0.8353244859694027,0.11922771256839328,2.452144420044801,1.0,False,3.132259559859778e-10
NVTX,NVTS,0.0,0.0,1.086582317545798,0.17177853290483888,2.213919310579444,1.0,False,0.09999999992370616
OPEX,OPEN,0.0,0.0,0.2838684921393919,0.18655047066945768,0.5325849454694169,1.0,False,0.0
PONX,PONY,0.0,0.0,0.28995728226369893,0.15587341330811103,0.6510735002106595,1.0,False,0.0
QBTX,QBTS,0.0,0.0,0.5549250789620555,0.4464807506895772,0.435010417216747,1.0,False,2.1668163995033076e-11
QUBX,QUBT,0.0,0.0,0.4952303000782936,0.1596750865129377,1.08552065831108,1.0,False,1.1565721763959247e-12
RGTU,RGTI,0.0,0.0,0.44695321813673705,0.16729617769084898,0.9350699370844908,1.0,False,0.0
SMU,SMR,0.0,0.0,0.8355048127329259,0.1351590893931274,2.1635739465953625,1.0,False,0.0999999999059232
SRPU,SRPT,0.0,0.0,-0.43772163849446843,1.0452997677158575,0.0,1.0,False,0.0
TARK,ARKK,0.0,0.0,0.019311415381894605,0.1246345071252819,0.054230530047902445,1.0,False,0.0
TEMT,TEM,0.0,0.0,0.3702397335763491,0.10279463267530485,1.2606096581038042,1.0,False,0.0
UPSX,UPST,0.0,0.0,0.39295767896019895,0.1097610533868745,1.2530417975427013,1.0,False,0.0
WULX,WULF,0.0,0.0,0.7380507593462613,0.16847516205867977,1.533269133649621,1.0,False,0.07499999991646929
OKLL,OKLO,0.0,0.0,0.7306534225250771,0.11656279734761259,2.193913527325061,1.0,False,3.3135728299180134e-10
GDXU,GDX,0.0,0.0,0.2899071046021556,0.15928718596822267,0.6370097255092253,1.0,False,0.0
BITX,IBIT,0.0,0.0,0.19025065167921495,0.07484901735193517,0.8896272849466293,1.0,False,0.0
ETHU,ETHA,0.0,0.0,0.4850380921273799,0.1916539002469368,0.8857807330080478,1.0,False,6.38743373357043e-12
MSTX,MSTR,0.0,0.0,0.20059878399912878,0.13002744140011874,0.5399596703871692,1.0,False,0.0
ORCX,ORCL,0.0,0.0,0.018869118029802845,0.34711182337918123,0.01902612030364822,1.0,False,0.0
IONX,IONQ,0.0,0.0,0.1603384071385212,0.37930141820493074,0.1479521030110214,1.0,False,0.0
HIMZ,HIMS,0.0,0.0,0.22568452462272956,0.5039635505291132,0.15673669957881653,1.0,False,0.0
IRE,IREN,0.0,0.0,0.8984756171362082,0.1350732174805186,2.328118570530297,1.0,False,0.09999999990552985
AVGX,AVGO,0.0,0.0,0.1088438676499818,0.07977199879742387,0.47755295406643195,1.0,False,0.0
RKLX,RKLB,0.0,0.0,0.5765411427278755,0.09303654940465053,2.1689260967439723,1.0,False,2.3129773603205558e-11
RGTX,RGTI,0.0,0.0,0.3988773711157118,0.39242360224924033,0.3557560735142285,1.0,False,0.0
SOFX,SOFI,0.0,0.0,0.2341572963480738,0.08427557409455541,0.9724650897052802,1.0,False,0.0
NVOX,NVO,0.0,0.0,0.0655455567117724,0.26679504798938364,0.08598714639573524,1.0,False,0.0
LLYX,LLY,0.0,0.0,0.11475710205746065,0.07490474184134166,0.5362141932908077,1.0,False,0.0
SOUX,SOUN,0.0,0.0,0.36232315468501386,0.11235279448338682,1.1287044948268397,1.0,False,0.0
QPUX,IONQ,0.0,0.0,0.16110890653820914,0.525267053027977,0.10735133102926564,1.0,False,0.0
HOOX,HOOD,0.0,0.0,0.325151515820854,0.0977080931805796,1.164724710439015,1.0,False,0.0
RIOX,RIOT,0.0,0.0,0.4220447086905401,0.11290429258766102,1.3083262350454905,1.0,False,0.0
QSU,QS,0.0,0.0,0.28921627399565314,0.13365746844971557,0.7573515874016541,1.0,False,0.0
MPL,MP,0.0,0.0,0.30690288092709994,0.12640604817922424,0.8497695313770562,1.0,False,0.0
OSCX,OSCR,0.0,0.0,0.3972833168463674,0.11752342688925686,1.1831612179523627,1.0,False,0.0
DKNX,DKNG,0.0,0.0,0.20003861611197474,0.10529497409107759,0.6649274216890083,1.0,False,0.0
ANEL,ANET,0.0,0.0,0.20570975297816504,0.09059220611623364,0.7947528449630727,1.0,False,0.0
VSTL,VST,0.0,0.0,0.1518735763831608,0.08587915296460989,0.618959897706622,1.0,False,0.0
CVNX,CVNA,0.0,0.0,0.2194082441231646,0.117796303053398,0.6519125257122609,1.0,False,0.0
LMNX,LMND,0.0,0.0,-0.3142877788395485,0.6994031752225074,0.0,1.0,False,0.0
AVXX,AVAV,0.0,0.0,0.45679714126238957,0.1444248123053775,1.1070050699029603,1.0,False,0.0
AMDG,AMD,0.0,0.0,0.32785543825537167,0.09285922258272168,1.2357351289168719,1.0,False,0.0
ARMG,ARM,0.0,0.0,0.1049743190869801,0.10523289502596588,0.34913998775171307,1.0,False,0.0
ASMG,ASML,0.0,0.0,0.0363324203887788,0.08762384013780833,0.14512428485299483,1.0,False,0.0
AVGG,AVGO,0.0,0.0,0.17976617786976676,0.08557933759450341,0.7352027255987953,1.0,False,0.0
BAIG,BBAI,0.0,0.0,-0.042951988877267366,1.5809424341039238,0.0,1.0,False,0.0
BOEG,BA,0.0,0.0,0.043108176228982054,0.0912197157463605,0.16540132313167943,1.0,False,0.0
BULG,BULL,0.0,0.0,0.18013798623431176,0.11217025317186652,0.5620767841667161,1.0,False,0.0
COIG,COIN,0.0,0.0,0.3483110988546968,0.10302786278670484,1.183261316907328,1.0,False,0.0
CRMG,CRM,0.0,0.0,0.08376440112622224,0.0875581195759517,0.3348351990216793,1.0,False,0.0
CRWG,CRWV,0.0,0.0,-0.4931336468422166,1.512340038197709,0.0,1.0,False,0.0
GLGG,GLXY,0.0,0.0,0.3106112302359299,0.15002739601718273,0.7246271912239575,1.0,False,0.0
HOOG,HOOD,0.0,0.0,0.2760587688123842,0.10141815713676305,0.9526949790069741,1.0,False,0.0
LULG,LULU,0.0,0.0,-0.46578387871014226,0.16914850218369895,0.0,1.0,False,0.0
MPG,MP,0.0,0.0,0.27801166155872753,0.12930631405875492,0.7525083539334441,1.0,False,0.0
NBIG,NBIS,0.0,0.0,0.8369972523656957,0.12251775776005384,2.391074107818089,1.0,False,0.0999999995451632
NVDG,NVDA,0.0,0.0,0.103277764136743,0.08433703552889305,0.4286043162552988,1.0,False,0.0
PANG,PANW,0.0,0.0,0.0679414351282265,0.08387645639859355,0.2835062819282147,1.0,False,0.0
PLTG,PLTR,0.0,0.0,0.1261217394290399,0.1198058143172929,0.36845130640535506,1.0,False,0.0
PYPG,PYPL,0.0,0.0,-0.05264084538121475,0.3254071424444694,0.0,1.0,False,0.0
TSLG,TSLA,0.0,0.0,0.10591356484161235,0.0915438781516277,0.40493966874731097,1.0,False,0.0
TSMG,TSM,0.0,0.0,0.09058959438966295,0.0866605275756531,0.3658685092668395,1.0,False,0.0
UNHG,UNH,0.0,0.0,0.1378100136055047,0.1046698614359402,0.4608155977300724,1.0,False,0.0
XYZG,XYZ,0.0,0.0,-0.005069737411069697,0.3280937131289107,0.0,1.0,False,0.0
NVDB,NVDA,0.0,0.0,0.0626520826140797,0.08719282024615016,0.2514912220183186,1.0,False,0.0
PLTA,PLTR,0.0,0.0,0.225537214801674,0.08831537077825927,0.8938197788783805,1.0,False,0.0
TSLI,TSLA,0.0,0.0,0.19850749074607693,0.08093627920685903,0.8584237185348516,1.0,False,0.0
COIA,COIN,0.0,0.0,0.4142765565335284,0.10167265147129555,1.4261140305529532,1.0,False,0.0
BITU,IBIT,0.0,0.0,0.16783035627007656,0.07484901735193517,0.7847881879107674,1.0,False,0.0
ETHT,ETHA,0.0,0.0,0.43518550252296273,0.0912926623711659,1.668424623917469,1.0,False,2.017684050670296e-12
TSLR,TSLA,0.0,0.0,0.1707056487625011,0.07751208175309462,0.7708085722325477,1.0,False,0.0
AMDL,AMD,0.0,0.0,0.34534680207961754,0.07620274482151923,1.586181455943208,1.0,False,0.0
AMZZ,AMZN,0.0,0.0,0.0901522254994385,0.07484901735193517,0.42155902697348757,1.0,False,0.0
AVGU,AVGO,0.0,0.0,0.0511606788910917,0.09453346052214953,0.18941692722320896,1.0,False,0.0
BABX,BABA,0.0,0.0,0.2036771024128676,0.07484901735193517,0.952410443938321,1.0,False,0.0
BULX,BULL,0.0,0.0,0.24036296552846975,0.12186657030619256,0.6903208790039245,1.0,False,0.0
CONL,COIN,0.0,0.0,0.4208544106839573,0.08757680187621837,1.6819413427265646,1.0,False,0.0
CRWL,CRWD,0.0,0.0,0.0465504985619438,0.08582561194715538,0.18983464407701595,1.0,False,0.0
DLLL,DELL,0.0,0.0,0.10631963115601364,0.11885829380235069,0.3130776129639245,1.0,False,0.0
ETRL,ETOR,0.0,0.0,0.1517948532031413,0.10324241066707655,0.5145966495534547,1.0,False,0.0
INTW,INTC,0.0,0.0,0.4131507600060071,0.09051101101462831,1.5976262377483763,1.0,False,0.0
IONL,IONQ,0.0,0.0,0.15273255501631688,0.35757528417797624,0.14949689372015995,1.0,False,0.0
MRAL,MARA,0.0,0.0,0.13209555884826796,0.1435895658941978,0.3219833231542766,1.0,False,0.0
FBL,META,0.0,0.0,0.12615715775073716,0.07484901735193517,0.5899209739139802,1.0,False,0.0
MVLL,MRVL,0.0,0.0,0.20203032445855773,0.10231881355153115,0.6910812499294959,1.0,False,0.0
MULL,MU,0.0,0.0,0.2783542939709289,0.09537740620260327,1.0214578773810896,1.0,False,0.0
NBIL,NBIS,0.0,0.0,0.7875313943789994,0.11080868412212674,2.487494461434631,1.0,False,4.60359338391761e-11
NOWL,NOW,0.0,0.0,0.1246516510408956,0.11517726487276206,0.37879070936881515,1.0,False,0.0
NVDL,NVDA,0.0,0.0,0.07469126915178935,0.07694288510843499,0.3397577848333168,1.0,False,0.0
PTIR,PLTR,0.0,0.0,0.28789192145462306,0.08404778529478844,1.1988676698107599,1.0,False,0.0
RDTL,RDDT,0.0,0.0,0.3242867991890356,0.10963501602086614,1.0352566528066236,1.0,False,0.0
SMCL,SMCI,0.0,0.0,0.07421487554370194,0.3256382317067137,0.07976706636734923,1.0,False,0.0
TSMU,TSM,0.0,0.0,0.08135437022554054,0.07565619742887691,0.37636083422917377,1.0,False,0.0
UBRL,UBER,0.0,0.0,0.13227339856605674,0.07484901735193517,0.6185210058328564,1.0,False,0.0
VRTL,VRT,0.0,0.0,0.248851915129828,0.10606593290627216,0.8211700770350673,1.0,False,0.0
COYY,COIN,0.0,0.0,0.3731802257351789,0.2510734642979833,0.5202185717734639,1.0,False,2.935643405051414e-11
IOYY,IONQ,0.0,0.0,0.5932301134989253,0.26826695080684526,0.7739698800025493,1.0,False,0.039999999992071586
MAAY,MARA,0.0,0.0,0.5770089807709469,0.2539926558008446,0.7951141052998896,1.0,False,0.03999999999027568
FBYY,META,0.0,0.0,0.40931923359077504,0.24684670181291274,0.5803672105181724,1.0,False,4.981605192420247e-11
MTYY,MSTR,0.0,0.0,0.5278188691463831,0.26318686433342864,0.7019218252746583,1.0,False,0.039999999982309783
SMYY,SMCI,0.0,0.0,0.5250177588623346,0.2740435310679673,0.6705365928022674,1.0,False,0.03999999998167645
XBTY,IBIT,0.0,0.0,0.5029723900564718,0.21170235870678145,0.8315464107019702,1.0,False,0.03999999997449409
MSTZ,MSTR,0.0,0.0,0.7127907965383271,0.5160199327568185,0.4834634535445046,1.0,False,0.0
CONI,COIN,0.0,0.0,0.6562780248116088,0.4465912411484712,0.5143345581372457,1.0,False,0.024999999994071983
MSDD,MSTR,0.0,0.0,1.0779873420469552,0.4337188320447181,0.8699082028274338,1.0,False,0.02500000000682469
ETHD,ETHA,0.0,0.0,1.1318838934892521,0.30106243085983114,1.3158711353981007,1.0,False,0.02500000000548393
CORD,CRWV,0.0,0.0,0.8738330124831828,0.9925464042879254,0.3081382926257553,1.0,False,0.025000000002391103
PLTZ,PLTR,0.0,0.0,0.6241217588356408,0.2664824843433857,0.8197259798546163,1.0,False,0.024999999991228317
