ETF,Underlying,sleeve,price_pnl_usd,borrow_cost_usd,margin_cost_usd,txn_cost_usd,pnl_usd,end_weight
NOWL,NOW,core_leveraged,-171.0894082455498,16.440405592351294,1.5692466531946632,32.40056759408778,-221.49962808518353,0.0026335714638603624
ASMG,ASML,core_leveraged,-149.27262684709186,27.067495487740622,1.071927744241795,35.01482606938564,-212.4268761484599,0.0006417147703943156
TERG,TER,core_leveraged,-75.86595843049088,44.117229064806125,4.023554913054548,77.53681688828215,-201.5435592966337,0.00849020516233976
ETHT,ETHA,core_leveraged,88.60858924797581,52.27841915833732,8.102901768836052,227.32956238039367,-199.10229405959123,0.004176045701544256
CONX,COIN,core_leveraged,-38.71467304989011,55.42343984899044,5.503590764103787,98.90879146227212,-198.55049512525648,0.005100605758504302
AVGG,AVGO,core_leveraged,-100.64144648943886,4.693391591972251,4.572833042654309,73.02299702935584,-182.93066815342127,0.0021002485078798205
AVL,AVGO,core_leveraged,-108.24921370454663,13.293387675016028,3.6881969367552454,57.255513721155204,-182.4863120374731,0.0018753493040121812
FBYY,META,yieldboost,912.2145922457544,104.03847535640305,12.39929185109795,970.4370741822116,-174.66024914395825,0.0
ZETX,ZETA,core_leveraged,8.406472769426188,56.088587509559844,4.722159094264959,115.87076940388478,-168.2750432382834,0.0030708013800277655
PLU,PL,core_leveraged,32.85553258441223,85.0813808561226,5.725348194391929,109.48527980982124,-167.43647627592355,0.0183128569610017
RDYY,RDDT,yieldboost,-74.88937949084803,13.421457719292265,1.6151920696406032,75.48018388314591,-165.4062131629268,0.0
AIYY,AI,yieldboost,-122.84633147035932,6.260370394164503,0.09549741126429219,36.16745188489591,-165.36965116068401,0.0
UNX,U,core_leveraged,257.58806956238715,49.150966245766824,11.618609922023465,358.7681654940631,-161.94967209946626,0.004283670817963699
QCMU,QCOM,core_leveraged,-98.72281265917695,7.618034454791323,1.7505511430804397,53.54860239597709,-161.64000065302582,0.0011177741049821276
PANG,PANW,core_leveraged,-111.4400753359165,14.222550531265695,1.5824703641923303,33.41884777402131,-160.66394400539585,0.0009100155651120475
RTYY,RIOT,yieldboost,233.32847726708354,45.287951622951596,0.5822385152271445,343.79108910077923,-156.33280197187443,0.013220370751504335
RKTL,RKT,core_leveraged,81.40033812866415,32.35877698150044,7.250082272876173,194.53830236204746,-152.7468234877599,0.007745567713235341
PAAU,PAAS,core_leveraged,10.511305875014202,8.07767691732225,2.945809378105215,150.11169125437743,-150.6238716747907,0.0024625473370635063
MPL,MP,core_leveraged,-78.20159936333533,36.772726065799816,1.6529072123297757,30.120741685551327,-146.74797432701627,0.002489663885681573
APPX,APP,core_leveraged,115.83479731548303,33.81273971773269,11.149769294516545,216.1864459300168,-145.314157626783,0.008176400635837801
MUU,MU,core_leveraged,33.75505402017245,35.16348868876141,7.6244391901510555,132.75844443419666,-141.79131829293667,0.0048220223313446605
ARCX,ACHR,core_leveraged,100.41598008973759,46.08200519306036,7.214974619004841,186.06773980759016,-138.94873952991776,0.005701249453667224
ROBN,HOOD,core_leveraged,56.97849150912192,54.4095812946443,7.424496156356183,132.73810882764602,-137.59369476952457,0.004202538018155465
DKNX,DKNG,core_leveraged,-72.20180277919967,11.492315260843549,2.537914143386977,50.380607004322925,-136.61263918775313,0.002319138263671195
KORU,EWY,core_leveraged,20.127472267962318,23.018870373379144,5.879749468473976,126.89862859510302,-135.66977616899382,0.011327371952262903
LMNX,LMND,core_leveraged,19.068979718935893,51.83798440084538,2.2241443176683777,94.31987494351696,-129.31302394309483,0.003459306303311893
BEG,BE,core_leveraged,242.86400700310344,159.98715234081857,3.767533616523931,207.56409082797825,-128.4547697822173,0.0
GEVX,GEV,core_leveraged,-12.198897662689667,14.412351481231383,3.7985866960325403,97.95497340840946,-128.36480924836306,0.0030218425636600638
RGTZ,RGTI,inverse_decay_bucket4,-78.00340545185196,22.95755455005783,0.0,25.294871853092026,-126.25583185500182,0.0
TXNU,TXN,core_leveraged,-106.35309334785757,0.22562168803915716,0.8874152196914123,18.677637054204755,-126.14376730979288,0.0003150830212197375
VSTL,VST,core_leveraged,-106.4553818248224,6.665676409310004,0.8429952623487477,7.1003391645100775,-121.06439266099123,0.000975215494092859
TSLO,TSLA,yieldboost,-20.46737358265221,50.18935374624529,0.0,39.042748204115824,-109.69947553301333,0.0
AVGU,AVGO,core_leveraged,-77.6095352370589,17.499145138170416,0.9284305352513149,13.192312408241422,-109.22942331872206,0.0004567094310933451
PONX,PONY,core_leveraged,85.06534051920207,69.45941051755078,4.261580469719997,117.60350515725098,-106.25915562531969,0.0026635998793591953
GLWG,GLW,core_leveraged,-8.893083972621866,48.66430187435951,2.4824416845958397,46.16072331907218,-106.20055085064939,0.00910035747965209
BTCL,IBIT,core_leveraged,-6.041946097968344,14.63912376390103,4.657285473796269,80.18194611318216,-105.5203014488478,0.0015286715744871114
GGLL,GOOGL,core_leveraged,-68.09878040278687,13.762663819325443,0.9642938939116567,20.439511903401737,-103.26525001942571,0.0004943791102085439
IONZ,IONQ,inverse_decay_bucket4,-4.306269425490029,7.072394473963098,0.0,90.9695346924315,-102.34819859188462,0.0
ARMW,ARM,core_leveraged,-62.48641404942658,19.46888082995108,0.0,17.15352049277903,-99.1088153721567,0.0
GRAG,GRAB,core_leveraged,-4.845720161400486,0.0,1.1352513693508883,92.1899551041568,-98.17092663490817,0.0
NVOX,NVO,core_leveraged,43.07136348075396,11.488617321255427,2.511401452193966,125.60907659622328,-96.5377318889187,0.0011745230271765536
CEGX,CEG,core_leveraged,-6.730037971508892,14.678903435876009,1.9778288484710191,71.50700855095262,-94.89377880680854,0.0013539359491998074
XOMX,XOM,core_leveraged,-58.23007688254869,14.396516751189179,0.3468271123184717,19.622955105096988,-92.59637585115333,0.0
PLTU,PLTR,core_leveraged,8.203423566504249,23.850116634881648,4.854661859335305,71.40068801388348,-91.90204294159619,0.0021902655564456034
APHU,APH,core_leveraged,-51.209051227815465,14.527670577312882,0.6118720627028721,24.934833031948443,-91.28342689977967,3.866366408388489e-05
PLTA,PLTR,core_leveraged,-28.84223331176279,17.662716009820056,2.3234749969212354,40.95771200424745,-89.78613632275153,0.0023278983216110205
QCML,QCOM,core_leveraged,-69.42353432406814,4.406515438534323,0.42739047012534565,11.666058350335533,-85.92349858306335,0.0002842596900623903
GOU,GOOGL,core_leveraged,-59.363313386287146,8.748153540753687,0.5888479231945262,14.354864128039173,-83.05517897827453,0.0
COHX,COHR,core_leveraged,99.26244990939668,105.60336808732751,4.338512505447133,72.32688628491867,-83.00631696829663,0.012257626366766137
BULG,BULL,core_leveraged,50.924582997551525,31.752915862492976,2.469642185703058,98.37098784138864,-81.66896289203315,0.002036011496523224
AVGX,AVGO,core_leveraged,-11.18039084355605,9.975901344745035,1.599405939423602,58.59727761404988,-81.35297574177457,0.0008930616256668693
CONL,COIN,core_leveraged,158.61779033851371,64.94091466044743,7.887539196594139,166.96708023651604,-81.17774375504389,0.006436771180465883
TSLG,TSLA,core_leveraged,68.50538788818488,20.583338892002768,2.597305702540415,126.16692912240417,-80.84218582876247,0.00017317727337736399
LMTL,LMT,core_leveraged,-46.79504683486216,9.72596893657732,0.03555284342388078,23.630236983529404,-80.18680559839277,0.0
TSLY,TSLA,core_leveraged,-53.206767211846085,11.33820049287288,0.0,15.063270689728679,-79.60823839444765,0.0
CLSZ,CLSK,inverse_decay_bucket4,303.5929063232858,96.46126115102473,0.0,286.01261572933237,-78.88097055707132,0.0044360471433254785
TMYY,TSM,yieldboost,43.007455380563385,17.63364626924265,0.27946695252222514,102.1869529029577,-77.09261074415919,0.0
