ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,borrow_annual,strategy_tag,long_usd,short_usd,sleeve
MEXX,EWW,2.956309,500,ols,0.043683,3000,0.043683,False,False,29.899999618530277,0.043683,1.0,False,True,False,False,False,False,False,False,False,0.742544,0.295197,0.250524,0.181491,0.295197,0.251514,0.251514,0.73907725,0.8868927,0.73907725,0.8868927,0.043683,ETF_LS,3250.2760057190176,-1099.4371717296865,core_leveraged
KORU,EWY,2.929448,500,ols,0.102858,100000,0.102858,False,False,311.0899963378906,0.102858,1.0,False,True,False,False,False,False,False,False,False,0.910556,0.378112,0.310512,0.272487,0.378112,0.275254,0.275254,0.732362,0.8788343999999999,0.732362,0.8788343999999999,0.102858,ETF_LS,1917.5610250724835,-654.5810081191008,core_leveraged
LABU,XBI,2.988146,500,ols,0.251297,10000,0.251297,False,False,170.39999389648438,0.251297,1.0,False,True,False,False,False,False,False,False,False,0.793327,0.32323,0.2653,0.209071,0.32323,0.071933,0.071933,0.7470365,0.8964438,0.7470365,0.8964438,0.251297,ETF_LS,940.48986136944,-314.7402641535721,core_leveraged
SOXL,SOXX,2.961771,500,ols,0.019116,9000000,0.019116,False,False,56.54999923706055,0.019116,1.0,False,True,False,False,False,False,False,False,False,1.131502,0.548701,0.381727,0.423327,0.548701,0.529585,0.529585,0.74044275,0.8885313,0.74044275,0.8885313,0.019116,ETF_LS,7856.822224108763,-2652.7446666567953,core_leveraged
CHAU,ASHR,1.966291,500,ols,0.0299529999999999,3000,0.0299529999999999,False,False,19.75,0.0299529999999999,1.0,False,True,False,False,False,False,False,False,False,0.5167,0.116754,0.262307,0.065365,0.116754,0.086801,0.086801,0.49157275,0.5898873,0.5,0.5898873,0.0299529999999999,ETF_LS,1244.1714313590041,-632.7504074213858,core_leveraged
CWEB,KWEB,1.987826,500,ols,0.016106,550000,0.016106,False,False,25.93000030517578,0.016106,1.0,False,True,False,False,False,False,False,False,False,0.706121,0.188082,0.354949,0.123697,0.188082,0.171976,0.171976,0.4969565,0.5963478,0.5,0.5963478,0.016106,ETF_LS,2972.863845938242,-1495.5352460115935,core_leveraged
NUGT,GDX,1.977585,500,ols,0.020167,300000,0.020167,False,False,200.92999267578125,0.020167,1.0,False,True,False,False,False,False,False,False,False,0.777035,0.212162,0.392565,0.148965,0.212162,0.191995,0.191995,0.49439625,0.5932755,0.5,0.5932755,0.020167,ETF_LS,3155.3631186660823,-1595.5638410819674,core_leveraged
JNUG,GDXJ,1.974887,500,ols,0.039826,100000,0.039826,False,False,207.2400054931641,0.039826,1.0,False,True,False,False,False,False,False,False,False,0.868152,0.254498,0.438541,0.185134,0.254498,0.214672,0.214672,0.49372175,0.5924661,0.5,0.5924661,0.039826,ETF_LS,2900.6959511908194,-1468.7908478767745,core_leveraged
GUSH,XOP,2.010417,500,ols,0.033556,350000,0.033556,False,False,43.380001068115234,0.033556,1.0,False,True,False,False,False,False,False,False,False,0.585584,0.148293,0.291067,0.086048,0.148293,0.114737,0.114737,0.50260425,0.6031251,0.50260425,0.6031251,0.033556,ETF_LS,1565.3422768119985,-778.6157184365227,core_leveraged
URAA,URA,1.932296,445,ols,0.029156,35000,0.029156,False,False,34.400001525878906,0.029156,1.0,False,True,False,False,False,False,False,False,False,0.880586,0.372771,0.439009,0.173598,0.372771,0.343615,0.343615,0.483074,0.5796888,0.5,0.5796888,0.029156,ETF_LS,5211.081029849757,-2696.8337303652015,core_leveraged
