etf,days_in_ledger,long_pnl_usd,short_pnl_usd,gross_trading_pnl_usd,borrow_paid_usd,borrow_underlying_usd,margin_debit_allocated_usd,short_credit_usd,net_financing_allocated_usd,txn_cost_usd,turnover_usd,rebalance_days,gross_notional_mean,gross_notional_max,net_trading_pnl_usd,flow_sleeve_alloc_max_usd,flow_sleeve_alloc_days_gt0,underlying,beta_abs,bucket_universe,incumbent_cohort,from_screener_extra,pair_weight_gtp,bucket_runtime_last
NVDQ,597,0.0,9900.433829307556,9900.433829307556,1118.133871286496,0.0,0.0,192.15247473385784,-192.15247473385784,14.477019712811098,14015.24961566925,126,2932.0162501135464,7337.013977050781,8959.975413042106,130.0,111,NVDA,1.998,bucket_3_inverse,post_start,1,0.0,bucket_3_inverse
EWV,834,0.0,9586.894830703735,9586.894830703735,3022.5625315043817,0.0,0.0,799.0449620334127,-799.0449620334127,21.04478690640241,19938.10111808777,175,8318.915341471025,16324.694675445557,7342.332474326364,144.44444444444446,175,EWJ,2.006,bucket_3_inverse,incumbent,1,0.0,bucket_3_inverse
LABX,181,88872.9068145752,-79436.02341461182,9436.883399963379,1809.938829778633,0.0,2008.0428080498223,1491.4434666527886,516.5993413970339,1596.033225961451,1564864.9230880737,39,256458.39202864,544512.3180541992,5514.312002826261,0.0,0,ALAB,1.998,bucket_core_screener,post_start,0,0.006768464081051618,bucket_core_screener
OKLL,215,317737.55641174316,-308785.2973871231,8952.259024620056,25360.322657823985,0.0,3793.5375796929516,2838.1142802464437,955.4232994465075,3224.1637382374465,3088873.2445087433,46,391617.14026230434,958764.685874939,-20587.650670887884,0.0,0,OKLO,2.0,bucket_core_screener,post_start,1,0.006275310574695015,bucket_core_screener
FAZ,829,0.0,8614.935619354248,8614.935619354248,1025.96004721334,0.0,0.0,627.6806590610462,-627.6806590610462,21.660616366224964,19907.4271774292,174,6564.13975911894,13537.479667663574,8194.99561483573,144.44444444444446,165,XLF,2.994,bucket_3_inverse,incumbent,1,0.0,bucket_3_inverse
SDS,829,0.0,8592.967155456543,8592.967155456543,1232.9416197138642,0.0,0.0,758.3668631152725,-758.3668631152725,20.022338242838355,19882.846504211426,174,7995.06176318363,15759.85922241211,8098.370060615113,144.44444444444446,169,SPY,1.993,bucket_3_inverse,incumbent,1,0.0,bucket_3_inverse
GOOX,579,37683.98709106445,-29148.407459259033,8535.57963180542,1924.6716710168023,0.0,3355.2043186026426,2363.502752405399,991.7015661972438,863.1612732774237,844510.0330677032,122,94702.12990898172,290817.89487075806,4756.04512131395,0.0,0,GOOGL,1.979,bucket_core_screener,post_start,0,0.005408547834071099,bucket_core_screener
AMDG,321,57370.70478057861,-49038.21739387512,8332.487386703491,1094.131043533681,0.0,1816.1379504058032,1286.9084006084095,529.2295497973937,1045.7240664674812,1016904.8550834656,68,112376.09497832361,346790.68704128265,5663.402726904935,0.0,0,AMD,1.993,bucket_core_screener,post_start,0,0.0028417926649686428,bucket_core_screener
CRDU,157,82778.8758468628,-74515.59727478027,8263.27857208252,2590.560861925217,0.0,1280.327306868655,965.2401465159627,315.087160352692,1117.9898625932087,1091524.1811523438,34,197271.68997033234,356575.97202301025,4239.640687211401,0.0,0,CRDO,1.996,bucket_core_screener,post_start,0,0.007266155420566444,bucket_core_screener
SOFX,325,-2156.46808052063,10256.182090759277,8099.7140102386475,3403.3767896149952,0.0,1283.0312165057912,890.1888323387229,392.84238416706836,960.6200108360414,782512.9776754379,69,77660.52024262796,264980.2462310791,3342.8748256205427,0.0,0,SOFI,2.005,bucket_core_screener,post_start,1,0.004008521583348503,bucket_core_screener
CRWU,191,79524.2389831543,-71751.36848783493,7772.8704953193665,8730.629846205215,0.0,1704.8134550919979,1274.0578731362302,430.75558195576764,1421.5027185832134,1373440.148876667,41,203955.5860588538,455526.7103729248,-2810.0176514248296,0.0,0,CRWV,1.995,bucket_core_screener,post_start,1,0.0010002581074937623,bucket_core_screener
APPX,258,100891.55935668945,-94189.97505569458,6701.584300994873,1083.7500640483693,0.0,1805.6314794287118,1319.558075618443,486.07340381026887,1117.5852383938693,1107853.8026618958,55,147265.37555948892,380719.4033203125,4014.1755947423653,0.0,0,APP,2.002,bucket_core_screener,post_start,0,0.007232009727607972,bucket_core_screener
QUBX,215,-16623.62241458893,23041.569715976715,6417.947301387787,5746.407079047383,0.0,895.3862168336773,651.680803569843,243.7054132638343,821.7090293471059,659694.3643994331,46,91934.53580646515,184560.8747367859,-393.8742202705367,0.0,0,QUBT,1.99,bucket_core_screener,post_start,1,0.005297129283795964,bucket_core_screener
AMZZ,531,16167.234130859375,-9924.265140533447,6242.968990325928,2630.9949687573526,0.0,2796.7859667244807,1950.868840469002,845.917126255479,716.139690137423,703154.6015701294,112,87426.92382380742,266165.63845825195,2049.9172051756727,0.0,0,AMZN,1.997,bucket_core_screener,post_start,0,0.002791980264646785,bucket_core_screener
AVL,391,50852.13819885254,-44686.62537765503,6165.51282119751,1354.1572100366127,0.0,1535.0834145340652,1066.2884027905413,468.79501174352373,758.368634454758,745427.0498313904,83,74126.60319094402,244541.2015838623,3584.1919649626157,0.0,0,AVGO,1.992,bucket_core_screener,post_start,0,0.003189137237909394,bucket_core_screener
SMCL,347,25060.82063102722,-19501.558338165283,5559.2622928619385,0.0,0.0,557.3077525566924,389.2805681618182,168.02718439487418,463.326245779952,423876.9903316498,74,31372.64982541219,117889.46885299683,4927.908862687113,0.0,0,SMCI,1.992,bucket_core_screener,post_start,0,0.004288389768835214,bucket_core_screener
AVGX,425,50140.52978515625,-44728.50958824158,5412.020196914673,0.0,0.0,1365.4896272102117,951.7956847998726,413.69394241033916,559.9264922556255,549735.7178020477,90,58684.42236417883,172737.27613067627,4438.399762248709,0.0,0,AVGO,1.992,bucket_core_screener,post_start,1,0.004718707748858471,bucket_core_screener
SOUX,215,19365.5432844162,-14040.632048606873,5324.911235809326,4612.474769590634,0.0,618.0964742811358,457.928744003133,160.16773027800278,595.6099519154401,451457.79491233826,46,63692.377264688184,151981.46304035187,-43.341215974751634,0.0,0,SOUN,1.995,bucket_core_screener,post_start,1,0.0037970234629218997,bucket_core_screener
TSLG,347,-15061.309799194336,19893.025241851807,4831.715442657471,1920.854976148276,0.0,548.5128786051372,376.20652375556557,172.3063548495716,269.79890734266075,267142.686316967,74,30727.191255266454,101400.15425491333,2468.7552043169626,0.0,0,TSLA,1.999,bucket_core_screener,post_start,0,0.0008459207571443283,bucket_core_screener
ORCX,311,12338.553924560547,-7690.52144241333,4648.032482147217,1649.058669090451,0.0,999.9168866814769,704.3689897182793,295.54789696319756,551.5990978674296,540699.9158706665,66,64015.88596854869,196541.08464050293,2151.8268182261386,0.0,0,ORCL,1.996,bucket_core_screener,post_start,1,0.0053607458522528665,bucket_core_screener
METU,478,22207.497680664062,-17681.334566116333,4526.1631145477295,2666.709578013111,0.0,1741.3114433706633,1209.3771717772347,531.9342715934285,617.422461412801,613434.7851753235,101,62414.65474434378,243470.82470703125,710.0968035283889,0.0,0,META,2.001,bucket_core_screener,post_start,0,0.0013946222572122251,bucket_core_screener
