run_date,underlying,qty_b1,qty_b2,qty_b4,ledger_total,ibkr_position,diff_ledger_minus_ibkr
2026-04-21,IREG,-267.0,0.0,0.0,-267.0,-368.0,101.0
2026-04-21,XYZG,0.0,0.0,0.0,0.0,-100.0,100.0
2026-04-21,BABU,-100.0,0.0,0.0,-100.0,0.0,-100.0
2026-04-21,URAA,-10.0,0.0,0.0,-10.0,-109.0,99.0
2026-04-21,YINN,0.0,0.0,0.0,0.0,-95.0,95.0
2026-04-21,MSTX,92.0,0.0,0.0,92.0,0.0,92.0
2026-04-21,MSFW,-92.0,0.0,0.0,-92.0,0.0,-92.0
2026-04-21,DRAY,17.0,0.0,0.0,17.0,-74.0,91.0
2026-04-21,EWJ,-90.0,0.0,0.0,-90.0,0.0,-90.0
2026-04-21,NFLU,-353.0,0.0,0.0,-353.0,-443.0,90.0
2026-04-21,HLXX,0.0,0.0,0.0,0.0,-88.0,88.0
2026-04-21,BIDG,0.0,0.0,0.0,0.0,-88.0,88.0
2026-04-21,ALBG,84.0,0.0,0.0,84.0,0.0,84.0
2026-04-21,ORLG,-82.0,0.0,0.0,-82.0,0.0,-82.0
2026-04-21,CHNU,0.0,0.0,0.0,0.0,-82.0,82.0
2026-04-21,SHPU,0.0,0.0,0.0,0.0,-78.0,78.0
2026-04-21,OPEG,-242.0,0.0,0.0,-242.0,-319.0,77.0
2026-04-21,ABNG,0.0,0.0,0.0,0.0,-75.0,75.0
2026-04-21,APPX,-123.0,0.0,0.0,-123.0,-50.0,-73.0
2026-04-21,CC,71.0,0.0,0.0,71.0,0.0,71.0
2026-04-21,ZETX,0.0,0.0,0.0,0.0,-71.0,71.0
2026-04-21,FBYY,-723.0,0.0,0.0,-723.0,-794.0,71.0
2026-04-21,FAZ,-4.0,0.0,0.0,-4.0,-74.0,70.0
2026-04-21,CWVX,-146.0,0.0,0.0,-146.0,-213.0,67.0
2026-04-21,SBU,0.0,0.0,0.0,0.0,-67.0,67.0
2026-04-21,NVDG,-263.0,0.0,0.0,-263.0,-330.0,67.0
2026-04-21,SDS,-9.0,0.0,0.0,-9.0,-75.0,66.0
2026-04-21,SNOU,-177.0,0.0,0.0,-177.0,-241.0,64.0
2026-04-21,NIOG,0.0,0.0,0.0,0.0,-64.0,64.0
2026-04-21,TSLL,-309.0,0.0,0.0,-309.0,-370.0,61.0
2026-04-21,ARCX,0.0,0.0,0.0,0.0,-61.0,61.0
2026-04-21,UPSG,0.0,0.0,0.0,0.0,-60.0,60.0
2026-04-21,MPG,-156.0,0.0,0.0,-156.0,-216.0,60.0
2026-04-21,NUG,-282.0,0.0,0.0,-282.0,-342.0,60.0
2026-04-21,MARA,1007.0,0.0,0.0,1007.0,1066.0,-59.0
2026-04-21,KTUP,0.0,0.0,0.0,0.0,-59.0,59.0
2026-04-21,SOFA,-233.0,0.0,0.0,-233.0,-291.0,58.0
2026-04-21,ISUL,0.0,0.0,0.0,0.0,-57.0,57.0
2026-04-21,BOEG,-302.0,0.0,0.0,-302.0,-359.0,57.0
2026-04-21,SOXS,-38.0,0.0,0.0,-38.0,-94.0,56.0
