date,plan_date,ETF,Underlying,sleeve,current_gross_usd,desired_gross_usd,next_gross_usd,hedge_net_pct_before,hedge_net_pct_after,target_age,requested_turnover_usd,allocated_turnover_usd,deferred_turnover_usd,block_reason,priority,hedge_repair_leg,hedge_reserve_usd,reserve_committed_usd,tracking_budget_usd,prior_structural_gross_usd,raw_plan_gross_usd,effective_plan_gross_usd,blended_structural_gross_usd,target_blend_alpha,blend_status
2026-03-03,2026-03-02,YINN,FXI,core_leveraged,0.0,2765.9827626532197,0.0,,,0,2765.9827626532197,0.0,0.0,,target_formation,,,,,0.0,11063.931050612879,11063.931050612879,2765.9827626532197,0.25,new
2026-03-03,2026-03-02,ASMU,ASML,core_leveraged,0.0,98629.31984617366,0.0,,,1,98629.31984617366,0.0,98629.31984617366,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,MRVU,MRVL,core_leveraged,0.0,16194.334114774345,0.0,,,1,16194.334114774345,0.0,16194.334114774345,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,SRPU,SRPT,core_leveraged,0.0,5604.568913843113,0.0,,,1,5604.568913843113,0.0,5604.568913843113,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,PLUL,PLUG,core_leveraged,0.0,77873.27286703711,0.0,,,1,77873.27286703711,0.0,77873.27286703711,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,ALBG,ALB,core_leveraged,0.0,27766.791612919078,0.0,,,1,27766.791612919078,0.0,27766.791612919078,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,HUTG,HUT,core_leveraged,0.0,8391.792508385084,0.0,,,1,8391.792508385084,0.0,8391.792508385084,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,COPZ,COPX,core_leveraged,0.0,117168.41245443438,0.0,,,1,117168.41245443438,0.0,117168.41245443438,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,FCXG,FCX,core_leveraged,0.0,47484.22208745231,0.0,,,1,47484.22208745231,0.0,47484.22208745231,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,BMNG,BMNR,core_leveraged,0.0,14959.339807802833,0.0,,,1,14959.339807802833,0.0,14959.339807802833,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,FIGG,FIG,core_leveraged,0.0,27117.40616781918,0.0,,,1,27117.40616781918,0.0,27117.40616781918,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,TSLI,TSLA,core_leveraged,0.0,18745.1673241413,0.0,,,1,18745.1673241413,0.0,18745.1673241413,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,BITU,IBIT,core_leveraged,0.0,17341.02725319152,0.0,,,1,17341.02725319152,0.0,17341.02725319152,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,SOLT,SOEZ,core_leveraged,0.0,29019.711260169912,0.0,,,1,29019.711260169912,0.0,29019.711260169912,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,BULX,BULL,core_leveraged,0.0,16053.659331559651,0.0,,,1,16053.659331559651,0.0,16053.659331559651,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,SMCL,SMCI,core_leveraged,0.0,3809.679171838565,0.0,,,1,3809.679171838565,0.0,3809.679171838565,entry_confirmation,confirmation,,,,,,,,,,
2026-03-03,2026-03-02,AMUU,AMD,core_leveraged,0.0,2938.0873407758604,587.6174681551721,,2.1737293687492445e-16,0,2938.0873407758604,587.6174681551721,2350.4698726206884,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,BITX,IBIT,core_leveraged,0.0,3639.0394365354437,727.8078873070888,,5.855852070487433e-17,0,3639.0394365354437,727.8078873070888,2911.231549228355,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,BMNU,BMNR,core_leveraged,0.0,14733.580043741418,2946.7160087482835,,5.845313016231646e-17,0,14733.580043741418,2946.7160087482835,11786.864034993134,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,BULG,BULL,core_leveraged,0.0,5298.935086322244,1059.787017264449,,0.0,0,5298.935086322244,1059.787017264449,4239.1480690577955,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,COZX,CORZ,core_leveraged,0.0,11569.282747132474,2313.8565494264953,,7.317899763976899e-17,0,11569.282747132474,2313.8565494264953,9255.42619770598,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,CRMU,CRML,core_leveraged,0.0,47395.97314068972,9479.194628137944,,7.339863304498217e-17,0,47395.97314068972,9479.194628137944,37916.77851255178,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,DNNG,DNN,core_leveraged,0.0,47395.973140689726,9479.194628137946,,1.4618957733132092e-16,0,47395.973140689726,9479.194628137946,37916.778512551784,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,ETHU,ETHA,core_leveraged,0.0,7388.124364380381,1477.624872876076,,-5.769708273994596e-17,0,7388.124364380381,1477.624872876076,5910.499491504304,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,ETU,ETHA,core_leveraged,0.0,2715.9017116875193,543.1803423375039,,1.5726445186311946e-16,0,2715.9017116875193,543.1803423375039,2172.7213693500153,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,FGRU,FIGR,core_leveraged,0.0,15649.708996362067,3129.941799272414,,0.0,0,15649.708996362067,3129.941799272414,12519.767197089654,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,GDXU,GDX,core_leveraged,0.0,4673.833991787766,934.7667983575533,,8.077610365987139e-17,0,4673.833991787766,934.7667983575533,3739.0671934302122,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,RDWU,RDW,core_leveraged,0.0,25879.11416454658,5175.822832909316,,0.0,0,25879.11416454658,5175.822832909316,20703.291331637265,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,RKTL,RKT,core_leveraged,0.0,43003.69602639817,8600.739205279635,,0.0,0,43003.69602639817,8600.739205279635,34402.95682111853,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,SMUP,SMR,core_leveraged,0.0,47395.97314068972,9479.194628137944,,-1.4249922014608475e-16,0,47395.97314068972,9479.194628137944,37916.77851255178,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,SOXL,SOXX,core_leveraged,0.0,2891.9765212314733,578.3953042462947,,1.3148494438407187e-16,0,2891.9765212314733,578.3953042462947,2313.581216985179,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,UECG,UEC,core_leveraged,0.0,47395.97314068972,9479.194628137944,,-7.333266795967387e-17,0,47395.97314068972,9479.194628137944,37916.77851255178,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,URAA,URA,core_leveraged,0.0,6171.58434078668,1234.316868157336,,0.0,0,6171.58434078668,1234.316868157336,4937.2674726293435,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,UXRP,XRPZ,core_leveraged,0.0,4706.738524818465,941.3477049636929,,0.0,0,4706.738524818465,941.3477049636929,3765.3908198547715,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,VRTL,VRT,core_leveraged,0.0,3929.182786812674,785.8365573625349,,0.0,0,3929.182786812674,785.8365573625349,3143.3462294501387,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,XRPK,XRPZ,core_leveraged,0.0,44134.65572418336,8826.931144836672,,0.0,0,44134.65572418336,8826.931144836672,35307.72457934669,,growth,,0.0,0.0,,,,,,,
2026-03-03,2026-03-02,YINN,FXI,core_leveraged,0.0,2765.9827626532197,553.1965525306439,,0.0,0,2765.9827626532197,553.1965525306439,2212.7862101225755,,growth,,0.0,0.0,,,,,,,
2026-03-04,2026-03-03,SRPU,SRPT,core_leveraged,0.0,22083.680177011956,0.0,,,2,22083.680177011956,0.0,22083.680177011956,entry_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,HUTG,HUT,core_leveraged,0.0,118108.34580327701,0.0,,,2,118108.34580327701,0.0,118108.34580327701,entry_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,FCXG,FCX,core_leveraged,0.0,30313.29827146216,0.0,,,2,30313.29827146216,0.0,30313.29827146216,entry_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,BMNG,BMNR,core_leveraged,0.0,31540.55005869718,0.0,,,2,31540.55005869718,0.0,31540.55005869718,entry_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,FIGG,FIG,core_leveraged,0.0,111772.09000202487,0.0,,,2,111772.09000202487,0.0,111772.09000202487,entry_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,TSLI,TSLA,core_leveraged,0.0,30401.93435142211,0.0,,,2,30401.93435142211,0.0,30401.93435142211,entry_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,BITU,IBIT,core_leveraged,0.0,46663.71121349368,0.0,,,2,46663.71121349368,0.0,46663.71121349368,entry_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,SOLT,SOEZ,core_leveraged,0.0,60451.92835014225,0.0,,,2,60451.92835014225,0.0,60451.92835014225,entry_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,BULX,BULL,core_leveraged,0.0,34785.21252389066,0.0,,,2,34785.21252389066,0.0,34785.21252389066,entry_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,SMCL,SMCI,core_leveraged,0.0,9035.341587136456,0.0,,,2,9035.341587136456,0.0,9035.341587136456,entry_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,DNNG,DNN,core_leveraged,9856.827519421393,0.0,9856.827519421393,,,1,9856.827519421393,0.0,9856.827519421393,drop_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,FGRU,FIGR,core_leveraged,3417.6919416827677,0.0,3417.6919416827677,,,1,3417.6919416827677,0.0,3417.6919416827677,drop_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,MRNX,MRNA,core_leveraged,0.0,0.0,0.0,,,1,0.0,0.0,0.0,drop_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,VRTL,VRT,core_leveraged,816.0517979174929,0.0,816.0517979174929,,,1,816.0517979174929,0.0,816.0517979174929,drop_confirmation,confirmation,,,,,,,,,,
2026-03-04,2026-03-03,AMUU,AMD,core_leveraged,633.0455675029441,2438.0873407758604,994.0539221575273,-0.026341322900465293,0.024624959941898672,1,1805.041773272916,361.0083546545833,1444.0334186183327,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,BITX,IBIT,core_leveraged,796.582104015436,3139.0394365354437,1265.0735705194375,-0.032120668679749616,0.013390026306802555,1,2342.457332520008,468.4914665040016,1873.9658660160064,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
