date,nav,cash,u_notional,s_notional,borrow_cost,rebalance_friction
2024-06-11,1136185.4125923698,1352390.3110329877,-100129.2536454172,-116075.64479520048,27.267839991759146,0.0
2024-06-12,1138200.220752668,1352363.2259408133,-96192.54794653754,-117970.45724160758,27.085092174466066,0.0
2024-06-13,1138121.7156067828,1352336.1252122764,-95850.22571185236,-118364.18389364128,27.100728537007775,0.0
2024-06-14,1135403.4151940085,1352308.8122630706,-102183.18705352831,-114722.21001553365,27.312949205790563,0.0
2024-06-17,1136398.7827544885,1352281.5973315714,-100471.57588010238,-115411.2386969805,27.214931499127502,0.0
2024-06-18,1137022.292907283,1364428.6293580711,-113703.16822539404,-113703.16822539405,27.141161059592957,9.389346657064603
2024-06-20,1134290.3254721905,1364399.9471083407,-120139.19661551068,-109970.42502063945,28.68224973054243,0.0
2024-06-21,1136321.4379592096,1364371.4460727621,-116043.54218543645,-112006.46592811617,28.501035578460424,0.0
2024-06-24,1136320.533407277,1364342.934211329,-115458.44869542585,-112563.95210862622,28.511861433013586,0.0
2024-06-25,1138792.6435181643,1364314.6447564703,-110582.66961200415,-114939.33162630178,28.289454858784087,0.0
2024-06-26,1140330.3646060922,1364286.5075326874,-108047.26448862486,-115908.87843797018,28.137223782835363,0.0
2024-06-27,1140503.988552049,1364258.3639615178,-106682.04634526679,-117072.32906420207,28.14357116957694,0.0
2024-06-28,1139467.3973835646,1364230.1449242344,-109217.45146864608,-115545.29607202362,28.219037283368127,0.0
2024-07-01,1144679.4791091965,1364202.4182386352,-100050.98679181328,-119471.95233762535,27.72668559921864,0.0
2024-07-02,1145342.8257694996,1364174.7330734516,-97905.64399510773,-120926.2633088443,27.685165183642685,0.0
2024-07-03,1145895.828015634,1364147.1327321017,-98100.6751584446,-120150.62955802304,27.60034134985407,0.0
2024-07-05,1144843.3636378236,1364119.4205386771,-99270.8621384658,-120005.19476238768,27.712193424552705,0.0
2024-07-08,1146313.4112178762,1364091.8316791686,-95955.33236173906,-121823.08809955319,27.58885950844399,0.0
2024-07-09,1146796.0137439198,1364064.308187424,-95760.30119840219,-121507.99324510207,27.52349174460184,0.0
2024-07-10,1146978.2419395884,1368663.9105951914,-108048.46561443435,-113637.20304116872,27.512337896620217,12.897939272293836
2024-07-11,1145916.249131869,1368635.9824795239,-109601.52364174655,-113118.20970590824,27.928115667542137,0.0
2024-07-12,1148306.377096369,1368608.2930006718,-105829.81128970264,-114472.10461460042,27.689478852199166,0.0
2024-07-15,1146308.207936043,1368580.4209612065,-109379.65820927337,-112892.55481589028,27.872039465296652,0.0
2024-07-16,1146427.1168338507,1368552.585768077,-110045.25450669289,-112080.21442753341,27.83519312946622,0.0
2024-07-17,1141935.6363799984,1368524.3412199728,-118254.27550820023,-108334.42933177421,28.244548104148617,0.0
2024-07-18,1138361.2806232066,1368495.7692755044,-124688.37304992219,-105446.11560237547,28.571944468334202,0.0
2024-07-19,1132236.925338464,1368466.6187229026,-135116.04837616123,-101113.64500827738,29.15055260186589,0.0
2024-07-22,1140439.5961196541,1368438.2632247698,-121582.2569952978,-106416.41010981797,28.355498132845796,0.0
2024-07-23,1141870.412374129,1368410.0642576306,-119807.33353551243,-106732.31834798922,28.198967139221345,0.0
2024-07-24,1123363.128293491,1368380.1197057243,-151755.95581164907,-93261.03560058415,29.944551906313905,0.0
2024-07-25,1123046.8558777915,1216639.7656821674,-32301.831946511564,-61291.077857864366,29.927081462832405,90.9716731613595
2024-07-26,1123008.5222064876,1216627.5921736585,-28707.552958243657,-64911.51700892722,12.173508508824979,0.0
2024-07-29,1123476.4922402282,1241840.270529718,-43387.686787639606,-74976.09150185029,12.140321984169786,15.143977593382129
2024-07-30,1122071.8402709372,1241824.952554619,-46873.535127843126,-72879.57715583865,15.31797509896169,0.0
2024-07-31,1122653.5538377247,1241809.6537452384,-44351.85760514271,-74804.24230237091,15.298809380469539,0.0
2024-08-01,1121211.697776617,1234601.005969657,-41075.095016146,-72314.21317689394,15.297454784545481,9.055578875981666
2024-08-02,1117372.0180595529,1234586.3827156394,-60679.11763748841,-56535.247018598224,14.623254017658846,0.0
2024-08-05,1088123.5012492617,1234569.015058236,-111906.29579682958,-34539.2180121447,17.367657403378498,0.0
2024-08-06,1128614.8232037635,1207620.0862462425,-26335.087680826353,-52670.1753616527,12.926559731316512,31.791688794374057
2024-08-07,1130648.4766486285,1207610.0839605138,-23808.217472014672,-53153.38983987053,10.002285728764777,0.0
2024-08-08,1130326.353187781,1226703.9984284064,-33434.49600859942,-62943.14923202598,10.135816250770933,11.469311757540487
2024-08-09,1130972.4301237315,1226691.439191742,-24844.757978740352,-70874.25108927018,12.559236664261514,0.0
2024-08-12,1131137.9803695807,1262440.6886363947,-49631.46081661684,-81671.24745019706,12.55005268340271,21.469961675406818
2024-08-13,1131888.2006430586,1262423.78045711,-42654.51424814674,-87881.06556590462,16.908179284858164,0.0
2024-08-14,1132033.7771079142,1262406.746012557,-36708.25296820063,-93664.7159364422,17.034444552743818,0.0
2024-08-15,1131203.3463237956,1357455.430344481,-113126.04201034259,-113126.04201034259,17.20793812721119,57.07377962980865
2024-08-16,1131668.2707827166,1357427.1586393618,-112597.41564580827,-113161.47221083702,28.271705119273808,0.0
2024-08-19,1133988.647979506,1357399.0913703858,-107839.77836499948,-115570.66502588031,28.067268976047746,0.0
2024-08-20,1129385.8990770492,1357370.625503931,-117090.73974434992,-110893.98668253189,28.46586645485474,0.0
2024-08-21,1127779.8555829294,1357342.0217204865,-120262.49793155579,-109299.66820600118,28.603783444462003,0.0
2024-08-22,1122664.1884003738,1357312.955402041,-129777.7724931734,-104870.994508494,29.066318445439947,0.0
2024-08-23,1131520.8053472308,1357284.7424721117,-114976.23428621268,-110787.70283866838,28.21292992948505,0.0
2024-08-26,1131811.5013713422,1357256.573449393,-114976.23428621268,-110468.83779183828,28.169022718671542,0.0
2024-08-27,1134625.2253526915,1357228.663558557,-109689.97064086956,-112913.46756499578,27.909890836135116,0.0
2024-08-28,1128425.9320543392,1357200.2079133305,-121848.37702515873,-106925.89883383253,28.455645226382924,0.0
2024-08-29,1133419.329869751,1357172.2322527156,-113390.35519260974,-110362.54719035499,27.975660614981884,0.0
2024-08-30,1136372.154040696,1357144.5216347598,-107575.46518273233,-113196.90241133145,27.71061795580476,0.0
2024-09-03,1116190.3323647184,1357115.0668892765,-148808.3216164086,-92116.41290814936,29.454745483407883,0.0
2024-09-04,1110501.2130090657,1357085.0443456906,-157266.34344895757,-89317.48788766733,30.022543585922428,0.0
2024-09-05,1121795.454288341,1260134.2071288414,-53414.6549484904,-84924.0978920098,28.83201784868971,58.11833212012817
2024-09-06,1120247.4057160465,1260116.4738677547,-61059.50333331152,-78809.56481839674,17.733261086763548,0.0
2024-09-09,1123315.3469151668,1260098.9718639962,-53315.371203232986,-83468.25374559649,17.502003758507996,0.0
2024-09-10,1123482.2036503826,1289191.5351021655,-68933.73275795074,-96775.59869383239,17.51888672223674,17.47653519605256
2024-09-11,1125521.7911403289,1289170.571524847,-62823.9992187104,-100824.78116580781,20.963577318511533,0.0
2024-09-12,1125827.1894659908,1289149.6263204557,-61761.436864059906,-101560.999990405,20.94520439129506,0.0
2024-09-13,1125666.9379749093,1289128.6552963504,-61495.79627539728,-101965.92104604378,20.971024105234132,0.0
2024-09-16,1125330.0665067432,1350403.4397153163,-112536.68660428662,-112536.68660428662,20.97625006405081,36.79953612309185
2024-09-17,1123247.941098674,1350375.079202557,-116581.34553086774,-110545.7925730153,28.360512759366166,0.0
2024-09-18,1126960.5447174103,1350347.120746729,-112060.84437763001,-111325.73165168878,27.958455827929733,0.0
2024-09-19,1129792.9324066278,1350319.3717383216,-104685.28986445267,-115841.14946724122,27.74900840739574,0.0
2024-09-20,1130347.479818292,1350291.679111332,-103733.60541113946,-116210.59388190054,27.692626989596466,0.0
2024-09-23,1129573.2671635943,1350263.9074927077,-104685.28986445267,-116005.3504646607,27.771618624103898,0.0
