date,ratio,rho,gross_frac,sleeve_equity,base_equity,put_mtm,put_cash_cum,realized_cum,redeploy_extra,combined_equity,combined_ret,drawdown
2025-11-06,0.9133489298166292,1.27790774847191,0.16387199269865171,1159693.6724714425,1318444.3807556496,35920.0,-42884.442865219055,48336.0,2654.8398627126444,1314134.7777531433,-0.003670594788789394,-0.005140689511762719
2025-11-07,0.9004247023514574,1.170205852928812,0.17787323911925446,1161190.78981434,1320326.1661681535,35920.0,-42884.442865219055,48336.0,2701.229380773453,1316062.952683708,0.00146725812542714,-0.0036809741047920674
2025-11-10,0.8695652460720067,1.0,0.2,1167614.1583882102,1327811.3032663567,35920.0,-42884.442865219055,48336.0,2890.522170842465,1323737.3825719801,0.005831354702769076,0.0
2025-11-11,0.8558692535691933,1.0,0.2,1168289.5981266198,1328762.0825013188,35920.0,-42884.442865219055,48336.0,2913.0771299145636,1324710.7167660145,0.0007352925186288051,0.0
2025-11-12,0.8608652948635308,1.0,0.2,1167851.0745374209,1328446.0283193407,35920.0,-42884.442865219055,48336.0,2903.3182777765905,1324384.9037318984,-0.00024595032711105524,-0.00024595032711105524
2025-11-13,0.9153317917999374,1.2944315983328116,0.1617238922167345,1161079.2884820807,1320924.1192179571,35920.0,-42884.442865219055,48336.0,2709.8419907647185,1316669.518343503,-0.005825636766664144,-0.006070154276506812
2025-11-14,0.9189063945233109,1.3242199543609243,0.15785140593307986,1164160.975637878,1324610.84360589,35920.0,-42884.442865219055,48336.0,2802.1999028486607,1320448.6006435195,0.002870182872290572,-0.003217393857052775
2025-11-17,0.9654874402986721,1.7123953358222672,0.10738860634310528,1157267.8296224985,1316947.3348547611,35920.0,-42884.442865219055,48336.0,2605.2041662012125,1312588.0961557433,-0.005952904553759519,-0.00915114557226937
2025-11-18,1.0061124536647985,2.0,0.06999999999999999,1150900.2907663775,1309878.354262282,35920.0,-42884.442865219055,48336.0,2423.455968693095,1305337.367365756,-0.005523994017028633,-0.014624588715907771
2025-11-19,0.9862442714941855,1.8853689291182123,0.08490203921463241,1156094.6977706074,1315967.704905042,35920.0,-42884.442865219055,48336.0,2577.102063437749,1311580.3641032607,0.004782669134879125,-0.009911864150090488
2025-11-20,1.0256211118613316,2.0,0.06999999999999999,1144343.6839321423,1302800.5073377825,35920.0,-42884.442865219055,48336.0,2239.188771904199,1298075.2532444678,-0.01029682299950141,-0.02010662643884331
2025-11-21,0.9778798497684275,1.8156654147368956,0.09396349608420358,1144231.8101495574,1302879.861856208,35920.0,-42884.442865219055,48336.0,2238.909054474556,1298154.3280454637,6.091696209309383e-05,-0.02004693431135085
2025-11-24,0.9391304393370179,1.4927536611418157,0.13594202405156394,1143489.569803975,1302226.803108344,35920.0,-42884.442865219055,48336.0,2220.343904790556,1297482.7041479156,-0.0005173682997762219,-0.020553930962806777
2025-11-25,0.8953207851320653,1.127673209433877,0.18340248277359597,1145064.2823970886,1304212.4626524674,35920.0,-42884.442865219055,48336.0,2268.9904061793204,1299517.0101934278,0.0015678868311761462,-0.019018270369316137
2025-11-26,0.8586413656844551,1.0,0.2,1145498.5707608634,1304899.8520501205,35920.0,-42884.442865219055,48336.0,2284.5555082586798,1300219.9646931603,0.0005409352045555593,-0.018487622816733107
2025-11-28,0.8324847703451175,1.0,0.2,1145681.2475666634,1305300.835765792,35920.0,-42884.442865219055,48336.0,2292.822262767666,1300629.2151633408,0.00031475479633713555,-0.018178687088350354
2025-12-01,0.8526211847955821,1.0,0.2,1145517.2096280723,1305292.1257472094,35920.0,-42884.442865219055,48336.0,2291.0318765770644,1300618.7147585675,-8.073326856594676e-06,-0.018186613652724226
2025-12-02,0.8361895173888859,1.0,0.2,1147658.1189258855,1307910.3307503404,35920.0,-42884.442865219055,48336.0,2356.1048753451614,1303301.9927604666,0.0020630781115564822,-0.01616105594571804
2025-12-03,0.815829562182665,1.0,0.2,1148360.218954332,1308889.6803380423,35920.0,-42884.442865219055,48336.0,2379.4407964588754,1304304.6782692822,0.0007693424197807719,-0.015404146911824679
2025-12-04,0.8096459681007926,1.0,0.2,1149116.6570356644,1309931.3891602538,35920.0,-42884.442865219055,48336.0,2404.3534852895245,1305371.2997803243,0.0008177702102989404,-0.014598973753985334
2025-12-05,0.7996886082690045,1.0,0.2,1150165.8463231933,1311307.3291153354,35920.0,-42884.442865219055,48336.0,2437.758930910313,1306780.6451810268,0.001079650978184965,-0.013535084572094291
2025-12-08,0.8367654432492407,1.0,0.2,1149330.5606214928,1310534.9381052363,35920.0,-42884.442865219055,48336.0,2416.499240563957,1305986.9944805813,-0.000607332763438384,-0.014134197035216123
2025-12-09,0.8431275084413,1.0,0.2,1149270.1291919535,1310645.8366494323,35920.0,-42884.442865219055,48336.0,2417.7173556078415,1306099.1111398211,8.584822032209338e-05,-0.0140495622105552
2025-12-10,0.8149870876935799,1.0,0.2,1152777.0624187875,1314825.839147202,35920.0,-42884.442865219055,48336.0,2522.419591403246,1310383.8158733863,0.003280535678357621,-0.01081511662229473
2025-12-11,0.7795276102993226,1.0,0.2,1154264.4652096592,1316703.896496169,35920.0,-42884.442865219055,48336.0,2568.5389463110696,1312307.992577261,0.001468406951128376,-0.009362590663591686
2025-12-12,0.8176623257723722,1.0,0.2,1153921.7009086716,1316494.646954153,35920.0,-42884.442865219055,48336.0,2561.568551917211,1312091.7726408513,-0.00016476310258928262,-0.009525811156695041
2025-12-15,0.8384146211451302,1.0,0.2,1154186.4528080462,1316978.4888809116,35920.0,-42884.442865219055,48336.0,2572.221750119308,1312586.2677658119,0.00037687541014386206,-0.009152525790537713
2025-12-16,0.8378240710887354,1.0,0.2,1154079.8305419388,1317038.665461141,35920.0,-42884.442865219055,48336.0,2572.1024777185667,1312646.3250736406,4.575494144920533e-05,-0.009107189622370115
2025-12-17,0.8774900849691524,1.0,0.2,1153382.452094166,1316424.504813512,35367.44247749996,-42331.885342719004,48336.0,2554.846809041759,1312014.9087573348,-0.00048102547064254875,-0.009583834302838268
2025-12-18,0.8611536859536383,1.0,0.2,1155684.602686036,1319234.2303822676,32398.646056190722,-42331.885342719004,48336.0,2624.6032473316445,1311925.594343071,-6.807423731813866e-05,-0.009651256127945707
2025-12-19,0.8169862930088827,1.0,0.2,1158331.0447260763,1322435.275239158,27793.784805092422,-42331.885342719004,48336.0,2704.3475442851413,1310601.5222458167,-0.0010092585303341783,-0.010650774045704248
2025-12-22,0.7914558290672626,1.0,0.2,1162031.4834624864,1326841.3559427299,26273.414730704444,-42331.885342719004,48336.0,2814.667128208588,1313597.5524589238,0.0022859962866312866,-0.008389125388991392
2025-12-23,0.7847533565165998,1.0,0.2,1161534.543979905,1326455.8197928392,25932.707444875505,-42331.885342719004,48336.0,2803.2279078187203,1312859.8698028144,-0.0005615743229183678,-0.008945988594499465
2025-12-24,0.7580191288708604,1.0,0.2,1161622.9491477772,1326738.634396563,25220.42366284497,-42331.885342719004,48336.0,2808.769118989694,1312435.9418356786,-0.00032290420088743055,-0.009266004098088643
2025-12-26,0.7653348357415443,1.0,0.2,1161778.126028848,1327097.8061806876,25196.74749534639,-42331.885342719004,48336.0,2816.2477800216875,1312778.9161133368,0.0002613264897168843,-0.00900709906069641
2025-12-29,0.7968574664672692,1.0,0.2,1163037.3145561744,1328718.4616180777,25803.84375205457,-42331.885342719004,48336.0,2855.75258306419,1315046.1726104773,0.0017270665070192592,-0.00729558841279021
2025-12-30,0.8064152816296248,1.0,0.2,1164129.3555939752,1330148.8381540708,25894.85276862436,-42331.885342719004,48336.0,2890.409209562262,1316602.2147895384,0.001183260490369209,-0.006120960503943951
2025-12-31,0.8223322089279023,1.0,0.2,1163364.8633365552,1329458.1121097947,26797.690639789158,-42331.885342719004,48336.0,2871.211245885883,1316795.1286527507,0.0001465240306033344,-0.005975333341144751
2026-01-02,0.8052164184396787,1.0,0.2,1165543.8463037894,1332131.3974805113,25985.83490318093,-42331.885342719004,48336.0,2937.3993573243133,1318722.7463982974,0.0014638706535303747,-0.004520209802737485
2026-01-05,0.8133187700183114,1.0,0.2,1164336.4075468676,1330934.6858136347,26098.450101476883,-42331.885342719004,48336.0,2905.3532320072554,1317606.6038043997,-0.0008463815437672606,-0.005362765524353774
2026-01-06,0.8126721933889719,1.0,0.2,1165253.006471109,1332165.7923086467,25641.882593428123,-42331.885342719004,48336.0,2934.9225932023983,1318410.7121525581,0.0006102795370308556,-0.004755758773384411
2026-01-07,0.827326518999511,1.0,0.2,1163869.7400243336,1330767.5940703258,26330.101115623806,-42331.885342719004,48336.0,2897.7770013261324,1317663.5868445567,-0.000566686314905307,-0.005319750064875839
2026-01-08,0.8401305232213222,1.0,0.2,1165262.661203145,1332543.6058141557,26296.70001743349,-42331.885342719004,48336.0,2941.1647359055496,1319449.5852247756,0.0013554281973411353,-0.003971532406775391
2026-01-09,0.8104027098006256,1.0,0.2,1166639.3081829979,1334301.7964355354,25062.89879689074,-42331.885342719004,48336.0,2984.0808903918805,1320016.890780099,0.0004299562193781359,-0.0035432837724559407
2026-01-12,0.829402099025191,1.0,0.2,1166144.0776936968,1333917.5365313133,25489.349605907802,-42331.885342719004,48336.0,2972.6973450624937,1320047.6981395644,2.3338610043888153e-05,-0.0035200278577302013
2026-01-13,0.8477453166497164,1.0,0.2,1163855.7073697727,1331481.4961883242,26331.684794626293,-42331.885342719004,48336.0,2909.2981544102076,1318390.5937946416,-0.0012553367179521935,-0.004770945755464329
2026-01-14,0.8647392500919948,1.0,0.2,1160199.9514606355,1327479.5873536514,27372.38900233199,-42331.885342719004,48336.0,2806.233776787747,1315326.3247900521,-0.00232424974739065,-0.007084106633387988
2026-01-15,0.8380952630844372,1.0,0.2,1164384.0797126526,1332447.807690475,26054.003607344323,-42331.885342719004,48336.0,2930.59256407863,1319100.518519179,0.002869397242337701,-0.004235036507088563
2026-01-16,0.8351764006231677,1.0,0.2,1163690.72689716,1331835.7153024492,25987.919199703545,-42331.885342719004,48336.0,2913.4638390801556,1318405.2129985138,-0.0005271057898192932,-0.004759909984644928
2026-01-20,0.9440789240761437,1.533991033967864,0.13058116558417768,1148965.3359732833,1315160.3681943612,34105.5536375597,-42331.885342719004,48336.0,2489.28836240535,1309423.3248516072,-0.006812691620415201,-0.011540173806193765
2026-01-21,0.8729338370730239,1.0,0.2,1168190.22351831,1337346.1237877079,27194.080629158405,-42331.885342719004,48336.0,3049.9573465247086,1325258.276420672,0.012093072781378167,0.0
2026-01-22,0.8341333516438802,1.0,0.2,1170203.4412376177,1339834.4066389361,24689.097405051798,-41536.885342719004,48336.0,3111.3434854788647,1326097.9621867477,0.0006336016012995493,0.0
2026-01-23,0.8402089019896685,1.0,0.2,1168809.3456554052,1338421.7939354358,25000.869649974848,-41536.885342719004,48336.0,3073.889357146785,1324959.6675998385,-0.0008583789579407197,-0.0008583789579407197
