signal,k_z,n_pairs,ew_mean_full,ew_median_full,winsor_mean_full,ew_mean_h1,ew_mean_h2,ew_median_h1,ew_median_h2,ew_mean_vol,ew_mean_dd,ret_over_vol,rank_winsor_mean_full,rank_ew_median_full,rank_ew_mean_h1,rank_ew_mean_h2,rank_ret_over_vol,composite_rank
momentum,0.6,45.0,0.12048344494976233,0.04995148653286541,0.1019858410199057,-0.15342588467425503,0.6134642621929338,-0.05673284102524023,0.07234948601256663,0.35932508408659974,-0.23301455039432808,0.3353048542548313,22.0,24.0,7.0,12.0,19.0,16.8
momentum,-0.05,45.0,0.12853542013529407,0.07889854518230721,0.10954997528913982,-0.1643592652324543,0.5029349285434584,-0.06723957513598577,0.16561426909559174,0.40148565038236617,-0.24397182902958467,0.3201494748638706,19.0,17.0,18.0,23.0,20.0,19.4
momentum,-0.2,45.0,0.11211776060580002,0.08036093698703728,0.08181140208889104,-0.1522721565538907,0.3591975827004964,-0.08141208879864126,0.17995393527586034,0.39126419800223705,-0.24133989871918982,0.2865525677490149,26.0,14.0,6.0,28.0,26.0,20.0
composite,-0.05,45.0,0.12535714040623422,0.0658295650938241,0.11475049371995619,-0.16831475012761032,0.5578783880290329,-0.06634622550437547,0.15739547783063657,0.39664274318784026,-0.2436723798194093,0.3160454654955534,17.0,20.0,24.0,18.0,21.0,20.0
range,-0.05,45.0,0.1218210833844393,0.06300723432739419,0.11731050480843316,-0.17208693830100008,0.5883380384543933,-0.06561368173279647,0.2179820814290363,0.39164682549265445,-0.24349904581764392,0.31104831050577253,16.0,22.0,27.0,15.0,22.0,20.4
momentum,-0.1,45.0,0.11846588389041963,0.07767183583859483,0.09370609526020487,-0.16053815376227076,0.42345758239520626,-0.07237465078472427,0.1816895198943551,0.4010711852666379,-0.24474898030212056,0.29537370981079536,25.0,18.0,14.0,26.0,24.0,21.4
range,-0.1,45.0,0.11066790128631698,0.047596556826573266,0.09855557201301565,-0.17380277563362828,0.5697661171389398,-0.06403805865801615,0.18790461787860058,0.38534667239502773,-0.24362774833959536,0.28719049420743087,23.0,26.0,28.0,17.0,25.0,23.8
composite,-0.1,45.0,0.11725960470864767,0.04832245504660748,0.0967192769348448,-0.16801753302074496,0.49431590572030465,-0.07012159063809331,0.13864721072493702,0.3941068962540403,-0.24457176237645895,0.29753248629545026,24.0,25.0,23.0,24.0,23.0,23.8
composite,-0.2,45.0,0.10048471905062362,0.028322373457182026,0.07516665661368688,-0.1662465004969702,0.3996341434698731,-0.07335246494668807,0.12678543928767905,0.3864931145675243,-0.24453076659686804,0.25999096817821293,27.0,27.0,20.0,27.0,27.0,25.6
range,-0.2,45.0,0.09010430653251365,0.028064097388837306,0.07277164241044767,-0.17185217801506297,0.5294590713437048,-0.06179614759419383,0.12389600767322007,0.37076201966207717,-0.24105880728103155,0.24302464048134495,28.0,28.0,26.0,20.0,28.0,26.0
