date,book_equity_start,book_equity,daily_price_pnl,daily_borrow_cost,daily_short_credit,daily_margin_cost,daily_txn_cost,daily_net_pnl,pnl_recon_residual,long_notional,short_notional,gross_notional,net_notional,pair_gross_notional,raw_plan_stock_gross_usd,blended_stock_structural_gross_usd,target_blend_alpha,pace_bootstrap_active,confirmed_desired_gross_usd,turnover_reference_gross_usd,deployed_desired_gross_ratio,underlying_internalized_usd,gross_leverage,net_exposure_pct,turnover_usd,n_positions,largest_pair_gross_share,top5_gross_share,gross_hhi,n_stale_etf,n_stale_underlying,is_rebalance,active_plan_date,drawdown,core_leveraged,core_leveraged__price_pnl,core_leveraged__borrow_cost,core_leveraged__short_credit,core_leveraged__margin_cost,core_leveraged__txn_cost,core_leveraged__net_cap,core_leveraged__gross_cap,yieldboost,yieldboost__price_pnl,yieldboost__borrow_cost,yieldboost__short_credit,yieldboost__margin_cost,yieldboost__txn_cost,yieldboost__net_cap,yieldboost__gross_cap,inverse_decay_bucket4,inverse_decay_bucket4__price_pnl,inverse_decay_bucket4__borrow_cost,inverse_decay_bucket4__short_credit,inverse_decay_bucket4__margin_cost,inverse_decay_bucket4__txn_cost,inverse_decay_bucket4__net_cap,inverse_decay_bucket4__gross_cap,volatility_etp_bucket5,volatility_etp_bucket5__price_pnl,volatility_etp_bucket5__borrow_cost,volatility_etp_bucket5__short_credit,volatility_etp_bucket5__margin_cost,volatility_etp_bucket5__txn_cost,volatility_etp_bucket5__net_cap,volatility_etp_bucket5__gross_cap,core_leveraged_cum_pnl,yieldboost_cum_pnl,inverse_decay_bucket4_cum_pnl,volatility_etp_bucket5_cum_pnl
2026-06-02,1228217.8094188531,1232042.6457273122,6198.780383672149,1173.8032851824676,169.0607920606198,186.35571344018362,1182.8458686510405,3824.836308459053,-2.4556356947869062e-11,3054014.165927989,1618408.8935474998,4672423.059475489,1435605.2723804892,4729391.575411065,4765388.837108735,3332601.9551605275,0.05,False,3500115.0844356455,4729391.575411065,1.3512103063244352,28484.257967786165,3.792419909878376,1.1652236855267357,555330.246524053,300,0.17888973351632026,0.4070805186317685,0.057605146728362346,68,68,1,2026-06-01,-0.014255032146693214,4293.353009035065,6522.889285904206,1142.579300407344,157.17781759009029,184.29812088257285,1059.8366731693138,1572379.0051835587,4507556.828987623,-329.0922181604455,-232.52196772975597,9.902205199750505,10.294701449398746,2.0575925576112977,94.9051541227265,-84796.82135290848,169857.83497327738,-124.71337784757404,-91.58693450229984,21.32177957537305,1.5882730211307372,0.0,13.392936791031875,-43950.12757159631,43950.12757159631,-14.711104567968343,0.0,0.0,0.0,0.0,14.711104567968343,-8026.783878565989,8026.783878565989,21314.375924688513,7836.293859200395,2906.687047990925,-14.711104567968343
2026-06-03,1232042.6457273122,1252561.682639083,21500.302709206622,927.0771248611882,158.66486030740194,211.0624889571969,1.791043924819235,20519.0369117707,-1.2005330063402653e-10,2960323.503274318,1503063.6355345643,4463387.138808882,1457259.8677397536,4517638.460476167,4840114.022890089,3332601.9551605275,0.05,False,3502741.8270024695,4517638.460476167,1.2897434877015221,27125.66083363956,3.563407056652695,1.1634236364866137,797.7809870413269,300,0.1628810361133422,0.3968621247827578,0.05340371413203907,58,58,1,2026-06-02,0.0,21952.68615242745,22903.860182735458,885.3229306915348,142.63242564093204,208.44733898554756,0.03618627185488122,1595273.3684641528,4297791.982773425,-997.6200923654727,-992.0865909276099,14.529307877033627,13.365814063784631,2.6151499716495814,1.7548576529643536,-85625.11839163475,167458.09536997805,-446.3018435333195,-423.2098630448164,24.91256857416443,1.8205880856613084,0.0,0.0,-44373.337434641144,44373.337434641144,10.272695242166709,11.738980443598283,2.312317718455605,0.84603251702403,0.0,0.0,-8015.044898122391,8015.044898122391,43267.06207711596,6838.673766834922,2460.385204457605,-4.438409325801635
2026-06-04,1252561.682639083,1225007.552998531,-26585.197131760815,912.7530737490839,156.2809670349443,208.40971617233146,4.050685904743727,-27554.129640551982,5.093170329928398e-11,2910362.992106028,1481368.4595385138,4391731.451644542,1428994.532567514,4447265.734266358,4733649.005237274,3332601.955160527,0.05,False,3498999.3646609965,4447265.734266358,1.2710107292909543,27767.14131091023,3.5850647948207452,1.166518956613509,1956.7372580394058,300,0.1654584360808899,0.3962257242269689,0.05376368082888259,69,69,1,2026-06-03,-0.021998221742259294,-27964.327562140992,-27023.1870531263,875.6016245880808,140.2785581147725,205.78185202623732,0.03559051514498684,1568236.0373500427,4226157.923061442,-29.951757881561015,-29.887631023623037,10.118245903860117,13.36419096219087,2.627864146094234,0.6822077701744897,-85694.93736488221,167561.2437872739,431.99128474263745,458.18849631619395,24.657532128785714,1.7932081746534547,0.0,3.33288761942425,-45541.211575597445,45541.211575597445,8.158394727892357,9.689056072922199,2.3756711283572844,0.8450097833274437,0.0,0.0,-8005.355842049468,8005.355842049468,15302.734514974967,6808.722008953361,2892.3764892002428,3.719985402090723
2026-06-05,1225007.552998531,1276996.7171772786,52862.50718807242,823.1328710920271,137.97807242957626,186.879334761513,1.308875900583443,51989.164178747684,-1.8917489796876907e-10,2789086.408658686,1307092.0034467636,4096178.4121054495,1481994.4052119225,4146454.1974829235,4934533.205673827,3332601.9551605275,0.05,False,3506060.8536994173,4146454.1974829235,1.1826532312203868,25137.892688735155,3.207665577371096,1.1605311002582517,566.5944673232084,300,0.17352339522926782,0.39620008746862984,0.055841794709751535,75,75,1,2026-06-04,0.0,53357.61415280288,54201.360758752344,780.844309838592,121.84451600894401,184.6784242523617,0.06838786745512652,1622404.8890525831,3931070.333015099,-729.6576287694566,-729.3103540897807,9.976398441558622,13.070522304162568,2.200910509151266,1.2404880331283163,-86254.37320641984,161227.75383358193,-644.2367280252655,-616.3814156569069,30.074058511402153,2.218746143043643,0.0,0.0,-46157.59299125433,46157.59299125433,5.444382739695262,6.838199066743755,2.2381043004744465,0.8442879734259542,0.0,0.0,-7998.517642982724,7998.517642982724,68660.34866777784,6079.064380183905,2248.139761174977,9.164368141785985
2026-06-08,1276996.7171772786,1240792.3403526072,-35314.112460903525,832.9411167135067,138.43778453553884,187.54377221203424,8.21725937797452,-36204.3768246714,9.458744898438454e-11,2757885.4034739705,1314353.489012459,4072238.89248643,1443531.9144615114,4125035.044012535,4794660.154705646,3332601.9551605275,0.05,False,3501144.030902822,4125035.044012535,1.178196328857923,26398.07576305396,3.2819664983821424,1.1633952495639117,3159.2149933234627,300,0.1754813884913899,0.3997140262710905,0.056449416290746214,64,64,1,2026-06-06,-0.028351190208772747,-36707.7324252283,-35852.02861998729,792.7994806844696,122.44873466311067,185.3033577003265,0.049701519315573546,1586530.023945607,3906634.148786272,114.70749914604194,113.93875606791114,9.976359640676492,13.073599741182806,2.240414511707734,0.08808251066777954,-86167.09069305082,161569.87643521704,361.5693895409779,395.4773980115937,27.902703614305306,2.0741704916806833,0.0,8.079475347991165,-48861.00115306744,48861.00115306744,27.07871186976367,28.50000500425452,2.2625727740552453,0.841279639564394,0.0,0.0,-7970.01763797847,7970.01763797847,31952.616242549542,6193.771879329947,2609.709150715955,36.24308001154965
2026-06-09,1240792.3403526072,1225712.3358158106,-13890.099181066316,704.480276958141,131.40599677042522,179.0150406935795,437.8160348490907,-15080.004536796594,1.0732037480920553e-10,2535784.8192151543,1287610.3846206055,3823395.20383576,1248174.4345945488,3875087.3043564153,4738048.545109591,3426302.6812995123,0.05,False,3592854.7435925603,3875087.3043564153,1.0785538467056548,25846.05026033055,3.119325058673723,1.0183257507674408,197144.06487865662,300,0.11853015542392732,0.3513411978051767,0.04256958763846138,243,243,1,2026-06-06,-0.04016015129218886,-14678.070118587872,-13531.804491524179,659.129494192992,115.02253460985031,176.80073992766577,425.3579275528839,1397397.2077304283,3650461.745478371,0.8843461918462214,0.0,9.976359640676492,13.075006598436357,2.2143007659136433,0.0,-86167.09069305082,161569.87643521704,-383.9471281365143,-353.2729114029578,33.14086257954916,2.466645845992644,0.0,0.0,-49214.2740644704,49214.2740644704,-18.87163626416304,-5.0217781391786644,2.233560544923324,0.8418097161457518,0.0,12.458107296206803,-13841.4083783598,13841.4083783598,17274.54612396167,6194.656225521793,2225.7620225794403,17.37144374738661
2026-06-10,1225712.3358158106,1234822.1929720442,9790.145142021527,649.1439042183464,124.99248859762514,149.2141386266532,6.922431540391797,9109.85715623363,-1.3096723705530167e-10,2440972.8167211763,1185096.6634893033,3626069.4802104793,1255876.153231873,3677713.222098392,4771585.506772019,3426302.6812995123,0.05,False,3594033.6361418325,3677713.222098392,1.0232829167526627,25821.870943956776,2.9365114271902075,1.0170501958740754,2857.8477658802262,300,0.11557020984665897,0.3504345955699339,0.041983083678226694,85,85,1,2026-06-09,-0.03302633721600989,6859.895235907186,7504.277779229225,604.5704329384541,107.96935572938429,147.1011320598081,0.6803340531608874,1404759.120717958,3450381.2979670195,1844.5682076509213,1844.3665845828584,9.989656177579185,13.024795624727965,2.11300656684512,0.7205098122405105,-84013.920556879,162462.87720216723,436.2773794456267,473.60507069424875,34.3400144796665,2.5339109060348544,0.0,5.5215876749904,-50995.534258363405,50995.534258363405,-30.883666769984398,-32.10429248481603,0.2438006226464076,1.4644263374780428,0.0,0.0,-13873.512670844615,13873.512670844615,24134.441359868855,8039.224433172714,2662.039402025067,-13.512223022597787
2026-06-11,1234822.1929720442,1226590.9639251728,-7447.334150632554,756.8152198806558,139.00781053377665,165.46433361693516,0.6231532751506255,-8231.22904687142,1.000444171950221e-10,2565471.1737970877,1316789.8448714975,3882261.0186685855,1248681.3289255903,3934931.138638461,4739754.3244023025,3426302.6812995123,0.05,False,3592914.705211002,3934931.138638461,1.0951919156141987,26335.05998494127,3.165082030479901,1.0180095611741071,268.1909462875093,300,0.12920007877693365,0.36460797449128823,0.04501898578017657,50,50,1,2026-06-10,-0.03947210871733842,-8161.480730889488,-7407.0614330292165,713.0965949722245,122.0162740089514,163.2807130214699,0.05826387552900878,1397361.696567179,3709239.3562966427,-1097.813735946637,-1098.0869605413707,10.013983705419799,13.03571829524027,2.1836205954652823,0.5648893996216168,-84869.13495531627,161880.54965555316,923.1800247713012,954.1618018309644,33.48411004277568,2.5023329831125327,0.0,0.0,-50041.372456532416,50041.372456532416,104.88539519330577,103.65244110706914,0.22053116023566496,1.4534852464722965,0.0,0.0,-13769.860229737547,13769.860229737547,15972.960628979366,6941.410697226077,3585.219426796368,91.37317217070799
2026-06-12,1226590.9639251728,1238736.3120397972,12929.400511060223,756.6065441787009,139.8944506794312,166.63061164110385,0.7096912953239469,12145.348114624387,-1.382431946694851e-10,2586902.830727971,1325338.5675666232,3912241.398294594,1261564.263161348,3965116.0923759392,4786686.308139231,3426302.6812995123,0.05,False,3594564.4600846525,3965116.0923759392,1.1030866566467306,26437.347040670924,3.1582519703910195,1.0184284184613597,307.5900767247171,300,0.12821652664128272,0.3632078290805425,0.045085064591261145,68,68,1,2026-06-11,-0.02996124001168432,10973.944436493673,11726.82133979855,711.4549215981193,122.99374779117191,164.41282049777544,0.002909000154142426,1409087.9426424417,3739495.342566325,1250.5539976380217,1250.4593208318645,9.931377365224558,12.950627609880268,2.2177911433286437,0.7067822951698046,-83664.5666452519,161761.63697377333,-129.96492181658107,-97.4464045628315,35.02033927923864,2.501822025489066,0.0,0.0,-50138.81886109526,50138.81886109526,50.814602309415804,49.56625499264453,0.19990593611846733,1.4482532528897396,0.0,0.0,-13720.293974744902,13720.293974744902,26946.905065473038,8191.964694864098,3455.2545049797873,142.18777448012378
2026-06-15,1238736.3120397972,1236580.9874230311,-1430.2981037304503,697.0853039144829,145.45634523558357,173.227011739015,0.17054261783591687,-2155.324616766069,1.3096723705530167e-10,2638141.4462368353,1378077.3684887972,4016218.814725633,1260064.077748038,4071225.682576494,4778355.691238929,3426302.6812995127,0.05,False,3544808.3756045536,4071225.682576494,1.148503741582974,27503.433925433084,3.247841310495335,1.0189903375224494,69.88730958386645,300,0.10288481937480942,0.3457003063995576,0.04087841866943522,79,79,1,2026-06-14,-0.03164904749605302,-2459.2214727772716,-1760.9589879503387,655.9983754584904,128.71401979306853,170.97812916151096,0.0,1407326.9836544916,3846118.937628425,-978.551542002654,-979.3478917965452,9.997827890267422,13.043060261662596,2.248882577503855,0.0,-84643.9145370484,162487.75357866395,1318.6104661018906,1347.4495860915547,30.91563721428299,2.247059842454771,0.0,0.17054261783591687,-48861.25658458759,48861.25658458759,-36.162068088166144,-37.4408100751217,0.1734633514421068,1.4522053383976692,0.0,0.0,-13757.734784820024,13757.734784820024,24487.683592695765,7213.413152861444,4773.864971081678,106.02570639195764
2026-06-16,1236580.9874230311,1253176.4101402583,18065.308260830177,629.501105549356,139.49151899851117,166.3152519229964,813.5607051292188,16595.422717227135,1.4551915228366852e-11,2484593.859661441,1365530.1180414436,3850123.9777028845,1119063.7416199972,3900975.695344534,4845626.245675052,3515918.4646942415,0.05,False,3686252.1024007397,3900975.695344534,1.058249839397569,25425.858820825582,3.0722920943524383,0.892981812109557,369635.5196322466,298,0.08601710668181316,0.3138713431229182,0.035735215948249105,71,71,1,2026-06-15,-0.018653381576166916,15693.650378137478,16993.135916007403,587.8517314659318,122.7122579454473,164.0532654524872,670.2927988969539,1290876.0495719705,3627072.3875121395,959.5490517271904,1074.7471864192673,9.99903058931418,13.042797752457174,2.2619864705095174,115.97991538471048,-110861.37889417421,212952.37877459353,-38.70648125047849,6.869660927337005,31.477408986291895,2.2832610424982605,0.0,16.38199423402186,-42025.844431488804,42025.844431488804,-19.070231387076994,-9.444502523835059,0.17293450781821604,1.4532022581085182,0.0,10.90599661353224,-18925.084626311713,18925.084626311713,40181.33397083324,8172.962204588634,4735.158489831199,86.95547500488064
2026-06-17,1253176.4101402583,1258692.3819306013,6262.035605420514,680.8840002772436,146.09309567026003,154.5709942682374,56.70191620225335,5515.971790343057,1.8189894035458565e-11,2492851.6333724456,1376107.6970648877,3868959.3304373333,1116743.9363075579,3919325.8280372964,4864016.251498024,3515918.464694241,0.05,False,3686898.548583432,3919325.8280372964,1.0630414090301363,25183.248799980618,3.073792600939608,0.8872254669522026,24704.091630548508,298,0.0888351616832407,0.3267196004909355,0.0368067450401668,62,62,1,2026-06-16,-0.01433389373712557,5351.106411319354,6048.312407569226,614.6895269806859,125.25026083470317,151.66249489906963,56.104235204819766,1288084.683694048,3645641.044623011,113.32859646417296,132.24350951169106,32.48469078969494,17.07595810877825,2.9084993691678296,0.5976809974335854,-110471.29801702764,212815.33404482013,-55.803953217081755,-35.6172750646017,21.968267292618254,1.7815891401381976,0.0,0.0,-42061.46170655342,42061.46170655342,107.34073577659466,117.09696340419913,11.741515214244716,1.9852875866402375,0.0,0.0,-18807.987662907515,18807.987662907515,45532.4403821526,8286.290801052808,4679.354536614118,194.29621078147528
2026-06-18,1258692.3819306013,1247039.308968174,-10956.700869964097,677.0456360465146,149.8136051557215,157.9583832171288,11.181678355126774,-11653.072962427279,-1.3278622645884752e-10,2522815.788696301,1421753.778778764,3944569.567475065,1101062.0099175372,3999989.2999313674,4818810.93760663,3515918.4646942415,0.05,False,3685309.4896737286,3999989.2999313674,1.0853876210775173,27709.866228152066,3.163147736488662,0.882940900097671,4725.704989428015,298,0.08819375710876988,0.32983899640872416,0.036765094195699496,78,78,1,2026-06-17,-0.023459267988819477,-11400.571717118068,-10755.209538551604,619.3858504725016,129.0418833710198,155.01676296452018,0.0014485004609472226,1277329.303735629,3722333.000453995,-293.6550884755601,-282.7117374735298,24.463111054601903,17.055480795368368,2.9416202526086783,0.594100490188079,-111013.46281424753,212402.46847353101,6.5290633595601575,36.509532580505045,21.130012740249747,1.7356728837826048,0.0,10.586129364477745,-46490.554214413896,46490.554214413896,34.62477980692247,44.710873480533394,12.066661779161553,1.9805681055506255,0.0,0.0,-18763.27678942698,18763.27678942698,34131.86866503453,7992.635712577248,4685.883599973678,228.92099058839776
2026-06-22,1247039.308968174,1252816.2748074473,6420.962964592746,635.3736457628155,149.03588095297425,156.54456120850267,1.1147993012358366,5776.965839273296,1.291482476517558e-10,2519319.8459899114,1412000.8712643646,3931320.717254276,1107318.9747255468,3985676.2406977345,4841095.196338745,3515918.4646942415,0.05,False,3686092.826782491,3985676.2406977345,1.0812739743661701,27177.761721727904,3.1379866276549637,0.8838638170594784,492.06780472578095,298,0.08810950740088383,0.3204471546515664,0.03558320819537357,40,40,1,2026-06-20,-0.018935399006569598,4899.351708412161,5499.633578897248,574.6615283838107,127.963122645132,153.57426449037305,0.009200256034954689,1282828.6486414666,3707393.366380184,716.8450104355343,728.4498792111245,24.602950177119183,17.073977164859297,2.9702967181296156,1.105599045200882,-110448.72241856209,213221.92282019233,215.04171288589043,237.00171422677136,23.973557034162678,2.0135556932817424,0.0,0.0,-46253.55250018713,46253.55250018713,-54.27259246041795,-44.12220774239621,12.135610167722941,1.9852254497012118,0.0,0.0,-18807.398997169377,18807.398997169377,39031.2203734467,8709.480723012783,4900.925312859569,174.64839812797982
