n_panel,n_big50,worst_abs_ret,worst_date,yahoo_ov,scale_bad_days,phantom_days,max_abs_ratio_m1,scale_mode,issue,underlying,src_etf,ret_disagree_days
30,0,0.06460831764280639,2026-06-30,30,0,0,0.06907087037591886,,,HON,HONG,0
350,0,0.23529415704898482,2025-04-09,350,1,0,0.15266858444507836,,ret_disagree=1,HOOD,ROBN,1
0,0,,,0,0,0,,,no_metrics_und,HPE,HPEL,0
109,1,0.35312382996921987,2026-05-06,109,0,0,0.09126570276718615,,jumps=1@2026-05-06,HUT,HUTG,0
619,0,0.14406068464441368,2024-08-05,619,0,0,0.06412621525179163,,,IBIT,BITX,0
71,0,0.12709100907245952,2026-05-29,71,0,0,0.00736002363002819,,,IBM,IBX,0
21,0,0.12315270902900055,2026-06-23,21,0,0,0.13191486569898703,,ret_disagree=1,INFQ,INFH,1
344,0,0.2359988383395475,2026-04-24,344,0,0,0.10698430676593707,,,INTC,INTW,0
330,1,0.36523552968446293,2025-05-22,330,1,0,0.15639318551817816,,scale_bad=1;jumps=1@2025-05-22;ret_disagree=2,IONQ,IONX,2
134,0,0.19373560007206514,2026-05-27,134,0,0,0.14887418673905506,,ret_disagree=4,IREN,IREG,4
182,0,0.13893339762992496,2025-10-22,182,0,0,0.055468191688295865,,,ISRG,ISUL,0
1800,0,0.13266927534433903,2020-03-16,1800,0,0,0.009684360289286653,,,IWM,RYLD,0
0,0,,,0,0,0,,,no_metrics_und,JBL,JBLG,0
206,0,0.21198157694657227,2026-05-06,206,0,0,0.0,,,JOBY,JOBX,0
123,0,0.25513199474472326,2026-02-06,123,1,0,0.17211327572780521,,ret_disagree=1,KEEL,KEEX,1
0,0,,,0,0,0,,,no_metrics_und,KEYS,KEYX,0
126,0,0.15241198110690135,2026-01-30,126,0,0,0.025944414729089926,,,KLAC,KLAG,0
196,0,0.14198622683740547,2025-11-05,196,0,0,0.05535286131642214,,,KTOS,KTUP,0
2417,1,0.39720457279611154,2022-03-16,2417,0,0,0.029094455220953774,,jumps=1@2022-03-16,KWEB,CWEB,0
129,0,0.15757580603304033,2026-04-30,129,0,0,0.1258277413740636,,ret_disagree=1,LAC,LACG,1
0,0,,,0,0,0,,,no_metrics_und,LASR,LASC,0
298,5,1.362445470859002e+16,2025-07-17,298,13,5,1e+16,,phantom=5;scale_bad=13;jumps=5@2025-07-17;ret_disagree=7,LCID,LCDL,7
94,0,0.13342976772378334,2026-06-05,94,0,0,0.0,,,LEU,LEUX,0
28,0,0.1371823474188536,2026-06-02,28,0,0,0.10001093624754298,,,LITE,LITU,0
476,0,0.14295822485524945,2025-04-17,476,0,0,0.0665745571930012,,,LLY,LLYX,0
173,0,0.3421412131218562,2025-11-05,173,0,0,0.10254465517519895,,,LMND,LMNX,0
221,0,0.054374186059567564,2026-06-18,221,0,0,0.04412809255260597,,,LMT,LMTL,0
220,0,0.1265382310918559,2026-06-11,220,0,0,0.0007045380462396,,,LRCX,LRCU,0
0,0,,,0,0,0,,,no_metrics_und,LRN,LRNX,0
159,0,0.13331290115002448,2026-04-23,159,0,0,0.047687523798054965,,,LULU,LULG,0
114,0,0.22815422272957198,2026-06-03,114,1,0,0.1510142157655472,,ret_disagree=2,LUNR,LUNL,2
330,0,0.2243684617778885,2026-02-06,330,0,0,0.13145162617626882,,ret_disagree=3,MARA,MRAL,3
27,0,0.09200659168996916,2026-06-23,27,0,0,0.0,,,MCHP,MCHU,0
887,0,0.23282398970907736,2023-02-02,887,0,0,0.08095804814957142,,ret_disagree=1,META,FBL,1
0,0,,,0,0,0,,,no_metrics_und,MNST,MNSX,0
169,0,0.12800765377323486,2025-11-07,169,0,0,0.10611691022157088,,,MP,MPG,0
49,0,0.10380608089806409,2026-06-05,49,0,0,0.0015258564914719663,,,MPWR,MPWX,0
98,0,0.15994375101625735,2026-03-04,98,0,0,0.11178827141864445,,,MRNA,MRNX,0
94,1,0.37469809946258015,2026-06-03,94,2,1,0.2452143585880583,,phantom=1;scale_bad=2;jumps=1@2026-06-03;ret_disagree=3,MRVL,MRVU,3
566,0,0.10133683979457686,2025-04-09,566,0,0,0.05399902024967351,,,MSFT,MSFL,0
0,0,,,0,0,0,,,no_metrics_und,MSI,MSIX,0
266,0,0.2611458582099211,2026-02-06,266,0,0,0.11189040475222045,,ret_disagree=2,MSTR,MSTP,2
0,0,,,0,0,0,,,no_metrics_und,MTSI,MTSG,0
404,0,0.2182259583865318,2026-05-27,404,1,0,0.15175370221508988,,ret_disagree=2,MU,MULL,2
170,0,0.17014888824723562,2026-07-02,170,1,0,0.2050354404995094,,ret_disagree=2,NBIS,NBIG,2
145,0,0.11486646051972471,2026-01-30,145,0,0,0.03751029838527142,,,NEM,NEMG,0
149,0,0.23622415843137345,2026-05-08,149,0,0,0.079157774740235,,,NET,NETG,0
435,0,0.1377231591232555,2026-02-27,435,0,0,0.03942549964731745,,,NFLX,NFLU,0
127,0,0.15384610187075576,2026-03-10,127,0,0,0.061567148411558525,,,NIO,NIOG,0
109,0,0.19374254260577095,2026-06-10,109,0,0,0.074557978192892,,,NOK,LNOK,0
239,0,0.24951711961561274,2026-06-01,239,0,0,0.08968883489195179,,,NOW,NOWL,0
148,0,0.09549544957010192,2026-02-26,148,0,0,0.05391040501396627,,,NU,NUG,0
386,0,0.18722746024727277,2025-04-09,386,0,0,0.06611407681650627,,,NVDA,NVDG,0
391,0,0.21826087410113015,2025-07-29,391,0,0,1.2288103934388062e-07,,,NVO,NVOX,0
206,0,0.2607822826638946,2025-10-14,206,0,0,0.0,,,NVTS,NVTX,0
20,0,0.08149714377177453,2026-06-05,20,0,0,0.0780450021377288,,,NXPI,NXPG,0
259,0,0.2882727841758641,2025-09-19,259,0,0,0.12566705487838314,,ret_disagree=2,OKLO,OKLL,2
150,1,0.4758233898288702,2026-06-01,150,1,0,0.23160538817106502,,scale_bad=1;jumps=1@2026-06-01;ret_disagree=1,OKTA,OKTG,1
338,1,0.6248579305905289,2026-06-02,338,0,0,0.06469345899263335,,jumps=1@2026-06-02,ON,ONG,0
114,0,0.26523707364917026,2026-05-14,114,3,0,0.18490564598227444,,scale_bad=3;ret_disagree=3,ONDS,ONDG,3
0,0,,,0,0,0,,,no_metrics_und,ONTO,ONTX,0
135,0,0.13374808032251684,2026-01-09,135,0,0,0.11990943977892021,,,OPEN,OPEG,0
153,0,0.12694618903749522,2026-04-13,153,0,0,0.10989437472044439,,,ORCL,ORCU,0
105,0,0.08408767454662969,2026-04-30,105,0,0,0.07134380684517194,,,ORLY,ORLG,0
155,0,0.33609753120236285,2026-06-08,155,0,0,0.10595608781146215,,,OSCR,OSCG,0
0,0,,,0,0,0,,,no_metrics_und,OSS,OSSL,0
0,0,,,0,0,0,,,no_metrics_und,P,PUL,0
70,0,0.12015042834172052,2026-05-06,70,0,0,0.02431057478445564,,,PAAS,PAAU,0
311,0,0.13433426642067992,2025-04-09,311,0,0,0.08373490299086972,,,PANW,PALU,0
128,0,0.05658319127667111,2026-06-15,128,0,0,0.007697822969625845,,,PBR,PBRG,0
235,0,0.11432662031400587,2026-05-27,235,0,0,0.024022635149414162,,,PDD,PDDL,0
121,0,0.2598207644327537,2026-06-08,121,1,0,0.3510241194940258,,ret_disagree=2,PL,PLU,2
423,0,0.23990929639105207,2025-02-04,423,0,0,0.07805316960719266,,,PLTR,PLTY,0
105,0,0.23204424838211257,2026-03-03,105,0,0,0.0645161631452178,,,PLUG,PLUL,0
46,1,0.431454409091244,2026-05-14,46,0,0,0.12674749938228924,,jumps=1@2026-05-14;ret_disagree=1,POET,POEL,1
206,0,0.18546078411356492,2025-09-19,206,0,0,0.0,,,PONY,PONX,0
0,0,,,0,0,0,,,no_metrics_und,PURR,PUR,0
303,0,0.20313393977605665,2026-02-03,303,0,0,0.03730987705579358,,,PYPL,PYPG,0
186,0,0.33367879733856665,2026-05-21,186,1,0,0.1589098091219887,,ret_disagree=4,QBTS,QBTZ,4
253,0,0.19319049725585957,2026-05-27,253,0,0,0.12332131416937608,,,QCOM,QCMU,0
0,0,,,0,0,0,,,no_metrics_und,QNT,QNTU,0
1043,0,0.12003069035612302,2025-04-09,1043,0,0,0.050421257538117104,,,QQQ,JEPQ,0
161,0,0.16782777571923435,2025-10-31,161,0,0,0.09200597981116099,,,QS,QSU,0
259,0,0.26811988959206134,2025-09-19,259,0,0,0.0,,,QUBT,QUBX,0
329,0,0.17223543400713437,2026-06-30,329,1,0,0.2244625972449823,,ret_disagree=1,RBLX,RBLU,1
102,0,0.3261480334913971,2026-05-28,102,1,0,0.1624605217952182,,ret_disagree=1,RCAT,RCAX,1
317,0,0.24715942593719498,2025-04-09,317,0,0,0.12226938383609953,,ret_disagree=1,RDDT,RDTL,1
100,1,0.5635178764537632,2026-05-27,100,1,0,0.18824704686292915,,scale_bad=1;jumps=1@2026-05-27;ret_disagree=2,RDW,RDWU,2
313,0,0.30568732294453516,2026-05-21,313,0,0,0.08960573161662189,,,RGTI,RGTX,0
370,0,0.19817573022310042,2026-02-06,370,0,0,0.14273790513248752,,,RIOT,RIOX,0
296,0,0.26642853873116623,2026-02-13,296,1,0,0.22134625040584655,,ret_disagree=2,RIVN,RVNL,2
156,0,0.34219901709166867,2026-05-08,156,1,0,0.17231797077428856,,ret_disagree=4,RKLB,RKLZ,4
111,0,0.13673568078937237,2026-01-30,111,0,0,0.032258064516129004,,,RKT,RKTL,0
0,0,,,0,0,0,,,no_metrics_und,RMBS,RMBC,0
258,0,0.0767219208616905,2025-10-21,258,0,0,0.037490595837907814,,,RTX,RTXG,0
131,0,0.13638930571973218,2026-05-27,0,0,0,,,no_yahoo,SATS,SATG,0
169,0,0.15815486177889482,2026-02-06,169,0,0,0.044285706111363066,,,SBET,SBTU,0
144,0,0.08449836887181905,2026-04-29,144,0,0,0.021153618840502375,,,SBUX,SBU,0
222,0,0.15617409111512615,2026-05-05,222,0,0,0.038091609547924454,,,SHOP,SHPU,0
0,0,,,0,0,0,,,no_metrics_und,SIMO,SIMX,0
27,0,0.08077042984425808,2026-06-05,27,0,0,0.030297494557787186,,,SLV,USLV,0
316,0,0.3346215198693343,2026-06-11,316,1,0,0.5029040311066597,,ret_disagree=4,SMCI,SMCZ,4
230,0,0.22691505163300962,2025-09-19,230,0,0,0.09149280415991812,,ret_disagree=1,SMR,SMUP,1
0,0,,,0,0,0,,,no_metrics_und,SMTC,SMTG,0
121,0,0.14427858867113197,2026-03-31,121,0,0,0.06526314584832438,,,SNAP,SNAG,0
33,0,0.21966510015522278,2026-06-26,33,2,0,0.18010280045503213,,ret_disagree=3,SNDK,SNDG,3
505,1,0.3648294216904835,2026-05-28,505,0,0,0.0823110741446369,,jumps=1@2026-05-28,SNOW,SNOY,0
141,0,0.15730335724171662,2026-06-04,141,0,0,0.09769708970040702,,,SOEZ,SOLT,0
93,0,0.15441181359345302,2026-04-29,93,0,0,0.06986892600808359,,,SOFI,SOFA,0
254,0,0.263992523620564,2025-08-08,254,0,0,0.06832298964456296,,,SOUN,SOUX,0
151,0,0.10444311493186198,2026-06-05,151,0,0,0.0855499657999208,,,SOXX,SEMY,0
0,0,,,0,0,0,,,no_metrics_und,SPCX,SPCU,0
1665,0,0.14134960686598763,2025-04-09,1665,0,0,0.009546136729078891,,,SPHB,HIBL,0
146,0,0.14747852959180352,2026-02-10,146,0,0,0.03518519774385931,,,SPOT,SPOG,0
1535,0,0.1050193499563612,2025-04-09,1535,0,0,0.02649314260188862,,,SPY,JEPI,0
157,0,0.34980122850144135,2026-03-25,157,0,0,0.0,,,SRPT,SRPU,0
54,1,0.5289002841998356,2026-06-01,54,0,0,0.08675799665212414,,jumps=1@2026-06-01,STLR,STLU,0
45,0,0.12235698947670937,2026-06-29,45,0,0,0.13941544342016066,,ret_disagree=2,STX,STXL,2
1062,1,0.3890675316093969,2024-08-05,1062,0,0,0.0624734882195489,,jumps=1@2024-08-05,SVIX,UVIX,0
102,0,0.1484553183546924,2026-03-04,102,0,0,0.07936666834866402,,,TDOG,TXXD,0
0,0,,,0,0,0,,,no_metrics_und,TEL,TELG,0
287,0,0.19234858745015038,2025-05-28,287,0,0,0.0,,,TEM,TEMT,0
144,0,0.19414415426979548,2026-04-29,144,1,0,0.15782058733088467,,ret_disagree=2,TER,TERG,2
38,0,0.14525390600164734,2026-05-14,38,0,0,0.07380602089158661,,,THYP,TXXH,0
4324,0,0.07519530894031234,2020-03-20,4324,0,0,0.009364024868955712,,,TLT,TMV,0
208,2,0.49193549162391315,2025-09-10,208,0,0,0.0,,jumps=2@2025-09-10,TOP,TOPW,0
0,0,,,0,0,0,,,no_metrics_und,TPL,TPLX,0
0,0,,,0,0,0,,,no_metrics_und,TSEM,TSEU,0
380,0,0.22689989839624536,2025-04-09,380,0,0,0.08095050094744494,,,TSLA,TSLG,0
41,0,0.09089767572576779,2026-07-06,41,0,0,0.09998618780161461,,ret_disagree=1,TSM,TMYY,1
81,0,0.2807017592781076,2026-05-11,81,0,0,0.0690936106983655,,,TSUI,TXXS,0
194,0,0.1835518802236591,2026-03-05,194,0,0,0.046778878036055516,,,TTD,TTDU,0
0,0,,,0,0,0,,,no_metrics_und,TTMI,TTMX,0
53,0,0.2076594551639379,2026-04-23,53,0,0,0.06498166827922291,,,TXN,TXNU,0
201,0,0.2632484431906438,2026-02-11,201,0,0,0.0,,,U,UNX,0
456,0,0.11695098580055596,2025-04-09,456,0,0,0.056601223988387184,,,UBER,UBRL,0
0,0,,,0,0,0,,,no_metrics_und,UCTT,UCTX,0
85,0,0.18329015548041871,2026-06-08,85,0,0,0.06969702632777008,,,UEC,UECG,0
0,0,,,0,0,0,,,no_metrics_und,UMAC,UMAL,0
0,0,,,0,0,0,,,no_metrics_und,UMC,UMCX,0
235,0,0.196052774393761,2026-01-27,235,0,0,0.028885964724593594,,,UNH,UNHG,0
128,0,0.10467604506995498,2026-05-04,128,0,0,0.017327638953824387,,,UPS,UPSG,0
268,0,0.18736386882502254,2025-08-06,268,0,0,0.0,,,UPST,UPSX,0
495,0,0.11605886224932593,2025-05-23,495,0,0,0.05101798965545479,,,URA,URAA,0
112,0,0.24532793563829358,2026-06-08,112,0,0,0.14641597306563692,,,USAR,USGG,0
4425,0,0.2531500202969871,2020-03-09,4425,0,0,0.0,,,USO,SCO,0
110,0,0.16753928697843756,2026-02-03,110,0,0,0.07608691520786937,,,UUUU,UUUG,0
120,0,0.0626847708756546,2026-04-29,120,0,0,0.04555155736371308,,,VALE,VALG,0
36,0,0.13640848219694202,2026-06-05,36,0,0,0.05805675480253858,,,VAVX,AVAZ,0
0,0,,,0,0,0,,,no_metrics_und,VELO,VELL,0
0,0,,,0,0,0,,,no_metrics_und,VIAV,VIAG,0
317,0,0.24491537430128463,2026-02-11,317,0,0,0.08317903797352055,,ret_disagree=1,VRT,VRTL,1
239,0,0.1263715537358755,2026-03-20,239,0,0,0.06034361054677251,,,VST,VSTL,0
110,0,0.16094370134809055,2026-06-15,110,0,0,0.0002607723458569744,,,WDC,WDCX,0
174,0,0.19882549248237424,2026-02-06,174,0,0,0.0,,,WULF,WULX,0
32,0,0.07671902926578267,2026-06-30,32,0,0,0.024367465402651445,,,XBI,BIOY,0
4421,0,0.20141176725309007,2020-03-09,4421,0,0,0.012605949977624764,,,XLE,ERX,0
33,0,0.025948490712408123,2026-06-04,33,0,0,0.019647043703369338,,,XLF,FINY,0
29,0,0.06662522772263779,2026-06-05,29,0,0,0.04274467433292184,,,XLK,TECY,0
39,0,0.20563138161285033,2026-05-20,39,0,0,0.0,,,XNDU,XNDX,0
290,0,0.053621736295551115,2026-05-27,290,0,0,0.021261214617789514,,,XOM,XOMX,0
2786,1,0.3687062953473246,2020-03-09,2786,0,0,0.006667912240927443,,jumps=1@2020-03-09,XOP,DRIP,0
100,0,0.0865257853309398,2026-05-27,100,0,0,0.046965289838434954,,,XPEV,XPEG,0
150,0,0.22222221585802915,2026-02-05,150,0,0,0.1139149197363073,,ret_disagree=1,XRPZ,XXRP,1
669,0,0.20434337989877616,2025-05-02,669,0,0,0.03675103222663645,,,XYZ,XYZY,0
93,0,0.13429133020268558,2026-05-29,93,0,0,0.0918213695777419,,,ZETA,ZETX,0
