etf,n_panel,n_big50,worst_abs_ret,worst_date,yahoo_ov,scale_bad_days,phantom_days,max_abs_ratio_m1,scale_mode,issue
EOSU,113,4,0.8673583373797298,2026-05-08,113,37,1,0.8,,phantom=1;scale_bad=37;jumps=4@2026-05-08
ETHD,489,0,0.3988127811723001,2024-08-05,489,0,0,0.01933329369212511,,
ETHT,489,0,0.39982576362520306,2024-08-05,489,0,0,0.0023902037659255804,,
ETHU,484,0,0.40022545740059823,2024-08-05,484,0,0,0.0009346254061148862,,
ETRL,193,0,0.4224583832719844,2026-02-17,1,0,0,,,short_overlap
ETU,418,0,0.36496349179370235,2025-05-08,418,0,0,2.3260349646392342e-08,,
FBL,887,0,0.40722548918489077,2024-02-02,887,0,0,1.0895466817650856e-07,,
FBYY,171,0,0.07970499436454126,2025-10-30,171,0,0,0.11404330394568418,,
FCXG,85,0,0.24831079901904718,2026-04-23,85,0,0,0.0,,
FGRU,89,1,0.5073121283231077,2026-02-27,89,0,0,3.8532297130799975e-08,,jumps=1@2026-02-27
FIGG,176,0,0.2752293674304287,2026-02-25,176,0,0,0.11439633993155562,,
FLYT,174,0,0.4541595542503476,2025-12-19,174,0,0,2.6694872978794137e-09,,
GDXU,1400,0,0.38598046357904214,2026-01-30,1400,0,0,1.1100328434210383e-08,,
GEMG,152,2,0.6594629595904409,2026-03-04,152,0,0,0.17835515264454038,,jumps=2@2026-03-04
GEVG,131,0,0.27556086012805636,2026-04-22,131,0,0,1.1992671449911896e-05,,
GEVX,247,1,1.9360655174880748,2026-06-03,247,224,1,0.6666667003534995,1/3,phantom=1;scale_bad=224;mode=1/3;jumps=1@2026-06-03
GGLL,957,0,0.20127725341171776,2024-04-26,957,0,0,0.005301086445177461,,
GLGG,214,0,0.35571690867274053,2026-03-04,214,0,0,1.6656280797500145e-05,,
GLWG,75,0,0.291796733263435,2026-06-29,75,0,0,2.5403088743658486e-08,,
GLXU,222,0,0.41289935614624973,2026-06-08,222,0,0,3.274418358678588e-08,,
GMEU,293,0,0.4462409080028078,2025-06-12,293,0,0,5.123525270711582e-08,,
GMEY,204,0,0.05277805427764526,2026-02-02,204,0,0,0.08854503201866093,,
GOOX,616,0,0.21335606064050894,2025-04-09,616,0,0,1.1886951289952208e-07,,
GOU,143,0,0.19660783749310085,2026-04-30,143,0,0,7.38566741098623e-09,,
GRAG,134,0,0.10672854461484538,2026-06-03,134,0,0,5.124225567021412e-05,,
GUSH,2786,0,0.4333335781975953,2020-03-13,2786,0,0,0.19804573852511043,,
HIMZ,326,2,0.8124999695894675,2026-03-09,326,0,0,0.022000345700697865,,jumps=2@2026-03-09
HMYY,142,0,0.05967795517193619,2026-03-09,142,0,0,0.14647077677082132,,
HODU,145,1,0.5016181908964656,2026-05-29,145,0,0,0.004177001990506746,,jumps=1@2026-05-29
HOOG,321,0,0.4845790574389002,2025-04-09,321,0,0,1.2990921331779148e-05,,
HOOX,320,0,0.47011658274672485,2025-04-09,320,0,0,0.1521003157788161,,
HOYY,187,0,0.09076754860987235,2025-10-10,187,33,0,0.2756578627861582,,scale_bad=33
HUTG,109,1,0.715492804527676,2026-05-06,109,0,0,1.5079557591612947e-05,,jumps=1@2026-05-06
IBX,71,0,0.27644704366686046,2026-05-21,71,0,0,2.791582298655726e-09,,
INTW,344,0,0.4680758140491268,2026-04-24,344,15,0,0.20000000000000007,,scale_bad=15
IONL,316,1,0.734206763930531,2025-05-22,316,0,0,8.208062896031265e-09,,jumps=1@2025-05-22
IONX,330,1,0.7314175282703876,2025-05-22,330,2,0,0.3693766236902378,,scale_bad=2;jumps=1@2025-05-22
IONZ,259,0,0.4329896677212546,2026-02-26,259,2,0,0.2638888474967762,,
IOYY,160,0,0.08306444346156383,2025-11-20,160,8,0,0.21635835314066865,,scale_bad=8
IRE,174,0,0.40006717044930773,2026-05-27,174,0,0,0.05210782758127108,,
IREG,134,0,0.39999994920509785,2026-05-27,134,0,0,2.1702656214594995e-05,,
IREX,174,0,0.3995037864420734,2026-05-27,174,0,0,0.0,,
IREZ,113,0,0.3564453763465294,2026-02-04,113,0,0,0.0,,
ISUL,182,0,0.2764341104806629,2025-10-22,182,0,0,2.7972311682056272e-05,,
JNUG,3200,5,0.8344518025989702,2020-03-16,3200,0,0,0.00395228633708955,,jumps=5@2020-03-16
JOBX,206,0,0.41997958301005456,2026-05-06,206,0,0,3.881745447298357e-08,,
KEEX,123,1,0.5197288342191546,2026-02-06,123,0,0,3.5505852611361632e-06,,jumps=1@2026-02-06
KLAG,126,0,0.3107990496289439,2026-01-30,126,0,0,4.990964000972653e-06,,
KORU,3321,0,0.41887202234827614,2026-06-05,3321,0,0,0.00026302811112932645,,
KTUP,196,0,0.2785114468014205,2026-01-05,196,0,0,4.410054832426624e-08,,
LABU,2785,0,0.33376183967664885,2016-11-09,2785,0,0,0.0024672123803521906,,
LABX,225,0,0.4316289967194813,2026-02-11,225,0,0,0.0,,
LACG,129,0,0.32720595176213085,2026-04-30,129,0,0,5.9436395618228666e-05,,
LCDL,298,1,0.730076626834099,2025-07-17,298,0,0,0.0007194347592851535,,jumps=1@2025-07-17
LEUX,94,0,0.27397953200866665,2026-04-22,94,0,0,1.3432032819338247e-08,,
LINT,150,0,0.48010050216991873,2026-04-24,150,0,0,0.04790870231261046,,
LITX,110,0,0.3306360649474265,2026-05-11,110,0,0,3.7922884388308375e-08,,
