date,nav,cash,long_notional,short_notional,gross_notional,net_notional,leverage,net_leverage,n_positions,n_active_pairs,cum_costs,cum_borrow,cum_margin_debit,cum_margin_credit
2025-07-22,26963719.315674573,-11132383.903575173,65004021.57963497,26907918.360385206,91911939.94002017,38096103.21924977,3.4087263282921745,1.412865294036187,78,39,125573.00272707328,52011.47135187264,65410.23254486656,871.35
2025-07-23,27525445.8442457,-11134293.58092213,66064504.38160304,27404764.95643523,93469269.33803827,38659739.425167814,3.395740431124693,1.4045091092775082,78,39,125573.00272707328,52555.21668830985,66776.16455538661,871.35
2025-07-24,27459346.477395564,-11136200.668585854,65858072.53582427,27262525.389842853,93120597.92566712,38595547.145981416,3.3912168303904706,1.4055522835459007,78,39,125573.00272707328,53096.13981112419,68142.32909629654,871.35
2025-07-25,26635763.281855922,-11138087.660890635,64011974.20124105,26238123.25849448,90250097.45973554,37773850.94274657,3.3883052835663703,1.4181628866058376,78,39,125573.00272707328,53616.737494824476,69508.72371737774,871.35
2025-07-28,26412279.757157333,-11139971.479012849,63618819.158739954,26066567.922569774,89685387.08130974,37552251.23617018,3.3955943184725026,1.4217724324229937,78,39,125573.00272707328,54133.93130281197,70875.34803160348,871.35
2025-07-29,25760365.80430758,-11141844.129990412,62394445.85689854,25492235.92260054,87886681.77949908,36902209.934297994,3.4117016212868725,1.4325188630717078,78,39,125573.00272707328,54639.729634609605,72242.20067736857,871.35
2025-07-30,26650495.947652284,-11143722.00717206,63538314.53733084,25744096.582506515,89282411.11983736,37794217.95482433,3.3501219375132303,1.4181431380887202,78,39,125573.00272707328,55150.52520172283,73609.28229190184,871.35
2025-07-31,26456547.14672509,-11145604.613997312,63573053.29019036,25970901.529467948,89543954.81965831,37602151.76072241,3.3845669400113865,1.4212796383513326,78,39,125573.00272707328,55665.82086699005,74976.59345188673,871.35
2025-08-01,23938576.842509538,-11147459.270502662,59636844.190347634,24550808.07733541,84187652.26768304,35086036.113012224,3.5168194342357344,1.4656692561066247,78,39,125573.00272707328,56152.94007487369,76344.13074935258,871.35
2025-08-04,24349341.514556345,-11149322.415374886,60465836.20555801,24967172.275626782,85433008.4811848,35498663.92993122,3.5086373251659335,1.4578900997675717,78,39,125573.00272707328,56648.32047716787,77711.89521928238,871.35
2025-08-05,23164435.85045338,-11151177.178126652,58848928.45113246,24533315.422552448,83382243.87368491,34315613.02858001,3.599580167287041,1.4813921327554531,78,39,125573.00272707328,57135.09260856772,79079.88583964773,871.35
