run_id,book_sigma_target,book_max_pair,book_max_underlying,weight_ridge_lambda,w_min_floor_frac,lev,qcqp_status,qcqp_fallback,sigma_p_book_annual,CAGR,Vol,Sharpe,Max_DD,Sortino,Calmar,weights_dir
3,0.12,0.1,0.2,0.5,0.1,4,optimal_inaccurate,False,0.11999999999773936,0.2739546326307303,0.10187613853121698,2.689095175577202,-0.06774037078962895,4.5986708701120795,4.04418560804029,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_003
1,0.12,0.1,0.2,0.0,0.1,4,optimal_inaccurate,False,0.12000000009038941,0.27438761902412656,0.10239768230930092,2.6796272419068567,-0.06791944486304777,4.56919608993757,4.039897846300122,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_001
14,0.16,0.25,0.2,0.0,0.2,4,optimal_inaccurate,False,0.16000000013792937,0.3082490407049827,0.13285021870039862,2.320274996310998,-0.13672453330772072,3.7122583460218093,2.2545261866882242,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_014
13,0.16,0.25,0.2,0.0,0.1,4,optimal_inaccurate,False,0.16000000001231385,0.38038372347598703,0.16422078983148788,2.3162945682231264,-0.15348623570270206,3.9868984965060825,2.478292087459739,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_013
15,0.16,0.25,0.2,0.5,0.1,4,optimal,False,0.15999999996826741,0.376721469928736,0.16289338194083933,2.3126873875425837,-0.15737786557579433,3.936012797255395,2.3937385892891285,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_015
16,0.16,0.25,0.2,0.5,0.2,4,optimal,False,0.15999999999889863,0.3055394667100435,0.1322514406696637,2.3102921613777867,-0.13728239495736028,3.6875319762469534,2.2256274506643305,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_016
20,0.2,0.1,0.2,0.5,0.2,4,optimal_inaccurate,False,0.20000000000001197,0.25748901359021903,0.12487233326994328,2.062018117604891,-0.14402297390526195,3.0884273797915323,1.7878329172649554,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_020
18,0.2,0.1,0.2,0.0,0.2,4,optimal,False,0.20000000029501175,0.2576651500031244,0.125343220711132,2.0556767932183875,-0.14504353684491997,3.071859694870604,1.7764676428058912,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_018
24,0.2,0.25,0.2,0.5,0.2,4,optimal_inaccurate,False,0.1999999999998996,0.25484954140740834,0.12677136110761159,2.0103084733079095,-0.14473213420070283,3.0081437347120574,1.7608359250337842,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_024
22,0.2,0.25,0.2,0.0,0.2,4,optimal,False,0.20000000058864129,0.2551623879839682,0.12707360502538442,2.0079888969310073,-0.14499562903477356,2.9984558140243776,1.7597936550402764,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_022
19,0.2,0.1,0.2,0.5,0.1,4,optimal,False,0.19999999999939946,0.26021462913005844,0.1398953066315186,1.8600668985662148,-0.19260358021319798,2.6268537358314776,1.351037342307033,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_019
17,0.2,0.1,0.2,0.0,0.1,4,optimal,False,0.20000000020636274,0.2604732038647726,0.14080692593818447,1.849860737525956,-0.1932392486913993,2.6011907359727617,1.3479311559565472,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_017
23,0.2,0.25,0.2,0.5,0.1,4,optimal,False,0.19999999999395518,0.2569551300872426,0.14196236129156944,1.8100229367099296,-0.19155446443995316,2.5505315720277184,1.341420732941417,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_023
21,0.2,0.25,0.2,0.0,0.1,4,optimal,False,0.20000000031711374,0.25721298731455056,0.14276048077853323,1.8017100104444832,-0.19228044400766242,2.5315889104109957,1.3376970738859983,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_021
