etf,underlying,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,q_prior,haircut_factor,ema_applied,prev_w_book
ANEL,ANET,479.0,167.0,0.20334282549700275,0.0887443104036533,0.8019667807461056,0.004783343577778017,1.0,True,0.001409612070533763
VSTL,VST,479.0,198.0,0.1367799712877494,0.08397066339014514,0.5701156572776428,0.003810096446027194,1.0,True,0.000822595166227094
CVNX,CVNA,479.0,234.0,0.19555226869734005,0.11521298963844212,0.5940588318978239,0.003916038579078272,1.0,True,0.0010217189153747279
LMNX,LMND,479.0,137.0,0.33349115996439693,0.1333801396073847,0.8751070911390507,0.0050699241151436,1.0,True,0.0022653769936771357
AVXX,AVAV,479.0,131.0,0.4228131585031807,0.14254027387184454,1.03819504099707,0.005681721695063557,1.0,True,0.003496026305779525
AMDG,AMD,479.0,320.0,0.27003389344890505,0.09074658175772292,1.0414922620385467,0.005693745119913181,1.0,True,0.0022282818097766406
ARMG,ARM,479.0,327.0,0.08580302137118295,0.10344097387394172,0.290320714850494,0.002429662813125122,1.0,True,0.0003601710257060909
ASMG,ASML,479.0,327.0,0.03057220008971545,0.08535782954983817,0.1253578035879275,0.0013880173873856525,1.0,True,0.00013189456549199697
AVGG,AVGO,479.0,242.0,0.16746161376137908,0.08392187245474092,0.698406304603033,0.004362138237979867,1.0,True,0.0011036785039939758
BAIG,BBAI,479.0,176.0,0.4903686814316044,0.14413595132121637,1.1907441337697562,0.006225481651017042,1.0,True,0.004883209690072345
BOEG,BA,479.0,223.0,0.03384795953419275,0.08918708830142469,0.13283072766014067,0.0014426457195874532,1.0,True,0.00014113175317804363
BULG,BULL,479.0,184.0,0.16217367585683673,0.11023455073803837,0.5149092201117534,0.0,1.0,True,0.0
COIG,COIN,479.0,285.0,0.3095582809955934,0.10136183082260292,1.0688974091053758,0.005793193124732064,1.0,True,0.0025720384022240588
CRMG,CRM,479.0,271.0,0.07748738783759795,0.08584915002182791,0.3159097758832048,0.002570411766608996,1.0,True,0.00038223012955465493
CRWG,CRWV,255.0,184.0,0.7981029782828086,0.12822536988459404,2.1784771816247614,0.009312422408239748,1.0,True,0.02107928105283942
