bucket,etf,underlying,w_book,frac_sleeve,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,q_prior,prev_w_book,delta_w_book,haircut_factor,ema_applied
core_leveraged,ETU,ETHA,0.008215273816334185,0.012170776024198792,426.0,381.0,0.47820192005135387,0.0887923888524796,1.8849664276523166,0.009208977244115466,0.011208931942225747,-0.0029936581258915625,1.0,True
core_leveraged,ETHT,ETHA,0.006248897378993751,0.009257625746657408,426.0,447.0,0.42203760397772083,0.08943052440974342,1.6517085454561977,0.008285433514353312,0.009382347314396623,-0.0031334499354028714,1.0,True
core_leveraged,BAIG,BBAI,0.0058013258055491755,0.008594556748961741,479.0,176.0,0.4903686814316044,0.14413595132121637,1.1907441337697562,0.006377100549004418,0.004557866970672046,0.0012434588348771295,1.0,True
core_leveraged,APPX,APP,0.005764194991630779,0.008539548135749302,479.0,257.0,0.4391660157611988,0.1091290048905649,1.4084991031537288,0.007294134445675574,0.007738876523203288,-0.00197468153157251,1.0,True
inverse_decay_bucket4,MSTZ,MSTR,0.005698527165944305,0.04558821732755444,479.0,405.0,0.6037681077438178,0.3815586370077607,0.5538305707545499,0.012215759139259671,0.0075899653558766465,-0.0018914381899323412,1.0,True
core_leveraged,CONL,COIN,0.005312886408598498,0.00787094282755333,479.0,500.0,0.38227221001830336,0.08559789773257916,1.563067283783101,0.007927762710307111,0.00873811840466996,-0.0034252319960714622,1.0,True
core_leveraged,QUBX,QUBT,0.004882718760187243,0.00723365742249962,479.0,217.0,0.46893733927606784,0.15817907261181255,1.0376092490402355,0.0057120969709090275,0.004156122554098495,0.000726596206088748,1.0,True
core_leveraged,INTW,INTC,0.004869271123514201,0.007213734997798816,479.0,306.0,0.3696462059337521,0.08859860045001366,1.4602507423331796,0.007507761237537251,0.009574196268750546,-0.004704925145236345,1.0,True
core_leveraged,IONL,IONQ,0.004724598109852194,0.006999404607188436,479.0,278.0,0.4237141876727203,0.12636542309515508,1.1735802567904985,0.006303456206966088,0.005065770648559069,-0.00034117253870687494,1.0,True
core_leveraged,RGTU,RGTI,0.004613458045555682,0.006834752660082491,479.0,217.0,0.45964523367283683,0.16040776671028978,1.0029179701507127,0.005558797257217611,0.0034614857212343086,0.001151972324321373,1.0,True
core_leveraged,COIA,COIN,0.004611414963320128,0.0068317258715853745,479.0,163.0,0.37754089415595127,0.0985799771555268,1.3404275063495958,0.007010728828304955,0.006932885329905719,-0.002321470366585591,1.0,True
core_leveraged,RIOX,RIOT,0.004392912618442622,0.006508018693989069,479.0,333.0,0.3901280006373154,0.11222902604041061,1.2166620796824372,0.0064879050003432475,0.0045100528017337094,-0.00011714018329108712,1.0,True
core_leveraged,AVXX,AVAV,0.004287377525920599,0.0063516704087712575,479.0,131.0,0.4228131585031807,0.14254027387184454,1.03819504099707,0.005714676679292116,0.005525741326790014,-0.0012383638008694152,1.0,True
core_leveraged,MUU,MU,0.004230933829121175,0.006268050117216555,479.0,391.0,0.33713884514002523,0.08481648312617515,1.3912224540537848,0.007222470338258389,0.00783643284280468,-0.0036054990136835047,1.0,True
core_leveraged,COZX,CORZ,0.003993222089587106,0.005915884577166083,479.0,123.0,0.4105642881481457,0.14375567255136731,0.9995953432759633,0.005544059512512643,0.004204075308517872,-0.00021085321893076544,1.0,True
core_leveraged,UNX,U,0.0037022277290739195,0.005484781820850251,479.0,159.0,0.45954351886617717,0.21146566026091917,0.7605974010376321,0.0044554582024754,0.0029330026911510657,0.0007692250379228538,1.0,True
core_leveraged,SBTU,SBET,0.003652297331936739,0.005410810862128502,479.0,134.0,0.45819501457025413,0.21376511933651943,0.7502077775707151,0.004406702723499368,0.003235743003133671,0.0004165543288030681,1.0,True
core_leveraged,ROBN,HOOD,0.0035425970890366303,0.0052482919837579705,479.0,315.0,0.32938351385918574,0.09987623045520935,1.154270934388293,0.006220348427898674,0.005924213299241403,-0.0023816162102047725,1.0,True
core_leveraged,AMDL,AMD,0.0035222104126741193,0.005218089500257954,479.0,500.0,0.2855990263401865,0.0743693466861,1.3440975841965845,0.007026080875808063,0.006884555681823682,-0.003362345269149563,1.0,True
core_leveraged,TEMT,TEM,0.0033861422603305414,0.0050165070523415425,451.0,245.0,0.32261076202110084,0.10099045337596113,1.1180637667506728,0.006063756636010562,0.005963164316274043,-0.002577022055943502,1.0,True
core_leveraged,OSCX,OSCR,0.0033738818719183787,0.004998343513953153,479.0,152.0,0.34234983535791297,0.11608565430512123,1.032189921248378,0.005688217517152118,0.006216370508825512,-0.002842488636907133,1.0,True
core_leveraged,HOOX,HOOD,0.003317928521596626,0.004915449661624631,479.0,283.0,0.31281636146865255,0.09670356095742569,1.1321788508101591,0.0061249216069220284,0.00568608932423917,-0.0023681608026425442,1.0,True
core_leveraged,SOUX,SOUN,0.0033014899136993114,0.004891096168443424,479.0,217.0,0.3313024685437735,0.1097302240800749,1.0567358716564972,0.0057961773339620624,0.004300727724354371,-0.0009992378106550592,1.0,True
core_leveraged,UPSX,UPST,0.0032726444994019325,0.004848362221336196,479.0,226.0,0.3261722227251564,0.10797888770929323,1.0572462855993978,0.005798416914873555,0.005833105235094198,-0.002560460735692266,1.0,True
core_leveraged,COIG,COIN,0.0031416654739481642,0.004654319220663947,479.0,285.0,0.3095582809955934,0.10136183082260292,1.0688974091053758,0.005849480851841118,0.005766461744222697,-0.0026247962702745328,1.0,True
core_leveraged,PTIR,PLTR,0.0030227281367186773,0.004478115758101744,479.0,417.0,0.2723496480260137,0.08211655764474199,1.1608179829151468,0.006248558010091848,0.007404893720487956,-0.004382165583769278,1.0,True
core_leveraged,RDTL,RDDT,0.0029922366266993427,0.0044329431506656925,479.0,279.0,0.3093171967911691,0.10769152426066919,1.0052882027638639,0.00556930462235267,0.005871634554664188,-0.0028793979279648457,1.0,True
core_leveraged,KTUP,KTOS,0.002873553323051138,0.004257116034149834,479.0,159.0,0.33215528410801953,0.13135922380276116,0.885010934689789,0.0050295301214567855,0.004004157583567473,-0.0011306042605163354,1.0,True
core_leveraged,LMNX,LMND,0.0028482685684414763,0.004219657138431816,479.0,137.0,0.33349115996439693,0.1333801396073847,0.8751070911390507,0.004984452555925568,0.003026650541905639,-0.0001783819734641626,1.0,True
core_leveraged,AMUU,AMD,0.0027929718321510824,0.004137736047631233,479.0,272.0,0.2748153392142456,0.09156558660561169,1.050453257502433,0.005768592883924923,0.005557169657870911,-0.002764197825719829,1.0,True
core_leveraged,AMDG,AMD,0.0027335569112774973,0.004049713942633329,479.0,320.0,0.27003389344890505,0.09074658175772292,1.0414922620385467,0.005729191543878856,0.005408828297023905,-0.0026752713857464074,1.0,True
core_leveraged,MULL,MU,0.0026810014645592736,0.003971854021569294,479.0,368.0,0.27066369079137176,0.09347637845161984,1.013435622412461,0.005605384867323679,0.005482265346962554,-0.0028012638824032807,1.0,True
core_leveraged,ARCX,ACHR,0.002619321982032809,0.0038804770104189762,479.0,226.0,0.30662236708174584,0.12396434268712173,0.8657153029034692,0.00494161128021973,0.0041417421166720265,-0.0015224201346392173,1.0,True
core_leveraged,MPL,MP,0.0024883145643982245,0.003686391947256629,479.0,134.0,0.29888047025097675,0.12463780418317096,0.8392972362872101,0.0048206004677962275,0.0032275522318987006,-0.0007392376675004761,1.0,True
core_leveraged,HOOG,HOOD,0.002438978100839362,0.003613300890132388,479.0,281.0,0.26380430478497807,0.099591749463664,0.9270999572954527,0.005219990985412346,0.004550474490718365,-0.002111496389879003,1.0,True
core_leveraged,NUGT,GDX,0.0023291169936831796,0.003450543694345451,479.0,500.0,0.21488861006114596,0.07301989067273439,1.0300072052762586,0.005678592628794389,0.008563415221959003,-0.006234298228275823,1.0,True
core_leveraged,PLTU,PLTR,0.002262159842806913,0.0033513479152695006,479.0,348.0,0.2297592814627173,0.08454104399148438,0.9512036368991509,0.005328283275795584,0.005958216993013631,-0.003696057150206718,1.0,True
core_leveraged,JNUG,GDXJ,0.002257506839243407,0.0033444545766568986,479.0,500.0,0.2173321980968905,0.07712594712016706,0.9862604243341823,0.005484812546801529,0.007503440784365138,-0.005245933945121731,1.0,True
