etf,underlying,pair_frac_merged
PTIR,PLTR,0.0030227281367186773
RDTL,RDDT,0.0029922366266993427
KTUP,KTOS,0.002873553323051138
LMNX,LMND,0.0028482685684414763
AMUU,AMD,0.0027929718321510824
AMDG,AMD,0.0027335569112774973
MULL,MU,0.0026810014645592736
ARCX,ACHR,0.002619321982032809
MPL,MP,0.0024883145643982245
HOOG,HOOD,0.002438978100839362
NUGT,GDX,0.0023291169936831796
PLTU,PLTR,0.002262159842806913
JNUG,GDXJ,0.002257506839243407
QSU,QS,0.0021728790420659297
RBLU,RBLX,0.002167996863529891
BABX,BABA,0.0020457020000566066
MPG,MP,0.0020267923653187942
SNOU,SNOW,0.0018750005325376276
SOFX,SOFI,0.0018551821411923557
ANEL,ANET,0.0018202432394330307
PLTA,PLTR,0.0018030746894898526
VRTL,VRT,0.0017250785172577107
BITX,IBIT,0.0016857842190876097
ORCX,ORCL,0.0016829740411180283
PONX,PONY,0.0016547974736661612
GDXU,GDX,0.0016534012073306657
BULX,BULL,0.001644388175602159
TSLI,TSLA,0.0016246038635799294
URAA,URA,0.0015932458723325862
LRCU,LRCX,0.0015662167547308876
GEVX,GEV,0.001564487722867853
NVOX,NVO,0.001511261966174045
GLGG,GLXY,0.0014682367117777682
AVGG,AVGO,0.0014658834681287028
TSLL,TSLA,0.0014606181319160362
BTCL,IBIT,0.0014219606190482485
BITU,IBIT,0.0014066424930604992
OPEX,OPEN,0.0013940486331112372
CVNX,CVNA,0.0013937524828760285
TSLR,TSLA,0.0013434910481319308
DKNX,DKNG,0.0012440368236034981
AVL,AVGO,0.001219134499132765
UBRL,UBER,0.0011909048240135948
VSTL,VST,0.001131875141355521
HIMZ,HIMS,0.0011091529964974097
XYZG,XYZ,0.0010911506664564438
FBL,META,0.001059180997410596
SRPU,SRPT,0.001042122367270062
MVLL,MRVL,0.0010007214332236052
TSLT,TSLA,0.0009649484269583889
SOXL,SOXX,0.0009541942380786665
SHPU,SHOP,0.0008909554917517512
MSTX,MSTR,0.0008886179054507351
AFRU,AFRM,0.0008733055023823007
CWEB,KWEB,0.000855601471236583
LLYX,LLY,0.0008389405575421565
AVGX,AVGO,0.000810305101442882
NVDG,NVDA,0.0008082084123338234
QCMU,QCOM,0.0008014213149213735
PALU,PANW,0.000797607512725854
AMZZ,AMZN,0.0007138013000224521
TSMU,TSM,0.0006899529022641615
TSMG,TSM,0.0006866492441688099
CEGX,CEG,0.0006860914175522766
NVDU,NVDA,0.0006693579725445526
PLTG,PLTR,0.0006676901141770653
ETRL,ETOR,0.0006451744798369402
GOOX,GOOGL,0.0006451730420337764
METU,META,0.000645163360361797
NVDL,NVDA,0.0006451629244618515
TSLG,TSLA,0.0006451625616502173
CRMG,CRM,0.0006451623285197077
NFLU,NFLX,0.0006451621624494438
ARMG,ARM,0.0006451618690549126
JOBX,JOBY,0.0006451617341445392
PANG,PANW,0.0006451616193470523
YINN,FXI,0.0006451615675456729
AMZU,AMZN,0.0006451614936060196
DLLL,DELL,0.0006451614279409215
NVDB,NVDA,0.0006451614079285306
NOWL,NOW,0.0006451614059905876
BOEU,BA,0.0006451613968575807
UNHG,UNH,0.0006451613486201199
MSFU,MSFT,0.0006451613473635059
MRAL,MARA,0.0006451613436879055
NFXL,NFLX,0.0006451613392394964
QPUX,IONQ,0.0006451613134731572
CRWL,CRWD,0.0006451612600814054
AVGU,AVGO,0.0006451612592400277
BOEG,BA,0.0006451612483132466
ASMG,ASML,0.00064516124292995
MSTU,MSTR,0.0006451612338968355
SMCL,SMCI,0.0006451612141685634
TARK,ARKK,0.0006451612003353782
TTDU,TTD,0.0006451611990043656
