symbol,underlying,realized_pnl,fifo_realized,commissions,n_trades,unrealized_pnl,position,markPrice,positionValue,subCategory,cash_pnl,dividends,borrow_fees,taxes,corp_actions,n_cash_rows,net_pnl,pair_label
GS,GS,0.0,0.0,0.0,0.0,92.887486,6.0,940.12,5640.72,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,92.887486,GS / GS
GSX,GS,0.0,0.0,0.0,0.0,-82.019294,-84.0,34.02,-2857.68,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-82.019294,GS / GSX
XXRP,GXRP,0.0,0.0,0.0,0.0,505.971404,-276.0,8.61,-2376.36,ETF,0.0,0.0,0.0,0.0,0.0,0.0,505.971404,GXRP / XXRP
GXRP,GXRP,0.0,0.0,0.0,0.0,-497.254628,148.0,34.96,5174.08,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-497.254628,GXRP / GXRP
HOOW,HOOD,0.0,0.0,0.0,0.0,548.627766,-95.0,39.5,-3752.5,ETF,0.0,0.0,0.0,0.0,0.0,0.0,548.627766,HOOD / HOOW
HOOY,HOOD,0.0,0.0,0.0,0.0,395.200756,-93.0,41.5,-3859.5,ETF,0.0,0.0,0.0,0.0,0.0,0.0,395.200756,HOOD / HOOY
HOOD,HOOD,0.0,0.0,0.0,0.0,-807.050995,76.0,101.24,7694.24,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-807.050995,HOOD / HOOD
BITU,IBIT,0.0,0.0,0.0,0.0,540.758246,-122.0,19.8,-2415.6,ETF,0.0,0.0,0.0,0.0,0.0,0.0,540.758246,IBIT / BITU
BTCL,IBIT,0.0,0.0,0.0,0.0,439.63018,-92.0,26.035,-2395.22,ETF,0.0,0.0,0.0,0.0,0.0,0.0,439.63018,IBIT / BTCL
BITX,IBIT,0.0,0.0,0.0,0.0,436.925134,-97.0,24.97,-2422.09,ETF,0.0,0.0,0.0,0.0,0.0,0.0,436.925134,IBIT / BITX
XBTY,IBIT,0.0,0.0,0.0,0.0,238.87626,-272.0,9.726,-2645.47,ETF,0.0,0.0,0.0,0.0,0.0,0.0,238.87626,IBIT / XBTY
IBIT,IBIT,0.0,0.0,0.0,0.0,-2023.026901,435.0,47.6,20706.0,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-2023.026901,IBIT / IBIT
INTC,INTC,0.0,0.0,0.0,0.0,325.697386,123.0,48.66,5985.18,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,325.697386,INTC / INTC
INTW,INTC,0.0,0.0,0.0,0.0,-262.257074,-48.0,67.64,-3246.72,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-262.257074,INTC / INTW
IREN,IREN,0.0,0.0,0.0,0.0,755.805915,95.0,59.84,5684.8,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,755.805915,IREN / IREN
IREG,IREN,0.0,0.0,0.0,0.0,-643.291034,-77.0,37.1466,-2860.29,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-643.291034,IREN / IREG
ISUL,ISRG,0.0,0.0,0.0,0.0,155.223773,-86.0,29.8933,-2570.82,ETF,0.0,0.0,0.0,0.0,0.0,0.0,155.223773,ISRG / ISUL
ISRG,ISRG,0.0,0.0,0.0,0.0,-160.950257,11.0,507.55,5583.05,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-160.950257,ISRG / ISRG
KLAC,KLAC,0.0,0.0,0.0,0.0,727.009743,4.0,1684.71,6738.84,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,727.009743,KLAC / KLAC
KLAG,KLAC,0.0,0.0,0.0,0.0,-809.025229,-117.0,29.9101,-3499.48,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-809.025229,KLAC / KLAG
ELIL,LLY,0.0,0.0,0.0,0.0,250.204705,-99.0,25.24,-2498.76,ETF,0.0,0.0,0.0,0.0,0.0,0.0,250.204705,LLY / ELIL
LLY,LLY,0.0,0.0,0.0,0.0,-252.894881,5.0,1024.14,5120.7,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-252.894881,LLY / LLY
LMT,LMT,0.0,0.0,0.0,0.0,457.862829,9.0,622.51,5602.59,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,457.862829,LMT / LMT
LMTL,LMT,0.0,0.0,0.0,0.0,-510.765337,-63.0,48.8,-3074.4,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-510.765337,LMT / LMTL
MARO,MARA,0.0,0.0,0.0,0.0,298.700261,-525.0,7.38,-3874.5,ETF,0.0,0.0,0.0,0.0,0.0,0.0,298.700261,MARA / MARO
MAAY,MARA,0.0,0.0,0.0,0.0,226.523646,-206.0,12.8019,-2637.19,ETF,0.0,0.0,0.0,0.0,0.0,0.0,226.523646,MARA / MAAY
MARA,MARA,0.0,0.0,0.0,0.0,-666.464136,908.0,9.86,8952.88,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-666.464136,MARA / MARA
MDBX,MDB,0.0,0.0,0.0,0.0,347.400106,-44.0,53.94,-2373.36,ETF,0.0,0.0,0.0,0.0,0.0,0.0,347.400106,MDB / MDBX
MDB,MDB,0.0,0.0,0.0,0.0,-320.412314,14.0,374.02,5236.28,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-320.412314,MDB / MDB
META,META,0.0,0.0,0.0,0.0,1365.126143,18.0,738.31,13289.58,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,1365.126143,META / META
FBYY,META,0.0,0.0,0.0,0.0,-26.910747,-62.0,18.855,-1169.01,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-26.910747,META / FBYY
FBY,META,0.0,0.0,0.0,0.0,-420.412774,-335.0,13.48,-4515.8,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-420.412774,META / FBY
FBL,META,0.0,0.0,0.0,0.0,-808.787646,-85.0,39.79,-3382.15,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-808.787646,META / FBL
MSFX,MSFT,0.0,0.0,0.0,0.0,439.745494,-109.0,21.44,-2336.96,ETF,0.0,0.0,0.0,0.0,0.0,0.0,439.745494,MSFT / MSFX
MSFW,MSFT,0.0,0.0,0.0,0.0,420.633104,-111.0,33.65,-3735.15,ETF,0.0,0.0,0.0,0.0,0.0,0.0,420.633104,MSFT / MSFW
MSFL,MSFT,0.0,0.0,0.0,0.0,420.455371,-117.0,21.3,-2492.1,ETF,0.0,0.0,0.0,0.0,0.0,0.0,420.455371,MSFT / MSFL
MSFO,MSFT,0.0,0.0,0.0,0.0,281.250332,-281.0,13.85,-3891.85,ETF,0.0,0.0,0.0,0.0,0.0,0.0,281.250332,MSFT / MSFO
MSFU,MSFT,0.0,0.0,0.0,0.0,201.173116,-31.0,32.45,-1005.95,ETF,0.0,0.0,0.0,0.0,0.0,0.0,201.173116,MSFT / MSFU
MSFT,MSFT,0.0,0.0,0.0,0.0,-1520.030476,46.0,433.5,19941.0,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-1520.030476,MSFT / MSFT
MSTW,MSTR,0.0,0.0,0.0,0.0,643.756188,-404.0,8.53,-3446.12,ETF,0.0,0.0,0.0,0.0,0.0,0.0,643.756188,MSTR / MSTW
MSOO,MSTR,0.0,0.0,0.0,0.0,124.450243,-100.0,7.1932,-719.32,ETF,0.0,0.0,0.0,0.0,0.0,0.0,124.450243,MSTR / MSOO
MTYY,MSTR,0.0,0.0,0.0,0.0,61.700243,-100.0,7.3004,-730.04,ETF,0.0,0.0,0.0,0.0,0.0,0.0,61.700243,MSTR / MTYY
MSTR,MSTR,0.0,0.0,0.0,0.0,-1034.200946,45.0,143.19,6443.55,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-1034.200946,MSTR / MSTR
MU,MU,0.0,0.0,0.0,0.0,1028.763372,13.0,435.79,5665.27,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,1028.763372,MU / MU
MUU,MU,0.0,0.0,0.0,0.0,-1026.972171,-14.0,224.11,-3137.54,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-1026.972171,MU / MUU
NFLW,NFLX,0.0,0.0,0.0,0.0,307.765528,-173.0,23.0,-3979.0,ETF,0.0,0.0,0.0,0.0,0.0,0.0,307.765528,NFLX / NFLW
NFLU,NFLX,0.0,0.0,0.0,0.0,290.427611,-104.0,25.16,-2616.64,ETF,0.0,0.0,0.0,0.0,0.0,0.0,290.427611,NFLX / NFLU
NFXL,NFLX,0.0,0.0,0.0,0.0,242.540786,-79.0,23.77,-1877.83,ETF,0.0,0.0,0.0,0.0,0.0,0.0,242.540786,NFLX / NFXL
NFLY,NFLX,0.0,0.0,0.0,0.0,225.865436,-380.0,10.61,-4031.8,ETF,0.0,0.0,0.0,0.0,0.0,0.0,225.865436,NFLX / NFLY
NFLX,NFLX,0.0,0.0,0.0,0.0,-858.297156,209.0,83.16,17380.44,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-858.297156,NFLX / NFLX
NVDA,NVDA,0.0,0.0,0.0,0.0,1169.659363,181.0,192.51,34844.31,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,1169.659363,NVDA / NVDA
NVYY,NVDA,0.0,0.0,0.0,0.0,-51.787239,-155.0,18.2265,-2825.11,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-51.787239,NVDA / NVYY
NVDY,NVDA,0.0,0.0,0.0,0.0,-54.188514,-287.0,14.67,-4210.29,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-54.188514,NVDA / NVDY
NVDO,NVDA,0.0,0.0,0.0,0.0,-75.307315,-61.0,19.9498,-1216.94,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-75.307315,NVDA / NVDO
NVDU,NVDA,0.0,0.0,0.0,0.0,-152.630126,-23.0,123.58,-2842.34,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-152.630126,NVDA / NVDU
NVDB,NVDA,0.0,0.0,0.0,0.0,-153.112167,-98.0,29.51,-2891.98,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-153.112167,NVDA / NVDB
NVDG,NVDA,0.0,0.0,0.0,0.0,-166.064423,-165.0,17.67,-2915.55,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-166.064423,NVDA / NVDG
NVDL,NVDA,0.0,0.0,0.0,0.0,-208.550559,-31.0,92.47,-2866.57,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-208.550559,NVDA / NVDL
OPEG,OPEN,0.0,0.0,0.0,0.0,456.367116,-277.0,8.4919,-2352.26,ETF,0.0,0.0,0.0,0.0,0.0,0.0,456.367116,OPEN / OPEG
OPEN,OPEN,0.0,0.0,0.0,0.0,-434.629905,921.0,5.58,5139.18,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-434.629905,OPEN / OPEN
PALU,PANW,0.0,0.0,0.0,0.0,217.661835,-163.0,16.1267,-2628.65,ETF,0.0,0.0,0.0,0.0,0.0,0.0,217.661835,PANW / PALU
PANG,PANW,0.0,0.0,0.0,0.0,211.653461,-264.0,9.9145,-2617.43,ETF,0.0,0.0,0.0,0.0,0.0,0.0,211.653461,PANW / PANG
PANW,PANW,0.0,0.0,0.0,0.0,-403.85999,61.0,176.2,10748.2,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-403.85999,PANW / PANW
PLTW,PLTR,0.0,0.0,0.0,0.0,698.974988,-122.0,29.36,-3581.92,ETF,0.0,0.0,0.0,0.0,0.0,0.0,698.974988,PLTR / PLTW
PTIR,PLTR,0.0,0.0,0.0,0.0,646.184061,-115.0,19.1,-2196.5,ETF,0.0,0.0,0.0,0.0,0.0,0.0,646.184061,PLTR / PTIR
PLTA,PLTR,0.0,0.0,0.0,0.0,638.369626,-108.0,20.35,-2197.8,ETF,0.0,0.0,0.0,0.0,0.0,0.0,638.369626,PLTR / PLTA
