underlying,realized_pnl,unrealized_pnl,cash_pnl,dividends,borrow_fees,commissions,net_pnl,n_symbols
CEG,0.0,23.928450999999995,0.0,0.0,0.0,0.0,23.928450999999995,2
CRWD,0.0,22.54640600000002,0.0,0.0,0.0,0.0,22.54640600000002,2
OPEN,0.0,21.737211000000002,0.0,0.0,0.0,0.0,21.737211000000002,2
UPST,0.0,21.68660700000001,0.0,0.0,0.0,0.0,21.68660700000001,2
ABNB,0.0,20.284848000000004,0.0,0.0,0.0,0.0,20.284848000000004,2
CRM,0.0,17.213417999999933,0.0,0.0,0.0,0.0,17.213417999999933,2
XOM,0.0,17.209780000000023,0.0,0.0,0.0,0.0,17.209780000000023,3
CMG,0.0,15.069007,0.0,0.0,0.0,0.0,15.069007,2
TEM,0.0,15.06489400000001,0.0,0.0,0.0,0.0,15.06489400000001,2
ENPH,0.0,14.801335999999992,0.0,0.0,0.0,0.0,14.801335999999992,2
PYPL,0.0,11.22644600000001,0.0,0.0,0.0,0.0,11.22644600000001,2
GS,0.0,10.868191999999993,0.0,0.0,0.0,0.0,10.868191999999993,2
GXRP,0.0,8.716775999999982,0.0,0.0,0.0,0.0,8.716775999999982,2
CELH,0.0,7.964230000000001,0.0,0.0,0.0,0.0,7.964230000000001,2
XRP,0.0,7.432547999999997,0.0,0.0,0.0,0.0,7.432547999999997,2
MU,0.0,1.791201000000001,0.0,0.0,0.0,0.0,1.791201000000001,2
SNAP,0.0,0.2800130000000003,0.0,0.0,0.0,0.0,0.2800130000000003,2
LLY,0.0,-2.690176000000008,0.0,0.0,0.0,0.0,-2.690176000000008,2
CSCO,0.0,-3.3829410000000166,0.0,0.0,0.0,0.0,-3.3829410000000166,2
QCOM,0.0,-3.7777490000000284,0.0,0.0,0.0,0.0,-3.7777490000000284,2
UNH,0.0,-4.399727000000098,0.0,0.0,0.0,0.0,-4.399727000000098,2
VRT,0.0,-4.79630300000008,0.0,0.0,0.0,0.0,-4.79630300000008,2
COST,0.0,-5.054203000000001,0.0,0.0,0.0,0.0,-5.054203000000001,2
ISRG,0.0,-5.726483999999999,0.0,0.0,0.0,0.0,-5.726483999999999,2
UBER,0.0,-6.253167999999995,0.0,0.0,0.0,0.0,-6.253167999999995,2
TER,0.0,-7.988087999999948,0.0,0.0,0.0,0.0,-7.988087999999948,2
BLSH,0.0,-8.156319000000053,0.0,0.0,0.0,0.0,-8.156319000000053,2
GOOGL,0.0,-12.244216000000023,0.0,0.0,0.0,0.0,-12.244216000000023,3
ALAB,0.0,-39.634792000000004,0.0,0.0,0.0,0.0,-39.634792000000004,2
LMT,0.0,-52.90250800000001,0.0,0.0,0.0,0.0,-52.90250800000001,2
ETHA,0.0,-58.354241999999886,0.0,0.0,0.0,0.0,-58.354241999999886,4
KLAC,0.0,-82.01548600000001,0.0,0.0,0.0,0.0,-82.01548600000001,2
BA,0.0,-111.425906,0.0,0.0,0.0,0.0,-111.425906,3
TSLA,0.0,-141.230544,0.0,0.0,0.0,0.0,-141.230544,6
MARA,0.0,-141.240229,0.0,0.0,0.0,0.0,-141.240229,3
COIN,0.0,-156.373036,0.0,0.0,0.0,0.0,-156.373036,2
MSTR,0.0,-204.29427199999998,0.0,0.0,0.0,0.0,-204.29427199999998,4
AMD,0.0,-224.87041299999999,0.0,0.0,0.0,0.0,-224.87041299999999,5
IBIT,0.0,-366.8370809999999,0.0,0.0,0.0,0.0,-366.8370809999999,5
DKNG,0.0,-592.92638,0.0,0.0,0.0,0.0,-592.92638,2
