symbol,underlying,realized_pnl,fifo_realized,commissions,n_trades,unrealized_pnl,position,markPrice,positionValue,subCategory,cash_pnl,dividends,borrow_fees,taxes,corp_actions,n_cash_rows,net_pnl
AVL,AVGO,0.0,0.0,0.0,0.0,-36.563801,-74.0,39.43,-2917.82,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-36.563801
AZYY,AMZN,0.0,0.0,0.0,0.0,-5.473957,-60.0,19.455,-1167.3,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-5.473957
BA,BA,0.0,0.0,0.0,0.0,-604.646571,44.0,234.04,10297.76,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-604.646571
BABA,BABA,0.0,0.0,0.0,0.0,244.732658,56.0,174.25,9758.0,ADR,0.0,0.0,0.0,0.0,0.0,0.0,244.732658
BABO,BABA,0.0,0.0,0.0,0.0,-83.414146,-284.0,14.56,-4135.04,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-83.414146
BABX,BABA,0.0,0.0,0.0,0.0,-55.929034,-56.0,49.41,-2766.96,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-55.929034
BITU,IBIT,0.0,0.0,0.0,0.0,540.758246,-122.0,19.8,-2415.6,ETF,0.0,0.0,0.0,0.0,0.0,0.0,540.758246
BITX,IBIT,0.0,0.0,0.0,0.0,436.925134,-97.0,24.97,-2422.09,ETF,0.0,0.0,0.0,0.0,0.0,0.0,436.925134
BLSH,BLSH,0.0,0.0,0.0,0.0,-679.411428,154.0,32.66,5029.64,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-679.411428
BLSX,BLSH,0.0,0.0,0.0,0.0,671.255109,-273.0,8.19,-2235.87,ETF,0.0,0.0,0.0,0.0,0.0,0.0,671.255109
BOEG,BA,0.0,0.0,0.0,0.0,273.202566,-136.0,17.3581,-2360.7,ETF,0.0,0.0,0.0,0.0,0.0,0.0,273.202566
BOEU,BA,0.0,0.0,0.0,0.0,220.018099,-54.0,44.0075,-2376.41,ETF,0.0,0.0,0.0,0.0,0.0,0.0,220.018099
BRKC,BRK-B,0.0,0.0,0.0,0.0,113.547714,-96.0,42.5554,-4085.32,ETF,0.0,0.0,0.0,0.0,0.0,0.0,113.547714
BRKU,BRK-B,0.0,0.0,0.0,0.0,145.309788,-122.0,22.1,-2696.2,ETF,0.0,0.0,0.0,0.0,0.0,0.0,145.309788
BTCL,IBIT,0.0,0.0,0.0,0.0,439.63018,-92.0,26.035,-2395.22,ETF,0.0,0.0,0.0,0.0,0.0,0.0,439.63018
CEG,CEG,0.0,0.0,0.0,0.0,-356.377428,19.0,287.45,5461.55,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-356.377428
CEGX,CEG,0.0,0.0,0.0,0.0,380.305879,-155.0,17.9,-2774.5,ETF,0.0,0.0,0.0,0.0,0.0,0.0,380.305879
CELH,CELH,0.0,0.0,0.0,0.0,4.344972,100.0,53.37,5337.0,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,4.344972
CELT,CELH,0.0,0.0,0.0,0.0,3.619258,-166.0,15.307,-2540.96,ETF,0.0,0.0,0.0,0.0,0.0,0.0,3.619258
CLS,CLS,0.0,0.0,0.0,0.0,31.584086,7.0,300.0,2100.0,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,31.584086
CMG,CMG,0.0,0.0,0.0,0.0,-131.958028,135.0,39.1,5278.5,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-131.958028
CMGG,CMG,0.0,0.0,0.0,0.0,147.027035,-114.0,21.9746,-2505.1,ETF,0.0,0.0,0.0,0.0,0.0,0.0,147.027035
CNC,CNC,0.0,0.0,0.0,0.0,-294.024514,120.0,43.6,5232.0,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-294.024514
CNCG,CNC,0.0,0.0,0.0,0.0,345.123472,-137.0,18.0715,-2475.8,ETF,0.0,0.0,0.0,0.0,0.0,0.0,345.123472
COIN,COIN,0.0,0.0,0.0,0.0,-614.354687,19.0,199.18,3784.42,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-614.354687
COIW,COIN,0.0,0.0,0.0,0.0,457.981651,-227.0,16.24,-3686.48,ETF,0.0,0.0,0.0,0.0,0.0,0.0,457.981651
COST,COST,0.0,0.0,0.0,0.0,-186.888457,6.0,952.89,5717.34,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-186.888457
COTG,COST,0.0,0.0,0.0,0.0,181.834254,-187.0,13.875,-2594.63,ETF,0.0,0.0,0.0,0.0,0.0,0.0,181.834254
CRM,CRM,0.0,0.0,0.0,0.0,-553.880428,24.0,214.08,5137.92,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-553.880428
CRMG,CRM,0.0,0.0,0.0,0.0,571.093846,-277.0,8.71,-2412.67,ETF,0.0,0.0,0.0,0.0,0.0,0.0,571.093846
CRWD,CRWD,0.0,0.0,0.0,0.0,-124.857914,12.0,444.62,5335.44,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-124.857914
CRWG,CRWV,0.0,0.0,0.0,0.0,-301.165412,-613.0,4.92,-3015.96,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-301.165412
CRWL,CRWD,0.0,0.0,0.0,0.0,147.40432,-98.0,27.0015,-2646.15,ETF,0.0,0.0,0.0,0.0,0.0,0.0,147.40432
CRWV,CRWV,0.0,0.0,0.0,0.0,1058.431515,117.0,99.53,11645.01,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,1058.431515
CSCL,CSCO,0.0,0.0,0.0,0.0,-268.451113,-99.0,31.0138,-3070.37,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-268.451113
CSCO,CSCO,0.0,0.0,0.0,0.0,265.068172,74.0,78.43,5803.82,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,265.068172
CSEX,CLS,0.0,0.0,0.0,0.0,9.862991,-61.0,16.8,-1024.8,ETF,0.0,0.0,0.0,0.0,0.0,0.0,9.862991
CVNA,CVNA,0.0,0.0,0.0,0.0,-324.837171,9.0,427.44,3846.96,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-324.837171
CVNY,CVNA,0.0,0.0,0.0,0.0,351.530354,-105.0,35.44,-3721.2,ETF,0.0,0.0,0.0,0.0,0.0,0.0,351.530354
CWVX,CRWV,0.0,0.0,0.0,0.0,-662.258984,-76.0,39.75,-3021.0,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-662.258984
DKNG,DKNG,0.0,0.0,0.0,0.0,-586.223323,185.0,29.94,5538.9,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-586.223323
DKUP,DKNG,0.0,0.0,0.0,0.0,-6.703057,-306.0,9.0096,-2756.94,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-6.703057
ELIL,LLY,0.0,0.0,0.0,0.0,250.204705,-99.0,25.24,-2498.76,ETF,0.0,0.0,0.0,0.0,0.0,0.0,250.204705
ENPH,ENPH,0.0,0.0,0.0,0.0,-192.31836,140.0,38.25,5355.0,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-192.31836
ENPX,ENPH,0.0,0.0,0.0,0.0,207.119696,-122.0,20.53,-2504.66,ETF,0.0,0.0,0.0,0.0,0.0,0.0,207.119696
ETHA,ETHA,0.0,0.0,0.0,0.0,-1575.294494,745.0,21.11,15726.95,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-1575.294494
ETHT,ETHA,0.0,0.0,0.0,0.0,575.292271,-77.0,31.76,-2445.52,ETF,0.0,0.0,0.0,0.0,0.0,0.0,575.292271
ETHU,ETHA,0.0,0.0,0.0,0.0,478.503011,-53.0,46.58,-2468.74,ETF,0.0,0.0,0.0,0.0,0.0,0.0,478.503011
ETU,ETHA,0.0,0.0,0.0,0.0,463.14497,-199.0,12.43,-2473.57,ETF,0.0,0.0,0.0,0.0,0.0,0.0,463.14497
