ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
COZX,CORZ,2.042682,95,ols,0.034453,0.0019470000000000002,0.032506,20000,0.032506,False,False,False,,True,False,False,False,False,True,False,False,False,1.423925,0.694865,0.857487,0.783029,0.749793,0.6623589999999999,0.717287,0.5106705,0.6128046,0.5106705,0.6128046
CRDU,CRDO,1.988022,131,ols,0.09748,-0.061079999999999995,0.15855999999999998,60000,0.15855999999999998,False,False,False,,True,False,False,False,False,True,False,False,False,1.728303,0.982664,0.904367,0.803243,0.896513,0.824104,0.7379530000000001,0.4970055,0.5964066,0.5,0.5964066
CSEX,CLS,1.998881,89,ols,0.052487000000000006,-0.016087,0.06857400000000001,20000,0.06857400000000001,False,False,False,,True,False,False,False,False,True,False,False,False,1.491012,0.595845,0.702647,0.492884,0.529247,0.5272709999999999,0.460673,0.49972025,0.5996642999999999,0.5,0.5996642999999999
CWVX,CRWV,1.989495,177,ols,0.055606,-0.019206,0.074812,40000,0.074812,False,False,False,,True,False,False,False,False,True,False,False,False,1.927636,0.929368,1.189932,1.393705,1.067564,0.854556,0.992752,0.49737375,0.5968485,0.5,0.5968485
DOGD,DDOG,2.014503,155,ols,0.12736,-0.09096,0.21832000000000001,8000,0.21832000000000001,False,False,False,,True,False,False,False,False,True,False,False,False,1.188486,0.4074,0.479548,0.234993,0.341037,0.18907999999999997,0.12271699999999996,0.50362575,0.6043508999999999,0.50362575,0.6043508999999999
ENPX,ENPH,2.017955,131,ols,0.18420899999999998,-0.147809,0.332018,2000,0.332018,False,False,False,,False,True,False,False,True,False,True,False,False,1.636099,0.735569,0.72669,0.542386,0.64281,0.40355100000000005,0.310792,0.50448875,0.6053865,0.50448875,0.6053865
FLYT,FLY,1.979862,104,ols,0.174737,-0.13833700000000002,0.313074,10000,0.313074,False,False,False,,False,True,False,False,True,False,True,False,False,2.289877,1.43073,1.076112,1.123272,1.250159,1.117656,0.937085,0.4949655,0.5939586,0.5,0.5939586
GEVX,GEV,1.992771,177,ols,0.030886,0.005514,0.025372,25000,0.025372,False,False,False,,True,False,False,False,False,True,False,False,False,0.997521,0.311156,0.529122,0.276942,0.300973,0.285784,0.275601,0.49819275,0.5978313,0.5,0.5978313
IREX,IREN,1.981913,104,ols,0.328202,-0.291802,0.620004,10000,0.620004,False,False,False,,False,True,False,False,False,False,True,False,False,2.176384,1.383521,1.059204,1.091659,1.21211,0.763517,0.592106,0.49547825,0.5945739,0.5,0.5945739
JOBX,JOBY,1.978336,136,ols,0.232423,-0.196023,0.428446,4000,0.428446,False,False,False,,False,True,False,False,False,False,True,False,False,1.453771,0.738177,0.811539,0.637348,0.691764,0.309731,0.26331800000000005,0.494584,0.5935008,0.5,0.5935008
