symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
NETG,-824.566655633187,-2082.6975,-1258.130844366813,1258.130844366813,824.566655633187,2082.6975,1258.130844366813,False
HOOG,-759.931298198548,-1998.92,-1238.988701801452,1238.988701801452,759.931298198548,1998.92,1238.988701801452,False
CLSX,-4412.516393367536,-5587.0,-1174.4836066324642,1174.4836066324642,4412.516393367536,5587.0,1174.4836066324642,False
HIMZ,-3691.822370991427,-4850.56,-1158.7376290085735,1158.7376290085735,3691.822370991427,4850.56,1158.7376290085735,False
RKTL,-2790.120163118165,-1638.0,1152.1201631181648,1152.1201631181648,2790.120163118165,1638.0,-1152.1201631181648,True
IONL,-1679.5443087604158,-2831.3500000000004,-1151.8056912395846,1151.8056912395846,1679.5443087604158,2831.3500000000004,1151.8056912395846,False
SMCX,-860.9086395774137,-1975.8,-1114.8913604225863,1114.8913604225863,860.9086395774137,1975.8,1114.8913604225863,False
COHX,-3302.1362738769235,-2214.63,1087.5062738769234,1087.5062738769234,3302.1362738769235,2214.63,-1087.5062738769234,True
SNAG,-1934.946093389449,-850.1568,1084.789293389449,1084.789293389449,1934.946093389449,850.1568,-1084.789293389449,True
WDCX,-3092.344628681175,-4152.08,-1059.735371318825,1059.735371318825,3092.344628681175,4152.08,1059.735371318825,False
SOFA,0.0,-1045.4636,-1045.4636,1045.4636,0.0,1045.4636,1045.4636,False
IONX,-1982.5847413759493,-3001.44,-1018.8552586240507,1018.8552586240507,1982.5847413759493,3001.44,1018.8552586240507,False
HODU,-950.7505155289444,-1952.1319999999998,-1001.3814844710554,1001.3814844710554,950.7505155289444,1952.1319999999998,1001.3814844710554,False
RGTU,-2514.1162766707657,-1517.67,996.4462766707657,996.4462766707657,2514.1162766707657,1517.67,-996.4462766707657,True
CONI,-1306.6539494270655,-310.8582,995.7957494270655,995.7957494270655,1306.6539494270655,310.8582,-995.7957494270655,True
MSTZ,-2537.3728521682783,-3517.0800000000004,-979.7071478317221,979.7071478317221,2537.3728521682783,3517.0800000000004,979.7071478317221,False
