pair,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
XOM (spot),0.0,587.903258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.903258
RBLX | RBLY,751.03208154,0.0,0.0,0.0,-167.32,-8.18,0.0,0.0,0.0,575.5320815400001
META (spot),565.56971375,-7.818166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.75154775
TSLA | TSLL,14.96856068,553.853749,0.0,0.0,0.0,-18.06,2.9495523831000647,0.0,0.0,553.7118620631
CMG | CMGG,567.93314174,0.0,0.0,0.0,0.0,-15.68,0.0,0.0,0.0,552.25314174
TSLA | TSLI,0.0,553.028109,0.0,0.0,0.0,-10.45,2.7646980935131444,0.0,0.0,545.3428070935131
IREN | IREG,0.0,502.490878,0.0,0.0,0.0,-19.62,3.0565858054312476,0.0,0.0,485.9274638054313
MRNA (spot),0.0,470.740501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.740501
MSFT | MSFO,558.84950913,0.0,0.0,0.0,-72.98,-19.81,0.0,0.0,0.0,466.05950913
NFLX | NFLY,559.66645845,0.0,0.0,0.0,-106.49000000000001,-3.11,0.0,0.0,0.0,450.06645845
TSLA | TSLR,0.0,460.068268,0.0,0.0,0.0,-15.36,1.3499672891866805,0.0,0.0,446.05823528918665
ASML (spot),523.1782535,-78.897457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.28079649999995
ABNB | ABNY,531.49797475,0.0,0.0,0.0,-78.46000000000001,-11.59,0.0,0.0,0.0,441.44797475
AMZN | AMZZ,-25.55673051,471.260951,0.0,0.0,0.0,-8.68,2.7619510549532307,0.0,0.0,439.78617154495316
ISRG | ISUL,444.95631575,0.0,0.0,0.0,0.0,-8.56,0.0,0.0,0.0,436.39631575
GLXY (spot),420.68337375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.68337375
ARM (spot),414.53609475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.53609475
MARA | MAAY,0.0,1003.630459,0.0,0.0,-577.97,-39.51,12.695147352066625,0.0,0.0,398.84560635206657
AMZN | AMZU,-26.03683285,434.006104,0.0,0.0,0.0,-16.78,3.0347284163701165,0.0,0.0,394.2239995663701
TSLA | TSLW,24.31639398,579.74493,0.0,0.0,-192.4,-25.94,2.106265058944739,0.0,0.0,387.8275890389448
MSFT | MSFU,0.0,380.436083,0.0,0.0,0.0,-12.9,3.1378850656686934,0.0,0.0,370.6739680656687
QCOM | QCMU,-6.58924512,364.257797,0.0,0.0,0.0,-8.02,2.873985038818802,0.0,0.0,352.52253691881884
TEM | TEMT,-269.04081553,625.227914,0.0,0.0,0.0,-18.21,2.4528021894865795,0.0,0.0,340.4299006594867
GOOGL | GGLL,0.0,336.008796,0.0,0.0,0.0,-15.26,2.8765655901932665,0.0,0.0,323.6253615901933
LLY | ELIL,17.0191814,321.484705,0.0,0.0,0.0,-19.95,1.4433725461946554,0.0,0.0,319.9972589461947
UEC | UECG,0.0,295.987714,0.0,0.0,0.0,-2.62,2.668046336388908,0.0,0.0,296.0357603363889
UBER | UBRL,-20.7682281,301.444896,0.0,0.0,0.0,-4.0,2.8341589256709625,0.0,0.0,279.510826825671
UPST | UPSX,277.95287675,0.0,0.0,0.0,0.0,-4.7,0.0,0.0,0.0,273.25287675
INTC | INTW,0.0,280.259517,0.0,0.0,0.0,-10.72,3.0433798040425715,0.0,0.0,272.58289680404255
PLTR | PLTU,-2.32338075,277.905303,0.0,0.0,0.0,-11.71,2.8512119702376997,0.0,0.0,266.72313422023774
AVGO | AVL,0.0,265.995505,0.0,0.0,0.0,-16.2,2.5644377933012543,0.0,0.0,252.35994279330126
MSTR | MSOO,219.55998575,0.0,0.0,0.0,0.0,-0.63,0.0,0.0,0.0,218.92998575000001
DASH (spot),0.0,205.918943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.918943
CSCO | CSCL,111.84752875,105.955169,0.0,0.0,0.0,-14.8,2.6842788369702166,0.0,0.0,205.6869765869702
NFLX (spot),0.11686,203.46833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.58519
RKT | RKTL,0.0,201.733931,0.0,0.0,0.0,-1.51,2.7516942551353716,0.0,0.0,202.97562525513538
DKNG | DRAY,240.58474975,0.0,0.0,0.0,-38.6,-5.49,0.0,0.0,0.0,196.49474974999998
KLAC (spot),0.0,192.193086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.193086
CLS | CSEX,0.0,178.222991,0.0,0.0,0.0,-9.97,0.5092367325221837,0.0,0.0,168.7622277325222
BABA | BABU,0.0,168.060243,0.0,0.0,0.0,-3.5300000000000002,1.1670454401451544,0.0,0.0,165.69728844014517
TSLA | TSLY,334.42500094,0.0,0.0,0.0,-155.26999999999998,-17.41,0.0,0.0,0.0,161.74500094000004
CRWV | CRWG,166.73591106,0.0,0.0,0.0,0.0,-12.07,0.0,0.0,0.0,154.66591106
BABA | BABO,306.03432341,0.0,0.0,0.0,-151.56,-10.63,0.0,0.0,0.0,143.84432341000002
GOOGL | GOOY,270.42614422,0.0,0.0,0.0,-118.94,-13.03,0.0,0.0,0.0,138.45614422000003
QQQ | QQQX,124.28834842,0.0,0.0,0.0,0.0,-4.17,0.0,0.0,0.0,120.11834842
NFLX | NFLW,747.40998296,-502.798803,0.0,0.0,-120.75,-7.54,3.352528669509223,0.0,0.0,119.67370862950918
NVDA | NVDB,0.0,117.911016,0.0,0.0,0.0,-10.87,2.641319197153384,0.0,0.0,109.68233519715338
CORZ (spot),0.0,104.611421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.611421
AMZN | AZYY,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
SOXX | SOXL,0.0,92.643808,0.0,0.0,0.0,-0.31,2.0591016176953114,0.0,0.0,94.39290961769531
COIN | COIG,93.59890475,0.0,0.0,0.0,0.0,-4.0200000000000005,0.0,0.0,0.0,89.57890475
QQQ | QYLG,104.07458955,0.0,0.0,0.0,-9.89,-5.0,0.0,0.0,0.0,89.18458955
NVDA | NVDU,0.0,100.93565,0.0,0.0,0.0,-16.88,2.726976854067057,0.0,0.0,86.78262685406706
AVGO | AVGG,0.0,102.399435,0.0,0.0,0.0,-18.62,2.5640929269885375,0.0,0.0,86.34352792698853
COST | COTG,0.0,97.726793,0.0,0.0,0.0,-18.54,2.8292297157874806,0.0,0.0,82.01602271578747
NVDA | NVDG,0.0,88.769314,0.0,0.0,0.0,-14.93,2.6906529177845617,0.0,0.0,76.52996691778456
SOFI (spot),0.0,64.661904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.661904
QQQ | JEPQ,97.10092575,0.0,0.0,0.0,-32.6,-3.17,0.0,0.0,0.0,61.33092574999999
COIN | CONY,91.66352075,0.0,0.0,0.0,-29.27,-4.07,0.0,0.0,0.0,58.32352075000001
QQQ | TQQY,159.88451495,-1.832884,0.0,0.0,-100.63,-11.59,0.0523483278819918,0.0,0.0,45.883979277882
QQQ | QYLD,63.91391703,0.0,0.0,0.0,-17.5,-5.6,0.0,0.0,0.0,40.81391703
ASTS | ASTX,44.10290575,0.0,0.0,0.0,0.0,-7.57,0.0,0.0,0.0,36.53290575
NVDA | NVDL,0.0,47.071809,0.0,0.0,0.0,-16.98,2.7810019457453596,0.0,0.0,32.872810945745364
SNAP | SNAG,26.99046877,0.0,0.0,0.0,0.0,-0.33,0.0,0.0,0.0,26.66046877
META | FBY,175.95805756,0.0,0.0,0.0,-152.97,-5.91,0.0,0.0,0.0,17.078057559999987
PLUG (spot),0.0,16.198548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.198548
SPY | SPYI,33.83699975,0.0,0.0,0.0,-17.52,-1.53,0.0,0.0,0.0,14.786999749999998
NVDA | NVDY,147.08384769,0.0,0.0,0.0,-122.42,-11.57,0.0,0.0,0.0,13.093847689999997
SPY | XYLG,30.98528712,0.0,0.0,0.0,-7.64,-10.91,0.0,0.0,0.0,12.435287119999998
GDX | DUST,0.0,6.078577,0.0,0.0,0.0,-0.01,0.017457370588542468,0.0,0.0,6.086034370588543
EWJ | EWV,0.0,5.645536,0.0,0.0,0.0,-0.12,0.114281560869137,0.0,0.0,5.639817560869137
XBI | LABD,0.0,3.789706,0.0,0.0,0.0,-0.09,0.041621796362328774,0.0,0.0,3.7413277963623286
XLF | FAZ,0.0,2.589696,0.0,0.0,0.0,-0.12,0.051385080594749326,0.0,0.0,2.5210810805947492
QQQ | SQQQ,0.0,2.228696,0.0,0.0,0.0,-0.06,0.0833268363173822,0.0,0.0,2.2520228363173818
SPY | SDS,0.0,2.199306,0.0,0.0,0.0,-0.18,0.16080283726040276,0.0,0.0,2.1801088372604025
SOXX | SOXS,0.0,0.103867,0.0,0.0,0.0,0.0,0.03681745186793426,0.0,0.0,0.14068445186793427
TSLA | TSYY,0.0,0.125034,0.0,0.0,-0.33,0.0,0.014841143388624663,0.0,0.0,-0.19012485661137535
TSLA | TSLQ,0.0,-0.802046,0.0,0.0,0.0,0.0,0.024961185875579456,0.0,0.0,-0.7770848141244205
NVDA | NVDQ,0.0,-1.020192,0.0,0.0,0.0,-0.03,0.01921737797757809,0.0,0.0,-1.0309746220224218
META | METW,14.59314875,0.0,0.0,0.0,-15.71,-2.99,0.0,0.0,0.0,-4.106851250000002
TSLA | TSLT,-2.55676925,0.0,0.0,0.0,0.0,-4.01,0.0,0.0,0.0,-6.56676925
ASTS (spot),-7.33905825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.33905825
SPY | XYLD,12.6677966,0.0,0.0,0.0,-15.11,-10.06,0.0,0.0,0.0,-12.502203399999999
CORZ | COZX,0.0,-25.276879,0.0,0.0,0.0,-5.68,2.792037667752286,0.0,0.0,-28.164841332247715
PLUG | PLUL,0.0,-29.411114,0.0,0.0,0.0,-0.4,0.5623045228841529,0.0,0.0,-29.24880947711585
SNAP (spot),-31.87267611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.87267611
MSTR | MSTY,-4.65810225,0.0,-0.37,0.0,-28.91,-4.74,0.0,0.0,0.0,-38.67810225
BKNG | BKNU,-42.80836925,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,-43.44836925
COST (spot),0.0,-53.991771,7.8,0.0,0.0,0.0,0.0,0.0,0.0,-46.191771
NVDA | NVYY,104.42386226,0.137413,0.0,0.0,-145.47,-6.640000000000001,0.01972873147574384,0.0,0.0,-47.52899600852425
NVDA | NVDO,-46.30217225,0.0,0.0,0.0,0.0,-5.03,0.0,0.0,0.0,-51.33217225
GOOGL | GOOX,-2.5e-07,-45.794294,0.0,0.0,0.0,-9.17,2.6844096483302127,0.0,0.0,-52.27988460166979
MSTR | MTYY,106.764981,744.77441,0.0,0.0,-873.53,-57.46,23.89569761855839,0.0,0.0,-55.55491138144157
MSTR | MSTU,-43.43500825,0.0,0.0,0.0,0.0,-12.82,0.0,0.0,0.0,-56.25500825
SOFI | SOFA,0.0,-64.439906,0.0,0.0,0.0,-1.42,2.777166794509117,0.0,0.0,-63.08273920549088
SOXX (spot),0.0,-72.914057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.914057
XOM | XOMX,0.0,-94.195668,0.0,0.0,0.0,-8.57,2.869692047822573,0.0,0.0,-99.89597595217744
META | METU,-97.67110425,0.0,0.0,0.0,0.0,-2.85,0.0,0.0,0.0,-100.52110425
SPY | JEPI,-75.36331925,0.0,-0.34,0.0,-24.11,-3.7800000000000002,0.0,0.0,0.0,-103.59331925000001
AAPL | APLY,37.66504405,0.0,0.0,0.0,-116.11,-25.32,0.0,0.0,0.0,-103.76495595
CLS (spot),4.2e-07,-133.486824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133.48682358000002
INTC (spot),0.0,-134.109528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134.109528
RKT (spot),0.0,-135.445635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.445635
META | FBL,0.0,-140.487133,0.0,0.0,0.0,-6.9,2.9373869266204466,0.0,0.0,-144.44974607337957
SPY (spot),-146.29915017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-146.29915017
CSCO (spot),1.91314875,-152.93007,3.69,0.0,0.0,0.0,0.0,0.0,0.0,-147.32692125
XRPZ (spot),0.0,-163.029732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-163.029732
KLAC | KLAG,0.0,-158.289512,0.0,0.0,0.0,-13.76,2.907032745130491,0.0,0.0,-169.1424792548695
DASH | DASX,0.0,-176.206337,0.0,0.0,0.0,-1.75,2.872581789684301,0.0,0.0,-175.0837552103157
META | FBYY,0.0,-18.016349,0.0,0.0,-169.19,-20.310000000000002,7.161297632829568,0.0,0.0,-200.35505136717043
NVDA (spot),0.367576,-224.373951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-224.006375
AVGO (spot),0.0,-227.330485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-227.330485
NFLX | NFLU,0.0,-243.087419,0.0,0.0,0.0,-13.86,3.26882723702458,0.0,0.0,-253.67859176297546
LLY (spot),2.5e-07,-263.494881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-263.49488075
UBER (spot),0.0,-285.144171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-285.144171
AAPL | AAPX,-272.18401598,0.0,0.0,0.0,0.0,-13.16,0.0,0.0,0.0,-285.34401598000005
ENPH | ENPX,-271.37681785,0.0,0.0,0.0,0.0,-14.26,0.0,0.0,0.0,-285.63681785
ASML | ASMU,-31.15148051,-264.371197,0.0,0.0,0.0,-4.65,2.620567758681309,0.0,0.0,-297.55210975131865
UEC (spot),0.0,-301.707399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-301.707399
UPST (spot),-307.94090372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-307.94090372
ABNB (spot),-323.28708725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-323.28708725
QCOM (spot),0.0,-337.004642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-337.004642
ISRG (spot),-357.21265925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-357.21265925
ARM | ARMW,-237.86817473,0.0,0.0,0.0,-140.34,-15.81,0.0,0.0,0.0,-394.01817473
TSM | TSMY,-245.61204713,0.0,0.0,0.0,-138.64,-10.64,0.0,0.0,0.0,-394.89204713
IREN (spot),0.0,-397.303115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-397.303115
NFLX | NFXL,0.0,-405.239501,0.0,0.0,0.0,-10.97,3.269903457759091,0.0,0.0,-412.93959754224096
GLXY | GLXU,-414.84258925,0.0,0.0,0.0,0.0,-4.68,0.0,0.0,0.0,-419.52258925
GOOGL (spot),189.33036941,-613.425948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-424.09557858999995
MRNA | MRNX,0.0,-431.949778,0.0,0.0,0.0,-2.26,3.0034585553601896,0.0,0.0,-431.2063194446398
XOM | XOMO,-255.23719707,0.0,0.0,0.0,-163.23,-23.080000000000002,0.0,0.0,0.0,-441.54719707
TEM (spot),0.0,-446.957567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-446.957567
CMG (spot),-450.84120029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.84120029
ASML | ASMG,-475.27748736,0.0,0.0,0.0,0.0,-4.93,0.0,0.0,0.0,-480.20748736
BLSH (spot),0.0,-545.381517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-545.381517
CRWV | CWVX,0.0,-547.515868,0.0,0.0,0.0,-11.120000000000001,3.3636595270506913,0.0,0.0,-555.2722084729493
COIN | COIA,-563.99063842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-563.99063842
AAPL | AAPU,0.0,-587.220522,0.0,0.0,0.0,-20.6,3.2641120820938183,0.0,0.0,-604.5564099179062
AAPL | AAPB,0.0,-637.052393,0.0,0.0,0.0,-14.68,3.144758608039387,0.0,0.0,-648.5876343919606
QQQ (spot),-665.84949417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-665.84949417
CRM (spot),0.0,-679.074142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-679.074142
RBLX (spot),-698.19140525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-698.19140525
CNC (spot),-728.2922227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-728.2922227
TSM | TSMU,0.0,-717.872549,0.0,0.0,0.0,-18.66,2.0389328843723087,0.0,0.0,-734.4936161156277
LMT | LMTL,-718.31629425,0.0,0.0,0.0,0.0,-18.08,0.0,0.0,0.0,-736.3962942500001
MU | MUU,0.0,-738.802536,0.0,0.0,0.0,-9.51,2.668545797945256,0.0,0.0,-745.6439902020547
RDDT (spot),-749.25319325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-749.25319325
AI (spot),-766.57665521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-766.57665521
GEV | GEVX,-12.56038905,-762.27363,0.0,0.0,0.0,-6.52,3.045764138377042,0.0,0.0,-778.308254911623
CEG | CEGX,-19.56461841,-758.686176,0.0,0.0,0.0,-20.61,3.360948164316231,0.0,0.0,-795.4998462456838
MSTR (spot),417.49004429,-1220.00976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-802.5197157099999
CRWD (spot),0.0,-843.183566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-843.183566
OPEN (spot),-137.393612,-706.380493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-843.774105
NU (spot),0.0,-883.672431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-883.672431
NBIS | NEBX,-98.6464135,-814.249494,0.0,0.0,0.0,-7.6899999999999995,2.849927640521376,0.0,0.0,-917.7359798594787
UNH (spot),0.0,-1034.640642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1034.640642
CVNA (spot),-1037.36098325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1037.36098325
CELH | CELT,-61.59064814,-965.226885,0.0,0.0,0.0,-14.13,3.572143105029596,0.0,0.0,-1037.3753900349705
XYZ (spot),-1039.91217525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1039.91217525
GDX | GDXU,0.0,-1056.538207,0.0,0.0,0.0,-0.97,2.7184978995509597,0.0,0.0,-1054.789709100449
MDB (spot),0.0,-1135.888228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1135.888228
BA (spot),0.0,-1273.684285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1273.684285
COIN (spot),-1277.30851355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1277.30851355
PYPL (spot),-1302.17782025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1302.17782025
APP (spot),-2e-08,-1390.231122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1390.23112202
BABA (spot),0.0,-1442.454656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1442.454656
XRPZ | XRP,-1464.28323713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1464.28323713
XRPZ | GXRP,-1628.31466873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1628.31466873
ALAB (spot),0.0,-1666.147394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1666.147394
SOEZ (spot),0.0,-1788.636441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1788.636441
MARA (spot),0.0,-1791.633819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1791.633819
SNOW (spot),0.0,-1839.974713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1839.974713
DKNG (spot),-786.62324507,-1057.508811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1844.13205607
TSLA (spot),303.25138837,-2244.950105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1941.69871663
HOOD (spot),0.0,-2469.627408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2469.627408
