ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual
NUGY,GDX,0.557289,69,ols,1.250472,-1.214172,2.464644,35000,2.464644,False,False,False,,False,True,False,False,False,False,True,False,False,0.373158,0.305685,0.376787,-2.0878569999999996
HMYY,HIMS,0.435808,60,ols,0.026343000000000002,0.009957,0.016386,400,0.016386,False,False,False,,True,False,False,False,True,False,False,True,False,0.971127,0.367817,1.53261,1.516224
HOYY,HOOD,0.520176,104,ols,0.15259999999999999,-0.11630000000000001,0.26890000000000003,20000,0.26890000000000003,False,False,False,,False,True,False,False,False,False,True,False,False,0.705006,0.437707,0.604661,0.335761
IOYY,IONQ,0.374839,79,ols,0.07422,-0.037919999999999995,0.11213999999999999,600,0.11213999999999999,False,False,False,,False,True,False,False,False,True,True,True,False,1.083052,0.429482,0.519934,0.407794
MAAY,MARA,0.328253,79,ols,0.068223,-0.031923,0.10014600000000001,6000,0.10014600000000001,False,False,True,,False,True,True,False,True,False,False,False,False,0.906833,0.36011,1.056156,0.95601
FBYY,META,0.606383,87,ols,0.05009,-0.01379,0.06388,2000,0.06388,False,False,True,,True,False,True,False,True,False,False,False,False,0.35365,0.269765,0.491471,0.427591
MTYY,MSTR,0.385007,109,ols,0.060967,-0.024666999999999998,0.085634,9000,0.085634,False,False,True,,False,True,True,False,True,False,False,False,False,0.936298,0.395394,1.514663,1.429029
NVYY,NVDA,0.655396,200,ols,0.032799,0.003501,0.029298,2000,0.029298,False,False,True,,True,False,True,False,True,False,False,False,False,0.498218,0.252466,-0.044052,-0.07335
PLYY,PLTR,0.558872,109,ols,0.040778,-0.004477999999999999,0.045256000000000005,4000,0.045256000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.629186,0.330026,0.180623,0.13536700000000002
QBY,QBTS,0.29501,61,ols,0.115092,-0.078792,0.193884,100,0.193884,False,False,False,,False,True,False,False,False,False,True,True,False,1.420005,0.407597,1.259123,1.065239
TQQY,QQQ,0.861197,253,ols,0.044548,-0.008248,0.052795999999999996,35000,0.052795999999999996,False,False,True,,True,False,True,False,True,False,False,False,False,0.209642,0.252546,0.179001,0.126205
RGYY,RGTI,0.324599,64,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,1.49881,0.40094,0.890574,
RTYY,RIOT,0.384474,60,ols,1.323432,-1.287132,2.610564,9000,2.610564,False,False,False,,False,True,False,False,False,False,True,False,False,0.876735,0.404831,0.649703,-1.960861
SEMY,SOXX,0.883986,69,ols,0.521029,-0.484729,1.005758,15000,1.005758,False,False,False,,False,True,False,False,False,False,True,False,False,0.375113,0.325073,0.333536,-0.6722219999999999
SMYY,SMCI,0.444242,104,ols,0.095503,-0.059203,0.154706,2000,0.154706,False,False,False,,False,True,False,False,False,False,True,False,False,0.955829,0.368175,0.396361,0.241655
YSPY,SPY,0.790727,227,ols,0.055783,-0.019483,0.075266,30000,0.075266,False,False,False,,True,False,False,False,True,False,False,False,False,0.163956,0.199842,-0.111011,-0.186277
TSYY,TSLA,0.537056,298,ols,0.046003999999999996,-0.009704,0.055707999999999994,550000,0.055707999999999994,False,False,True,,True,False,True,False,True,False,False,False,False,0.628014,0.401421,0.213168,0.15746
QYLD,QQQ,0.616467,499,ols,0.005656,0.030644,0.0,2300000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.209642,0.14534,-0.011288,-0.011288
QYLG,QQQ,0.792201,499,ols,0.01902,0.01728,0.0017399999999999985,100000,0.0017399999999999985,False,False,False,,True,False,False,False,True,False,False,False,False,0.209642,0.171007,-0.008996,-0.010735999999999999
QQQX,QQQ,0.773699,499,ols,0.009794,0.026506,0.0,300000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.209642,0.180251,-0.023401,-0.023401
JEPQ,QQQ,0.763567,499,ols,0.016588000000000002,0.019712,0.0,700000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.209642,0.164869,-0.014846,-0.014846
XYLD,SPY,0.634762,499,ols,0.030468000000000002,0.005832,0.024636,100000,0.024636,False,False,False,,True,False,False,False,True,False,False,False,False,0.163956,0.115339,-0.017023,-0.041659
XYLG,SPY,0.808486,499,ols,0.044649999999999995,-0.00835,0.05299999999999999,50000,0.05299999999999999,False,False,False,,True,False,False,False,True,False,False,False,False,0.163956,0.138015,-0.009983,-0.062983
JEPI,SPY,0.590766,499,ols,0.034848,0.001452,0.033395999999999995,500000,0.033395999999999995,False,False,False,,True,False,False,False,True,False,False,False,False,0.163956,0.109673,-0.002039,-0.035434999999999994
SPYI,SPY,0.820694,499,ols,0.002755,0.033545,0.0,2800000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.163956,0.136503,-0.010914,-0.010914
