underlying,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
PLTR,993.91680568,7.957319999999527,0.0,0.0,-454.58,-199.16,28.284238124540334,0.0,0.0,376.4183638045397
LEU,0.0,506.526064,0.0,0.0,0.0,-146.78,10.914769081201545,0.0,0.0,370.66083308120153
VRT,-205.89726944,609.2619500000001,2.06,0.0,0.0,-55.14,12.846490141969017,0.0,0.0,363.1311707019695
IREN,0.0,466.7048719999998,0.0,0.0,0.0,-143.27,21.01977985581461,0.0,0.0,344.4546518558145
FIGR,264.31496168,168.70658400000002,0.0,0.0,0.0,-120.95,12.351515193301584,0.0,0.0,324.42306087330155
SRPT,0.0,394.43224899999996,0.0,0.0,0.0,-94.19,15.388357942301678,0.0,0.0,315.6306069423015
LITE,0.0,326.73677499999997,0.0,0.0,0.0,-21.4,9.745819362288184,0.0,0.0,315.0825943622882
TSM,82.82289362,421.070831,37.56,-7.89,-138.64,-98.82000000000001,18.154903536582456,0.0,0.0,314.2586281565825
ASTS,121.69252075,231.25598100000025,0.0,0.0,0.0,-84.79,10.78207242237584,0.0,0.0,278.9405741723758
BMNR,0.0,478.24261,0.0,0.0,0.0,-217.61,17.3232440293839,0.0,0.0,277.9558540293839
KEEL,0.0,263.093519,0.0,0.0,0.0,-16.98,13.712964938629794,0.0,0.0,259.8264839386298
USAR,0.0,358.1629010000006,0.0,0.0,0.0,-128.06,17.121014477631125,0.0,0.0,247.22391547763164
RKT,14.0651807,256.78396999999995,0.0,0.0,0.0,-32.63,6.718061411043384,0.0,0.0,244.9372121110432
MU,23.55845,258.57875600000034,3.0,0.0,-14.21,-47.199999999999996,19.750291708409335,0.0,0.0,243.47749770840937
OKLO,0.0,347.463179,0.0,0.0,0.0,-113.87,9.045410761154278,0.0,0.0,242.63858976115432
SOEZ,13.511677599999999,265.93643699999984,19.7,0.0,-21.98,-52.51,7.791610984926427,0.0,0.0,232.449725584926
AVGO,0.0,287.2188619999997,34.45,0.0,-30.49,-95.18,28.35576381181373,0.0,0.0,224.3546258118131
CORZ,-11.887826,267.5390560000001,0.0,0.0,0.0,-46.06,11.845110982942005,0.0,0.0,221.43634098294228
MRNA,18.78210107999999,261.214104,0.0,0.0,0.0,-65.29,5.884545869894824,0.0,0.0,220.59075094989487
HIMS,-63.22327532,417.86744799999997,0.0,0.0,-129.97,-30.88,24.678726110457823,0.0,0.0,218.4728987904578
KLAC,0.0,243.0353090000001,11.4,0.0,0.0,-53.84,11.361623907565136,0.0,0.0,211.9569329075655
APP,0.0,218.24259599999982,0.0,0.0,0.0,-26.31,8.466406317550247,0.0,0.0,200.39900231755018
SNOW,734.35125347,-392.1249240000002,0.0,0.0,-114.75,-38.86,6.441180220101411,0.0,0.0,195.0575096901016
CEG,5.9e-07,274.65964199999996,14.93,0.0,0.0,-117.87,11.574149563440578,0.0,0.0,183.29379215344056
COIN,1741.2357913199999,-1318.2814170000001,0.0,0.0,-179.87,-83.25,19.215734393608084,0.0,0.0,179.0501087136081
BBAI,0.0,221.57711199999994,0.0,0.0,0.0,-70.96,12.614192840226142,0.0,0.0,163.23130484022613
CRM,0.0,197.83788100000015,22.44,0.0,0.0,-69.17,8.57001208635954,0.0,0.0,159.67789308635975
