date,bucket,incumbent_cohort,n_pairs,gross_notional_usd
2023-03-28,bucket_3_inverse,incumbent,8,12129.043460845947
2023-03-28,bucket_core_screener,incumbent,27,8172191.762504101
2023-03-29,bucket_3_inverse,incumbent,8,11724.99825668335
2023-03-29,bucket_core_screener,incumbent,27,8290778.936264038
2023-03-30,bucket_3_inverse,incumbent,8,11727.700576782227
2023-03-30,bucket_core_screener,incumbent,27,8433819.058947563
2023-03-31,bucket_3_inverse,incumbent,8,11328.354278564453
2023-03-31,bucket_core_screener,incumbent,27,8500035.197629452
2023-04-03,bucket_3_inverse,incumbent,8,13114.006378173828
2023-04-03,bucket_core_screener,incumbent,27,7888379.377747536
2023-04-04,bucket_3_inverse,incumbent,8,13166.850326538086
2023-04-04,bucket_core_screener,incumbent,27,7911946.198244572
2023-04-05,bucket_3_inverse,incumbent,8,13387.050064086914
2023-04-05,bucket_core_screener,incumbent,27,7794380.555841923
2023-04-06,bucket_3_inverse,incumbent,8,13231.229614257812
2023-04-06,bucket_core_screener,incumbent,27,7865320.761994839
2023-04-10,bucket_3_inverse,incumbent,8,14651.220008850098
2023-04-10,bucket_core_screener,incumbent,27,7875456.1001935005
2023-04-11,bucket_3_inverse,incumbent,8,14472.904914855957
2023-04-11,bucket_core_screener,incumbent,27,7921985.280560017
2023-04-12,bucket_3_inverse,incumbent,8,14654.524635314941
2023-04-12,bucket_core_screener,incumbent,27,7792418.856049061
2023-04-13,bucket_3_inverse,incumbent,8,13900.48184967041
2023-04-13,bucket_core_screener,incumbent,27,8035298.18469429
2023-04-14,bucket_3_inverse,incumbent,8,14055.785041809082
2023-04-14,bucket_core_screener,incumbent,27,7920465.500441074
2023-04-17,bucket_3_inverse,incumbent,8,15156.253929138184
2023-04-17,bucket_core_screener,incumbent,27,7905818.730509758
2023-04-18,bucket_3_inverse,incumbent,8,15126.154586791992
2023-04-18,bucket_core_screener,incumbent,27,7904061.4811964035
2023-04-19,bucket_3_inverse,incumbent,8,15150.648384094238
2023-04-19,bucket_core_screener,incumbent,27,7805981.767456055
2023-04-20,bucket_3_inverse,incumbent,8,15546.620491027832
2023-04-20,bucket_core_screener,incumbent,27,7698661.302686691
2023-04-21,bucket_3_inverse,incumbent,8,15442.055252075195
2023-04-21,bucket_core_screener,incumbent,27,7615027.9000582695
2023-04-24,bucket_3_inverse,incumbent,8,16187.486526489258
2023-04-24,bucket_core_screener,incumbent,27,7627202.345048904
2023-04-25,bucket_3_inverse,incumbent,8,16672.173904418945
2023-04-25,bucket_core_screener,incumbent,27,7410597.563216686
2023-04-26,bucket_3_inverse,incumbent,8,16960.119033813477
2023-04-26,bucket_core_screener,incumbent,27,7409711.977297783
2023-04-27,bucket_3_inverse,incumbent,8,16434.009338378906
2023-04-27,bucket_core_screener,incumbent,27,7601656.800329208
2023-04-28,bucket_3_inverse,incumbent,8,16124.116348266602
2023-04-28,bucket_core_screener,incumbent,27,7652970.72894001
2023-05-01,bucket_3_inverse,incumbent,8,17219.510555267334
2023-05-01,bucket_core_screener,incumbent,27,7650618.412379265
2023-05-02,bucket_3_inverse,incumbent,8,17520.653839111328
2023-05-02,bucket_core_screener,incumbent,27,7617494.308009148
2023-05-03,bucket_3_inverse,incumbent,8,17291.174312591553
2023-05-03,bucket_core_screener,incumbent,27,7577098.105600834
2023-05-04,bucket_3_inverse,incumbent,8,17234.356510162354
2023-05-04,bucket_core_screener,incumbent,27,7657742.007749081
2023-05-05,bucket_3_inverse,incumbent,8,16632.77296066284
2023-05-05,bucket_core_screener,incumbent,27,7834677.01104784
2023-05-08,bucket_3_inverse,incumbent,8,17916.542488098145
2023-05-08,bucket_core_screener,incumbent,27,7818346.846036434
2023-05-09,bucket_3_inverse,incumbent,8,17921.663772583008
2023-05-09,bucket_core_screener,incumbent,27,7750421.497667313
2023-05-10,bucket_3_inverse,incumbent,8,17895.5595703125
2023-05-10,bucket_core_screener,incumbent,27,7788805.415455818
2023-05-11,bucket_3_inverse,incumbent,8,18253.78671646118
2023-05-11,bucket_core_screener,incumbent,27,7716439.4449772835
2023-05-12,bucket_3_inverse,incumbent,8,18446.549251556396
2023-05-12,bucket_core_screener,incumbent,27,7622815.868613243
2023-05-15,bucket_3_inverse,incumbent,8,19165.34197998047
2023-05-15,bucket_core_screener,incumbent,27,7878696.278260708
2023-05-16,bucket_3_inverse,incumbent,8,19613.75035095215
2023-05-16,bucket_core_screener,incumbent,27,7761423.088882446
2023-05-17,bucket_3_inverse,incumbent,8,19108.378875732422
2023-05-17,bucket_core_screener,incumbent,27,7859964.178145409
2023-05-18,bucket_3_inverse,incumbent,8,19062.178619384766
2023-05-18,bucket_core_screener,incumbent,27,7836149.1711063385
2023-05-19,bucket_3_inverse,incumbent,9,21781.47100830078
2023-05-19,bucket_core_screener,incumbent,27,7803421.829255104
2023-05-22,bucket_3_inverse,incumbent,9,22210.417964935303
2023-05-22,bucket_core_screener,incumbent,27,7857738.499379158
2023-05-23,bucket_3_inverse,incumbent,9,22746.119243621826
2023-05-23,bucket_core_screener,incumbent,27,7700059.508460045
2023-05-24,bucket_3_inverse,incumbent,9,23501.25157546997
2023-05-24,bucket_core_screener,incumbent,27,7586276.34149456
2023-05-25,bucket_3_inverse,incumbent,9,23010.34432220459
2023-05-25,bucket_core_screener,incumbent,27,7620529.2673892975
2023-05-26,bucket_3_inverse,incumbent,9,21896.574657440186
2023-05-26,bucket_core_screener,incumbent,27,7838004.251991272
2023-05-30,bucket_3_inverse,incumbent,9,22398.40559387207
2023-05-30,bucket_core_screener,incumbent,27,7805913.500185013
2023-05-31,bucket_3_inverse,incumbent,9,22504.022827148438
2023-05-31,bucket_core_screener,incumbent,27,7787161.01371479
2023-06-01,bucket_3_inverse,incumbent,9,21692.050773620605
2023-06-01,bucket_core_screener,incumbent,27,8030964.5625600815
2023-06-02,bucket_3_inverse,incumbent,9,21193.178741455078
2023-06-02,bucket_core_screener,incumbent,27,8121040.380828857
2023-06-05,bucket_3_inverse,incumbent,9,24645.081802368164
2023-06-05,bucket_core_screener,incumbent,27,8041204.154671669
2023-06-06,bucket_3_inverse,incumbent,9,24146.641162872314
2023-06-06,bucket_core_screener,incumbent,27,8140321.721138954
2023-06-07,bucket_3_inverse,incumbent,9,24485.262210845947
2023-06-07,bucket_core_screener,incumbent,27,8024840.534196854
2023-06-08,bucket_3_inverse,incumbent,9,23840.77503967285
2023-06-08,bucket_core_screener,incumbent,27,8154049.605633736
2023-06-09,bucket_3_inverse,incumbent,9,23752.804008483887
2023-06-09,bucket_core_screener,incumbent,27,8146918.680805206
2023-06-12,bucket_3_inverse,incumbent,9,23867.92738342285
2023-06-12,bucket_core_screener,incumbent,27,8180090.4671468735
2023-06-13,bucket_3_inverse,incumbent,9,23502.025230407715
2023-06-13,bucket_core_screener,incumbent,27,8276565.400629997
2023-06-14,bucket_3_inverse,incumbent,9,23477.790840148926
2023-06-14,bucket_core_screener,incumbent,27,8344524.277029514
2023-06-15,bucket_3_inverse,incumbent,9,23236.434143066406
2023-06-15,bucket_core_screener,incumbent,27,8452312.844319344
2023-06-16,bucket_3_inverse,incumbent,9,23374.778228759766
2023-06-16,bucket_core_screener,incumbent,27,8428650.758142948
2023-06-20,bucket_3_inverse,incumbent,9,25047.94231414795
2023-06-20,bucket_core_screener,incumbent,27,8142869.975766659
2023-06-21,bucket_3_inverse,incumbent,9,25594.11476135254
2023-06-21,bucket_core_screener,incumbent,27,8024151.733812332
2023-06-22,bucket_3_inverse,incumbent,9,25739.178173065186
2023-06-22,bucket_core_screener,incumbent,27,8028546.413731575
2023-06-23,bucket_3_inverse,incumbent,9,26422.799297332764
2023-06-23,bucket_core_screener,incumbent,27,7908250.658811569
2023-06-26,bucket_3_inverse,incumbent,9,27747.142234802246
2023-06-26,bucket_core_screener,incumbent,27,8021523.163128853
2023-06-27,bucket_3_inverse,incumbent,9,27230.79104232788
2023-06-27,bucket_core_screener,incumbent,27,8192047.751286507
2023-06-28,bucket_3_inverse,incumbent,9,27161.577724456787
2023-06-28,bucket_core_screener,incumbent,27,8128151.69118309
2023-06-29,bucket_3_inverse,incumbent,9,27102.909072875977
2023-06-29,bucket_core_screener,incumbent,27,8127313.837085724
2023-06-30,bucket_3_inverse,incumbent,9,26424.34285736084
2023-06-30,bucket_core_screener,incumbent,27,8252872.384123802
2023-07-03,bucket_3_inverse,incumbent,9,26404.430130004883
2023-07-03,bucket_core_screener,incumbent,27,8369861.595719337
2023-07-05,bucket_3_inverse,incumbent,9,26683.073028564453
2023-07-05,bucket_core_screener,incumbent,27,8266024.31923008
2023-07-06,bucket_3_inverse,incumbent,9,27556.55535888672
2023-07-06,bucket_core_screener,incumbent,27,8060130.372112274
2023-07-07,bucket_3_inverse,incumbent,9,27309.96551513672
2023-07-07,bucket_core_screener,incumbent,27,8192586.332675934
2023-07-10,bucket_3_inverse,incumbent,9,27706.482917785645
2023-07-10,bucket_core_screener,incumbent,27,8284443.608675957
2023-07-11,bucket_3_inverse,incumbent,9,27472.920013427734
2023-07-11,bucket_core_screener,incumbent,27,8413095.901339531
2023-07-12,bucket_3_inverse,incumbent,9,26346.70775604248
2023-07-12,bucket_core_screener,incumbent,27,8690978.643079758
2023-07-13,bucket_3_inverse,incumbent,9,25674.445373535156
2023-07-13,bucket_core_screener,incumbent,27,8970616.17698288
2023-07-14,bucket_3_inverse,incumbent,9,25908.328979492188
2023-07-14,bucket_core_screener,incumbent,27,8849739.457709312
2023-07-17,bucket_3_inverse,incumbent,9,27965.40727996826
2023-07-17,bucket_core_screener,incumbent,27,8403843.641515732
2023-07-18,bucket_3_inverse,incumbent,9,27436.97006225586
2023-07-18,bucket_core_screener,incumbent,27,8438211.901359558
2023-07-19,bucket_3_inverse,incumbent,9,27426.26953125
2023-07-19,bucket_core_screener,incumbent,27,8445261.565376282
2023-07-20,bucket_3_inverse,incumbent,9,28635.61644744873
2023-07-20,bucket_core_screener,incumbent,27,8182611.213884354
2023-07-21,bucket_3_inverse,incumbent,9,28667.529327392578
2023-07-21,bucket_core_screener,incumbent,27,8175384.642336845
2023-07-24,bucket_3_inverse,incumbent,9,29259.64051437378
2023-07-24,bucket_core_screener,incumbent,27,8303373.481595039
2023-07-25,bucket_3_inverse,incumbent,9,29039.858295440674
2023-07-25,bucket_core_screener,incumbent,27,8377261.26183033
2023-07-26,bucket_3_inverse,incumbent,9,29022.043212890625
2023-07-26,bucket_core_screener,incumbent,27,8422533.564517975
2023-07-27,bucket_3_inverse,incumbent,9,29915.831657409668
2023-07-27,bucket_core_screener,incumbent,27,8228954.448472977
2023-07-28,bucket_3_inverse,incumbent,9,28988.46421432495
2023-07-28,bucket_core_screener,incumbent,27,8546099.391618729
2023-07-31,bucket_3_inverse,incumbent,9,29931.735137939453
2023-07-31,bucket_core_screener,incumbent,27,8602146.874818802
2023-08-01,bucket_3_inverse,incumbent,9,30683.92583847046
2023-08-01,bucket_core_screener,incumbent,27,8410217.093658447
2023-08-02,bucket_3_inverse,incumbent,9,32107.777297973633
2023-08-02,bucket_core_screener,incumbent,27,8045693.228061676
2023-08-03,bucket_3_inverse,incumbent,9,32329.998485565186
2023-08-03,bucket_core_screener,incumbent,27,8109196.638177872
2023-08-04,bucket_3_inverse,incumbent,9,32398.546627044678
2023-08-04,bucket_core_screener,incumbent,27,8084110.118533134
2023-08-07,bucket_3_inverse,incumbent,9,33163.24765777588
2023-08-07,bucket_core_screener,incumbent,27,8183136.536031723
2023-08-08,bucket_3_inverse,incumbent,9,33631.48329162598
2023-08-08,bucket_core_screener,incumbent,27,8066643.310295105
2023-08-09,bucket_3_inverse,incumbent,9,34183.24277114868
2023-08-09,bucket_core_screener,incumbent,27,8010045.8720541
2023-08-10,bucket_3_inverse,incumbent,9,33999.844970703125
2023-08-10,bucket_core_screener,incumbent,27,8037142.642139435
2023-08-11,bucket_3_inverse,incumbent,9,34165.58582305908
2023-08-11,bucket_core_screener,incumbent,27,7918443.632698059
2023-08-14,bucket_3_inverse,incumbent,9,35152.22331237793
2023-08-14,bucket_core_screener,incumbent,27,7969020.07793045
2023-08-15,bucket_3_inverse,incumbent,9,36194.650230407715
2023-08-15,bucket_core_screener,incumbent,27,7794638.716597557
2023-08-16,bucket_3_inverse,incumbent,9,37271.60693359375
2023-08-16,bucket_core_screener,incumbent,27,7640339.730730057
2023-08-17,bucket_3_inverse,incumbent,9,37946.34874725342
2023-08-17,bucket_core_screener,incumbent,27,7586906.6434316635
2023-08-18,bucket_3_inverse,incumbent,9,37917.30111694336
2023-08-18,bucket_core_screener,incumbent,27,7515575.795581818
2023-08-21,bucket_3_inverse,incumbent,9,38146.29468536377
2023-08-21,bucket_core_screener,incumbent,27,8382565.480280876
2023-08-22,bucket_3_inverse,incumbent,9,38158.00772857666
2023-08-22,bucket_core_screener,incumbent,27,8380274.942930222
2023-08-23,bucket_3_inverse,incumbent,9,36751.75800704956
2023-08-23,bucket_core_screener,incumbent,27,8613456.32116127
2023-08-24,bucket_3_inverse,incumbent,9,37882.9436340332
2023-08-24,bucket_core_screener,incumbent,27,8468320.595370293
2023-08-25,bucket_3_inverse,incumbent,9,37320.662410736084
2023-08-25,bucket_core_screener,incumbent,27,8491191.405776978
2023-08-28,bucket_3_inverse,incumbent,9,39612.82666015625
2023-08-28,bucket_core_screener,incumbent,27,8610581.43862915
2023-08-29,bucket_3_inverse,incumbent,9,38042.699935913086
2023-08-29,bucket_core_screener,incumbent,27,8900212.587726593
2023-08-30,bucket_3_inverse,incumbent,9,37848.88172912598
2023-08-30,bucket_core_screener,incumbent,27,8905336.692099571
2023-08-31,bucket_3_inverse,incumbent,9,37997.969985961914
2023-08-31,bucket_core_screener,incumbent,27,8826139.124923706
2023-09-01,bucket_3_inverse,incumbent,9,37773.24890136719
2023-09-01,bucket_core_screener,incumbent,27,8877175.385903358
2023-09-01,bucket_core_screener,post_start,1,49986.35925292969
2023-09-05,bucket_3_inverse,incumbent,9,39426.283950805664
2023-09-05,bucket_core_screener,incumbent,27,8205592.789363861
2023-09-05,bucket_core_screener,post_start,1,52814.17876434326
2023-09-06,bucket_3_inverse,incumbent,9,39849.221004486084
2023-09-06,bucket_core_screener,incumbent,27,8141745.311231613
2023-09-06,bucket_core_screener,post_start,1,51446.06763076782
2023-09-07,bucket_3_inverse,incumbent,9,40607.81024932861
2023-09-07,bucket_core_screener,incumbent,27,7994035.984458923
2023-09-07,bucket_core_screener,post_start,1,51493.639320373535
2023-09-08,bucket_3_inverse,incumbent,9,40783.49906921387
2023-09-08,bucket_core_screener,incumbent,27,7996639.403968811
2023-09-08,bucket_core_screener,post_start,1,50702.18843460083
2023-09-11,bucket_3_inverse,incumbent,9,41550.24695587158
2023-09-11,bucket_core_screener,incumbent,27,8204586.882761002
2023-09-11,bucket_core_screener,post_start,1,112040.76997375488
2023-09-12,bucket_3_inverse,incumbent,9,41727.10475921631
2023-09-12,bucket_core_screener,incumbent,27,8153115.421701431
2023-09-12,bucket_core_screener,post_start,1,108856.98220825195
2023-09-13,bucket_3_inverse,incumbent,9,41867.45986175537
2023-09-13,bucket_core_screener,incumbent,27,8131882.236869812
2023-09-13,bucket_core_screener,post_start,1,110809.49583435059
2023-09-14,bucket_3_inverse,incumbent,9,41282.73599243164
2023-09-14,bucket_core_screener,incumbent,27,8245282.179298401
2023-09-14,bucket_core_screener,post_start,1,113261.89402770996
2023-09-15,bucket_3_inverse,incumbent,9,41908.25044250488
2023-09-15,bucket_core_screener,incumbent,27,8180762.07659626
2023-09-15,bucket_core_screener,post_start,2,169600.00002670288
2023-09-18,bucket_3_inverse,incumbent,9,43314.3030128479
2023-09-18,bucket_core_screener,incumbent,27,8137392.538123131
2023-09-18,bucket_core_screener,post_start,2,198989.08681678772
2023-09-19,bucket_3_inverse,incumbent,9,43550.88282775879
2023-09-19,bucket_core_screener,incumbent,27,8063660.953804016
2023-09-19,bucket_core_screener,post_start,2,199101.90502166748
2023-09-20,bucket_3_inverse,incumbent,9,44594.74993133545
2023-09-20,bucket_core_screener,incumbent,27,7967029.866280556
2023-09-20,bucket_core_screener,post_start,2,194631.98596191406
2023-09-21,bucket_3_inverse,incumbent,9,46214.63940811157
2023-09-21,bucket_core_screener,incumbent,27,7729617.2411670685
2023-09-21,bucket_core_screener,post_start,2,188073.97212982178
2023-09-22,bucket_3_inverse,incumbent,9,46620.17667770386
2023-09-22,bucket_core_screener,incumbent,27,7789351.367529869
2023-09-22,bucket_core_screener,post_start,2,181815.67377853394
2023-09-25,bucket_3_inverse,incumbent,9,48400.456645965576
2023-09-25,bucket_core_screener,incumbent,27,7850717.930042267
2023-09-25,bucket_core_screener,post_start,2,309150.395614624
2023-09-26,bucket_3_inverse,incumbent,9,49430.50402069092
2023-09-26,bucket_core_screener,incumbent,27,7647674.443099976
2023-09-26,bucket_core_screener,post_start,2,305557.4720687866
2023-09-27,bucket_3_inverse,incumbent,9,49658.79000091553
2023-09-27,bucket_core_screener,incumbent,27,7627548.020957947
2023-09-27,bucket_core_screener,post_start,2,303765.8890914917
2023-09-28,bucket_3_inverse,incumbent,9,49017.3659324646
2023-09-28,bucket_core_screener,incumbent,27,7701326.938774109
2023-09-28,bucket_core_screener,post_start,2,311361.51303863525
2023-09-29,bucket_3_inverse,incumbent,9,49766.72169494629
2023-09-29,bucket_core_screener,incumbent,27,7712073.2479839325
2023-09-29,bucket_core_screener,post_start,2,316519.4867401123
2023-10-02,bucket_3_inverse,incumbent,9,52470.416732788086
2023-10-02,bucket_core_screener,incumbent,27,7694927.941504478
2023-10-02,bucket_core_screener,post_start,2,366151.32071495056
2023-10-03,bucket_3_inverse,incumbent,9,53733.99642944336
2023-10-03,bucket_core_screener,incumbent,27,7529268.467950821
2023-10-03,bucket_core_screener,post_start,2,355796.2279148102
2023-10-04,bucket_3_inverse,incumbent,9,53396.560401916504
2023-10-04,bucket_core_screener,incumbent,27,7544312.173651695
2023-10-04,bucket_core_screener,post_start,2,371974.974691391
2023-10-05,bucket_3_inverse,incumbent,9,52237.56883239746
2023-10-05,bucket_core_screener,incumbent,27,7562398.358884811
2023-10-05,bucket_core_screener,post_start,2,373593.395029068
2023-10-06,bucket_3_inverse,incumbent,9,50755.25440979004
2023-10-06,bucket_core_screener,incumbent,27,7768375.838968277
2023-10-06,bucket_core_screener,post_start,2,378781.0471973419
2023-10-09,bucket_3_inverse,incumbent,9,51389.50831604004
2023-10-09,bucket_core_screener,incumbent,27,7849941.971076965
2023-10-09,bucket_core_screener,post_start,2,412431.07354164124
2023-10-10,bucket_3_inverse,incumbent,9,50576.425285339355
2023-10-10,bucket_core_screener,incumbent,27,7989610.189095497
2023-10-10,bucket_core_screener,post_start,2,419086.2250366211
2023-10-11,bucket_3_inverse,incumbent,9,50237.96895599365
2023-10-11,bucket_core_screener,incumbent,27,8084094.63961792
2023-10-11,bucket_core_screener,post_start,2,424143.30434799194
2023-10-12,bucket_3_inverse,incumbent,9,51788.59371948242
2023-10-12,bucket_core_screener,incumbent,27,7903489.297045708
2023-10-12,bucket_core_screener,post_start,2,421037.70940589905
2023-10-13,bucket_3_inverse,incumbent,9,51192.33451461792
2023-10-13,bucket_core_screener,incumbent,27,7900880.9920835495
2023-10-13,bucket_core_screener,post_start,2,405178.9000053406
2023-10-16,bucket_3_inverse,incumbent,9,51014.08735656738
2023-10-16,bucket_core_screener,incumbent,27,7969033.174935341
2023-10-16,bucket_core_screener,post_start,2,423282.8447227478
2023-10-17,bucket_3_inverse,incumbent,9,50637.44023132324
2023-10-17,bucket_core_screener,incumbent,27,7990459.29698658
2023-10-17,bucket_core_screener,post_start,2,411371.03936195374
2023-10-18,bucket_3_inverse,incumbent,9,52599.87420654297
2023-10-18,bucket_core_screener,incumbent,27,7830920.708499908
2023-10-18,bucket_core_screener,post_start,2,389605.64472198486
2023-10-19,bucket_3_inverse,incumbent,9,54330.247634887695
2023-10-19,bucket_core_screener,incumbent,27,7722918.004157066
2023-10-19,bucket_core_screener,post_start,2,367729.657453537
2023-10-20,bucket_3_inverse,incumbent,9,55469.16123962402
2023-10-20,bucket_core_screener,incumbent,27,7590234.876958847
2023-10-20,bucket_core_screener,post_start,4,415126.5422463417
2023-10-23,bucket_3_inverse,incumbent,9,56713.526428222656
2023-10-23,bucket_core_screener,incumbent,27,7682088.120709419
2023-10-23,bucket_core_screener,post_start,4,478925.7126979828
2023-10-24,bucket_3_inverse,incumbent,9,55160.14189910889
2023-10-24,bucket_core_screener,incumbent,27,7826472.252045631
2023-10-24,bucket_core_screener,post_start,4,489750.1902151108
2023-10-25,bucket_3_inverse,incumbent,9,57429.286041259766
