ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
METU,META,1.998266,455,ols,0.07810800000000001,250000,0.07810800000000001,False,False,23.089799880981445,0.07810800000000001,1.0,False,,True,False,False,False,False,True,False,False,False,0.721432,0.239291,0.360734,0.129791,0.239291,0.161183,0.161183,0.4995665,0.5994798,0.5,0.5994798
MRVU,MRVL,2.010986,33,ols,0.253103,6000,0.253103,False,False,38.404598236083984,0.253103,1.0,False,,True,False,False,False,False,True,False,False,False,1.560887,0.612703,0.641115,0.417827,0.443346,0.3596,0.190243,0.5027465,0.6032957999999999,0.5027465,0.6032957999999999
MSFU,MSFT,1.991698,502,ols,0.036267999999999995,350000,0.036267999999999995,False,False,22.94070053100586,0.036267999999999995,1.0,False,,True,False,False,False,False,True,False,False,False,0.481216,0.161763,0.241383,0.057542,0.161763,0.125495,0.125495,0.4979245,0.5975094,0.5,0.5975094
MUU,MU,1.994257,368,ols,0.036252,150000,0.036252,False,False,142.52499389648438,0.036252,1.0,False,,True,False,False,False,False,True,False,False,False,1.277398,0.520545,0.61092,0.370014,0.520545,0.48429300000000003,0.48429300000000003,0.49856425,0.5982771,0.5,0.5982771
NFXL,NFLX,1.996726,373,ols,0.108608,200000,0.108608,False,False,29.909900665283203,0.108608,1.0,False,,True,False,False,False,False,True,False,False,False,0.696131,0.227948,0.329987,0.108357,0.227948,0.11934000000000002,0.11934000000000002,0.4991815,0.5990177999999999,0.5,0.5990177999999999
NVDU,NVDA,1.987232,502,ols,0.056361999999999995,35000,0.056361999999999995,False,False,98.3499984741211,0.056361999999999995,1.0,False,,True,False,False,False,False,True,False,False,False,0.983421,0.35704,0.494607,0.239971,0.35704,0.300678,0.300678,0.496808,0.5961696,0.5,0.5961696
ORCU,ORCL,2.004232,90,ols,0.139353,200000,0.139353,False,False,9.329999923706055,0.139353,1.0,False,,True,False,False,False,False,True,False,False,False,1.084451,0.383312,0.514,0.265875,0.307817,0.24395899999999998,0.168464,0.501058,0.6012696,0.501058,0.6012696
PALU,PANW,2.004266,254,ols,0.052946999999999994,200000,0.052946999999999994,False,False,12.657099723815918,0.052946999999999994,1.0,False,,True,False,False,False,False,True,False,False,False,0.73429,0.246451,0.346637,0.120927,0.246451,0.193504,0.193504,0.5010665,0.6012797999999999,0.5010665,0.6012797999999999
PLTU,PLTR,1.991927,325,ols,0.07796299999999999,150000,0.07796299999999999,False,False,44.650001525878906,0.07796299999999999,1.0,False,,True,False,False,False,False,True,False,False,False,1.287307,0.501861,0.627289,0.388739,0.501861,0.423898,0.423898,0.49798175,0.5975781,0.5,0.5975781
QCMU,QCOM,2.00203,193,ols,0.031443,20000,0.031443,False,False,14.281100273132324,0.031443,1.0,False,,True,False,False,False,False,True,False,False,False,0.644393,0.216307,0.383053,0.147177,0.200122,0.184864,0.168679,0.5005075,0.600609,0.5005075,0.600609
SHPU,SHOP,2.011967,164,ols,0.050037000000000005,35000,0.050037000000000005,False,False,13.710000038146973,0.050037000000000005,1.0,False,,True,False,False,False,False,True,False,False,False,1.022534,0.349928,0.578252,0.340402,0.346601,0.299891,0.296564,0.50299175,0.6035900999999999,0.50299175,0.6035900999999999
SOFA,SOFI,1.995758,34,ols,0.043086,3000,0.043086,False,False,12.819999694824219,0.043086,1.0,False,,True,False,False,False,False,True,False,False,False,0.854453,0.339031,0.573339,0.326629,0.328302,0.295945,0.28521599999999997,0.4989395,0.5987273999999999,0.5,0.5987273999999999
TSLL,TSLA,1.993736,502,ols,0.058456,1500000,0.058456,False,False,12.725000381469727,0.058456,1.0,False,,True,False,False,False,False,True,False,False,False,1.248134,0.497309,0.625938,0.388125,0.497309,0.438853,0.438853,0.498434,0.5981208,0.5,0.5981208
TSMX,TSM,1.994668,373,ols,0.218698,450000,0.218698,False,False,58.27000045776367,0.218698,1.0,False,,True,False,False,False,False,True,False,False,False,0.811614,0.278946,0.408882,0.16585,0.278946,0.060248000000000024,0.060248000000000024,0.498667,0.5984004,0.5,0.5984004
XOMX,XOM,1.977903,236,ols,0.054528999999999994,1000,0.054528999999999994,False,False,50.31999969482422,0.054528999999999994,1.0,False,,True,False,False,False,False,True,False,False,False,0.444378,0.143952,0.229327,0.050861,0.138041,0.089423,0.083512,0.49447575,0.5933708999999999,0.5,0.5933708999999999
YINN,FXI,2.972916,502,ols,0.017397,1000000,0.017397,False,False,32.04999923706055,0.017397,1.0,False,,True,False,False,False,False,True,False,False,False,0.858295,0.370977,0.288011,0.243265,0.370977,0.35358,0.35358,0.743229,0.8918748,0.743229,0.8918748
MEXX,EWW,2.956819,502,ols,0.045707000000000005,700,0.045707000000000005,False,False,30.59000015258789,0.045707000000000005,1.0,False,,True,False,False,False,False,True,False,True,False,0.741947,0.297012,0.250285,0.181224,0.297012,0.251305,0.251305,0.73920475,0.8870456999999999,0.73920475,0.8870456999999999
KORU,EWY,2.929777,502,ols,0.109929,35000,0.109929,False,False,308.4800109863281,0.109929,1.0,False,,True,False,False,False,False,True,False,False,False,0.90605,0.382956,0.308937,0.269806,0.382956,0.273027,0.273027,0.73244425,0.8789331,0.73244425,0.8789331
HIBL,SPY,4.47469,502,ols,0.659639,400,0.659639,False,False,61.81999969482422,0.659639,1.0,False,,False,True,False,False,False,False,True,True,False,0.808886,0.40272,0.166935,0.216643,0.40272,-0.25691899999999995,-0.25691899999999995,1.0,1.0,1.0,1.0
LABU,XBI,2.9881,502,ols,0.1646,90000,0.1646,False,False,170.2949981689453,0.1646,1.0,False,,True,False,False,False,False,True,False,False,False,0.79622,0.327811,0.266275,0.210603,0.327811,0.16321100000000002,0.16321100000000002,0.747025,0.8964300000000001,0.747025,0.8964300000000001
SOXL,SOXX,2.961398,502,ols,0.019131,6600000,0.019131,False,False,52.48270034790039,0.019131,1.0,False,,True,False,False,False,False,True,False,False,False,1.131231,0.548532,0.381681,0.423091,0.548532,0.529401,0.529401,0.7403495,0.8884194,0.7403495,0.8884194
CHAU,ASHR,1.966445,502,ols,0.063937,7000,0.063937,False,False,20.420000076293945,0.063937,1.0,False,,True,False,False,False,False,True,False,False,False,0.515647,0.117742,0.261749,0.065103,0.117742,0.053805000000000006,0.053805000000000006,0.49161125,0.5899335,0.5,0.5899335
CWEB,KWEB,1.987706,502,ols,0.015705,550000,0.015705,False,False,26.395000457763672,0.015705,1.0,False,,True,False,False,False,False,True,False,False,False,0.704814,0.190081,0.35431,0.12323,0.190081,0.174376,0.174376,0.4969265,0.5963118,0.5,0.5963118
ERX,XLE,1.98688,502,ols,0.20156600000000002,5000,0.20156600000000002,False,False,95.87000274658203,0.20156600000000002,1.0,False,,True,False,False,False,False,True,False,False,False,0.442821,0.109231,0.222565,0.048565,0.109231,-0.09233500000000003,-0.09233500000000003,0.49672,0.5960639999999999,0.5,0.5960639999999999
NUGT,GDX,1.978625,502,ols,0.022877,300000,0.022877,False,False,204.76499938964844,0.022877,1.0,False,,True,False,False,False,False,True,False,False,False,0.777071,0.21362,0.392378,0.149059,0.21362,0.190743,0.190743,0.49465625,0.5935875,0.5,0.5935875
JNUG,GDXJ,1.975323,502,ols,0.044836999999999995,100000,0.044836999999999995,False,False,216.2449951171875,0.044836999999999995,1.0,False,,True,False,False,False,False,True,False,False,False,0.868012,0.248993,0.438374,0.185117,0.248993,0.204156,0.204156,0.49383075,0.5925969,0.5,0.5925969
GUSH,XOP,2.010405,502,ols,0.040018000000000005,200000,0.040018000000000005,False,False,40.79999923706055,0.040018000000000005,1.0,False,,True,False,False,False,False,True,False,False,False,0.584386,0.148144,0.290472,0.085695,0.148144,0.108126,0.108126,0.50260125,0.6031215,0.50260125,0.6031215
URAA,URA,1.931838,442,ols,0.03063,60000,0.03063,False,False,36.30979919433594,0.03063,1.0,False,,True,False,False,False,False,True,False,False,False,0.883002,0.378989,0.439521,0.173876,0.378989,0.34835900000000003,0.34835900000000003,0.4829595,0.5795513999999999,0.5,0.5795513999999999
MSTU,MSTR,1.966011,384,ols,0.250722,2400000,0.250722,False,False,4.085000038146973,0.250722,1.0,False,,True,False,False,False,False,True,False,False,False,1.715686,1.084702,0.882356,0.739309,1.084702,0.83398,0.83398,0.49150275,0.5898032999999999,0.5,0.5898032999999999
NVDX,NVDA,1.997724,502,ols,0.108014,300000,0.108014,False,False,14.21500015258789,0.108014,1.0,False,,True,False,False,False,False,True,False,False,False,0.989143,0.410732,0.494607,0.243802,0.410732,0.302718,0.302718,0.499431,0.5993172,0.5,0.5993172
TSLT,TSLA,1.992527,502,ols,0.076121,350000,0.076121,False,False,17.825000762939453,0.076121,1.0,False,,True,False,False,False,False,True,False,False,False,1.247665,0.532365,0.625938,0.387417,0.532365,0.456244,0.456244,0.49813175,0.5977581,0.5,0.5977581
BTCL,IBIT,2.005985,433,ols,0.046078,20000,0.046078,False,False,15.380000114440918,0.046078,1.0,False,,True,False,False,False,False,True,False,False,False,1.003107,0.429997,0.500574,0.252828,0.429997,0.383919,0.383919,0.50149625,0.6017954999999999,0.50149625,0.6017954999999999
ETU,ETHA,1.989136,358,ols,0.03802,50000,0.03802,False,False,6.135000228881836,0.03802,1.0,False,,True,False,False,False,False,True,False,False,False,1.519001,0.747028,0.750304,0.553815,0.747028,0.7090080000000001,0.7090080000000001,0.497284,0.5967408,0.5,0.5967408
CCUP,CRCL,1.98383,161,ols,0.201273,350000,0.201273,False,False,4.199999809265137,0.201273,1.0,False,,True,False,False,False,False,True,False,False,False,1.952831,1.011936,1.193251,1.389499,1.148278,0.8106629999999999,0.9470049999999999,0.4959575,0.5951489999999999,0.5,0.5951489999999999
CRWU,CRWV,1.988605,171,ols,0.207212,200000,0.207212,False,False,4.585000038146973,0.207212,1.0,False,,True,False,False,False,False,True,False,False,False,1.969359,1.128456,1.19207,1.396834,1.21472,0.921244,1.007508,0.49715125,0.5965815,0.5,0.5965815
AAPX,AAPL,1.99549,502,ols,0.130084,25000,0.130084,False,False,25.68000030517578,0.130084,1.0,False,,True,False,False,False,False,True,False,False,False,0.566786,0.196103,0.283495,0.079827,0.196103,0.066019,0.066019,0.4988725,0.5986469999999999,0.5,0.5986469999999999
GOOX,GOOGL,1.979433,502,ols,0.018906,100000,0.018906,False,False,59.369998931884766,0.018906,1.0,False,,True,False,False,False,False,True,False,False,False,0.598502,0.205189,0.300832,0.087727,0.205189,0.186283,0.186283,0.49485825,0.5938299,0.5,0.5938299
MSFX,MSFT,2.007381,502,ols,0.06011999999999999,25000,0.06011999999999999,False,False,15.119999885559082,0.06011999999999999,1.0,False,,True,False,False,False,False,True,False,False,False,0.485998,0.189838,0.241383,0.058912,0.189838,0.129718,0.129718,0.50184525,0.6022143,0.50184525,0.6022143
NFLU,NFLX,1.992639,377,ols,0.033333,10000,0.033333,False,False,31.639999389648438,0.033333,1.0,False,,True,False,False,False,False,True,False,False,False,0.692177,0.235467,0.329987,0.107692,0.235467,0.202134,0.202134,0.49815975,0.5977917,0.5,0.5977917
ROBN,HOOD,2.011445,292,ols,0.10614900000000001,100000,0.10614900000000001,False,False,17.6299991607666,0.10614900000000001,1.0,False,,True,False,False,False,False,True,False,False,False,1.5233,0.744284,0.705883,0.506858,0.744284,0.6381349999999999,0.6381349999999999,0.50286125,0.6034335000000001,0.50286125,0.6034335000000001
DJTU,DJT,2.007193,271,ols,0.259984,100000,0.3358315511515865,False,False,1.54830002784729,0.259984,1.2917393037709495,False,,False,True,False,False,True,False,True,False,False,1.46771,0.826538,0.975678,0.962243,0.826538,0.49070644884841347,0.49070644884841347,0.50179825,0.6021579,0.50179825,0.6021579
RBLU,RBLX,2.017432,271,ols,0.077474,40000,0.077474,False,False,12.400099754333496,0.077474,1.0,False,,True,False,False,False,False,True,False,False,False,1.128667,0.507971,0.525625,0.283548,0.507971,0.43049699999999996,0.43049699999999996,0.504358,0.6052295999999999,0.504358,0.6052295999999999
SNOU,SNOW,2.016802,235,ols,0.00695,4000,0.00695,False,False,18.34000015258789,0.00695,1.0,False,,True,False,False,False,False,True,False,False,False,0.994157,0.352728,0.523009,0.280471,0.347854,0.345778,0.340904,0.5042005,0.6050406,0.5042005,0.6050406
SMUP,SMR,1.982416,171,ols,0.131247,1200000,0.69168379142458,False,False,0.37950000166893005,0.131247,5.270092203437641,False,,False,True,False,False,False,False,True,False,False,1.995079,1.215611,1.124502,1.231348,1.220669,0.52392720857542,0.52898520857542,0.495604,0.5947247999999999,0.5,0.5947247999999999
GLXU,GLXY,2.011407,162,ols,0.092897,90000,0.092897,False,False,4.744999885559082,0.092897,1.0,False,,True,False,False,False,False,True,False,False,False,1.849252,1.048755,0.898512,0.82119,0.967482,0.9558580000000001,0.874585,0.50285175,0.6034221000000001,0.50285175,0.6034221000000001
AFRU,AFRM,1.949466,136,ols,0.18015,10000,0.18015,False,False,4.678999900817871,0.18015,1.0,False,,True,False,False,False,False,True,False,False,False,1.20214,0.672461,0.753585,0.525569,0.604844,0.49231099999999994,0.424694,0.4873665,0.5848397999999999,0.5,0.5848397999999999
KTUP,KTOS,2.028207,136,ols,0.188269,10000,0.188269,False,False,14.729999542236328,0.188269,1.0,False,,True,False,False,False,False,True,False,False,False,1.555773,0.798108,0.563731,0.331365,0.583258,0.609839,0.39498900000000003,0.50705175,0.6084621,0.50705175,0.6084621
TTDU,TTD,1.994654,135,ols,0.12984199999999999,60000,0.12984199999999999,False,False,4.510000228881836,0.12984199999999999,1.0,False,,True,False,False,False,False,True,False,False,False,1.01535,0.514218,0.620843,0.382361,0.452999,0.38437599999999994,0.323157,0.4986635,0.5983961999999999,0.5,0.5983961999999999
BMNU,BMNR,1.946544,128,ols,0.216661,350000,0.24412507370163117,False,False,1.774999976158142,0.216661,1.1267605785149666,False,,True,False,False,False,False,True,False,False,False,2.062552,1.668631,1.067843,1.050485,1.364464,1.4245059262983688,1.1203389262983687,0.486636,0.5839632,0.5,0.5839632
SBTU,SBET,2.024225,111,ols,0.058036000000000004,30000,0.058036000000000004,False,False,3.1449999809265137,0.058036000000000004,1.0,False,,True,False,False,False,False,True,False,False,False,1.754988,0.9089,0.866993,0.779211,0.836336,0.8508640000000001,0.7783,0.50605625,0.6072675,0.50605625,0.6072675
CIFU,CIFR,1.985709,88,ols,0.33440600000000004,1000,0.33440600000000004,False,False,11.920000076293945,0.33440600000000004,1.0,False,,False,True,False,False,True,False,True,False,False,2.100379,1.313835,1.117239,1.221593,1.253804,0.9794290000000001,0.9193979999999999,0.49642725,0.5957127,0.5,0.5957127
SOLX,GSOL,1.980123,81,ols,0.050598000000000004,8000,0.050598000000000004,False,False,9.189900398254395,0.050598000000000004,1.0,False,,True,False,False,False,False,True,False,False,False,1.557389,0.76604,1.123857,1.225645,1.077915,0.715442,1.027317,0.49503075,0.5940369,0.5,0.5940369
XRPK,XRPZ,1.95735,81,ols,0.10302199999999999,7000,0.10302199999999999,False,False,7.96999979019165,0.10302199999999999,1.0,False,,True,False,False,False,False,True,False,False,False,1.631735,1.048323,0.825699,0.638782,0.77042,0.945301,0.667398,0.4893375,0.587205,0.5,0.587205
XRPT,XRPZ,2.016137,87,ols,,0,,False,True,40.79999923706055,,1.0,False,,False,False,False,False,False,True,False,True,False,1.594374,0.904806,0.825699,0.69837,0.76964,0.904806,0.76964,0.50403425,1.0,0.50403425,1.0
GMEU,GME,1.967672,235,ols,0.24678999999999998,10000,0.24678999999999998,False,False,9.989999771118164,0.24678999999999998,1.0,False,,True,False,False,False,False,True,False,False,False,0.888173,0.60626,0.444209,0.187856,0.578034,0.35947000000000007,0.3312440000000001,0.491918,0.5903016,0.5,0.5903016
APLX,APLD,1.99428,141,ols,0.13871,35000,0.13871,False,False,11.720000267028809,0.13871,1.0,False,,True,False,False,False,False,True,False,False,False,2.210462,1.378999,1.327597,1.74742,1.54128,1.2402890000000002,1.4025699999999999,0.49857,0.598284,0.5,0.598284
APPX,APP,1.986339,234,ols,0.051131,200000,0.051131,False,False,25.959999084472656,0.051131,1.0,False,,True,False,False,False,False,True,False,False,False,1.423788,0.665978,0.820184,0.65898,0.665478,0.6148469999999999,0.614347,0.49658475,0.5959017,0.5,0.5959017
ARCX,ACHR,1.986947,203,ols,0.142398,15000,0.142398,False,False,14.880000114440918,0.142398,1.0,False,,True,False,False,False,False,True,False,False,False,1.451293,0.69391,0.871594,0.744867,0.703818,0.551512,0.56142,0.49673675,0.5960841,0.5,0.5960841
ASTX,ASTS,1.989343,182,ols,0.080973,100000,0.080973,False,False,37.81999969482422,0.080973,1.0,False,,True,False,False,False,False,True,False,False,False,2.076756,1.211994,1.29858,1.659449,1.336287,1.131021,1.255314,0.49733575,0.5968029,0.5,0.5968029
BEX,BE,1.975718,94,ols,0.104375,150000,0.104375,False,False,16.236600875854492,0.104375,1.0,False,,True,False,False,False,False,True,False,False,False,2.150993,1.202578,0.993431,0.95125,1.044999,1.0982029999999998,0.940624,0.4939295,0.5927154,0.5,0.5927154
CEGX,CEG,1.983467,182,ols,0.09896200000000001,10000,0.09896200000000001,False,False,15.9399995803833,0.09896200000000001,1.0,False,,True,False,False,False,False,True,False,False,False,0.938538,0.320868,0.584448,0.333155,0.324281,0.221906,0.225319,0.49586675,0.5950401,0.5,0.5950401
CLSX,CLSK,1.998617,136,ols,0.148755,30000,0.148755,False,False,8.789999961853027,0.148755,1.0,False,,True,False,False,False,False,True,False,False,False,2.051299,1.250958,0.952199,0.904803,1.091617,1.102203,0.9428620000000001,0.49965425,0.5995851,0.5,0.5995851
COZX,CORZ,2.037289,100,ols,,0,,False,True,8.819999694824219,,1.0,False,,False,False,False,False,False,True,False,True,False,1.455798,0.758837,0.860807,0.78295,0.773381,0.758837,0.773381,0.50932225,1.0,0.50932225,1.0
CRDU,CRDO,1.989525,136,ols,0.09528600000000001,75000,0.09528600000000001,False,False,15.83650016784668,0.09528600000000001,1.0,False,,True,False,False,False,False,True,False,False,False,1.732883,0.993777,0.907243,0.810202,0.909274,0.898491,0.813988,0.49738125,0.5968574999999999,0.5,0.5968574999999999
CSEX,CLS,1.997237,94,ols,0.073253,20000,0.073253,False,False,14.130000114440918,0.073253,1.0,False,,True,False,False,False,False,True,False,False,False,1.544512,0.643157,0.710335,0.502487,0.554959,0.569904,0.48170599999999997,0.49930925,0.5991711,0.5,0.5991711
CWVX,CRWV,1.989439,182,ols,0.059155,100000,0.059155,False,False,19.905000686645508,0.059155,1.0,False,,True,False,False,False,False,True,False,False,False,1.946528,0.947053,1.19207,1.398599,1.072482,0.8878980000000001,1.0133269999999999,0.49735975,0.5968317,0.5,0.5968317
DOGD,DDOG,2.012972,160,ols,0.135497,10000,0.135497,False,False,16.209999084472656,0.135497,1.0,False,,True,False,False,False,False,True,False,False,False,1.187548,0.420161,0.48219,0.237051,0.353311,0.28466400000000003,0.21781399999999998,0.503243,0.6038916,0.503243,0.6038916
ENPX,ENPH,2.018117,136,ols,0.18697399999999997,5000,0.18697399999999997,False,False,17.02869987487793,0.18697399999999997,1.0,False,,True,False,False,False,False,True,False,False,False,1.63833,0.726894,0.726464,0.542178,0.641866,0.5399200000000001,0.4548920000000001,0.50452925,0.6054351,0.50452925,0.6054351
FLYT,FLY,1.983397,109,ols,0.22007100000000002,2000,0.22007100000000002,False,False,16.899999618530273,0.22007100000000002,1.0,False,,True,False,False,False,False,True,False,False,False,2.357445,1.499306,1.102563,1.185538,1.321255,1.279235,1.101184,0.49584925,0.5950191,0.5,0.5950191
GEVX,GEV,1.99647,182,ols,0.031631,6000,0.031631,False,False,55.38999938964844,0.031631,1.0,False,,True,False,False,False,False,True,False,False,False,1.016713,0.319883,0.531631,0.281137,0.30912,0.28825199999999995,0.277489,0.4991175,0.598941,0.5,0.598941
IREX,IREN,1.981979,109,ols,0.314853,30000,0.314853,False,False,17.31999969482422,0.314853,1.0,False,,False,True,False,False,True,False,True,False,False,2.188431,1.419415,1.055053,1.083228,1.228642,1.104562,0.913789,0.49549475,0.5945937,0.5,0.5945937
JOBX,JOBY,1.97878,141,ols,0.22886199999999998,35000,0.22886199999999998,False,False,18.325000762939453,0.22886199999999998,1.0,False,,True,False,False,False,False,True,False,False,False,1.444418,0.734114,0.811563,0.637818,0.691698,0.505252,0.462836,0.494695,0.593634,0.5,0.593634
LABX,ALAB,1.994332,160,ols,0.039958999999999995,60000,0.039958999999999995,False,False,14.229999542236328,0.039958999999999995,1.0,False,,True,False,False,False,False,True,False,False,False,1.776496,0.972477,0.904728,0.811587,0.913739,0.9325180000000001,0.87378,0.498583,0.5982995999999999,0.5,0.5982995999999999
LRCU,LRCX,2.039866,155,ols,0.065086,25000,0.065086,False,False,33.560001373291016,0.065086,1.0,False,,True,False,False,False,False,True,False,False,False,1.102841,0.435319,0.499042,0.264133,0.369426,0.37023300000000003,0.30433999999999994,0.5099665,0.6119597999999999,0.5099665,0.6119597999999999
MDBX,MDB,1.990663,155,ols,0.07815699999999999,5000,0.07815699999999999,False,False,20.390100479125977,0.07815699999999999,1.0,False,,True,False,False,False,False,True,False,False,False,1.554834,0.63626,0.668628,0.440822,0.561032,0.558103,0.482875,0.49766575,0.5971989,0.5,0.5971989
NEBX,NBIS,1.997237,141,ols,0.075211,40000,0.075211,False,False,31.290599822998047,0.075211,1.0,False,,True,False,False,False,False,True,False,False,False,1.880164,0.989516,1.115825,1.23991,1.099809,0.9143049999999999,1.0245980000000001,0.49930925,0.5991711,0.5,0.5991711
NNEX,NNE,1.985243,94,ols,0.123356,500,0.123356,False,False,5.75,0.123356,1.0,False,,True,False,False,False,False,True,False,True,False,1.648329,0.82398,1.513362,2.239818,1.711688,0.700624,1.588332,0.49631075,0.5955729,0.5,0.5955729
NVTX,NVTS,1.998567,141,ols,0.23387799999999997,5000,0.23387799999999997,False,False,20.2450008392334,0.23387799999999997,1.0,False,,True,False,False,False,False,True,False,False,False,2.467188,1.662926,1.608746,2.582503,2.067978,1.4290479999999999,1.8341,0.49964175,0.5995701,0.5,0.5995701
OPEX,OPEN,1.997307,109,ols,0.311138,25000,0.311138,False,False,20.81999969482422,0.311138,1.0,False,,False,True,False,False,True,False,True,False,False,1.876436,1.08585,1.296281,1.673563,1.419354,0.774712,1.108216,0.49932675,0.5991921,0.5,0.5991921
PONX,PONY,2.006616,141,ols,0.265098,20000,0.265098,False,False,6.699999809265137,0.265098,1.0,False,,True,False,False,False,False,True,False,False,False,1.611215,0.839616,1.250535,1.579392,1.16547,0.5745180000000001,0.900372,0.501654,0.6019848,0.501654,0.6019848
