underlying,symbol,leg_class,net_notional_usd,gross_notional_usd,_ratio_b1,_ratio_b2,_ratio_b4
ORCL,ORCU,core_levered_etf,-2432.36985482,2432.36985482,1.0,0.0,0.0
ORCL,ORCX,core_levered_etf,-2562.3846402,2562.3846402,1.0,0.0,0.0
OSCR,OSCR,spot,3890.25,3890.25,1.0,0.0,0.0
OSCR,OSCX,core_levered_etf,-3766.0403886840004,3766.0403886840004,1.0,0.0,0.0
PAAS,PAAS,spot,3020.4700000000003,3020.4700000000003,1.0,0.0,0.0
PAAS,PAAU,core_levered_etf,-3352.4823184964994,3352.4823184964994,1.0,0.0,0.0
PANW,PANW,spot,1971.83,1971.83,1.0,0.0,0.0
PANW,PALU,core_levered_etf,-1098.5401791,1098.5401791,1.0,0.0,0.0
PANW,PANG,core_levered_etf,-1258.494846336,1258.494846336,1.0,0.0,0.0
PL,PL,spot,9818.880000000001,9818.880000000001,1.0,0.0,0.0
PL,PLU,core_levered_etf,-10082.605564849999,10082.605564849999,1.0,0.0,0.0
PLTR,PLTR,spot,7200.839999999999,7200.839999999999,1.0,0.0,0.0
PLTR,PLTG,core_levered_etf,-1553.8878604800002,1553.8878604800002,1.0,0.0,0.0
PLTR,PLTA,core_levered_etf,-1973.1080573568001,1973.1080573568001,1.0,0.0,0.0
PLTR,PLTU,core_levered_etf,-2089.16169066,2089.16169066,1.0,0.0,0.0
PLTR,PTIR,core_levered_etf,-2523.6457070399997,2523.6457070399997,1.0,0.0,0.0
PLUG,PLUG,spot,4641.25,4641.25,1.0,0.0,0.0
PLUG,PLUL,core_levered_etf,-4529.9817962208,4529.9817962208,1.0,0.0,0.0
PONY,PONY,spot,2637.89,2637.89,1.0,0.0,0.0
PONY,PONX,core_levered_etf,-2616.4438482,2616.4438482,1.0,0.0,0.0
PYPL,PYPL,spot,671.25,671.25,1.0,0.0,0.0
PYPL,PYPG,core_levered_etf,-692.7915526434,692.7915526434,1.0,0.0,0.0
QBTS,QBTZ,inverse_b4_etf,18840.29221404,18840.29221404,0.0,0.0,1.0
QBTS,QBTS,spot_b4_structural,13653.42,13653.42,1.045672040411853,1.045672040411853,-1.0913440808237058
QBTS,QBY,yieldboost_etf,-13724.967185999998,13724.967185999998,0.0,1.0,0.0
QBTS,QBTX,core_levered_etf,-18908.0426997,18908.0426997,1.0,0.0,0.0
QCOM,QCOM,spot,1255.1000000000001,1255.1000000000001,1.0,0.0,0.0
QCOM,QCMU,core_levered_etf,-1467.3880379999998,1467.3880379999998,1.0,0.0,0.0
QQQ,QQQ,spot,1476.62,1476.62,0.7446933146805801,0.2553066853194198,0.0
QQQ,TQQY,flow_low_delta,-506.2365275,506.2365275,0.0,1.0,0.0
QQQ,TQQQ,core_levered_etf,-1770.33090976,1770.33090976,1.0,0.0,0.0
QS,QS,spot,3331.5800000000004,3331.5800000000004,1.0,0.0,0.0
QS,QSU,core_levered_etf,-3388.1203956599998,3388.1203956599998,1.0,0.0,0.0
QUBT,QUBT,spot,10213.84,10213.84,1.0,0.0,0.0
QUBT,QUBX,core_levered_etf,-9918.99968385,9918.99968385,1.0,0.0,0.0
RBLX,RBLX,spot,1508.8,1508.8,1.0,0.0,0.0
RBLX,RBLU,core_levered_etf,-1752.86470212,1752.86470212,1.0,0.0,0.0
RCAT,RCAT,spot,55506.0,55506.0,1.0,0.0,0.0
RCAT,RCAX,core_levered_etf,-57180.064072320005,57180.064072320005,1.0,0.0,0.0
RDDT,RDDT,spot,4224.0,4224.0,1.0,0.0,0.0
RDDT,RDTL,core_levered_etf,-4870.44728979,4870.44728979,1.0,0.0,0.0
RDW,RDW,spot,9852.57,9852.57,1.0,0.0,0.0
RDW,RDWU,core_levered_etf,-9818.364599999999,9818.364599999999,1.0,0.0,0.0
RGTI,RGTI,spot,12846.619999999999,12846.619999999999,1.0,0.0,0.0
RGTI,RGTU,core_levered_etf,-4030.3188576000002,4030.3188576000002,1.0,0.0,0.0
RGTI,RGTX,core_levered_etf,-7902.3098286,7902.3098286,1.0,0.0,0.0
RIOT,RIOT,spot,27787.75,27787.75,0.11844510971049775,0.8815548902895024,0.0
RIOT,RIOX,core_levered_etf,-3338.7839793000003,3338.7839793000003,1.0,0.0,0.0
RIOT,RTYY,yieldboost_etf,-24849.665399999998,24849.665399999998,0.0,1.0,0.0
RKLB,RKLZ,inverse_b4_etf,5494.6161107200005,5494.6161107200005,0.0,0.0,1.0
RKLB,RKLB,spot_b4_structural,2582.64,2582.64,2.2074463263216675,0.0,-1.2074463263216675
RKLB,RKLX,core_levered_etf,-6966.947445999999,6966.947445999999,1.0,0.0,0.0
RKT,RKT,spot,4004.7599999999998,4004.7599999999998,1.0,0.0,0.0
RKT,RKTL,core_levered_etf,-4113.3769644576,4113.3769644576,1.0,0.0,0.0
SATS,SATS,spot,1550.28,1550.28,1.0,0.0,0.0
SATS,SATG,core_levered_etf,-1694.9666934,1694.9666934,1.0,0.0,0.0
SBET,SBET,spot,7264.79,7264.79,1.0,0.0,0.0
SBET,SBTU,core_levered_etf,-6843.94913052,6843.94913052,1.0,0.0,0.0
SBUX,SBUX,spot,99.16,99.16,1.0,0.0,0.0
SBUX,SBU,core_levered_etf,-113.2472957385,113.2472957385,1.0,0.0,0.0
SHOP,SHOP,spot,2492.91,2492.91,1.0,0.0,0.0
SHOP,SHPU,core_levered_etf,-2916.70884648,2916.70884648,1.0,0.0,0.0
SMCI,SMCI,spot,45214.29,45214.29,0.28052123148345354,0.7194787685165465,0.0
SMCI,SMCX,core_levered_etf,-2617.56838575,2617.56838575,1.0,0.0,0.0
SMCI,SMCL,core_levered_etf,-5213.75432292,5213.75432292,1.0,0.0,0.0
SMCI,SMYY,yieldboost_etf,-32530.721688550002,32530.721688550002,0.0,1.0,0.0
SNAP,SNAP,spot,2723.67,2723.67,1.0,0.0,0.0
SNAP,SNAG,core_levered_etf,-2684.6794607808,2684.6794607808,1.0,0.0,0.0
SNDK,SNDK,spot,28814.66,28814.66,1.0,0.0,0.0
SNDK,SNDU,core_levered_etf,-13727.2608044,13727.2608044,1.0,0.0,0.0
SNDK,SNXX,core_levered_etf,-14878.56524,14878.56524,1.0,0.0,0.0
SNOW,SNOW,spot,4599.900000000001,4599.900000000001,1.0,0.0,0.0
SNOW,SNOU,core_levered_etf,-5241.519249880001,5241.519249880001,1.0,0.0,0.0
SOEZ,SOEZ,spot,4855.9082,4855.9082,1.0,0.0,0.0
SOEZ,SOLT,core_levered_etf,-4688.5903416,4688.5903416,1.0,0.0,0.0
SOFI,SOFI,spot,4099.5,4099.5,1.0,0.0,0.0
SOFI,SOFX,core_levered_etf,-1979.6900778599997,1979.6900778599997,1.0,0.0,0.0
SOFI,SOFA,core_levered_etf,-2467.4766685199997,2467.4766685199997,1.0,0.0,0.0
SOUN,SOUN,spot,2934.0,2934.0,1.0,0.0,0.0
SOUN,SOUX,core_levered_etf,-3244.03271625,3244.03271625,1.0,0.0,0.0
SOXX,SOXX,spot,3983.5600000000004,3983.5600000000004,1.0,0.0,0.0
SOXX,SOXL,core_levered_etf,-4023.1049238,4023.1049238,1.0,0.0,0.0
SPOT,SPOT,spot,1493.04,1493.04,1.0,0.0,0.0
SPOT,SPOG,core_levered_etf,-1495.8858608777998,1495.8858608777998,1.0,0.0,0.0
SPY,SPY,spot,1512.96,1512.96,1.0,0.0,0.0
SPY,SPXL,core_levered_etf,-1702.4261804999999,1702.4261804999999,1.0,0.0,0.0
SRPT,SRPT,spot,4646.2,4646.2,1.0,0.0,0.0
SRPT,SRPU,core_levered_etf,-4725.5565801600005,4725.5565801600005,1.0,0.0,0.0
SVIX,UVIX,inverse_b4_etf,4294.03634645,4294.03634645,0.0,0.0,1.0
SVIX,SVIX,spot_b4_structural,-3497.5200000000004,3497.5200000000004,-0.1348309355248307,-0.0,1.1348309355248307
TDOG,TDOG,spot,4108.5804,4108.5804,1.0,0.0,0.0
TDOG,TXXD,core_levered_etf,-3910.0009606218005,3910.0009606218005,1.0,0.0,0.0
TEM,TEM,spot,3280.5499999999997,3280.5499999999997,1.0,0.0,0.0
TEM,TEMT,core_levered_etf,-3229.3472266800004,3229.3472266800004,1.0,0.0,0.0
TER,TER,spot,1497.24,1497.24,1.0,0.0,0.0
TER,TERG,core_levered_etf,-1762.7240622400002,1762.7240622400002,1.0,0.0,0.0
TSLA,TSLA,spot,5229.4800000000005,5229.4800000000005,0.9859230497257854,0.014076950274214644,0.0
TSLA,TSYY,flow_low_delta,-73.61512992,73.61512992,0.0,1.0,0.0
TSLA,TSLT,core_levered_etf,-1059.792444,1059.792444,1.0,0.0,0.0
TSLA,TSLR,core_levered_etf,-1192.4141380800002,1192.4141380800002,1.0,0.0,0.0
TSLA,TSLI,core_levered_etf,-1242.9589317474001,1242.9589317474001,1.0,0.0,0.0
TSLA,TSLL,core_levered_etf,-1650.99525344,1650.99525344,1.0,0.0,0.0
TSM,TSM,spot,5439.849999999999,5439.849999999999,0.3584226541057903,0.6415773458942098,0.0
TSM,TSMU,core_levered_etf,-1030.9779965184,1030.9779965184,1.0,0.0,0.0
TSM,TSMG,core_levered_etf,-1059.3909594268,1059.3909594268,1.0,0.0,0.0
TSM,TMYY,yieldboost_etf,-3741.7650679500002,3741.7650679500002,0.0,1.0,0.0
TSUI,TSUI,spot,9127.168,9127.168,1.0,0.0,0.0
TSUI,TXXS,core_levered_etf,-8210.4431976,8210.4431976,1.0,0.0,0.0
TTD,TTD,spot,1336.72,1336.72,1.0,0.0,0.0
TTD,TTDU,core_levered_etf,-1411.4245827500001,1411.4245827500001,1.0,0.0,0.0
U,U,spot,5484.599999999999,5484.599999999999,1.0,0.0,0.0
U,UNX,core_levered_etf,-5754.3512710336,5754.3512710336,1.0,0.0,0.0
UBER,UBER,spot,1267.2,1267.2,1.0,0.0,0.0
UBER,UBRL,core_levered_etf,-1319.3876727,1319.3876727,1.0,0.0,0.0
UEC,UEC,spot,4612.95,4612.95,1.0,0.0,0.0
UEC,UECG,core_levered_etf,-4778.0085083648,4778.0085083648,1.0,0.0,0.0
UNH,UNH,spot,1140.93,1140.93,1.0,0.0,0.0
UNH,UNHU,core_levered_etf,-92.539182376,92.539182376,1.0,0.0,0.0
