run_date,underlying,qty_b1,qty_b2,cost_b1_base,cost_b2_base
2026-03-26,CRCL,1566.0,0.0,162985.6,0.0
2026-03-26,CRDO,912.0,0.0,94862.82,0.0
2026-03-26,CRM,1028.0,0.0,188451.30999999994,0.0
2026-03-26,CRML,31008.0,0.0,249631.09,0.0
2026-03-26,CRWD,91.0,0.0,35942.47795918368,0.0
2026-03-26,CRWV,2017.0,0.0,177125.86932121502,0.0
2026-03-26,CSCO,2090.0,0.0,170222.57462978998,0.0
2026-03-26,CVNA,0.0,0.0,0.0,0.0
2026-03-26,DASH,630.0,0.0,8783.028947368422,0.0
2026-03-26,DDOG,162.0,0.0,20036.52,0.0
2026-03-26,DELL,256.0,0.0,46522.88,0.0
2026-03-26,DIA,36.0,0.0,17573.46336,0.0
2026-03-26,DKNG,1675.0,0.0,38484.76707520544,0.0
2026-03-26,DNN,5643.0,0.0,20195.67,0.0
2026-03-26,EOSE,0.0,0.0,0.0,0.0
2026-03-26,ETHA,28942.0,0.0,478899.4163355217,0.0
2026-03-26,ETOR,1488.0,0.0,44505.15,0.0
2026-03-26,EWJ,45.0,0.0,3781.575,0.0
2026-03-26,EWW,544.0,0.0,40964.22,0.0
2026-03-26,EWY,304.0,0.0,39017.0567,0.0
2026-03-26,FCX,369.0,0.0,21072.36,0.0
2026-03-26,FIG,4768.0,0.0,103283.82,0.0
2026-03-26,FIGR,2630.0,0.0,7368.781818181818,0.0
2026-03-26,FXI,5020.0,0.0,181066.38,0.0
2026-03-26,GDX,2099.0,0.0,182557.80602457002,0.0
2026-03-26,GDXJ,288.0,0.0,33170.04,0.0
2026-03-26,GEV,211.0,0.0,193623.51799528304,0.0
2026-03-26,GLW,0.0,0.0,0.0,0.0
2026-03-26,GLXY,4112.0,0.0,88579.56248659606,0.0
2026-03-26,GOOGL,1117.0,0.0,326830.24066266924,0.0
