ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
YINN,FXI,2.973355,500,ols,0.014156,1100000,0.014156,False,False,33.779998779296875,0.014156,1.0,False,,True,False,False,False,False,False,False,False,0.860851,0.369085,0.288827,0.244736,0.369085,0.354929,0.354929,0.74333875,0.8920065,0.74333875,0.8920065
MEXX,EWW,2.955094,500,ols,0.033887,10000,0.033887,False,False,33.869998931884766,0.033887,1.0,False,,True,False,False,False,False,False,False,False,0.74574,0.299133,0.251712,0.183028,0.299133,0.265246,0.265246,0.7387735,0.8865282,0.7387735,0.8865282
KORU,EWY,2.932291,500,ols,0.09885400000000001,450000,0.09885400000000001,False,False,399.4800109863281,0.09885400000000001,1.0,False,,True,False,False,False,False,False,False,False,0.93103,0.387381,0.317196,0.285039,0.387381,0.288527,0.288527,0.73307275,0.8796873000000001,0.73307275,0.8796873000000001
HIBL,SPY,4.469873,500,ols,0.570454,70000,0.570454,False,False,69.19999694824219,0.570454,1.0,False,,False,True,False,False,False,True,False,False,0.810059,0.414562,0.167598,0.217829,0.414562,-0.15589200000000003,-0.15589200000000003,1.0,1.0,1.0,1.0
LABU,XBI,2.987946,500,ols,0.190086,9000,0.190086,False,False,182.22000122070312,0.190086,1.0,False,,True,False,False,False,False,False,False,False,0.792416,0.323703,0.265013,0.208584,0.323703,0.133617,0.133617,0.7469865,0.8963838,0.7469865,0.8963838
SOXL,SOXX,2.96239,500,ols,0.016815,6100000,0.016815,False,False,71.9800033569336,0.016815,1.0,False,,True,False,False,False,False,False,False,False,1.13961,0.554188,0.384387,0.429472,0.554188,0.537373,0.537373,0.7405975,0.888717,0.7405975,0.888717
CHAU,ASHR,1.966904,500,ols,0.045183,100000,0.045183,False,False,21.200000762939453,0.045183,1.0,False,,True,False,False,False,False,False,False,False,0.519268,0.117104,0.263533,0.06604,0.117104,0.071921,0.071921,0.491726,0.5900712,0.5,0.5900712
CWEB,KWEB,1.988153,500,ols,0.016314,950000,0.016314,False,False,27.260000228881836,0.016314,1.0,False,,True,False,False,False,False,False,False,False,0.707928,0.188631,0.3558,0.124353,0.188631,0.172317,0.172317,0.49703825,0.5964459,0.5,0.5964459
ERX,XLE,1.986831,500,ols,0.226679,25000,0.226679,False,False,90.11000061035156,0.226679,1.0,False,,True,False,False,False,False,False,False,False,0.446619,0.109704,0.224482,0.049401,0.109704,-0.116975,-0.116975,0.49670775,0.5960493,0.5,0.5960493
NUGT,GDX,1.977138,500,ols,0.018792,350000,0.018792,False,False,215.07000732421875,0.018792,1.0,False,,True,False,False,False,False,False,False,False,0.777464,0.212495,0.392868,0.149093,0.212495,0.193703,0.193703,0.4942845,0.5931414,0.5,0.5931414
JNUG,GDXJ,1.975197,500,ols,0.041356000000000004,100000,0.041356000000000004,False,False,224.92999267578125,0.041356000000000004,1.0,False,,True,False,False,False,False,False,False,False,0.868747,0.252787,0.43877,0.185416,0.252787,0.21143099999999998,0.21143099999999998,0.49379925,0.5925591,0.5,0.5925591
GUSH,XOP,2.01019,500,ols,0.034595,400000,0.034595,False,False,37.41999816894531,0.034595,1.0,False,,True,False,False,False,False,False,False,False,0.590511,0.149491,0.293553,0.087495,0.149491,0.11489600000000001,0.11489600000000001,0.5025475,0.6030570000000001,0.5025475,0.6030570000000001
URAA,URA,1.927996,447,ols,0.029046,55000,0.029046,False,False,37.939998626708984,0.029046,1.0,False,,True,False,False,False,False,False,False,False,0.882869,0.381611,0.441799,0.174611,0.381611,0.35256499999999996,0.35256499999999996,0.481999,0.5783988,0.5,0.5783988
MSTU,MSTR,1.966036,389,ols,0.21316600000000002,1900000,0.21316600000000002,False,False,4.460000038146973,0.21316600000000002,1.0,False,,True,False,False,False,False,False,False,False,1.709798,1.078192,0.878697,0.733218,1.078192,0.8650260000000001,0.8650260000000001,0.491509,0.5898108,0.5,0.5898108
NVDX,NVDA,1.997822,500,ols,0.12236599999999999,250000,0.12236599999999999,False,False,15.420000076293945,0.12236599999999999,1.0,False,,True,False,False,False,False,False,False,False,0.988649,0.410913,0.494336,0.24357,0.410913,0.288547,0.288547,0.4994555,0.5993466,0.5,0.5993466
TSLT,TSLA,1.992649,500,ols,0.07990599999999999,300000,0.07990599999999999,False,False,14.569999694824219,0.07990599999999999,1.0,False,,True,False,False,False,False,False,False,False,1.247376,0.532219,0.625752,0.387259,0.532219,0.452313,0.452313,0.49816225,0.5977946999999999,0.5,0.5977946999999999
BTCL,IBIT,2.006463,438,ols,0.042524,15000,0.042524,False,False,17.170000076293945,0.042524,1.0,False,,True,False,False,False,False,False,False,False,1.00138,0.427857,0.497628,0.250039,0.427857,0.385333,0.385333,0.50161575,0.6019389,0.50161575,0.6019389
ETU,ETHA,1.989873,363,ols,0.032264,50000,0.032264,False,False,6.579999923706055,0.032264,1.0,False,,True,False,False,False,False,False,False,False,1.513587,0.741336,0.747892,0.550874,0.741336,0.709072,0.709072,0.49746825,0.5969618999999999,0.5,0.5969618999999999
CCUP,CRCL,1.984929,166,ols,0.23146,300000,0.23146,False,False,3.5999999046325684,0.23146,1.0,False,,True,False,False,False,False,False,False,False,1.94066,1.018277,1.184659,1.37185,1.138941,0.7868170000000001,0.907481,0.49623225,0.5954786999999999,0.5,0.5954786999999999
CRWU,CRWV,1.988794,176,ols,0.20358,400000,0.20358,False,False,6.190000057220459,0.20358,1.0,False,,True,False,False,False,False,False,False,False,1.95325,1.110226,1.183206,1.376532,1.190541,0.906646,0.9869610000000001,0.4971985,0.5966382,0.5,0.5966382
AAPX,AAPL,1.99469,500,ols,0.139152,10000,0.139152,False,False,26.809999465942383,0.139152,1.0,False,,True,False,False,False,False,False,False,False,0.568882,0.190738,0.284642,0.080377,0.190738,0.05158599999999999,0.05158599999999999,0.4986725,0.598407,0.5,0.598407
GOOX,GOOGL,1.978393,500,ols,0.017153,90000,0.017153,False,False,67.79000091552734,0.017153,1.0,False,,True,False,False,False,False,False,False,False,0.600212,0.204453,0.301827,0.088168,0.204453,0.1873,0.1873,0.49459825,0.5935179,0.5,0.5935179
MSFX,MSFT,2.007673,500,ols,0.07336999999999999,60000,0.07336999999999999,False,False,15.4399995803833,0.07336999999999999,1.0,False,,True,False,False,False,False,False,False,False,0.48635,0.185962,0.241524,0.059007,0.185962,0.112592,0.112592,0.50191825,0.6023019,0.50191825,0.6023019
NFLU,NFLX,1.991796,382,ols,0.036411,35000,0.036411,False,False,36.040000915527344,0.036411,1.0,False,,True,False,False,False,False,False,False,False,0.690595,0.228938,0.330082,0.107617,0.228938,0.192527,0.192527,0.497949,0.5975387999999999,0.5,0.5975387999999999
ROBN,HOOD,2.011589,297,ols,0.10670199999999999,450000,0.10670199999999999,False,False,17.489999771118164,0.10670199999999999,1.0,False,,True,False,False,False,False,False,False,False,1.512821,0.739727,0.707158,0.508799,0.739727,0.6330250000000001,0.6330250000000001,0.50289725,0.6034767,0.50289725,0.6034767
DJTU,DJT,2.004967,276,ols,0.318157,40000,0.39769624407386417,False,False,1.600000023841858,0.318157,1.2499999813735487,False,,False,True,False,False,True,True,False,False,1.457769,0.821838,0.96881,0.945597,0.821838,0.4241417559261358,0.4241417559261358,0.50124175,0.6014901,0.50124175,0.6014901
RBLU,RBLX,2.018423,276,ols,0.087198,40000,0.087198,False,False,11.180000305175781,0.087198,1.0,False,,True,False,False,False,False,False,False,False,1.127457,0.497174,0.527956,0.286488,0.497174,0.409976,0.409976,0.50460575,0.6055269,0.50460575,0.6055269
SNOU,SNOW,2.012339,240,ols,0.006679000000000001,2000,0.006679000000000001,False,False,13.260000228881836,0.006679000000000001,1.0,False,,True,False,False,False,False,False,False,False,1.012234,0.369004,0.53001,0.286131,0.365058,0.362325,0.358379,0.50308475,0.6037016999999999,0.50308475,0.6037016999999999
SMUP,SMR,1.979067,176,ols,0.141339,500000,0.141339,False,False,7.585000038146973,0.141339,1.0,False,,True,False,False,False,False,False,False,False,1.989587,1.216066,1.124383,1.224818,1.218705,1.0747270000000002,1.077366,0.49476675,0.5937201,0.5,0.5937201
