ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
ORCU,ORCL,2.003735,91,ols,0.139353,150000,0.139353,False,False,9.402000427246094,0.139353,1.0,False,True,False,False,False,False,True,False,False,False,1.079154,0.387849,0.514426,0.266119,0.310077,0.248496,0.170724,0.50093375,0.6011205,0.50093375,0.6011205,0.248496,net_decay_annual,0.139353,ETF_LS,2164.454970943773,-1080.2101929365774,2164.454970943773,-1080.2101929365774,2164.454970943773,0.0,-0.0,2164.454970943773,core_leveraged,0.5,1.0,3234.1310457825025,2157.4278593221447,-1076.7031864603578,2157.4278593221447,-1076.7031864603578,3234.1310457825025,2157.4278593221447,-1076.7031864603578,normal,,3244.66516388035,1.0,0.0,,False,0.0,0.0,haircut,haircut,-10.534118097847568,1.003257171075855,False,False,False,2026-04-04
PALU,PANW,2.004541,255,ols,0.0505619999999999,200000,0.0505619999999999,False,False,13.026000022888184,0.0505619999999999,1.0,False,True,False,False,False,False,True,False,False,False,0.733589,0.245058,0.346632,0.120973,0.245058,0.194496,0.194496,0.50113525,0.6013623,0.50113525,0.6013623,0.194496,net_decay_annual,0.0505619999999999,ETF_LS,1632.2599787652878,-814.2811639997824,1632.2599787652878,-814.2811639997824,3336.362261052822,0.0,-0.0,3336.362261052822,core_leveraged,0.5,1.0,2438.5982112058987,1626.960689466006,-811.6375217398926,1626.960689466006,-811.6375217398926,2438.5982112058987,1626.960689466006,-811.6375217398926,normal,,2446.54114276507,1.0,0.0,,False,0.0,0.0,haircut,haircut,-7.942931559171484,1.0032571710758549,False,False,False,2026-04-04
PLTU,PLTR,1.99191,326,ols,0.071898,150000,0.071898,False,False,45.68000030517578,0.071898,1.0,False,True,False,False,False,False,True,False,False,False,1.285448,0.502838,0.627894,0.38948,0.502838,0.43094,0.43094,0.4979775,0.597573,0.5,0.597573,0.43094,net_decay_annual,0.071898,ETF_LS,6874.806250062336,-3451.3638919742034,6874.806250062336,-3451.3638919742034,23780.262535658083,0.0,-0.0,23780.262535658083,core_leveraged,0.5,1.0,10292.64523568084,6852.486529141926,-3440.158706538913,6852.486529141926,-3440.158706538913,10292.64523568084,6852.486529141926,-3440.158706538913,normal,,10326.17014203654,1.0,0.0,,False,0.0,0.0,haircut,haircut,-33.52490635569848,1.003257171075855,False,False,False,2026-04-04
QCMU,QCOM,2.002478,194,ols,0.032599,9000,0.032599,False,False,14.093999862670898,0.032599,1.0,False,True,False,False,False,False,True,False,False,False,0.642953,0.221453,0.383256,0.147432,0.204416,0.188854,0.171817,0.5006195,0.6007433999999999,0.5006195,0.6007433999999999,0.188854,net_decay_annual,0.032599,ETF_LS,1614.913284921519,-806.4574416905051,1614.913284921519,-806.4574416905051,1614.913284921519,0.0,-0.0,1614.913284921519,core_leveraged,0.5,1.0,2413.5095132342167,1609.670313335261,-803.8391998989557,1609.670313335261,-803.8391998989557,2413.5095132342167,1609.670313335261,-803.8391998989557,normal,,2421.370726612025,1.0,0.0,,False,0.0,0.0,haircut,haircut,-7.861213377807871,1.003257171075855,False,False,False,2026-04-04
SHPU,SHOP,2.011988,165,ols,0.047544,55000,0.047544,False,False,13.699999809265137,0.047544,1.0,False,True,False,False,False,False,True,False,False,False,1.019431,0.349996,0.578347,0.340524,0.346726,0.3024519999999999,0.2991819999999999,0.502997,0.6035964,0.502997,0.6035964,0.3024519999999999,net_decay_annual,0.047544,ETF_LS,3700.615477742001,-1839.2830761127805,3700.615477742001,-1839.2830761127805,3700.615477742001,0.0,-0.0,3700.615477742001,core_leveraged,0.5,1.0,5521.912739396625,3688.601073016605,-1833.3116663800204,3688.601073016605,-1833.3116663800204,5521.912739396625,3688.601073016605,-1833.3116663800204,normal,,5539.898553854781,1.0,0.0,,False,0.0,0.0,haircut,haircut,-17.98581445815671,1.0032571710758549,False,False,False,2026-04-04
SOFA,SOFI,1.99374,35,ols,0.043259,800,0.043259,False,False,13.300000190734863,0.043259,1.0,False,True,False,False,False,False,True,False,True,False,0.84828,0.300122,0.573045,0.325304,0.321806,0.256863,0.278547,0.498435,0.598122,0.5,0.598122,0.256863,net_decay_annual,0.043259,ETF_LS,2776.713053973712,-1392.7157272130328,2776.713053973712,-1392.7157272130328,2776.713053973712,0.0,-0.0,2776.713053973712,core_leveraged,0.5,1.0,4155.892328898687,2767.69818749072,-1388.194141407967,2767.69818749072,-1388.194141407967,4155.892328898687,2767.69818749072,-1388.194141407967,normal,no_locate,4169.428781186744,1.0,0.0,,False,0.0,0.0,haircut,haircut,-13.536452288057262,1.003257171075855,False,False,False,2026-04-04
TSLL,TSLA,1.99386,501,ols,0.061154,2600000,0.061154,False,False,11.369999885559082,0.061154,1.0,False,True,False,False,False,False,True,False,False,False,1.24991,0.499579,0.626789,0.389254,0.499579,0.438425,0.438425,0.498465,0.598158,0.5,0.598158,0.438425,net_decay_annual,0.061154,ETF_LS,7170.930189528288,-3596.50636931795,7170.930189528288,-3596.50636931795,29092.852551169515,0.0,-0.0,29092.852551169515,core_leveraged,0.5,1.0,10732.479038549654,7147.6490737050535,-3584.8299648445995,7147.6490737050535,-3584.8299648445995,10732.479038549654,7147.6490737050535,-3584.8299648445995,normal,,10767.43655884624,1.0,0.0,,False,0.0,0.0,haircut,haircut,-34.957520296584335,1.003257171075855,False,False,False,2026-04-04
YINN,FXI,2.972947,501,ols,0.016626,800000,0.016626,False,False,31.84000015258789,0.016626,1.0,False,True,False,False,False,False,True,False,False,False,0.858973,0.372135,0.288234,0.243648,0.372135,0.3555089999999999,0.3555089999999999,0.74323675,0.8918841,0.74323675,0.8918841,0.3555089999999999,net_decay_annual,0.016626,ETF_LS,4312.973750812141,-1450.7402085580875,4312.973750812141,-1450.7402085580875,4312.973750812141,0.0,-0.0,4312.973750812141,core_leveraged,0.5,1.0,5745.001506632084,4298.971265948761,-1446.0302406833223,4298.971265948761,-1446.0302406833223,5745.001506632084,4298.971265948761,-1446.0302406833223,normal,,5763.713959370229,1.0,0.0,,False,0.0,0.0,haircut,haircut,-18.712452738144748,1.0032571710758549,False,False,False,2026-04-04
MEXX,EWW,2.956326,501,ols,0.0467049999999999,2000,0.0467049999999999,False,False,29.920000076293945,0.0467049999999999,1.0,False,True,False,False,False,False,True,False,False,False,0.742408,0.300959,0.250486,0.181439,0.300959,0.254254,0.254254,0.7390815,0.8868978,0.7390815,0.8868978,0.254254,net_decay_annual,0.0467049999999999,ETF_LS,2261.6617720818804,-765.0244837957249,2261.6617720818804,-765.0244837957249,2261.6617720818804,0.0,-0.0,2261.6617720818804,core_leveraged,0.5,1.0,3016.859827308188,2254.3190692138883,-762.5407580942996,2254.3190692138883,-762.5407580942996,3016.859827308188,2254.3190692138883,-762.5407580942996,normal,,3026.6862558776056,1.0,0.0,,False,0.0,0.0,haircut,haircut,-9.826428569417658,1.003257171075855,False,False,False,2026-04-04
KORU,EWY,2.929706,501,ols,0.118086,250000,0.118086,False,False,282.2099914550781,0.118086,1.0,False,True,False,False,False,False,True,False,False,False,0.908389,0.383679,0.309744,0.271201,0.383679,0.2655929999999999,0.2655929999999999,0.7324265,0.8789117999999999,0.7324265,0.8789117999999999,0.2655929999999999,net_decay_annual,0.118086,ETF_LS,2166.2802490350464,-739.4189891528523,2166.2802490350464,-739.4189891528523,2166.2802490350464,0.0,-0.0,2166.2802490350464,core_leveraged,0.5,1.0,2896.265605629249,2159.247211472218,-737.0183941570309,2159.247211472218,-737.0183941570309,2896.265605629249,2159.247211472218,-737.0183941570309,normal,,2905.6992381878986,1.0,0.0,,False,0.0,0.0,haircut,haircut,-9.433632558649606,1.003257171075855,False,False,False,2026-04-04
LABU,XBI,2.98841,501,ols,0.158423,90000,0.158423,False,False,171.63999938964844,0.158423,1.0,False,True,False,False,False,False,True,False,False,False,0.793637,0.326021,0.265381,0.209245,0.326021,0.167598,0.167598,0.7471025,0.896523,0.7471025,0.896523,0.167598,net_decay_annual,0.158423,ETF_LS,734.8084441277786,-245.886087962421,734.8084441277786,-245.886087962421,734.8084441277786,0.0,-0.0,734.8084441277786,core_leveraged,0.5,1.0,977.5106127958596,732.4228177106353,-245.08779508522431,732.4228177106353,-245.08779508522431,977.5106127958596,732.4228177106353,-245.08779508522431,normal,,980.6945320901996,1.0,0.0,,False,0.0,0.0,haircut,haircut,-3.183919294339944,1.0032571710758549,False,False,False,2026-04-04
SOXL,SOXX,2.96138,501,ols,0.019128,7300000,0.019128,False,False,52.75,0.019128,1.0,False,True,False,False,False,False,True,False,False,False,1.131694,0.549087,0.381841,0.423439,0.549087,0.529959,0.529959,0.740345,0.888414,0.740345,0.888414,0.529959,net_decay_annual,0.019128,ETF_LS,8731.813724712312,-2948.5624015534354,8731.813724712312,-2948.5624015534354,8731.813724712312,0.0,-0.0,8731.813724712312,core_leveraged,0.5,1.0,11642.45465969623,8703.46505009144,-2938.989609604792,8703.46505009144,-2938.989609604792,11642.45465969623,8703.46505009144,-2938.989609604792,normal,,11680.376126265746,1.0,0.0,,False,0.0,0.0,haircut,haircut,-37.92146656951627,1.003257171075855,False,False,False,2026-04-04
CWEB,KWEB,1.987711,501,ols,0.016829,550000,0.016829,False,False,25.989999771118164,0.016829,1.0,False,True,False,False,False,False,True,False,False,False,0.705559,0.190022,0.354687,0.123493,0.190022,0.1731929999999999,0.1731929999999999,0.49692775,0.5963132999999999,0.5,0.5963132999999999,0.1731929999999999,net_decay_annual,0.016829,ETF_LS,1440.5549567891987,-724.7305854770631,1440.5549567891987,-724.7305854770631,1440.5549567891987,0.0,-0.0,1440.5549567891987,core_leveraged,0.5,1.0,2158.255734114805,1435.8780563157122,-722.3776777990926,1435.8780563157122,-722.3776777990926,2158.255734114805,1435.8780563157122,-722.3776777990926,normal,,2165.285542266262,1.0,0.0,,False,0.0,0.0,haircut,haircut,-7.0298081514570185,1.003257171075855,False,False,False,2026-04-04
NUGT,GDX,1.977942,501,ols,0.020033,250000,0.020033,False,False,199.3699951171875,0.020033,1.0,False,True,False,False,False,False,True,False,False,False,0.77761,0.214034,0.392784,0.149212,0.214034,0.194001,0.194001,0.4944855,0.5933826,0.5,0.5933826,0.194001,net_decay_annual,0.020033,ETF_LS,1755.7335843845626,-887.6567585826898,1755.7335843845626,-887.6567585826898,14759.213410894175,0.0,-0.0,14759.213410894175,core_leveraged,0.5,1.0,2634.808321512002,1750.033426127202,-884.7748953848,1750.033426127202,-884.7748953848,2634.808321512002,1750.033426127202,-884.7748953848,normal,,2643.3903429672523,1.0,0.0,,False,0.0,0.0,haircut,haircut,-8.58202145525047,1.0032571710758549,False,False,False,2026-04-04
JNUG,GDXJ,1.974827,501,ols,0.039398,100000,0.039398,False,False,205.3999938964844,0.039398,1.0,False,True,False,False,False,False,True,False,False,False,0.868467,0.251363,0.438715,0.185264,0.251363,0.211965,0.211965,0.49370675,0.5924481,0.5,0.5924481,0.211965,net_decay_annual,0.039398,ETF_LS,1975.8881005707071,-1000.537313177664,1975.8881005707071,-1000.537313177664,1975.8881005707071,0.0,-0.0,1975.8881005707071,core_leveraged,0.5,1.0,2966.7621618458656,1969.473189463315,-997.2889723825504,1969.473189463315,-997.2889723825504,2966.7621618458656,1969.473189463315,-997.2889723825504,normal,,2976.4254137483717,1.0,0.0,,False,0.0,0.0,haircut,haircut,-9.663251902505635,1.003257171075855,False,False,False,2026-04-04
GUSH,XOP,2.010454,501,ols,0.037339,250000,0.037339,False,False,42.15999984741211,0.037339,1.0,False,True,False,False,False,False,True,False,False,False,0.58504,0.148472,0.290791,0.08589,0.148472,0.1111329999999999,0.1111329999999999,0.5026135,0.6031362,0.5026135,0.6031362,0.1111329999999999,net_decay_annual,0.037339,ETF_LS,590.5811030362458,-293.7550936436476,590.5811030362458,-293.7550936436476,590.5811030362458,0.0,-0.0,590.5811030362458,core_leveraged,0.5,1.0,881.4651140061775,588.6637245791417,-292.8013894270357,588.6637245791417,-292.8013894270357,881.4651140061775,588.6637245791417,-292.8013894270357,normal,,884.3361966798935,1.0,0.0,,False,0.0,0.0,haircut,haircut,-2.871082673716046,1.0032571710758549,False,False,False,2026-04-04
