ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual,net_edge_p50_annual,edge_used_for_prod_replay,blended_gross_decay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
FGRU,FIGR,1.972988,8,ols_short_history,0.147006,-0.110706,0.257712,200,0.257712,False,False,False,False,True,False,False,False,False,True,True,False,1.142026,4.289571,0.609444,0.351732,0.351732,net_decay_annual,,0.257712,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,,False,,,1.0,0.0,,False,0.0,0.0,135557.51551999545,89961.12713228738,-45596.38838770807,89961.12713228738,-45596.38838770807,haircut,haircut,135557.51551999545,0.0,normal,False,False,False,135557.51551999545,89961.12713228738,-45596.38838770807,2026-03-02
COPZ,COPX,2.015662,8,ols_short_history,0.039317,-0.003017,0.042334,4000,0.042334,False,False,False,True,False,False,False,True,False,False,False,False,0.366951,0.599361,0.467769,0.425435,0.425435,net_decay_annual,,0.042334,ETF_LS,281829.95385424496,-139820.0461457551,281829.95385424496,-139820.0461457551,281829.95385424496,0.0,-0.0,281829.95385424496,core_leveraged,0.5,1.0,421650.00000000006,0.2514895446783264,1.0,1.0,0.0893120145439834,0.09,primary,,False,,,1.0,0.0,,False,0.0,0.0,253727.70339431547,169591.051675948,-84136.65171836747,169591.051675948,-84136.65171836747,haircut,pair_cap,-167922.2966056846,1.661820898385378,normal,False,False,False,253727.70339431547,169591.051675948,-84136.65171836747,2026-03-02
CLSZ,CLSK,-1.977499,7,ols_short_history,0.040778,-0.0044779999999999,0.045256,1000,0.045256,False,False,False,True,False,False,False,True,False,False,False,False,0.994831,1.208607,0.979297,0.934041,0.934041,net_decay_annual,,0.045256,ETF_LS,-210.48952357826536,-236.53842395904613,-210.48952357826536,-236.53842395904613,0.0,-210.48952357826536,0.0,-210.48952357826536,inverse_decay_bucket4,,,447.0279475373116,,,,,,,,False,,,1.0,0.0,,False,0.0,0.0,447.0279475373115,-210.48952357826536,-236.5384239590461,-210.48952357826536,-236.5384239590461,pair_cap,pair_cap,-5.684341886080803e-14,1.0000000000000002,normal,False,False,False,447.0279475373115,-210.48952357826536,-236.5384239590461,2026-03-02
FCXG,FCX,2.215857,7,ols_short_history,0.034217,0.002083,0.0321339999999999,1000,0.0321339999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.436437,0.69499,0.298018,0.265884,0.265884,net_decay_annual,,0.0321339999999999,ETF_LS,150178.00722675497,-67774.23237454174,150178.00722675497,-67774.23237454174,150178.00722675497,0.0,-0.0,150178.00722675497,core_leveraged,0.5,1.0,217952.23960129672,0.1463982570929358,1.0,1.0,0.0346487711160916,0.0465212891358157,primary,,False,,,1.0,0.0,,False,0.0,0.0,102826.88282048944,70851.92783322185,-31974.95498726761,70851.92783322185,-31974.95498726761,haircut,haircut,-115125.35678080728,2.0,normal,False,False,False,102826.88282048944,70851.92783322185,-31974.95498726761,2026-03-02
BITX,IBIT,2.001861,499,ols,0.04988,-0.01358,0.06346,1600000,0.06346,False,False,False,True,False,False,False,True,False,False,False,False,0.514077,1.02965,0.204938,0.141478,0.141478,net_decay_annual,,0.06346,ETF_LS,57070.41971545424,-28508.682528634225,57070.41971545424,-28508.682528634225,57070.41971545424,0.0,-0.0,57070.41971545424,core_leveraged,0.5,1.0,85579.10224408846,0.0840646623029905,2.0,1.0,0.0136048646776941,0.0182666173413208,primary,BITX,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-85579.10224408846,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-02
ETHU,ETHA,2.000738,402,ols,0.027879,0.008421,0.019458,300000,0.019458,False,False,False,True,False,False,False,True,False,False,False,False,0.755929,1.485677,0.212545,0.193087,0.193087,net_decay_annual,,0.019458,ETF_LS,94927.33509096548,-47446.15991247503,94927.33509096548,-47446.15991247503,94927.33509096548,0.0,-0.0,94927.33509096548,core_leveraged,0.5,1.0,142373.4950034405,0.1147784536351541,2.0,1.0,0.0226337047529144,0.0303892198513213,primary,ETHU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,87520.90354775339,58354.443980889046,-29166.45956686435,58354.443980889046,-29166.45956686435,haircut,haircut,-54852.59145568712,1.6267370334649058,normal,False,False,False,87520.90354775339,58354.443980889046,-29166.45956686435,2026-03-02
BMNG,BMNR,1.992994,85,ols,0.11191,-0.07561,0.18752,850000,0.18752,False,False,False,False,True,False,False,False,False,True,False,False,8.386746,2.245455,0.361747,0.1742269999999999,0.1742269999999999,net_decay_annual,,0.18752,ETF_LS,11856.91558844073,-5949.2981857651,11856.91558844073,-5949.2981857651,290158.85705116554,0.0,-0.0,290158.85705116554,core_leveraged,0.5,1.0,17806.21377420583,0.1038690035186748,2.0,2.0,0.0698621762018181,0.0938006859710151,pair_cap_overflow,BMNU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,160016.40928709804,106552.75072744236,-53463.65855965566,106552.75072744236,-53463.65855965566,haircut,haircut,142210.1955128922,0.1112774236938306,normal,False,False,False,160016.40928709804,106552.75072744236,-53463.65855965566,2026-03-02
BULG,BULL,1.977586,139,ols,0.088391,-0.052091,0.140482,45000,0.140482,False,False,False,False,True,False,False,False,False,True,False,False,2.740254,1.153869,0.330492,0.19001,0.19001,net_decay_annual,,0.140482,ETF_LS,93352.44166921312,-47205.25007216532,93352.44166921312,-47205.25007216532,93352.44166921312,0.0,-0.0,93352.44166921312,core_leveraged,0.5,1.0,140557.69174137845,0.113939661208582,2.0,1.0,0.0223450389803849,0.0300016417804436,primary,BULG,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-140557.69174137845,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-02
FIGG,FIG,1.994697,94,ols,0.008827,0.027473,0.0,550000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.900816,1.34908,0.178965,0.178965,0.178965,net_decay_annual,,0.0,ETF_LS,83359.14541447797,-41790.37989954263,83359.14541447797,-41790.37989954263,83359.14541447797,0.0,-0.0,83359.14541447797,core_leveraged,0.5,1.0,125149.5253140206,0.1066253338277518,1.0,1.0,0.0198955388842318,0.0267128122335156,primary,,False,,,1.0,0.0,,False,0.0,0.0,58722.62877716585,39113.757236183286,-19608.87154098256,39113.757236183286,-19608.87154098256,haircut,haircut,-66426.89653685475,2.0,normal,False,False,False,58722.62877716585,39113.757236183286,-19608.87154098256,2026-03-02
IREG,IREN,1.970626,50,ols,0.074498,-0.0381979999999999,0.1126959999999999,4000,0.1126959999999999,False,False,False,False,True,False,False,False,True,True,False,False,1.07371,2.191696,0.163516,0.05082,0.05082,net_decay_annual,,0.1126959999999999,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-02
NBIG,NBIS,2.008378,85,ols,0.06708,-0.03078,0.09786,300000,0.09786,False,False,False,False,True,False,False,False,True,True,False,False,1.11134,1.857782,0.150007,0.052147,0.052147,net_decay_annual,,0.09786,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-02
OPEG,OPEN,2.007958,53,ols,0.067059,-0.0307589999999999,0.0978179999999999,15000,0.0978179999999999,False,False,False,False,True,False,False,False,True,True,False,False,1.299739,1.652489,0.12631,0.028492,0.028492,net_decay_annual,,0.0978179999999999,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-02
PANG,PANW,1.996915,236,ols,0.072987,-0.036687,0.109674,1000,0.109674,False,False,False,False,True,False,False,False,True,True,False,False,0.340956,0.729534,0.132396,0.022722,0.022722,net_decay_annual,,0.109674,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-02
TERG,TER,2.003259,70,ols,0.069084,-0.032784,0.101868,2000,0.101868,False,False,False,False,True,False,False,False,True,True,False,False,0.543178,1.126581,0.18457,0.082702,0.082702,net_decay_annual,,0.101868,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-02
TSLI,TSLA,1.980177,118,ols,0.036248,5.2e-05,0.036196,4000,0.036196,False,False,False,True,False,False,False,True,False,False,False,False,0.628014,0.887778,0.189714,0.153518,0.153518,net_decay_annual,,0.036196,ETF_LS,64193.37644331247,-32417.99922093452,64193.37644331247,-32417.99922093452,64193.37644331247,0.0,-0.0,64193.37644331247,core_leveraged,0.5,1.0,96611.375664247,0.0919668465033435,1.0,1.0,0.01535871092091,0.0206214249016535,primary,,False,,,1.0,0.0,,False,0.0,0.0,40592.58084380177,26971.718444084647,-13620.862399717118,26971.718444084647,-13620.862399717118,haircut,haircut,-56018.794820445226,2.0,normal,False,False,False,40592.58084380177,26971.718444084647,-13620.862399717118,2026-03-02
