ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,keep_open,_plan_date
SOXL,SOXX,2.960614,501,ols,0.007656,0.028644,0.0,8300000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,1.116963,0.541962,0.376952,0.412397,0.541962,0.541962,0.541962,0.7401535,0.8881842,0.7401535,0.8881842,0.541962,net_decay_annual,0.0,ETF_LS,19068.81457117836,-6440.831047606464,19068.81457117836,-6440.831047606464,19068.81457117836,0.0,-0.0,19068.81457117836,core_leveraged,0.5,1.0,25509.645618784823,1.0,0.0,,False,0.0,0.0,25422.02787501378,19003.31909021077,-6418.708784803009,19003.31909021077,-6418.708784803009,haircut,haircut,-87.61774377104302,1.0034465285067664,False,2026-03-06
CWEB,KWEB,1.987056,501,ols,0.012383,0.023917,0.0,450000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.703049,0.189195,0.353552,0.122583,0.189195,0.189195,0.189195,0.496764,0.5961168,0.5,0.5961168,0.189195,net_decay_annual,0.0,ETF_LS,3628.242952216871,-1825.9389530123317,3628.242952216871,-1825.9389530123317,3628.242952216871,0.0,-0.0,3628.242952216871,core_leveraged,0.5,1.0,5454.181905229203,1.0,0.0,,False,0.0,0.0,5435.4484771058,3615.78105972032,-1819.6674173854792,3615.78105972032,-1819.6674173854792,haircut,haircut,-18.733428123403428,1.0034465285067662,False,2026-03-06
NUGT,GDX,1.980423,501,ols,0.028086,0.008214,0.019872,250000,0.019872,False,False,False,True,False,False,False,True,False,False,False,False,0.750989,0.202888,0.378857,0.139345,0.202888,0.183016,0.183016,0.49510575,0.5941269,0.5,0.5941269,0.183016,net_decay_annual,0.019872,ETF_LS,3266.9825211151274,-1649.6387494566195,3266.9825211151274,-1649.6387494566195,27637.60425602531,0.0,-0.0,27637.60425602531,core_leveraged,0.5,1.0,4916.621270571747,1.0,0.0,,False,0.0,0.0,4899.734196986256,3255.7614464786084,-1643.9727505076482,3255.7614464786084,-1643.9727505076482,haircut,haircut,-16.887073585490725,1.0034465285067662,False,2026-03-06
JNUG,GDXJ,1.97121,501,ols,0.053018,-0.016718,0.069736,100000,0.069736,False,False,False,True,False,False,False,True,False,False,False,False,0.834214,0.231699,0.422105,0.170552,0.231699,0.1619629999999999,0.1619629999999999,0.4928025,0.591363,0.5,0.591363,0.1619629999999999,net_decay_annual,0.069736,ETF_LS,2272.303952453655,-1152.745751317036,2272.303952453655,-1152.745751317036,2272.303952453655,0.0,-0.0,2272.303952453655,core_leveraged,0.5,1.0,3425.049703770691,1.0,0.0,,False,0.0,0.0,3413.285717244469,2264.4992910933493,-1148.78642615112,2264.4992910933493,-1148.78642615112,haircut,haircut,-11.763986526221744,1.0034465285067664,False,2026-03-06
URAA,URA,1.93287,424,ols,0.029436,0.006864,0.022572,55000,0.022572,False,False,False,True,False,False,False,True,False,False,False,False,0.880997,0.370777,0.435648,0.171106,0.370777,0.348205,0.348205,0.4832175,0.579861,0.5,0.579861,0.348205,net_decay_annual,0.022572,ETF_LS,10371.623073450532,-5365.918594344436,10371.623073450532,-5365.918594344436,10371.623073450532,0.0,-0.0,10371.623073450532,core_leveraged,0.5,1.0,15737.541667794969,1.0,0.0,,False,0.0,0.0,15683.48807904501,10335.999755646766,-5347.488323398245,10335.999755646766,-5347.488323398245,haircut,haircut,-54.05358874995909,1.0034465285067664,False,2026-03-06
NVDX,NVDA,1.998099,501,ols,0.120626,-0.084326,0.204952,1200000,0.204952,False,False,False,True,False,False,False,True,False,False,False,False,0.99576,0.412627,0.497821,0.24712,0.412627,0.207675,0.207675,0.49952475,0.5994297,0.5,0.5994297,0.207675,net_decay_annual,0.204952,ETF_LS,2595.360385698532,-1298.9148113774802,2595.360385698532,-1298.9148113774802,28813.23926269043,0.0,-0.0,28813.23926269043,core_leveraged,0.5,1.0,3894.275197076012,1.0,0.0,,False,0.0,0.0,3880.899566089587,2586.4461253961385,-1294.4534406934483,2586.4461253961385,-1294.4534406934483,haircut,haircut,-13.375630986424769,1.0034465285067664,False,2026-03-06
TSLT,TSLA,1.992735,501,ols,0.0810699999999999,-0.04477,0.12584,150000,0.12584,False,False,False,True,False,False,False,True,False,False,False,False,1.249482,0.535408,0.62679,0.388595,0.535408,0.409568,0.409568,0.49818375,0.5978205,0.5,0.5978205,0.409568,net_decay_annual,0.12584,ETF_LS,12173.54856882032,-6108.9651001364045,12173.54856882032,-6108.9651001364045,41591.15363119545,0.0,-0.0,41591.15363119545,core_leveraged,0.5,1.0,18282.513668956723,1.0,0.0,,False,0.0,0.0,18219.718888422503,12131.736194190473,-6087.982694232033,12131.736194190473,-6087.982694232033,haircut,haircut,-62.79478053421917,1.0034465285067664,False,2026-03-06
ETU,ETHA,1.989234,340,ols,0.043334,-0.007034,0.050368,100000,0.050368,False,False,False,True,False,False,False,True,False,False,False,False,1.535736,0.76193,0.756839,0.563588,0.76193,0.711562,0.711562,0.4973085,0.5967701999999999,0.5,0.5967701999999999,0.711562,net_decay_annual,0.050368,ETF_LS,35703.37698995685,-17948.304216576256,35703.37698995685,-17948.304216576256,108535.2748761118,0.0,-0.0,108535.2748761118,core_leveraged,0.5,1.0,53651.6812065331,1.0,0.0,,False,0.0,0.0,53467.40427352161,35580.74693136586,-17886.657342155755,35580.74693136586,-17886.657342155755,haircut,haircut,-184.27693301148972,1.0034465285067662,False,2026-03-06
CCUP,CRCL,1.981521,143,ols,0.198553,-0.162253,0.360806,650000,0.360806,False,False,False,False,True,False,False,False,True,True,False,False,1.931875,0.96295,1.205276,1.412672,1.157473,0.602144,0.796667,0.49538025,0.5944563,0.5,0.5944563,0.602144,net_decay_annual,0.360806,ETF_LS,0.0,0.0,0.0,0.0,47324.304704024544,0.0,-0.0,47324.304704024544,core_leveraged,,,0.0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,True,2026-03-06
CRWU,CRWV,1.989462,153,ols,0.17149,-0.13519,0.30668,200000,0.30668,False,False,False,False,True,False,False,False,True,True,False,False,2.000856,1.178345,1.214791,1.452472,1.286038,0.8716649999999999,0.979358,0.4973655,0.5968386,0.5,0.5968386,0.8716649999999999,net_decay_annual,0.30668,ETF_LS,0.0,0.0,0.0,0.0,103127.90270258916,0.0,-0.0,103127.90270258916,core_leveraged,,,0.0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,True,2026-03-06
