ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,keep_open,_plan_date
OPEX,OPEN,1.994386,115,ols,0.300741,25000,0.300741,False,False,17.809999465942383,0.300741,1.0,False,True,False,False,False,False,False,False,False,1.843016,1.096957,1.297076,1.668265,1.407549,0.7962159999999999,1.106808,0.4985965,0.5983158,0.5,0.5983158,0.7962159999999999,net_decay_annual,0.300741,ETF_LS,15864.652287197148,-7954.654859790004,15864.652287197148,-7954.654859790004,26977.677619038943,0.0,-0.0,26977.677619038943,core_leveraged,0.5,1.0,23819.30714698715,1.0,0.0,,False,0.0,0.0,23819.307146987143,15864.65228719714,-7954.654859790001,15864.65228719714,-7954.654859790001,haircut,haircut,-7.275957614183426e-12,1.0000000000000002,False,2026-04-11
PONX,PONY,2.007175,147,ols,0.295057,50000,0.295057,False,False,7.050000190734863,0.295057,1.0,False,True,False,False,False,False,False,False,False,1.613036,0.82445,1.244068,1.564402,1.132763,0.529393,0.837706,0.50179375,0.6021525,0.50179375,0.6021525,0.529393,net_decay_annual,0.295057,ETF_LS,7086.372513991175,-3530.520514649282,7086.372513991175,-3530.520514649282,7086.372513991175,0.0,-0.0,7086.372513991175,core_leveraged,0.5,1.0,10616.893028640456,1.0,0.0,,False,0.0,0.0,10616.893028640454,7086.372513991172,-3530.5205146492813,7086.372513991172,-3530.5205146492813,haircut,haircut,-3.637978807091713e-12,1.0000000000000004,False,2026-04-11
QBTX,QBTS,1.991778,240,ols,0.078674,80000,0.078674,False,False,7.590000152587891,0.078674,1.0,False,True,False,False,False,False,False,False,False,2.350074,1.364292,1.399935,1.935714,1.391503,1.285618,1.312829,0.4979445,0.5975334,0.5,0.5975334,1.285618,net_decay_annual,0.078674,ETF_LS,42508.56526252352,-21342.01967414216,42508.56526252352,-21342.01967414216,42508.56526252352,0.0,-0.0,42508.56526252352,core_leveraged,0.5,1.0,63850.58493666568,1.0,0.0,,False,0.0,0.0,63850.58493666565,42508.5652625235,-21342.019674142142,42508.5652625235,-21342.019674142142,haircut,haircut,-2.9103830456733704e-11,1.0000000000000004,False,2026-04-11
QUBX,QUBT,1.962765,200,ols,0.252065,30000,0.252065,False,False,7.949999809265137,0.252065,1.0,False,True,False,False,False,False,False,False,False,1.924518,1.227846,1.734908,2.843882,1.561314,0.975781,1.309249,0.49069125,0.5888295,0.5,0.5888295,0.975781,net_decay_annual,0.252065,ETF_LS,24127.63676239661,-12292.67730084682,24127.63676239661,-12292.67730084682,24127.63676239661,0.0,-0.0,24127.63676239661,core_leveraged,0.5,1.0,36420.31406324343,1.0,0.0,,False,0.0,0.0,36420.31406324342,24127.636762396603,-12292.677300846815,24127.636762396603,-12292.677300846815,haircut,haircut,-7.275957614183426e-12,1.0000000000000002,False,2026-04-11
RGTU,RGTI,1.985684,200,ols,0.376162,20000,0.376162,False,False,15.43000030517578,0.376162,1.0,False,False,True,False,False,True,True,False,False,2.089485,1.222208,1.480741,2.145735,1.412777,0.846046,1.0366149999999998,0.496421,0.5957051999999999,0.5,0.5957051999999999,0.846046,net_decay_annual,0.376162,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,True,2026-04-11
SNPX,SNPS,1.921547,100,ols,0.0392039999999999,4000,0.0392039999999999,False,False,21.816999435424805,0.0392039999999999,1.0,False,True,False,False,False,False,False,False,False,0.780516,0.251705,0.483454,0.206942,0.224705,0.212501,0.185501,0.48038675,0.5764640999999999,0.5,0.5764640999999999,0.212501,net_decay_annual,0.0392039999999999,ETF_LS,1748.4807146291168,-909.9338786036026,1748.4807146291168,-909.9338786036026,1748.4807146291168,0.0,-0.0,1748.4807146291168,core_leveraged,0.5,1.0,2658.41459323272,1.0,0.0,,False,0.0,0.0,2658.4145932327187,1748.4807146291162,-909.9338786036022,1748.4807146291162,-909.9338786036022,haircut,haircut,-9.094947017729282e-13,1.0000000000000004,False,2026-04-11
SRPU,SRPT,1.965405,115,ols,0.133359,6000,0.133359,False,False,11.460000038146973,0.133359,1.0,False,True,False,False,False,False,False,False,False,1.955715,1.431101,0.881302,0.736853,1.053673,1.297742,0.920314,0.49135125,0.5896215,0.5,0.5896215,1.297742,net_decay_annual,0.133359,ETF_LS,42652.56116096724,-21701.665133123828,42652.56116096724,-21701.665133123828,42652.56116096724,0.0,-0.0,42652.56116096724,core_leveraged,0.5,1.0,64354.22629409107,1.0,0.0,,False,0.0,0.0,64354.22629409104,42652.56116096723,-21701.66513312382,42652.56116096723,-21701.66513312382,haircut,haircut,-2.9103830456733704e-11,1.0000000000000004,False,2026-04-11
TARK,ARKK,1.977947,500,ols,0.037009,10000,0.037009,False,False,37.15999984741211,0.037009,1.0,False,True,False,False,False,False,False,False,False,0.805977,0.230021,0.406826,0.160073,0.230021,0.193012,0.193012,0.49448675,0.5933841,0.5,0.5933841,0.193012,net_decay_annual,0.037009,ETF_LS,1455.2640269751253,-735.7447024491179,1455.2640269751253,-735.7447024491179,1455.2640269751253,0.0,-0.0,1455.2640269751253,core_leveraged,0.5,1.0,2191.008729424243,1.0,0.0,,False,0.0,0.0,2191.008729424242,1455.2640269751246,-735.7447024491175,1455.2640269751246,-735.7447024491175,haircut,haircut,-9.094947017729282e-13,1.0000000000000004,False,2026-04-11
TEMT,TEM,1.985372,228,ols,0.1015889999999999,200000,0.1015889999999999,False,False,15.899999618530272,0.1015889999999999,1.0,False,True,False,False,False,False,False,False,False,1.320267,0.609546,1.001543,0.981186,0.64494,0.507957,0.5433509999999999,0.496343,0.5956115999999999,0.5,0.5956115999999999,0.507957,net_decay_annual,0.1015889999999999,ETF_LS,7871.243446104725,-3964.61894602358,7871.243446104725,-3964.61894602358,7871.243446104725,0.0,-0.0,7871.243446104725,core_leveraged,0.5,1.0,11835.862392128303,1.0,0.0,,False,0.0,0.0,11835.862392128302,7871.243446104722,-3964.618946023578,7871.243446104722,-3964.618946023578,haircut,haircut,-3.637978807091713e-12,1.0000000000000002,False,2026-04-11
UNX,U,2.028403,142,ols,0.050142,1000,0.050142,False,False,28.709999084472656,0.050142,1.0,False,True,False,False,False,False,False,False,False,1.683322,1.087032,0.738236,0.568431,0.860659,1.03689,0.8105169999999999,0.50710075,0.6085208999999999,0.50710075,0.6085208999999999,1.03689,net_decay_annual,0.050142,ETF_LS,29122.576411638576,-14357.391707485434,29122.576411638576,-14357.391707485434,29122.576411638576,0.0,-0.0,29122.576411638576,core_leveraged,0.5,1.0,43479.96811912401,1.0,0.0,,False,0.0,0.0,43479.968119124,29122.57641163857,-14357.39170748543,29122.57641163857,-14357.39170748543,haircut,haircut,-1.4551915228366852e-11,1.0000000000000004,False,2026-04-11
