ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual,net_edge_p50_annual,edge_used_for_prod_replay,blended_gross_decay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
NEBX,NBIS,1.998839,120,ols,0.060724,-0.024324,0.085048,65000,0.085048,False,False,False,False,True,False,False,False,True,True,False,False,1.111757,1.780032,0.219007,0.133959,0.133959,net_decay_annual,,0.085048,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
SRPU,SRPT,1.953014,88,ols,0.081423,-0.045023,0.126446,8000,0.126446,False,False,False,False,True,False,False,False,False,True,False,False,0.834568,1.780466,0.230771,0.104325,0.104325,net_decay_annual,,0.126446,ETF_LS,27781.556706952244,-14224.965467196982,27781.556706952244,-14224.965467196982,27781.556706952244,0.0,-0.0,27781.556706952244,core_leveraged,0.5,1.0,42006.52217414922,27781.556706952244,-14224.965467196982,27781.556706952244,-14224.965467196982,42006.52217414922,27781.556706952244,-14224.965467196982,normal,,42006.52217414922,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
TEMT,TEM,1.985316,201,ols,0.068896,-0.032496,0.101392,45000,0.101392,False,False,False,False,True,False,False,False,True,True,False,False,1.025093,1.360081,0.169797,0.068405,0.068405,net_decay_annual,,0.101392,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
CRMU,CRML,1.968956,14,ols_short_history,0.111372,-0.074972,0.186344,10000,0.186344,False,False,False,False,True,False,False,False,False,True,False,False,1.573672,2.02763,0.442024,0.2556799999999999,0.2556799999999999,net_decay_annual,,0.186344,ETF_LS,175821.66875902275,-89296.90087489145,175821.66875902275,-89296.90087489145,175821.66875902275,0.0,-0.0,175821.66875902275,core_leveraged,0.5,1.0,265118.5696339142,175821.66875902275,-89296.90087489145,175821.66875902275,-89296.90087489145,265118.5696339142,175821.66875902275,-89296.90087489145,normal,,265118.5696339142,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
UECG,UEC,2.215976,14,ols_short_history,0.040167,-0.003767,0.043934,400,0.043934,False,False,False,True,False,False,False,True,False,False,True,False,0.699545,1.378028,0.340223,0.296289,0.296289,net_decay_annual,,0.043934,ETF_LS,252647.9551339936,-114012.04486600649,252647.9551339936,-114012.04486600649,252647.9551339936,0.0,-0.0,252647.9551339936,core_leveraged,0.5,1.0,366660.0,252647.9551339936,-114012.04486600649,252647.9551339936,-114012.04486600649,366660.0,252647.9551339936,-114012.04486600649,normal,no_locate,366660.0,1.0,0.0,,False,0.0,0.0,pair_cap,pair_cap,0.0,1.0,False,False,False,2026-03-03
RDWU,RDW,2.001926,21,ols_short_history,0.149198,-0.112798,0.261996,4000,0.261996,False,False,False,False,True,False,False,False,False,True,False,False,1.0623,2.328499,0.407115,0.145119,0.145119,net_decay_annual,,0.261996,ETF_LS,32230.736769743253,-16099.864215631971,32230.736769743253,-16099.864215631971,32230.736769743253,0.0,-0.0,32230.736769743253,core_leveraged,0.5,1.0,48330.600985375226,32230.736769743253,-16099.864215631971,32230.736769743253,-16099.864215631971,48330.600985375226,32230.736769743253,-16099.864215631971,normal,,48330.600985375226,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
GDXU,GDX,3.043114,500,ols,0.027771,0.008629,0.019142,40000,0.019142,False,False,False,True,False,False,False,True,False,False,False,False,0.378753,1.155568,0.193079,0.173937,0.173937,net_decay_annual,,0.019142,ETF_LS,99338.0703174907,-32643.558643380005,99338.0703174907,-32643.558643380005,99338.0703174907,0.0,-0.0,99338.0703174907,core_leveraged,0.5,1.0,131981.6289608707,99338.0703174907,-32643.558643380005,99338.0703174907,-32643.558643380005,131981.6289608707,99338.0703174907,-32643.558643380005,normal,,131981.6289608707,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
HUTG,HUT,2.012356,33,ols,0.098962,-0.0625619999999999,0.161524,5000,0.161524,False,False,False,False,True,False,False,False,False,True,False,False,1.005677,2.167423,0.393907,0.232383,0.232383,net_decay_annual,,0.161524,ETF_LS,150080.53949395666,-74579.51748793785,150080.53949395666,-74579.51748793785,150080.53949395666,0.0,-0.0,150080.53949395666,core_leveraged,0.5,1.0,224660.0569818945,150080.53949395666,-74579.51748793785,150080.53949395666,-74579.51748793785,224660.0569818945,150080.53949395666,-74579.51748793785,normal,,224660.0569818945,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
RKTL,RKT,1.935297,33,ols,0.039165,-0.002765,0.0419299999999999,1000,0.0419299999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.565199,1.369207,0.475305,0.4333749999999999,0.4333749999999999,net_decay_annual,,0.0419299999999999,ETF_LS,241745.89420423217,-124914.10579576786,241745.89420423217,-124914.10579576786,241745.89420423217,0.0,-0.0,241745.89420423217,core_leveraged,0.5,1.0,366660.0,241745.89420423217,-124914.10579576786,241745.89420423217,-124914.10579576786,366660.0,241745.89420423217,-124914.10579576786,normal,,366660.0,1.0,0.0,,False,0.0,0.0,pair_cap,pair_cap,0.0,1.0,False,False,False,2026-03-03
CLSZ,CLSK,-1.835789,8,ols_short_history,0.040778,-0.004378,0.045156,1000,0.045156,False,False,False,True,False,False,False,True,False,False,False,False,0.994766,1.285056,2.768742,2.723586,2.723586,net_decay_annual,,0.045156,ETF_LS,-222.1911093962513,-268.9622940765842,-222.1911093962513,-268.9622940765842,0.0,-222.1911093962513,0.0,-222.1911093962513,inverse_decay_bucket4,,,491.1534034728355,-222.1911093962513,-268.9622940765842,-222.1911093962513,-268.9622940765842,491.1534034728355,-222.1911093962513,-268.9622940765842,normal,,491.1534034728355,1.0,0.0,,False,0.0,0.0,pair_cap,pair_cap,0.0,1.0,False,False,False,2026-03-03
