ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
BEX,BE,1.975821,99,ols,0.110363,60000,0.110363,False,False,22.850000381469727,0.110363,1.0,False,True,False,False,False,False,False,False,False,2.127944,1.179639,0.998115,0.960393,1.046525,1.069276,0.936162,0.49395525,0.5927463,0.5,0.5927463,1.069276,net_decay_annual,0.110363,ETF_LS,55158.19605572552,-27916.5957117196,55158.19605572552,-27916.5957117196,55158.19605572552,0.0,-0.0,55158.19605572552,core_leveraged,0.5,1.0,83074.79176744513,0.6416218149216868,1.0,1.0,0.4599794847602559,0.0164385562455193,primary,BEX,False,,,1.0,0.0,,False,0.0,0.0,55288.76559169942,36709.43384032747,-18579.331751371945,36709.43384032747,-18579.331751371945,haircut,haircut,-27786.026175745712,1.5025618835649546,normal,False,False,False,55288.76559169942,36709.43384032747,-18579.331751371945,2026-04-10
CEGX,CEG,1.988365,187,ols,0.096462,20000,0.096462,False,False,15.779999732971191,0.096462,1.0,False,True,False,False,False,False,False,False,False,0.936264,0.324889,0.58454,0.335747,0.32769,0.228427,0.231228,0.49709125,0.5965094999999999,0.5,0.5965094999999999,0.228427,net_decay_annual,0.096462,ETF_LS,3679.807806924309,-1850.670177218121,3679.807806924309,-1850.670177218121,3679.807806924309,0.0,-0.0,3679.807806924309,core_leveraged,0.5,1.0,5530.477984142429,0.1364191545376709,1.0,1.0,0.0306218813132272,0.0010943521069716,primary,CEGX,False,,,1.0,0.0,,False,0.0,0.0,3180.892776090088,2116.4669860376384,-1064.4257900524494,2116.4669860376384,-1064.4257900524494,haircut,haircut,-2349.585208052341,1.7386558973988493,normal,False,False,False,3180.892776090088,2116.4669860376384,-1064.4257900524494,2026-04-10
CLSX,CLSK,1.998611,141,ols,0.14892,100000,0.14892,False,False,11.920000076293944,0.14892,1.0,False,True,False,False,False,False,False,False,False,2.032841,1.239932,0.953742,0.907729,1.093604,1.091012,0.944684,0.49965275,0.5995832999999999,0.5,0.5995832999999999,1.091012,net_decay_annual,0.14892,ETF_LS,56498.21886092472,-28268.74207183125,56498.21886092472,-28268.74207183125,56498.21886092472,-581.9226031072716,581.9226031072716,55916.296257817456,core_leveraged,0.5,1.0,84766.96093275597,0.649057723776434,1.0,1.0,0.4693489106020417,0.0167733969042689,primary,CLSX,False,,,1.0,0.0,,False,0.0,0.0,55934.0599690594,37280.73682409015,-18653.323144969258,37280.73682409015,-18653.323144969258,haircut,haircut,-28832.90096369657,1.515480209726343,normal,False,False,False,55934.0599690594,37280.73682409015,-18653.323144969258,2026-04-10
COZX,CORZ,2.036838,105,ols,0.043053,2000,0.043053,False,False,12.338000297546388,0.043053,1.0,False,True,False,False,False,False,False,False,False,1.448678,0.719355,0.861821,0.784281,0.757228,0.676302,0.714175,0.5092095,0.6110513999999999,0.5092095,0.6110513999999999,0.676302,net_decay_annual,0.043053,ETF_LS,24016.31917311544,-11790.981498339796,24016.31917311544,-11790.981498339796,24016.31917311544,0.0,-0.0,24016.31917311544,core_leveraged,0.5,1.0,35807.30067145523,0.3966644732583841,1.0,1.0,0.1982625940203193,0.0070854264400167,primary,COZX,False,,,1.0,0.0,,False,0.0,0.0,24674.290919486662,16549.29679089414,-8124.994128592523,16549.29679089414,-8124.994128592523,haircut,haircut,-11133.00975196857,1.4511987715592756,normal,False,False,False,24674.290919486662,16549.29679089414,-8124.994128592523,2026-04-10
CRDU,CRDO,1.990462,141,ols,0.09496,100000,0.09496,False,False,19.709999084472656,0.09496,1.0,False,True,False,False,False,False,False,False,False,1.717082,0.975825,0.909419,0.815248,0.905095,0.880865,0.8101349999999999,0.4976155,0.5971386,0.5,0.5971386,0.880865,net_decay_annual,0.09496,ETF_LS,39008.63824269039,-19597.780938641576,39008.63824269039,-19597.780938641576,39008.63824269039,0.0,-0.0,39008.63824269039,core_leveraged,0.5,1.0,58606.41918133196,0.5256466924975707,1.0,1.0,0.3244997661160156,0.0115968381931995,primary,CRDU,False,,,1.0,0.0,,False,0.0,0.0,39085.93963441225,26015.73856367059,-13070.201070741665,26015.73856367059,-13070.201070741665,haircut,haircut,-19520.479546919705,1.4994245943554951,normal,False,False,False,39085.93963441225,26015.73856367059,-13070.201070741665,2026-04-10
CSEX,CLS,1.995424,99,ols,0.055795,75000,0.055795,False,False,17.989999771118164,0.055795,1.0,False,True,False,False,False,False,False,False,False,1.526772,0.635173,0.711426,0.502658,0.554717,0.579378,0.498922,0.498856,0.5986272,0.5,0.5986272,0.579378,net_decay_annual,0.055795,ETF_LS,18693.688299195423,-9368.278771426736,18693.688299195423,-9368.278771426736,18693.688299195423,0.0,-0.0,18693.688299195423,core_leveraged,0.5,1.0,28061.96707062216,0.3450925683100612,1.0,1.0,0.1553772074522651,0.0055528062633207,primary,CSEX,False,,,1.0,0.0,,False,0.0,0.0,18838.41116665836,12549.347859874955,-6289.063306783399,12549.347859874955,-6289.063306783399,haircut,haircut,-9223.555903963805,1.489614321630709,normal,False,False,False,18838.41116665836,12549.347859874955,-6289.063306783399,2026-04-10
DOGD,DDOG,2.013083,165,ols,0.034732,7000,0.034732,False,False,13.585000038146973,0.034732,1.0,False,True,False,False,False,False,False,False,False,1.183566,0.410923,0.485082,0.239942,0.351894,0.376191,0.317162,0.50327075,0.6039249,0.50327075,0.6039249,0.376191,net_decay_annual,0.034732,ETF_LS,8704.17533119387,-4323.803504969179,8704.17533119387,-4323.803504969179,8704.17533119387,0.0,-0.0,8704.17533119387,core_leveraged,0.5,1.0,13027.97883616305,0.2225933267622907,1.0,1.0,0.0721350347684427,0.0025779319852309,primary,DOGD,False,,,1.0,0.0,,False,0.0,0.0,8804.999286648741,5882.743481996582,-2922.255804652159,5882.743481996582,-2922.255804652159,haircut,haircut,-4222.97954951431,1.479611572021105,normal,False,False,False,8804.999286648741,5882.743481996582,-2922.255804652159,2026-04-10
ENPX,ENPH,2.018296,141,ols,0.202192,60000,0.202192,False,False,11.140000343322754,0.202192,1.0,False,True,False,False,False,False,False,False,False,1.639144,0.737146,0.727649,0.544093,0.652111,0.5349539999999999,0.4499189999999999,0.504574,0.6054887999999999,0.504574,0.6054887999999999,0.5349539999999999,net_decay_annual,0.202192,ETF_LS,16077.368673762749,-7965.81307883618,16077.368673762749,-7965.81307883618,16077.368673762749,0.0,-0.0,16077.368673762749,core_leveraged,0.5,1.0,24043.181752598928,0.3159204901883484,1.0,1.0,0.1331254658515018,0.0047575827414378,primary,ENPX,False,,,1.0,0.0,,False,0.0,0.0,14249.075752360844,9528.175034750362,-4720.900717610481,9528.175034750362,-4720.900717610481,haircut,haircut,-9794.106000238084,1.6873502654103976,normal,False,False,False,14249.075752360844,9528.175034750362,-4720.900717610481,2026-04-10
FLYT,FLY,1.991789,114,ols,0.19222,7000,0.19222,False,False,26.100000381469727,0.19222,1.0,False,True,False,False,False,False,False,False,False,2.352004,1.456714,1.09968,1.194443,1.313089,1.264494,1.120869,0.49794725,0.5975367,0.5,0.5975367,1.264494,net_decay_annual,0.19222,ETF_LS,73390.63579291648,-36846.59157818247,73390.63579291648,-36846.59157818247,73390.63579291648,0.0,-0.0,73390.63579291648,core_leveraged,0.5,1.0,110237.22737109895,0.7541960886708964,1.0,1.0,0.6103760475199649,0.0218133662924213,primary,FLYT,False,,,1.0,0.0,,False,0.0,0.0,72091.53632276262,47995.07219285152,-24096.464129911103,47995.07219285152,-24096.464129911103,haircut,haircut,-38145.69104833633,1.5291285634079623,normal,False,False,False,72091.53632276262,47995.07219285152,-24096.464129911103,2026-04-10
GEVX,GEV,1.997479,187,ols,0.046287,25000,0.046287,False,False,63.65999984741211,0.046287,1.0,False,True,False,False,False,False,False,False,False,1.007239,0.318006,0.526463,0.276116,0.307201,0.271719,0.260914,0.49936975,0.5992436999999999,0.5,0.5992436999999999,0.271719,net_decay_annual,0.046287,ETF_LS,4963.453626670766,-2484.85897807725,4963.453626670766,-2484.85897807725,4963.453626670766,0.0,-0.0,4963.453626670766,core_leveraged,0.5,1.0,7448.312604748016,0.1617179922891415,2.0,1.0,0.0412408014678635,0.0014738466757775,primary,GEVX,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,6703.132357656979,4466.875704096778,-2236.2566535602014,4466.875704096778,-2236.2566535602014,haircut,haircut,-745.180247091037,1.1111689591269698,normal,False,False,False,6703.132357656979,4466.875704096778,-2236.2566535602014,2026-04-10
JOBX,JOBY,1.978841,146,ols,0.215498,25000,0.215498,False,False,18.420000076293945,0.215498,1.0,False,True,False,False,False,False,False,False,False,1.432001,0.706844,0.813464,0.64087,0.679093,0.491346,0.4635949999999999,0.49471025,0.5936523,0.5,0.5936523,0.491346,net_decay_annual,0.215498,ETF_LS,14124.824597331355,-7137.928008026596,14124.824597331355,-7137.928008026596,14124.824597331355,0.0,-0.0,14124.824597331355,core_leveraged,0.5,1.0,21262.752605357957,0.294495897940592,1.0,1.0,0.1177304183364807,0.0042074009118938,primary,JOBX,False,,,1.0,0.0,,False,0.0,0.0,12099.365744383676,8037.596168772329,-4061.769575611345,8037.596168772329,-4061.769575611345,haircut,haircut,-9163.38686097428,1.7573443975960286,normal,False,False,False,12099.365744383676,8037.596168772329,-4061.769575611345,2026-04-10
LABX,ALAB,1.9959,165,ols,0.040004,70000,0.040004,False,False,20.600000381469727,0.040004,1.0,False,True,False,False,False,False,False,False,False,1.776919,0.969829,0.908866,0.820964,0.918435,0.929825,0.878431,0.498975,0.59877,0.5,0.59877,0.929825,net_decay_annual,0.040004,ETF_LS,42767.34111919913,-21427.597133723702,42767.34111919913,-21427.597133723702,42767.34111919913,0.0,-0.0,42767.34111919913,core_leveraged,0.5,1.0,64194.93825292284,0.5537288292757814,1.0,1.0,0.355443016991916,0.0127026752724506,primary,LABX,False,,,1.0,0.0,,False,0.0,0.0,44135.484338279886,29403.52254440162,-14731.96179387826,29403.52254440162,-14731.96179387826,haircut,haircut,-20059.453914642952,1.4544971968789489,normal,False,False,False,44135.484338279886,29403.52254440162,-14731.96179387826,2026-04-10
