ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,keep_open,_plan_date
PLTU,PLTR,1.991989,320,ols,0.091109,-0.054709,0.145818,10000,0.145818,False,False,False,True,False,False,False,False,True,False,False,False,1.284374,0.504328,0.626131,0.387342,0.504328,0.35851,0.35851,0.49799725,0.5975967,0.5,0.5975967,0.35851,net_decay_annual,0.145818,ETF_LS,6244.598274103337,-3134.855801966445,6244.598274103337,-3134.855801966445,25721.403418065634,0.0,-0.0,25721.403418065634,core_leveraged,0.5,1.0,9379.454076069782,1.0,0.0,,False,0.0,0.0,9335.964100807803,6215.643771820029,-3120.320328987775,6215.643771820029,-3120.320328987775,haircut,haircut,-43.48997526197854,1.0046583271735392,False,2026-03-26
QCMU,QCOM,2.002794,188,ols,0.032473,0.003927,0.028546,10000,0.028546,False,False,False,True,False,False,False,False,True,False,False,False,0.647596,0.234753,0.38303,0.147327,0.21255,0.2062069999999999,0.184004,0.5006985,0.6008382,0.5006985,0.6008382,0.2062069999999999,net_decay_annual,0.028546,ETF_LS,2684.7856713171645,-1340.5201290383156,2684.7856713171645,-1340.5201290383156,2684.7856713171645,0.0,-0.0,2684.7856713171645,core_leveraged,0.5,1.0,4025.30580035548,1.0,0.0,,False,0.0,0.0,4006.641553133886,2672.337051015564,-1334.3045021183225,2672.337051015564,-1334.3045021183225,haircut,haircut,-18.664247221594,1.004658327173539,False,2026-03-26
SOFA,SOFI,1.989267,29,ols_short_history,0.043823,-0.007423,0.051246,7000,0.051246,False,False,False,True,False,False,False,False,True,False,False,False,0.799593,0.325578,0.571446,0.321312,0.321803,0.2743319999999999,0.270557,0.49731675,0.5967800999999999,0.5,0.5967800999999999,0.2743319999999999,net_decay_annual,0.051246,ETF_LS,4340.178644632922,-2181.797940966659,4340.178644632922,-2181.797940966659,4340.178644632922,0.0,-0.0,4340.178644632922,core_leveraged,0.5,1.0,6521.976585599581,1.0,0.0,,False,0.0,0.0,6491.735955594195,4320.05441774756,-2171.6815378466345,4320.05441774756,-2171.6815378466345,haircut,haircut,-30.240630005386265,1.0046583271735392,False,2026-03-26
TSLL,TSLA,1.993277,500,ols,0.055448,-0.019048,0.074496,3800000,0.074496,False,False,False,True,False,False,False,False,True,False,False,False,1.245581,0.499126,0.624777,0.386419,0.499126,0.42463,0.42463,0.49831925,0.5979831,0.5,0.5979831,0.42463,net_decay_annual,0.074496,ETF_LS,9363.555701063304,-4697.568727810186,9363.555701063304,-4697.568727810186,44039.59311483126,0.0,-0.0,44039.59311483126,core_leveraged,0.5,1.0,14061.124428873489,1.0,0.0,,False,0.0,0.0,13995.926822636737,9320.139442238353,-4675.787380398386,9320.139442238353,-4675.787380398386,haircut,haircut,-65.19760623675211,1.004658327173539,False,2026-03-26
YINN,FXI,2.973363,500,ols,0.01934,0.01706,0.00228,950000,0.00228,False,False,False,True,False,False,False,False,True,False,False,False,0.855652,0.369711,0.287077,0.241781,0.369711,0.367431,0.367431,0.74334075,0.8920089,0.74334075,0.8920089,0.367431,net_decay_annual,0.00228,ETF_LS,6528.23000475404,-2195.571144442855,6528.23000475404,-2195.571144442855,6528.23000475404,0.0,-0.0,6528.23000475404,core_leveraged,0.5,1.0,8723.801149196895,1.0,0.0,,False,0.0,0.0,8683.351258074024,6497.960379346351,-2185.3908787276737,6497.960379346351,-2185.3908787276737,haircut,haircut,-40.44989112287112,1.0046583271735392,False,2026-03-26
MEXX,EWW,2.956382,500,ols,0.066247,-0.029847,0.096094,1000,0.096094,False,False,False,True,False,False,False,False,True,False,False,False,0.735877,0.298573,0.248259,0.178236,0.298573,0.2024789999999999,0.2024789999999999,0.7390955,0.8869146,0.7390955,0.8869146,0.2024789999999999,net_decay_annual,0.096094,ETF_LS,1854.9547216260012,-627.4408116495099,1854.9547216260012,-627.4408116495099,1854.9547216260012,0.0,-0.0,1854.9547216260012,core_leveraged,0.5,1.0,2482.3955332755118,1.0,0.0,,False,0.0,0.0,2470.8853409490694,1846.3538015403192,-624.5315394087501,1846.3538015403192,-624.5315394087501,haircut,haircut,-11.510192326441938,1.004658327173539,False,2026-03-26
KORU,EWY,2.929236,500,ols,0.11618,-0.07978,0.19596,90000,0.19596,False,False,False,True,False,False,False,False,True,False,False,False,0.884757,0.368297,0.301725,0.257236,0.368297,0.1723369999999999,0.1723369999999999,0.732309,0.8787708,0.732309,0.8787708,0.1723369999999999,net_decay_annual,0.19596,ETF_LS,976.3814359422092,-333.3228991935813,976.3814359422092,-333.3228991935813,976.3814359422092,0.0,-0.0,976.3814359422092,core_leveraged,0.5,1.0,1309.7043351357906,1.0,0.0,,False,0.0,0.0,1303.631592663403,971.8542210157332,-331.7773716476696,971.8542210157332,-331.7773716476696,haircut,haircut,-6.072742472387745,1.004658327173539,False,2026-03-26
LABU,XBI,2.98818,500,ols,0.188776,-0.152376,0.341152,65000,0.341152,False,False,False,False,True,False,False,True,False,True,False,False,0.779157,0.322795,0.260552,0.201661,0.322795,-0.018357,-0.018357,0.747045,0.896454,0.747045,0.896454,-0.018357,net_decay_annual,0.341152,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,True,2026-03-26
SOXL,SOXX,2.960528,500,ols,0.03331,0.00309,0.03022,7700000,0.03022,False,False,False,True,False,False,False,False,True,False,False,False,1.114699,0.538098,0.376205,0.410735,0.538098,0.5078779999999999,0.5078779999999999,0.740132,0.8881584,0.740132,0.8881584,0.5078779999999999,net_decay_annual,0.03022,ETF_LS,11260.081316074677,-3803.403080827026,11260.081316074677,-3803.403080827026,11260.081316074677,0.0,-0.0,11260.081316074677,core_leveraged,0.5,1.0,15063.4843969017,1.0,0.0,,False,0.0,0.0,14993.6391203571,11207.8713842479,-3785.7677361092,11207.8713842479,-3785.7677361092,haircut,haircut,-69.84527654459998,1.0046583271735392,False,2026-03-26
CWEB,KWEB,1.987208,500,ols,0.016898,0.019502,0.0,450000,0.0,False,False,False,True,False,False,False,False,True,False,False,False,0.703566,0.195079,0.353772,0.122763,0.195079,0.195079,0.195079,0.496802,0.5961624,0.5,0.5961624,0.195079,net_decay_annual,0.0,ETF_LS,2599.7272225825304,-1308.231057132686,2599.7272225825304,-1308.231057132686,2599.7272225825304,0.0,-0.0,2599.7272225825304,core_leveraged,0.5,1.0,3907.958279715216,1.0,0.0,,False,0.0,0.0,3889.8381410023153,2587.6729951529755,-1302.1651458493402,2587.6729951529755,-1302.1651458493402,haircut,haircut,-18.12013871290037,1.0046583271735392,False,2026-03-26
