ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
ONDG,ONDS,2.001001,63,ols,0.255588,40000,0.255588,False,False,6.38700008392334,0.255588,1.0,False,True,False,False,False,False,False,False,False,1.973068,1.162394,1.273711,1.624776,1.509181,0.906806,1.253593,0.50025025,0.6003003,0.50025025,0.6003003,0.906806,net_decay_annual,0.255588,ETF_LS,21936.94697702432,-10962.986513762022,21936.94697702432,-10962.986513762022,21936.94697702432,0.0,-0.0,21936.94697702432,core_leveraged,0.5,1.0,32899.933490786345,21936.94697702432,-10962.986513762022,21936.94697702432,-10962.986513762022,32899.933490786345,21936.94697702432,-10962.986513762022,normal,,32899.933490786345,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
PLUL,PLUG,1.944568,63,ols,,0,0.0,False,True,19.30500030517578,,1.0,False,False,False,False,False,False,False,True,False,1.861492,0.981347,1.152872,1.220643,1.160819,0.981347,1.160819,0.486142,1.0,0.5,1.0,0.981347,net_decay_annual,,ETF_LS,28965.96717484189,-14895.836594473369,28965.96717484189,-14895.836594473369,28965.96717484189,0.0,-0.0,28965.96717484189,core_leveraged,0.5,1.0,43861.80376931527,28965.96717484189,-14895.83659447337,28965.96717484189,-14895.83659447337,43861.80376931527,28965.96717484189,-14895.83659447337,normal,no_locate,43861.80376931526,1.0,0.0,,False,0.0,0.0,haircut,haircut,7.275957614183426e-12,1.0,False,False,False,2026-04-16
UUUG,UUUU,1.996354,63,ols,0.1024119999999999,40000,0.1024119999999999,False,False,13.217000007629396,0.1024119999999999,1.0,False,True,False,False,False,False,False,False,False,2.012097,1.16411,0.942364,0.883199,0.953427,1.061698,0.8510150000000001,0.4990885,0.5989061999999999,0.5,0.5989061999999999,1.061698,net_decay_annual,0.1024119999999999,ETF_LS,31508.651648522744,-15783.098412667665,31508.651648522744,-15783.098412667665,31508.651648522744,0.0,-0.0,31508.651648522744,core_leveraged,0.5,1.0,47291.75006119042,31508.651648522748,-15783.098412667669,31508.651648522748,-15783.098412667669,47291.75006119042,31508.651648522748,-15783.098412667669,normal,,47291.75006119041,1.0,0.0,,False,0.0,0.0,haircut,haircut,7.275957614183426e-12,1.0,False,False,False,2026-04-16
HUTG,HUT,1.999452,63,ols,,0,0.0,False,True,14.529999732971191,,1.0,False,False,False,False,False,False,False,True,False,2.136451,1.307959,0.985394,0.970203,1.054642,1.307959,1.054642,0.499863,1.0,0.5,1.0,1.307959,net_decay_annual,,ETF_LS,47341.26384630708,-23677.119453883904,47341.26384630708,-23677.119453883904,47341.26384630708,0.0,-0.0,47341.26384630708,core_leveraged,0.5,1.0,71018.383300191,47341.26384630709,-23677.119453883908,47341.26384630709,-23677.119453883908,71018.383300191,47341.26384630709,-23677.119453883908,normal,no_locate,71018.38330019098,1.0,0.0,,False,0.0,0.0,haircut,haircut,1.4551915228366852e-11,0.9999999999999998,False,False,False,2026-04-16
XPEG,XPEV,1.991161,61,ols,0.09516,5000,0.09516,False,False,9.914999961853027,0.09516,1.0,False,True,False,False,False,False,False,False,False,1.044752,0.436544,0.58471,0.337366,0.361373,0.341384,0.266213,0.49779025,0.5973482999999999,0.5,0.5973482999999999,0.341384,net_decay_annual,0.09516,ETF_LS,3983.158612558388,-2000.420163190414,3983.158612558388,-2000.420163190414,3983.158612558388,0.0,-0.0,3983.158612558388,core_leveraged,0.5,1.0,5983.5787757488015,3983.158612558388,-2000.420163190414,3983.158612558388,-2000.420163190414,5983.5787757488015,3983.158612558388,-2000.420163190414,normal,,5983.5787757488015,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
ORLG,ORLY,2.005424,61,ols,,0,0.0,False,True,13.904000282287598,,1.0,False,False,False,False,False,False,False,True,False,0.499162,0.174686,0.211441,0.045072,0.076447,0.174686,0.076447,0.501356,1.0,0.501356,1.0,0.174686,net_decay_annual,,ETF_LS,1395.120651787837,-695.6736589308979,1395.120651787837,-695.6736589308979,1395.120651787837,0.0,-0.0,1395.120651787837,core_leveraged,0.5,1.0,2090.794310718735,1395.120651787837,-695.6736589308979,1395.120651787837,-695.6736589308979,2090.794310718735,1395.120651787837,-695.6736589308979,normal,no_locate,2090.794310718735,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
LUNL,LUNR,1.989078,63,ols,0.494133,35000,0.494133,False,False,18.34000015258789,0.494133,1.0,False,False,True,False,False,True,True,False,False,2.595218,1.995025,1.023403,1.030257,1.271449,1.500892,0.7773160000000001,0.4972695,0.5967233999999999,0.5,0.5967233999999999,1.500892,net_decay_annual,0.494133,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-04-16
RKTL,RKT,1.953833,63,ols,0.042328,5000,0.042328,False,False,15.0,0.042328,1.0,False,True,False,False,False,False,False,False,False,1.207564,0.729736,0.573346,0.306312,0.412168,0.687408,0.3698399999999999,0.48845825,0.5861499,0.5,0.5861499,0.687408,net_decay_annual,0.042328,ETF_LS,15089.853412209475,-7723.205316017017,15089.853412209475,-7723.205316017017,15089.853412209475,0.0,-0.0,15089.853412209475,core_leveraged,0.5,1.0,22813.05872822649,15089.853412209472,-7723.205316017015,15089.853412209472,-7723.205316017015,22813.05872822649,15089.853412209472,-7723.205316017015,normal,,22813.058728226493,1.0,0.0,,False,0.0,0.0,haircut,haircut,-3.637978807091713e-12,1.0000000000000002,False,False,False,2026-04-16
EOSU,EOSE,1.969134,62,ols,,0,0.0,False,True,43.137001037597656,,1.0,False,False,False,False,False,False,False,True,False,2.785698,3.848482,1.183491,1.336469,1.954504,3.848482,1.954504,0.4922835,1.0,0.5,1.0,3.848482,net_decay_annual,,ETF_LS,243169.4468622837,-123490.55313771626,243169.4468622837,-123490.55313771626,243169.4468622837,0.0,-0.0,243169.4468622837,core_leveraged,0.5,1.0,366660.0,243169.4468622837,-123490.55313771626,243169.4468622837,-123490.55313771626,366660.0,243169.4468622837,-123490.55313771626,normal,no_locate,366660.0,1.0,0.0,,False,0.0,0.0,pair_cap,pair_cap,0.0,1.0,False,False,False,2026-04-16
BTFL,KEEL,2.04909,72,ols,0.043128,10000,0.043128,False,False,35.6609992980957,0.043128,1.0,False,True,False,False,False,False,False,False,False,2.175082,1.347758,1.064588,1.218167,1.255193,1.30463,1.212065,0.5122725,0.614727,0.5122725,0.614727,1.30463,net_decay_annual,0.043128,ETF_LS,45975.875479150025,-22437.21626631823,45975.875479150025,-22437.21626631823,45975.875479150025,0.0,-0.0,45975.875479150025,core_leveraged,0.5,1.0,68413.09174546825,45975.87547915002,-22437.216266318228,45975.87547915002,-22437.216266318228,68413.09174546825,45975.87547915002,-22437.216266318228,normal,,68413.09174546826,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1.4551915228366852e-11,1.0000000000000002,False,False,False,2026-04-16
