ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
NVDX,NVDA,1.997776,500,ols,0.096582,-0.060182,0.156764,15000,0.156764,False,False,False,True,False,False,False,True,False,False,False,False,0.985998,0.408141,0.493017,0.242255,0.408141,0.2513769999999999,0.2513769999999999,0.499444,0.5993328,0.5,0.5993328,0.2513769999999999,net_decay_annual,0.156764,ETF_LS,4039.4268460209546,-2021.961844581652,4039.4268460209546,-2021.961844581652,27569.43067727459,0.0,-0.0,27569.43067727459,core_leveraged,0.5,1.0,5868.832422459127,3911.1036186862207,-1957.7288037729056,3911.1036186862207,-1957.7288037729056,5868.832422459127,3911.1036186862207,-1957.7288037729056,normal,,6061.388690602607,1.0,0.0,,False,0.0,0.0,haircut,haircut,-192.55626814348037,1.0328099789332197,False,False,False,2026-03-18
TSLT,TSLA,1.992919,500,ols,0.0898509999999999,-0.053451,0.1433019999999999,55000,0.1433019999999999,False,False,False,True,False,False,False,True,False,False,False,False,1.245519,0.530833,0.62474,0.386164,0.530833,0.387531,0.387531,0.49822975,0.5978757,0.5,0.5978757,0.387531,net_decay_annual,0.1433019999999999,ETF_LS,9790.817066040265,-4912.802309597261,9790.817066040265,-4912.802309597261,43011.41206834121,0.0,-0.0,43011.41206834121,core_leveraged,0.5,1.0,14236.51947168904,9479.785503382836,-4756.7339683062055,9479.785503382836,-4756.7339683062055,14236.51947168904,9479.785503382836,-4756.7339683062055,normal,,14703.619375637529,1.0,0.0,,False,0.0,0.0,haircut,haircut,-467.0999039484868,1.0328099789332197,False,False,False,2026-03-18
BTCL,IBIT,2.006408,423,ols,0.041488,-0.005088,0.046576,30000,0.046576,False,False,False,True,False,False,False,True,False,False,False,False,1.010288,0.430719,0.507581,0.26012,0.430719,0.384143,0.384143,0.501602,0.6019224,0.501602,0.6019224,0.384143,net_decay_annual,0.046576,ETF_LS,10795.774303562725,-5380.647557008707,10795.774303562725,-5380.647557008707,30316.95282471813,0.0,-0.0,30316.95282471813,core_leveraged,0.5,1.0,15662.534435695436,10452.817579002853,-5209.716856692584,10452.817579002853,-5209.716856692584,15662.534435695436,10452.817579002853,-5209.716856692584,normal,,16176.42186057143,1.0,0.0,,False,0.0,0.0,haircut,haircut,-513.8874248759948,1.0328099789332197,False,False,False,2026-03-18
ETU,ETHA,1.989711,348,ols,0.03172,0.00468,0.0270399999999999,55000,0.0270399999999999,False,False,False,True,False,False,False,True,False,False,False,False,1.53369,0.754243,0.756148,0.562966,0.754243,0.727203,0.727203,0.49742775,0.5969133,0.5,0.5969133,0.727203,net_decay_annual,0.0270399999999999,ETF_LS,34363.357801973885,-17270.52712779589,34363.357801973885,-17270.52712779589,101090.72048446962,0.0,-0.0,101090.72048446962,core_leveraged,0.5,1.0,49993.59609509386,33271.71358033111,-16721.882514762754,33271.71358033111,-16721.882514762754,49993.59609509386,33271.71358033111,-16721.882514762754,normal,,51633.88492976977,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1640.2888346759064,1.0328099789332192,False,False,False,2026-03-18
CRWU,CRWV,1.989292,161,ols,0.184751,-0.148351,0.333102,100000,0.333102,False,False,False,False,True,False,False,False,True,True,False,False,1.974577,1.138088,1.200645,1.418477,1.23934,0.804986,0.906238,0.497323,0.5967876,0.5,0.5967876,0.804986,net_decay_annual,0.333102,ETF_LS,0.0,0.0,0.0,0.0,93144.06088051746,0.0,-0.0,93144.06088051746,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-18
GOOX,GOOGL,1.982274,500,ols,0.042512,-0.0061119999999999,0.048624,35000,0.048624,False,False,False,True,False,False,False,True,False,False,False,False,0.590214,0.199103,0.296243,0.08544,0.199103,0.150479,0.150479,0.4955685,0.5946822,0.5,0.5946822,0.150479,net_decay_annual,0.048624,ETF_LS,1916.622295139528,-966.8806104199158,1916.622295139528,-966.8806104199158,3702.565980249994,0.0,-0.0,3702.565980249994,core_leveraged,0.5,1.0,2791.90070233228,1855.735647634999,-936.1650546972814,1855.735647634999,-936.1650546972814,2791.90070233228,1855.735647634999,-936.1650546972814,normal,,2883.502905559444,1.0,0.0,,False,0.0,0.0,haircut,haircut,-91.6022032271635,1.0328099789332197,False,False,False,2026-03-18
NFLU,NFLX,1.988874,367,ols,0.0580689999999999,-0.021669,0.079738,40000,0.079738,False,False,False,True,False,False,False,True,False,False,False,False,0.693285,0.230671,0.328855,0.106347,0.230671,0.1509329999999999,0.1509329999999999,0.4972185,0.5966622,0.5,0.5966622,0.1509329999999999,net_decay_annual,0.079738,ETF_LS,1740.1561994754788,-874.9454211154043,1740.1561994754788,-874.9454211154043,1740.1561994754788,0.0,-0.0,1740.1561994754788,core_leveraged,0.5,1.0,2532.025904021569,1684.8754707742764,-847.1504332472928,1684.8754707742764,-847.1504332472928,2532.025904021569,1684.8754707742764,-847.1504332472928,normal,,2615.101620590883,1.0,0.0,,False,0.0,0.0,haircut,haircut,-83.07571656931395,1.0328099789332197,False,False,False,2026-03-18
ROBN,HOOD,2.012079,282,ols,0.086322,-0.049922,0.136244,55000,0.136244,False,False,False,True,False,False,False,True,False,False,False,False,1.531049,0.7536,0.705638,0.506983,0.7536,0.617356,0.617356,0.50301975,0.6036237,0.50301975,0.6036237,0.617356,net_decay_annual,0.136244,ETF_LS,23636.18064607365,-11747.143450169528,23636.18064607365,-11747.143450169528,45641.41532196659,0.0,-0.0,45641.41532196659,core_leveraged,0.5,1.0,34259.27790975675,22885.31397662061,-11373.963933136132,22885.31397662061,-11373.963933136132,34259.27790975675,22885.31397662061,-11373.963933136132,normal,,35383.32409624318,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1124.0461864864335,1.0328099789332197,False,False,False,2026-03-18
RBLU,RBLX,2.01903,261,ols,0.0622,-0.0258,0.088,15000,0.088,False,False,False,True,False,False,False,True,False,False,False,False,1.126171,0.497751,0.520915,0.279147,0.497751,0.409751,0.409751,0.5047575,0.6057089999999999,0.5047575,0.6057089999999999,0.409751,net_decay_annual,0.088,ETF_LS,11550.847325142058,-5720.988457398878,11550.847325142058,-5720.988457398878,11550.847325142058,0.0,-0.0,11550.847325142058,core_leveraged,0.5,1.0,16723.149596580068,11183.903680978014,-5539.245915602053,11183.903680978014,-5539.245915602053,16723.149596580068,11183.903680978014,-5539.245915602053,normal,,17271.835782540937,1.0,0.0,,False,0.0,0.0,haircut,haircut,-548.6861859608689,1.0328099789332197,False,False,False,2026-03-18
SNOU,SNOW,2.020582,225,ols,0.020481,0.015919,0.0045619999999999,10000,0.0045619999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.987285,0.363056,0.518789,0.277508,0.35389,0.358494,0.3493279999999999,0.5051455,0.6061746,0.5051455,0.6061746,0.358494,net_decay_annual,0.0045619999999999,ETF_LS,10009.860330136038,-4953.949075135796,10009.860330136038,-4953.949075135796,10009.860330136038,0.0,-0.0,10009.860330136038,core_leveraged,0.5,1.0,14488.44386721343,9691.870270729894,-4796.573596483535,9691.870270729894,-4796.573596483535,14488.44386721343,9691.870270729894,-4796.573596483535,normal,,14963.809405271835,1.0,0.0,,False,0.0,0.0,haircut,haircut,-475.365538058406,1.0328099789332197,False,False,False,2026-03-18
