date,source,n_pairs,gross_sum,ok,error
2026-06-13,archived_only,246,2181066.352460035,True,
2026-06-14,archived_only,251,2208448.6951816543,True,
2026-06-16,archived_only,254,2188392.6591911823,True,
2026-06-17,archived_only,254,2166284.304700611,True,
2026-06-18,archived_only,254,1945399.5117083015,True,
2026-06-19,archived_only,253,2127879.4545430844,True,
2026-06-20,archived_only,254,2129969.2865846646,True,
2026-06-22,archived_only,256,2377188.7890038276,True,
2026-06-23,archived_only,260,2229447.9323757906,True,
2026-06-24,archived_only,242,2306758.1829370824,True,
2026-06-25,recompute_mirror,238,2680408.7915231716,True,
2026-06-26,archived_only,235,2561556.3561156783,True,
2026-06-27,archived_only,234,2482750.596092183,True,
2026-06-29,archived_only,237,2902045.1211597607,True,
2026-06-30,recompute_mirror,227,2341121.4409198393,True,
2026-07-01,recompute_mirror,249,2529488.841240349,True,
2026-07-02,recompute_mirror,249,2781655.517098586,True,
2026-07-03,recompute_mirror,246,2785133.8544796007,True,
2026-07-04,recompute_mirror,245,2785154.155591215,True,
2026-07-05,recompute_mirror,244,2785384.003713532,True,
2026-07-06,recompute_mirror,245,2529337.3084230083,True,
2026-07-07,recompute_mirror,248,2910948.5922969133,True,
2026-07-08,recompute_mirror,248,2626228.37897739,True,
2026-07-09,recompute_mirror,248,2539304.232067252,True,
2026-07-10,recompute_mirror,251,2810280.821428242,True,
2026-07-11,recompute_mirror,252,2685434.2633371935,True,
