symbol,underlying,bucket,leg_class,total_pnl
CRDO,CRDO,bucket_1,spot,5406.007129
CRM,CRM,bucket_1,spot,-1302.917599
CRML,CRML,bucket_1,spot,1073.443642
CRWD,CRWD,bucket_1,spot,-817.4829249999998
CRWV,CRWV,bucket_1,spot,2957.37884
CSCO,CSCO,bucket_1,spot,1137.042419
DASH,DASH,bucket_1,spot,-319.85229642
DDOG,DDOG,bucket_1,spot,44.142143
DELL,DELL,bucket_1,spot,1141.108229
DIA,DIA,bucket_1,spot,64.971929
DJT,DJT,bucket_1,spot,16.958121
DKNG,DKNG,bucket_1,spot,5.73328128781327
DNN,DNN,bucket_1,spot,86.99183
DUOL,DUOL,bucket_1,spot,559.844643
ENPH,ENPH,bucket_1,spot,725.230723
EOSE,EOSE,bucket_1,spot,4527.130703
ETHA,ETHA,bucket_1,spot,-2801.230394
ETOR,ETOR,bucket_1,spot,410.583886
EWJ,EWJ,bucket_1,spot,388.275936
EWW,EWW,bucket_1,spot,11.179686
EWY,EWY,bucket_1,spot,74.188697
FCX,FCX,bucket_1,spot,418.369486
FIG,FIG,bucket_1,spot,-3433.705767
FIGR,FIGR,bucket_1,spot,812.4396810000001
FLY,FLY,bucket_1,spot,908.294423
FUTU,FUTU,bucket_1,spot,26.605243
FXI,FXI,bucket_1,spot,-61.121203
GDX,GDX,bucket_1,spot,376.506757
GDXJ,GDXJ,bucket_1,spot,-419.969157
GEV,GEV,bucket_1,spot,1895.279634
GLW,GLW,bucket_1,spot,25.246718
GLXY,GLXY,bucket_1,spot,746.616174
GME,GME,bucket_1,spot,40.767743
GOOGL,GOOGL,bucket_1,spot,1023.2106144100001
GRAB,GRAB,bucket_1,spot,467.554279
GSOL,GSOL,bucket_1,spot,-1163.398888
GXRP,XRPZ,bucket_1,spot,-3066.15657254
HIMS,HIMS,bucket_1,spot,-46.135981234041246
HL,HL,bucket_1,spot,-425.174823
HOOD,HOOD,bucket_1,spot,-2852.2534484499997
HUT,HUT,bucket_1,spot,3154.844556
IBIT,IBIT,bucket_1,spot,-1592.7007152154206
IBM,IBM,bucket_1,spot,35.292743
INTC,INTC,bucket_1,spot,4268.200604
IONQ,IONQ,bucket_1,spot,3262.67338
IREN,IREN,bucket_1,spot,-341.913611
ISRG,ISRG,bucket_1,spot,-664.816316
IWM,IWM,bucket_1,spot,29.552243
JOBY,JOBY,bucket_1,spot,25.083537
KLAC,KLAC,bucket_1,spot,1769.953086
KTOS,KTOS,bucket_1,spot,-545.755657
KWEB,KWEB,bucket_1,spot,-475.9417000000003
LAC,LAC,bucket_1,spot,-128.102391
