underlying,net_notional_usd,gross_notional_usd,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,ratio_spot_source,net_bucket_1,net_bucket_2,net_bucket_4
TER,1530.6,1530.6,1.0,0.0,0.0,sleeve_balance,1530.6,0.0,0.0
FCX,1515.0100000000002,1515.0100000000002,1.0,0.0,0.0,sleeve_balance,1515.0100000000002,0.0,0.0
SPY,1509.2,1509.2,1.0,0.0,0.0,sleeve_balance,1509.2,0.0,0.0
RBLX,1498.56,1498.56,1.0,0.0,0.0,sleeve_balance,1498.56,0.0,0.0
QQQ,1471.2,1471.2,1.0,0.0,0.0,sleeve_balance,1471.2,0.0,0.0
IWM,1460.1499999999999,1460.1499999999999,1.0,0.0,0.0,sleeve_balance,1460.1499999999999,0.0,0.0
CEG,1431.55,1431.55,1.0,0.0,0.0,sleeve_balance,1431.55,0.0,0.0
XYZ,1412.6499999999999,1412.6499999999999,1.0,0.0,0.0,sleeve_balance,1412.6499999999999,0.0,0.0
CRM,1409.36,1409.36,1.0,0.0,0.0,sleeve_balance,1409.36,0.0,0.0
NVO,1365.3,1365.3,1.0,0.0,0.0,sleeve_balance,1365.3,0.0,0.0
OKTA,1326.08,1326.08,0.9687447392863175,0.0,0.0,sleeve_balance,1284.6330238727999,0.0,0.0
XPEV,1315.2,1315.2,0.9958449804744524,0.0,0.0,sleeve_balance,1309.7353183199998,0.0,0.0
TTD,1311.3,1311.3,1.0,0.0,0.0,sleeve_balance,1311.3,0.0,0.0
MSFT,1280.97,1280.97,1.0,0.0,0.0,sleeve_balance,1280.97,0.0,0.0
UBER,1276.56,1276.56,1.0,0.0,0.0,sleeve_balance,1276.56,0.0,0.0
NIO,1259.85,1259.85,1.0,0.0,0.0,sleeve_balance,1259.85,0.0,0.0
FXI,1259.64,1259.64,1.0,0.0,0.0,sleeve_balance,1259.64,0.0,0.0
ALB,1234.24,1234.24,1.0,0.0,0.0,sleeve_balance,1234.24,0.0,0.0
QCOM,1216.45,1216.45,1.0,0.0,0.0,sleeve_balance,1216.45,0.0,0.0
ADBE,1207.2,1207.2,1.0,0.0,0.0,sleeve_balance,1207.2,0.0,0.0
GOOGL,1170.3899999999999,1170.3899999999999,1.0,0.0,0.0,sleeve_balance,1170.3899999999999,0.0,0.0
DKNG,1152.91,1152.91,0.9981150198367609,0.0,0.0,sleeve_balance,1150.73678752,0.0,0.0
UNH,1147.59,1147.59,1.0,0.0,0.0,sleeve_balance,1147.59,0.0,0.0
NET,1140.5500000000002,1140.5500000000002,1.0,0.0,0.0,sleeve_balance,1140.5500000000002,0.0,0.0
AMZN,1096.0,1096.0,0.9161485891854015,0.0,0.0,sleeve_balance,1004.0988537472001,0.0,0.0
NOW,1087.3,1087.3,1.0,0.0,0.0,sleeve_balance,1087.3,0.0,0.0
KWEB,1066.4,1066.4,1.0,0.0,0.0,sleeve_balance,1066.4,0.0,0.0
EWW,1024.53,1024.53,1.0,0.0,0.0,sleeve_balance,1024.53,0.0,0.0
