underlying,spot_net_usd,shared_b1b2,b1_net_exp_usd,b2_net_exp_usd,b1_share,b2_share,b1b2_model_determined_usd,ledger_b2_spot_usd,b4_short_plan_usd,b4_short_etf_implied_usd,b4_short_chosen,b4_short_spread_usd,spot_pnl_total,spot_pnl_model_determined
LITE,16351.78,False,15257.38,0.0,0.9331,0.0,0.0,0.0,0.0,0.0,none,0.0,-20.13,0.0
CIFR,15491.7,False,14893.0,0.0,0.9614,0.0,0.0,0.0,0.0,0.0,none,0.0,5876.56,0.0
OKLO,14911.71,False,14632.3,0.0,0.9813,0.0,0.0,0.0,0.0,0.0,none,0.0,1180.63,0.0
BE,14500.5,False,14500.5,0.0,1.0,0.0,0.0,0.0,0.0,-13922.03,etf_implied,0.0,7793.88,0.0
CLS,6669.38,False,6473.51,0.0,0.9706,0.0,0.0,0.0,0.0,0.0,none,0.0,-335.07,0.0
WDC,6374.16,False,6301.15,0.0,0.9885,0.0,0.0,0.0,0.0,0.0,none,0.0,2689.7,0.0
PAAS,2923.48,False,2923.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-222.22,0.0
EWY,6192.3,False,6192.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,1356.83,0.0
RDDT,4024.56,False,4024.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-186.24,0.0
ARM,4023.24,False,4023.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,2413.03,0.0
SOXX,3986.29,False,3986.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,4630.51,0.0
RKT,3974.4,False,3974.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-1917.65,0.0
OSCR,3907.75,False,3812.04,0.0,0.9755,0.0,0.0,0.0,0.0,0.0,none,0.0,2455.4,0.0
GDX,3835.92,False,3835.92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,422.27,0.0
SOFI,3818.25,False,3818.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-2210.19,0.0
DUOL,3803.45,False,3733.34,0.0,0.9816,0.0,0.0,0.0,0.0,0.0,none,0.0,1017.99,0.0
RCAT,54166.2,False,54166.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,6891.31,0.0
QS,3387.23,False,3387.23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,889.52,0.0
TEM,3333.85,False,3333.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-1976.8,0.0
LAC,3223.9,False,3223.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,471.42,0.0
CNC,3063.32,False,3063.32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,2750.71,0.0
AVGO,2986.06,False,2986.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,6680.38,0.0
ZETA,2966.46,False,2966.46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,188.35,0.0
CORZ,4052.96,False,4052.96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,4319.28,0.0
ORCL,4074.0,False,4074.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,1286.18,0.0
TDOG,4086.87,False,3876.19,0.0,0.9484,0.0,0.0,0.0,0.0,0.0,none,0.0,-735.0,0.0
PLUG,4841.0,False,4841.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,10359.16,0.0
