ETF,Underlying,Leverage,is_yieldboost,scenario_style,Delta_product_class,Delta,Delta_n_obs,Delta_source,Delta_se,Delta_resid_sigma_annual,Delta_horizon_chosen,Delta_quality,Delta_prior_mu,Delta_prior_tau,Delta_prior_source
BTCL,IBIT,2.0,False,,letf_long,2.000567,482,posterior.nominal_L,0.009161979532165613,0.06367226870724539,1,ok,2.0,240.0,nominal_L
ETU,ETHA,2.0,False,,letf_long,1.997575,407,posterior.nominal_L,0.011069362430013784,0.09302674749752125,1,ok,2.0,240.0,nominal_L
CCUP,CRCL,2.0,False,,letf_long,1.995135,210,posterior.nominal_L,0.020390763331099338,0.16417746486587606,1,ok,2.0,240.0,nominal_L
CRWU,CRWV,2.0,False,,letf_long,1.997658,220,posterior.nominal_L,0.01447415148958928,0.14244070574439618,1,ok,2.0,240.0,nominal_L
AAPX,AAPL,2.0,False,,letf_long,2.001517,500,posterior.nominal_L,0.012964309650680038,0.042823798688595226,1,ok,2.0,240.0,nominal_L
GOOX,GOOGL,2.0,False,,letf_long,1.981437,500,posterior.nominal_L,0.00947268267811517,0.06446835181960374,1,ok,2.0,240.0,nominal_L
MSFX,MSFT,2.0,False,,letf_long,2.007058,500,posterior.nominal_L,0.010148780436040873,0.04272129867234878,1,ok,2.0,240.0,nominal_L
NFLU,NFLX,2.0,False,,letf_long,2.001528,426,posterior.nominal_L,0.014824761334074846,0.05683052189380169,1,ok,2.0,240.0,nominal_L
ROBN,HOOD,2.0,False,,letf_long,1.999588,341,posterior.nominal_L,0.01135249349363855,0.10696702999603903,1,ok,2.0,240.0,nominal_L
DJTU,DJT,2.0,False,,letf_long,2.007592,320,posterior.nominal_L,0.029808873329818693,0.13893998504788432,1,ok,2.0,240.0,nominal_L
RBLU,RBLX,2.0,False,,letf_long,2.011342,320,posterior.nominal_L,0.018188718020380332,0.09497011685272451,1,ok,2.0,240.0,nominal_L
SNOU,SNOW,2.0,False,,letf_long,1.997998,284,posterior.nominal_L,0.04858991887121783,0.16786615273298364,1,ok,2.0,240.0,nominal_L
SMUP,SMR,2.0,False,,letf_long,1.997623,220,posterior.nominal_L,0.008452396084788146,0.1669024079472523,1,ok,2.0,240.0,nominal_L
GLXU,GLXY,2.0,False,,letf_long,2.000718,211,posterior.nominal_L,0.015461137954011037,0.14934568624611674,1,ok,2.0,240.0,nominal_L
AFRU,AFRM,2.0,False,,letf_long,1.998227,185,posterior.nominal_L,0.010812860084850412,0.1486509431556558,1,ok,2.0,240.0,nominal_L
KTUP,KTOS,2.0,False,,letf_long,2.007536,185,posterior.nominal_L,0.01106769353729734,0.12871194207127018,1,ok,2.0,240.0,nominal_L
TTDU,TTD,2.0,False,,letf_long,2.003564,184,posterior.nominal_L,0.011395602273906444,0.10495133201057424,1,ok,2.0,240.0,nominal_L
BMNU,BMNR,2.0,False,,letf_long,1.995887,177,posterior.nominal_L,0.00806821566604118,0.14893903299900002,1,ok,2.0,240.0,nominal_L
SBTU,SBET,2.0,False,,letf_long,2.006531,160,posterior.nominal_L,0.012282768197162031,0.16382223307306978,1,ok,2.0,240.0,nominal_L
CIFU,CIFR,2.0,False,,letf_long,1.998349,137,posterior.nominal_L,0.013781686547830909,0.19333774024509617,1,ok,2.0,240.0,nominal_L
XRPT,XRPZ,2.0,False,,letf_long,2.001617,136,posterior.nominal_L,0.02774312274399983,0.13743998470101043,1,ok,2.0,240.0,nominal_L
CHNU,CHNL,2.0,False,,letf_long,2.00163,48,posterior.nominal_L,0.006516791791199352,0.05252947379751843,1,ok,2.0,240.0,nominal_L
CRDX,CRDD,2.0,False,,letf_long,2.005032,48,posterior.nominal_L,0.018205171723100707,0.09146035452878756,1,ok,2.0,240.0,nominal_L
STLU,STLR,2.0,False,,letf_long,1.9938,49,posterior.nominal_L,0.030959720431414612,0.28859003255500365,1,ok,2.0,240.0,nominal_L
GMEU,GME,2.0,False,,letf_long,1.998034,284,posterior.nominal_L,0.03548959135270688,0.11020248772690054,1,ok,2.0,240.0,nominal_L
APLX,APLD,2.0,False,,letf_long,1.988889,190,posterior.nominal_L,0.010880521309109336,0.15805054488035303,1,ok,2.0,240.0,nominal_L
APPX,APP,2.0,False,,letf_long,1.998834,283,posterior.nominal_L,0.018783740930600794,0.11327035526450338,1,ok,2.0,240.0,nominal_L
ARCX,ACHR,2.0,False,,letf_long,1.997125,252,posterior.nominal_L,0.01456955714050156,0.13130911947765037,1,ok,2.0,240.0,nominal_L
ASTX,ASTS,2.0,False,,letf_long,1.994,231,posterior.nominal_L,0.009212597864181176,0.14784303139754726,1,ok,2.0,240.0,nominal_L
BEX,BE,2.0,False,,letf_long,1.991943,143,posterior.nominal_L,0.012379705320011439,0.1593452304943746,1,ok,2.0,240.0,nominal_L
CEGX,CEG,2.0,False,,letf_long,2.001133,231,posterior.nominal_L,0.006834027400270337,0.08713709124437245,1,ok,2.0,240.0,nominal_L
CLSX,CLSK,2.0,False,,letf_long,1.998408,185,posterior.nominal_L,0.008457579414244114,0.13517328797618353,1,ok,2.0,240.0,nominal_L
COZX,CORZ,2.0,False,,letf_long,2.003205,149,posterior.nominal_L,0.00882287982197949,0.11354255386436107,1,ok,2.0,240.0,nominal_L
CRDU,CRDO,2.0,False,,letf_long,1.994927,185,posterior.nominal_L,0.00911556883713253,0.13019174056755045,1,ok,2.0,240.0,nominal_L
CSEX,CLS,2.0,False,,letf_long,2.005424,143,posterior.nominal_L,0.013180379537660719,0.13164121481103525,1,ok,2.0,240.0,nominal_L
CWVX,CRWV,2.0,False,,letf_long,1.997985,231,posterior.nominal_L,0.01468237378370001,0.1426570900386649,1,ok,2.0,240.0,nominal_L
FLYT,FLY,2.0,False,,letf_long,1.991048,158,posterior.nominal_L,0.01455856237579832,0.2871536911644199,1,ok,2.0,240.0,nominal_L
GEVX,GEV,2.0,False,,letf_long,1.995834,231,posterior.nominal_L,0.011646615863268523,0.08394759735306459,1,ok,2.0,240.0,nominal_L
IREX,IREN,2.0,False,,letf_long,1.994098,158,posterior.nominal_L,0.010568114270211712,0.14536696058583967,1,ok,2.0,240.0,nominal_L
JOBX,JOBY,2.0,False,,letf_long,1.990521,190,posterior.nominal_L,0.01563315400247257,0.16001517710208132,1,ok,2.0,240.0,nominal_L
LABX,ALAB,2.0,False,,letf_long,1.994275,209,posterior.nominal_L,0.0161190465295786,0.1671662944069786,1,ok,2.0,240.0,nominal_L
LRCU,LRCX,2.0,False,,letf_long,1.999979,204,posterior.nominal_L,0.010048779336476481,0.0901784993896642,1,ok,2.0,240.0,nominal_L
NEBX,NBIS,2.0,False,,letf_long,1.990822,190,posterior.nominal_L,0.007857448473877133,0.12371735413309866,1,ok,2.0,240.0,nominal_L
NVTX,NVTS,2.0,False,,letf_long,1.982265,190,posterior.nominal_L,0.014360169738622074,0.2526705797411275,1,ok,2.0,240.0,nominal_L
OPEX,OPEN,2.0,False,,letf_long,2.005402,158,posterior.nominal_L,0.013528091019516469,0.1705746998782645,1,ok,2.0,240.0,nominal_L
PONX,PONY,2.0,False,,letf_long,2.006507,190,posterior.nominal_L,0.009736757051815237,0.14752719318641158,1,ok,2.0,240.0,nominal_L
QBTX,QBTS,2.0,False,,letf_long,1.981154,283,posterior.nominal_L,0.018511562702788715,0.19881752455260665,1,ok,2.0,240.0,nominal_L
QUBX,QUBT,2.0,False,,letf_long,1.992879,243,posterior.nominal_L,0.008409366246521426,0.17699031810158722,1,ok,2.0,240.0,nominal_L
RGTU,RGTI,2.0,False,,letf_long,1.994672,243,posterior.nominal_L,0.01725803246687263,0.19377211116383342,1,ok,2.0,240.0,nominal_L
SMU,SMR,2.0,False,,letf_long,1.999203,231,posterior.nominal_L,0.010662728935158978,0.15046140829419347,1,ok,2.0,240.0,nominal_L
SRPU,SRPT,2.0,False,,letf_long,2.000308,157,posterior.nominal_L,0.040894948395476347,0.24457786204270907,1,ok,2.0,240.0,nominal_L
TARK,ARKK,2.0,False,,letf_long,1.992469,500,posterior.nominal_L,0.0071008501579005335,0.056120175617243626,1,ok,2.0,240.0,nominal_L
TEMT,TEM,2.0,False,,letf_long,1.994435,271,posterior.nominal_L,0.010870519603067627,0.09998938647069648,1,ok,2.0,240.0,nominal_L
UNX,U,2.0,False,,letf_long,2.00363,185,posterior.nominal_L,0.06389251410858028,0.25109645558526517,1,ok,2.0,240.0,nominal_L
UPSX,UPST,2.0,False,,letf_long,2.001062,252,posterior.nominal_L,0.01229258830179,0.10841788500023808,1,ok,2.0,240.0,nominal_L
WULX,WULF,2.0,False,,letf_long,1.993794,158,posterior.nominal_L,0.00852699843387864,0.17400377188881164,1,ok,2.0,240.0,nominal_L
CRMU,CRML,2.0,False,,letf_long,1.992419,84,posterior.nominal_L,0.019537211414890433,0.22547718451722384,1,ok,2.0,240.0,nominal_L
UECG,UEC,2.0,False,,letf_long,2.003361,84,posterior.nominal_L,0.01832264126370263,0.1566145851449271,1,ok,2.0,240.0,nominal_L
DNNG,DNN,2.0,False,,letf_long,2.002111,84,posterior.nominal_L,0.01132654568270398,0.11514690155915669,1,ok,2.0,240.0,nominal_L
RCAX,RCAT,2.0,False,,letf_long,2.001243,89,posterior.nominal_L,0.02448271347987755,0.20391726424976803,1,ok,2.0,240.0,nominal_L
RDWU,RDW,2.0,False,,letf_long,1.993273,91,posterior.nominal_L,0.017555243934390785,0.2618002911056626,1,ok,2.0,240.0,nominal_L
OKLL,OKLO,2.0,False,,letf_long,1.999406,243,posterior.nominal_L,0.008522437146421888,0.1268119331125959,1,ok,2.0,240.0,nominal_L
GDXU,GDX,2.0,False,,letf_long,2.430453,500,posterior.nominal_L,0.026323399973996332,0.1281787752375582,1,ok,2.0,240.0,nominal_L
MRNX,MRNA,2.0,False,,letf_long,1.995405,88,posterior.nominal_L,0.012464646294938493,0.101424848922258,1,ok,2.0,240.0,nominal_L
ZETX,ZETA,2.0,False,,letf_long,1.997047,88,posterior.nominal_L,0.0107168595167152,0.1084710720812832,1,ok,2.0,240.0,nominal_L
LITX,LITE,2.0,False,,letf_long,1.996886,94,posterior.nominal_L,0.006112560823560962,0.14032173651239216,1,ok,2.0,240.0,nominal_L
SNXX,SNDK,2.0,False,,letf_long,1.987008,94,posterior.nominal_L,0.008452818045804548,0.14801923155041521,1,ok,2.0,240.0,nominal_L
WDCX,WDC,2.0,False,,letf_long,2.00195,94,posterior.nominal_L,0.009560765619154636,0.08952214827454015,1,ok,2.0,240.0,nominal_L
LNOK,NOK,2.0,False,,letf_long,2.003343,98,posterior.nominal_L,0.01464878103637443,0.12793133271792992,1,ok,2.0,240.0,nominal_L
USGG,USAR,2.0,False,,letf_long,1.993807,103,posterior.nominal_L,0.01623056675714214,0.17763592650381904,1,ok,2.0,240.0,nominal_L
ONDG,ONDS,2.0,False,,letf_long,1.998941,103,posterior.nominal_L,0.022182060372570117,0.1859001786385396,1,ok,2.0,240.0,nominal_L
PLUL,PLUG,2.0,False,,letf_long,1.99152,103,posterior.nominal_L,0.01670619060728829,0.17466545164172853,1,ok,2.0,240.0,nominal_L
ALBG,ALB,2.0,False,,letf_long,2.000019,103,posterior.nominal_L,0.013051450862582444,0.08461993692840937,1,ok,2.0,240.0,nominal_L
UUUG,UUUU,2.0,False,,letf_long,1.996239,103,posterior.nominal_L,0.010287942990776781,0.1358157651666099,1,ok,2.0,240.0,nominal_L
HUTG,HUT,2.0,False,,letf_long,1.994631,103,posterior.nominal_L,0.021730608718163496,0.16431964791160808,1,ok,2.0,240.0,nominal_L
XPEG,XPEV,2.0,False,,letf_long,2.001089,101,posterior.nominal_L,0.00787598377225059,0.07467120514214985,1,ok,2.0,240.0,nominal_L
ORLG,ORLY,2.0,False,,letf_long,2.000595,101,posterior.nominal_L,0.00715115763335899,0.030052113289580216,1,ok,2.0,240.0,nominal_L
LUNL,LUNR,2.0,False,,letf_long,1.991963,103,posterior.nominal_L,0.0160993266738992,0.21909473167211277,1,ok,2.0,240.0,nominal_L
RKTL,RKT,2.0,False,,letf_long,2.011642,103,posterior.nominal_L,0.015073025071566685,0.13953444784472596,1,ok,2.0,240.0,nominal_L
EOSU,EOSE,2.0,False,,letf_long,1.995943,101,posterior.nominal_L,0.02176199475796376,0.23690663032693607,1,ok,2.0,240.0,nominal_L
KEEX,KEEL,2.0,False,,letf_long,1.994953,112,posterior.nominal_L,0.012698506999007831,0.23947432470797633,1,ok,2.0,240.0,nominal_L
FGRU,FIGR,2.0,False,,letf_long,1.998776,79,posterior.nominal_L,0.03234288120771438,0.2408955035137125,1,ok,2.0,240.0,nominal_L
APHU,APH,2.0,False,,letf_long,1.996579,79,posterior.nominal_L,0.011567842432430244,0.08207983862922859,1,ok,2.0,240.0,nominal_L
COPZ,COPX,2.0,False,,letf_long,1.99645,79,posterior.nominal_L,0.015140538495713474,0.09502952279089474,1,ok,2.0,240.0,nominal_L
LEUX,LEU,2.0,False,,letf_long,1.996885,78,posterior.nominal_L,0.01989235692151135,0.1949121856949477,1,ok,2.0,240.0,nominal_L
COHX,COHR,2.0,False,,letf_long,2.001803,78,posterior.nominal_L,0.01254075786476702,0.155493747447118,1,ok,2.0,240.0,nominal_L
AXPG,AXP,2.0,False,,letf_long,2.006788,78,posterior.nominal_L,0.009362217564809889,0.044216231715547144,1,ok,2.0,240.0,nominal_L
FCXG,FCX,2.0,False,,letf_long,1.999148,78,posterior.nominal_L,0.013115462426608555,0.12470074160815303,1,ok,2.0,240.0,nominal_L
GLWG,GLW,2.0,False,,letf_long,1.995164,65,posterior.nominal_L,0.010938488242473517,0.10211833410859127,1,ok,2.0,240.0,nominal_L
SNDU,SNDK,2.0,False,,letf_long,1.991288,62,posterior.nominal_L,0.009121217654731744,0.1259590670580406,1,ok,2.0,240.0,nominal_L
PAAU,PAAS,2.0,False,,letf_long,1.993273,63,posterior.nominal_L,0.015491474639825946,0.11671953964754056,1,ok,2.0,240.0,nominal_L
BITX,IBIT,2.0,False,,letf_long,2.000064,500,posterior.nominal_L,0.008398697865170852,0.050563907424504735,1,ok,2.0,240.0,nominal_L
ETHU,ETHA,2.0,False,,letf_long,2.001826,473,posterior.nominal_L,0.012185223236368541,0.09640227157905061,1,ok,2.0,240.0,nominal_L
XXRP,XRPZ,2.0,False,,letf_long,2.000975,136,posterior.nominal_L,0.03184654728087465,0.14699540305026246,1,ok,2.0,240.0,nominal_L
TXXD,TDOG,2.0,False,,letf_long,2.005246,97,posterior.nominal_L,0.016844743726759696,0.10308960859040653,1,ok,2.0,240.0,nominal_L
TXXS,TSUI,2.0,False,,letf_long,1.999614,75,posterior.nominal_L,0.032891905271024244,0.19752999694587473,1,ok,2.0,240.0,nominal_L
ONDL,ONDS,2.0,False,,letf_long,1.991478,112,posterior.nominal_L,0.022198944522102422,0.2201903782060909,1,ok,2.0,240.0,nominal_L
MSTX,MSTR,2.0,False,,letf_long,1.992621,456,posterior.nominal_L,0.010555134152268008,0.13810843151305588,1,ok,2.0,240.0,nominal_L
SMCX,SMCI,2.0,False,,letf_long,1.997735,449,posterior.nominal_L,0.054682395985894125,0.2504334543768162,1,ok,2.0,240.0,nominal_L
ORCX,ORCL,2.0,False,,letf_long,1.995269,336,posterior.nominal_L,0.021787329960290456,0.10465134147608511,1,ok,2.0,240.0,nominal_L
IONX,IONQ,2.0,False,,letf_long,1.984442,314,posterior.nominal_L,0.011754972239283852,0.1324646067016137,1,ok,2.0,240.0,nominal_L
HIMZ,HIMS,2.0,False,,letf_long,1.997286,312,posterior.nominal_L,0.023924604106579088,0.15874469193411894,1,ok,2.0,240.0,nominal_L
IRE,IREN,2.0,False,,letf_long,1.995122,160,posterior.nominal_L,0.0098504439592973,0.14396824145040737,1,ok,2.0,240.0,nominal_L
AVGX,AVGO,2.0,False,,letf_long,1.993974,451,posterior.nominal_L,0.020046113761322742,0.07513408531706177,1,ok,2.0,240.0,nominal_L
RKLX,RKLB,2.0,False,,letf_long,1.990987,313,posterior.nominal_L,0.02203362845915098,0.1376359895838993,1,ok,2.0,240.0,nominal_L
RGTX,RGTI,2.0,False,,letf_long,1.985407,300,posterior.nominal_L,0.01694600302430955,0.17209961493994,1,ok,2.0,240.0,nominal_L
SOFX,SOFI,2.0,False,,letf_long,2.0037,351,posterior.nominal_L,0.012934210296406547,0.07345692172486001,1,ok,2.0,240.0,nominal_L
NVOX,NVO,2.0,False,,letf_long,2.00466,380,posterior.nominal_L,0.025779350325374033,0.08839255639667733,1,ok,2.0,240.0,nominal_L
LLYX,LLY,2.0,False,,letf_long,1.993775,461,posterior.nominal_L,0.013107403083754243,0.05861862144531939,1,ok,2.0,240.0,nominal_L
SOUX,SOUN,2.0,False,,letf_long,2.001156,243,posterior.nominal_L,0.016702466698791604,0.13177779831416067,1,ok,2.0,240.0,nominal_L
QPUX,IONQ,2.0,False,,letf_long,1.963052,212,posterior.nominal_L,0.0524961749966809,0.7718816667450141,1,ok,2.0,240.0,nominal_L
HOOX,HOOD,2.0,False,,letf_long,1.995503,309,posterior.nominal_L,0.009370778309726586,0.09537067906904684,1,ok,2.0,240.0,nominal_L
RIOX,RIOT,2.0,False,,letf_long,1.993887,359,posterior.nominal_L,0.009187665268471087,0.13311176983603473,1,ok,2.0,240.0,nominal_L
QSU,QS,2.0,False,,letf_long,2.000995,160,posterior.nominal_L,0.0193858271050031,0.13895641644005552,1,ok,2.0,240.0,nominal_L
MPL,MP,2.0,False,,letf_long,1.998842,160,posterior.nominal_L,0.00896714320046639,0.1198090152487762,1,ok,2.0,240.0,nominal_L
OSCX,OSCR,2.0,False,,letf_long,1.996501,178,posterior.nominal_L,0.014126629163293835,0.10530232429966169,1,ok,2.0,240.0,nominal_L
DKNX,DKNG,2.0,False,,letf_long,2.004894,217,posterior.nominal_L,0.010949352732368429,0.06495891816218954,1,ok,2.0,240.0,nominal_L
ANEL,ANET,2.0,False,,letf_long,2.000291,193,posterior.nominal_L,0.013661438651117104,0.07813286815146596,1,ok,2.0,240.0,nominal_L
VSTL,VST,2.0,False,,letf_long,1.997006,224,posterior.nominal_L,0.01035035689368206,0.062442651102974915,1,ok,2.0,240.0,nominal_L
CVNX,CVNA,2.0,False,,letf_long,1.994092,259,posterior.nominal_L,0.016720323071612794,0.1503452688089651,1,ok,2.0,240.0,nominal_L
LMNX,LMND,2.0,False,,letf_long,2.004193,163,posterior.nominal_L,0.016875136664685167,0.13515040231924408,1,ok,2.0,240.0,nominal_L
AVXX,AVAV,2.0,False,,letf_long,1.99619,157,posterior.nominal_L,0.017151901283134846,0.13671321681522755,1,ok,2.0,240.0,nominal_L
BU,B,2.0,False,,letf_long,1.992983,137,posterior.nominal_L,0.06732294321703099,0.4944313236589523,1,ok,2.0,240.0,nominal_L
PLU,PL,2.0,False,,letf_long,1.994169,107,posterior.nominal_L,0.06132277928379592,0.335935617054871,1,ok,2.0,240.0,nominal_L
ADBU,ADBE,2.0,False,,letf_long,1.997758,54,posterior.nominal_L,0.0050491549085250696,0.04808122580849736,1,ok,2.0,240.0,nominal_L
PYPU,PYPL,2.0,False,,letf_long,1.998211,54,posterior.nominal_L,0.010311594939937704,0.0683862319793761,1,ok,2.0,240.0,nominal_L
TXNU,TXN,2.0,False,,letf_long,1.989567,54,posterior.nominal_L,0.0158268775377627,0.07564574944950014,1,ok,2.0,240.0,nominal_L
UNHU,UNH,2.0,False,,letf_long,1.985105,54,posterior.nominal_L,0.005276216192799347,0.056088223241564754,1,ok,2.0,240.0,nominal_L
AAOX,AAOI,2.0,False,,letf_long,1.992184,55,posterior.nominal_L,0.012824449806942669,0.21842709321812778,1,ok,2.0,240.0,nominal_L
HLXX,HL,2.0,False,,letf_long,1.996592,55,posterior.nominal_L,0.04966942274747666,0.3889805651793535,1,ok,2.0,240.0,nominal_L
IBX,IBM,2.0,False,,letf_long,1.999913,55,posterior.nominal_L,0.010730752228910944,0.1068773766074751,1,ok,2.0,240.0,nominal_L
AXTX,AXTI,2.0,False,,letf_long,1.999807,33,posterior.nominal_L,0.018869632925139625,0.2457705517369329,1,ok,2.0,240.0,nominal_L
CPNX,CPNG,2.0,False,,letf_long,1.991829,33,posterior.nominal_L,0.025139424217469408,0.16094730354756148,1,ok,2.0,240.0,nominal_L
